Date,Value
2016-03-31,1233.6
2016-03-30,1238.2
2016-03-29,1216.45
2016-03-24,1216.45
2016-03-23,1232.2
2016-03-22,1251.8
2016-03-21,1244.25
2016-03-18,1254.5
2016-03-17,1269.6
2016-03-16,1233.1
2016-03-15,1233.6
2016-03-14,1256.55
2016-03-11,1262.25
2016-03-10,1247.25
2016-03-09,1258.25
2016-03-08,1274.1
2016-03-07,1267.6
2016-03-04,1271.5
2016-03-03,1241.95
2016-03-02,1229.35
2016-03-01,1240.0
2016-02-29,1234.15
2016-02-26,1231.0
2016-02-25,1235.4
2016-02-24,1232.25
2016-02-23,1218.75
2016-02-22,1203.65
2016-02-19,1221.5
2016-02-18,1204.4
2016-02-17,1202.4
2016-02-16,1212.0
2016-02-15,1208.45
2016-02-12,1239.5
2016-02-11,1223.25
2016-02-10,1183.4
2016-02-09,1188.9
2016-02-08,1173.4
2016-02-05,1158.5
2016-02-04,1146.25
2016-02-03,1130.0
2016-02-02,1123.6
2016-02-01,1122.0
2016-01-29,1112.9
2016-01-28,1119.0
2016-01-27,1116.5
2016-01-26,1114.7
2016-01-25,1103.7
2016-01-22,1097.65
2016-01-21,1096.8
2016-01-20,1093.2
2016-01-19,1087.0
2016-01-18,1090.45
2016-01-15,1081.1
2016-01-14,1090.75
2016-01-13,1081.8
2016-01-12,1094.85
2016-01-11,1104.7
2016-01-08,1097.45
2016-01-07,1096.0
2016-01-06,1083.85
2016-01-05,1078.0
2016-01-04,1072.7
2015-12-31,1062.25
2015-12-30,1067.8
2015-12-29,1067.25
2015-12-24,1071.9
2015-12-23,1071.5
2015-12-22,1077.0
2015-12-21,1071.15
2015-12-18,1055.25
2015-12-17,1065.85
2015-12-16,1065.75
2015-12-15,1069.15
2015-12-14,1068.0
2015-12-11,1067.2
2015-12-10,1072.0
2015-12-09,1078.4
2015-12-08,1071.75
2015-12-07,1082.7
2015-12-04,1063.0
2015-12-03,1050.6
2015-12-02,1066.9
2015-12-01,1069.25
2015-11-30,1055.65
2015-11-27,1064.65
2015-11-26,1070.5
2015-11-25,1072.2
2015-11-24,1073.0
2015-11-23,1068.35
2015-11-20,1085.15
2015-11-19,1073.1
2015-11-18,1070.5
2015-11-17,1080.8
2015-11-16,1094.5
2015-11-13,1083.75
2015-11-12,1087.6
2015-11-11,1088.6
2015-11-10,1092.5
2015-11-09,1095.6
2015-11-06,1107.7
2015-11-05,1107.3
2015-11-04,1118.0
2015-11-03,1130.9
2015-11-02,1135.8
2015-10-30,1147.75
2015-10-29,1159.0
2015-10-28,1171.5
2015-10-27,1165.75
2015-10-26,1168.5
2015-10-23,1171.55
2015-10-22,1166.45
2015-10-21,1174.4
2015-10-20,1173.7
2015-10-19,1171.65
2015-10-16,1176.35
2015-10-15,1183.35
2015-10-14,1173.7
2015-10-13,1154.4
2015-10-12,1164.2
2015-10-09,1151.5
2015-10-08,1143.3
2015-10-07,1147.9
2015-10-06,1136.9
2015-10-05,1134.35
2015-10-02,1106.3
2015-10-01,1114.2
2015-09-30,1122.5
2015-09-29,1124.6
2015-09-28,1137.5
2015-09-25,1145.5
