Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,USD,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,EUR,RUB,USD,ZAR,CNY,CAD,AUD,G5 CCY,PROD IDX,CONS IDX
1/1/2015,"1,206.0",996.7,"144,593.4",773.4,"1,396.8","1,198.3","76,125.7","7,482.0","1,206.0","2,819.3","4,525.5","14,936,310.0","4,429.6","39,677.4","25,793,325.0","8,623.0","1,325,574.8",996.7,"72,360.0","1,206.0","13,951.9","7,482.0","1,396.8","1,473.7",#N/A,568.0,685.9
1/2/2015,"1,172.0",974.2,"140,880.2",761.6,"1,372.5","1,171.0","74,187.6","7,271.1","1,172.0","2,744.8","4,400.3","14,699,810.0","4,304.8","38,558.8","25,066,150.0","8,379.9","1,293,126.0",974.2,"68,942.9","1,172.0","13,724.4","7,271.1","1,372.5","1,442.6",#N/A,550.5,667.9
1/5/2015,"1,200.0","1,005.3","143,514.0",787.4,"1,414.6","1,207.8","76,014.0","7,464.0","1,200.0","2,795.9","4,504.5","15,153,000.0","4,407.7","39,558.0","25,665,000.0","8,580.1","1,331,639.9","1,005.3","71,613.6","1,200.0","14,037.0","7,464.0","1,414.6","1,481.9",#N/A,566.7,683.2
1/6/2015,"1,210.3","1,015.4","143,674.8",797.8,"1,426.8","1,219.6","76,996.1","7,519.3","1,210.3","2,806.6","4,542.1","15,318,739.4","4,445.3","39,814.8","25,943,524.1","8,653.3","1,329,798.2","1,015.4","74,657.3","1,210.3","14,153.3","7,519.3","1,426.8","1,491.6",#N/A,577.7,689.1
1/7/2015,"1,210.5","1,025.5","144,600.3",803.7,"1,436.1","1,231.7","76,570.2","7,520.2","1,210.5","2,819.1","4,544.1","15,419,954.3","4,446.2","39,825.4","25,953,120.0","8,655.1","1,331,550.0","1,025.5","75,626.0","1,210.5","14,207.6","7,520.2","1,436.1","1,505.4",#N/A,581.5,688.9
1/8/2015,"1,215.5","1,030.7","145,464.9",806.0,"1,436.7","1,238.1","76,260.5","7,553.7","1,215.5","2,798.3","4,563.9","15,415,578.8","4,464.6","39,983.9","25,996,506.3","8,690.9","1,333,178.6","1,030.7","73,075.9","1,215.5","14,103.8","7,553.7","1,436.7","1,499.0",#N/A,574.0,686.8
1/9/2015,"1,217.8","1,029.0","144,747.8",803.8,"1,443.4","1,235.7","75,969.3","7,560.5","1,217.8","2,789.6","4,572.3","15,406,364.1","4,472.9","40,057.9","26,023,317.5","8,707.0","1,326,957.7","1,029.0","74,590.8","1,217.8","13,996.8","7,560.5","1,443.4","1,487.3",#N/A,576.7,685.2
1/12/2015,"1,226.5","1,037.8","145,518.1",810.2,"1,463.5","1,246.4","76,331.2","7,608.7","1,226.5","2,802.8","4,603.4","15,450,833.8","4,505.0","40,327.3","26,179,642.5","8,769.5","1,326,520.8","1,037.8","77,202.0","1,226.5","14,139.7","7,608.7","1,463.5","1,503.3",#N/A,587.0,688.8
1/13/2015,"1,231.5","1,045.3","145,938.9",811.5,"1,469.4","1,255.4","76,519.2","7,633.2","1,231.5","2,807.8","4,622.1","15,513,821.3","4,523.4","40,467.1","26,286,367.5","8,805.3","1,334,145.3","1,045.3","81,001.9","1,231.5","14,161.6","7,633.2","1,469.4","1,510.3",#N/A,598.2,690.6
1/14/2015,"1,235.0","1,047.7","144,365.3",811.8,"1,476.8","1,258.3","76,786.1","7,651.7","1,235.0","2,815.6","4,635.0","15,577,055.0","4,536.2","40,501.8","26,354,900.0","8,830.3","1,336,208.2","1,047.7","81,544.6","1,235.0","14,123.5","7,651.7","1,476.8","1,513.7",#N/A,599.8,692.7
