Date, Open, High, Low, Close, Volume
03/31/16, 64.93, 65.16, 64.86, 65.14, 573370
03/30/16, 65.14, 65.175, 64.90, 64.92, 672837
03/29/16, 64.89, 65.20, 64.87, 65.20, 654481
03/28/16, 64.83, 65.00, 64.68, 64.82, 322029
03/24/16, 64.52, 64.87, 64.52, 64.80, 382479
03/23/16, 64.45, 64.65, 64.30, 64.53, 455844
03/22/16, 64.39, 64.60, 64.34, 64.34, 328080
03/21/16, 64.50, 64.69, 64.32, 64.33, 423556
03/18/16, 65.02, 65.05, 64.42, 64.50, 2182337
03/17/16, 64.86, 65.08, 64.75, 64.97, 777514
03/16/16, 64.37, 64.91, 64.20, 64.87, 1012456
03/15/16, 64.35, 64.68, 63.94, 64.54, 747050
03/14/16, 64.60, 64.74, 64.40, 64.41, 592533
03/11/16, 64.69, 64.75, 64.49, 64.70, 794881
03/10/16, 64.78, 64.80, 64.58, 64.65, 853557
03/09/16, 64.79, 64.79, 64.4599, 64.75, 827803
03/08/16, 64.65, 64.90, 64.52, 64.68, 614088
03/07/16, 64.62, 64.90, 64.53, 64.88, 690089
03/04/16, 64.52, 64.97, 64.43, 64.80, 872008
03/03/16, 64.80, 64.80, 64.40, 64.64, 583550
03/02/16, 64.56, 64.94, 64.30, 64.80, 693278
03/01/16, 64.70, 64.82, 64.33, 64.54, 823692
02/29/16, 64.85, 64.91, 64.58, 64.65, 675345
02/26/16, 65.01, 65.10, 64.80, 64.81, 661589
02/25/16, 64.85, 65.16, 64.73, 65.14, 697402
02/24/16, 64.40, 64.92, 64.40, 64.87, 755231
02/23/16, 64.69, 64.82, 64.60, 64.61, 601227
02/22/16, 64.79, 64.88, 64.56, 64.75, 733022
02/19/16, 64.45, 64.855, 64.26, 64.75, 574742
02/18/16, 64.38, 64.71, 63.80, 64.31, 1280585
02/17/16, 64.32, 64.51, 64.02, 64.51, 638023
02/16/16, 64.83, 64.90, 64.24, 64.61, 675262
02/12/16, 64.71, 64.81, 64.31, 64.63, 625725
02/11/16, 64.51, 64.88, 64.51, 64.68, 679815
02/10/16, 64.65, 64.86, 64.45, 64.77, 754246
02/09/16, 64.41, 64.99, 64.41, 64.66, 1629053
02/08/16, 64.51, 64.69, 64.30, 64.54, 1144625
02/05/16, 64.56, 64.86, 64.42, 64.51, 637776
02/04/16, 64.41, 64.93, 64.31, 64.65, 902569
02/03/16, 64.62, 64.86, 64.23, 64.45, 953591
02/02/16, 64.22, 64.75, 64.22, 64.65, 1066354
02/01/16, 63.80, 64.59, 63.74, 64.44, 926500
01/29/16, 64.68, 64.68, 63.53, 63.56, 1365647
01/28/16, 63.71, 64.86, 63.52, 64.40, 717305
01/27/16, 63.57, 63.69, 63.30, 63.63, 623278
01/26/16, 63.60, 63.93, 63.455, 63.49, 640836
01/25/16, 63.82, 63.82, 63.43, 63.44, 845225
01/22/16, 63.55, 63.92, 63.41, 63.83, 656360
01/21/16, 63.65, 63.90, 63.39, 63.52, 530219
01/20/16, 63.92, 63.98, 63.24, 63.62, 1064152
01/19/16, 63.61, 64.095, 63.61, 63.95, 926408
01/15/16, 63.56, 63.66, 63.20, 63.58, 840071
01/14/16, 63.43, 63.75, 63.29, 63.56, 832591
01/13/16, 63.71, 63.71, 63.30, 63.38, 740400
01/12/16, 63.80, 63.90, 63.37, 63.57, 784340
01/11/16, 63.17, 63.86, 63.17, 63.74, 431855
01/08/16, 63.45, 63.66, 63.07, 63.17, 721658
01/07/16, 63.73, 63.83, 63.19, 63.43, 562013
01/06/16, 63.82, 63.98, 63.69, 63.85, 487401
01/05/16, 63.75, 64.08, 63.57, 64.00, 835078
01/04/16, 63.60, 63.91, 63.34, 63.76, 750606
12/31/15, 63.74, 63.945, 63.34, 63.81, 667876
12/30/15, 63.65, 63.99, 63.51, 63.82, 614227
12/29/15, 63.55, 63.82, 63.4401, 63.72, 635269
12/28/15, 63.15, 63.57, 63.10, 63.50, 323417
12/24/15, 63.05, 63.34, 62.9499, 63.26, 171689
12/23/15, 62.91, 63.49, 62.91, 63.19, 648217
12/22/15, 62.97, 63.17, 62.65, 62.80, 655550
12/21/15, 62.99, 63.00, 62.62, 62.90, 598443
12/18/15, 63.07, 63.1795, 62.68, 62.88, 1069907
12/17/15, 63.23, 63.29, 62.72, 63.10, 721454
12/16/15, 63.07, 63.41, 63.06, 63.25, 858871
12/15/15, 63.09, 63.19, 62.87, 63.11, 859854
12/14/15, 62.74, 63.08, 62.73, 63.00, 879350
12/11/15, 62.51, 62.93, 62.51, 62.73, 697861
12/10/15, 62.75, 62.88, 62.54, 62.74, 540322
12/09/15, 63.00, 63.08, 62.66, 62.82, 660779
12/08/15, 62.75, 63.10, 62.73, 63.03, 1177123
12/07/15, 62.88, 62.92, 62.72, 62.78, 717282
12/04/15, 62.35, 62.89, 62.35, 62.89, 759381
12/03/15, 62.45, 62.50, 62.16, 62.35, 658136
12/02/15, 62.67, 62.76, 62.435, 62.48, 534154
12/01/15, 62.68, 62.91, 62.32, 62.77, 1444673
11/30/15, 62.68, 62.82, 62.47, 62.57, 4490130
11/27/15, 62.51, 62.74, 62.43, 62.60, 321772
11/25/15, 62.77, 62.80, 62.41, 62.49, 526270
11/24/15, 62.97, 63.01, 62.45, 62.73, 1075530
11/23/15, 62.26, 62.76, 62.16, 62.62, 1274925
11/20/15, 62.16, 62.27, 62.03, 62.25, 581338
11/19/15, 62.25, 62.47, 62.03, 62.04, 803813
11/18/15, 62.14, 62.336, 62.04, 62.20, 619746
11/17/15, 62.28, 62.41, 62.00, 62.12, 684149
11/16/15, 62.06, 62.29, 61.94, 62.28, 540003
11/13/15, 61.75, 62.275, 61.75, 62.08, 748688
11/12/15, 62.10, 62.25, 61.68, 61.74, 674035
11/11/15, 62.10, 62.29, 62.06, 62.21, 529213
11/10/15, 62.00, 62.30, 61.92, 62.22, 763442
11/09/15, 62.10, 62.45, 62.05, 62.28, 716327
11/06/15, 62.34, 62.62, 62.15, 62.21, 592055
11/05/15, 62.79, 62.79, 62.06, 62.64, 649750
11/04/15, 62.61, 62.855, 62.61, 62.73, 320437
