Date, Open, High, Low, Close, Volume
03/31/16, 0.02, 0.02, 0.02, 0.02, 0
03/30/16, 0.02, 0.02, 0.02, 0.02, 40000
03/29/16, 0.01, 0.02, 0.01, 0.02, 65727
03/28/16, 0.02, 0.02, 0.02, 0.02, 15000
03/24/16, 0.01, 0.01, 0.01, 0.01, 0
03/23/16, 0.02, 0.02, 0.02, 0.02, 14000
03/22/16, 0.02, 0.02, 0.02, 0.02, 0
03/21/16, 0.02, 0.02, 0.02, 0.02, 26000
03/18/16, 0.02, 0.02, 0.02, 0.02, 0
03/17/16, 0.02, 0.02, 0.02, 0.02, 1000
03/16/16, 0.02, 0.02, 0.02, 0.02, 0
03/15/16, 0.02, 0.02, 0.02, 0.02, 0
03/14/16, 0.01, 0.02, 0.01, 0.02, 58018
03/11/16, 0.02, 0.02, 0.02, 0.02, 70001
03/10/16, 0.02, 0.02, 0.02, 0.02, 3000
03/09/16, 0.02, 0.02, 0.02, 0.02, 79348
03/08/16, 0.02, 0.02, 0.01, 0.01, 31000
03/07/16, 0.02, 0.02, 0.02, 0.02, 210145
03/04/16, 0.02, 0.02, 0.02, 0.02, 191000
03/03/16, 0.02, 0.02, 0.02, 0.02, 30000
03/02/16, 0.02, 0.02, 0.02, 0.02, 10000
03/01/16, 0.02, 0.02, 0.02, 0.02, 1500
02/29/16, 0.02, 0.02, 0.02, 0.02, 433000
02/26/16, 0.02, 0.02, 0.01, 0.02, 523000
02/25/16, 0.02, 0.02, 0.02, 0.02, 0
02/24/16, 0.02, 0.02, 0.02, 0.02, 0
02/23/16, 0.02, 0.02, 0.02, 0.02, 0
02/22/16, 0.02, 0.02, 0.02, 0.02, 0
02/19/16, 0.02, 0.02, 0.02, 0.02, 0
02/18/16, 0.02, 0.02, 0.02, 0.02, 20000
02/17/16, 0.02, 0.02, 0.02, 0.02, 120000
02/16/16, 0.02, 0.02, 0.02, 0.02, 0
02/12/16, 0.03, 0.03, 0.03, 0.03, 2100
02/11/16, 0.02, 0.02, 0.02, 0.02, 10000
02/10/16, 0.02, 0.02, 0.02, 0.02, 0
02/09/16, 0.02, 0.02, 0.02, 0.02, 0
02/08/16, 0.02, 0.02, 0.02, 0.02, 69400
02/05/16, 0.02, 0.02, 0.02, 0.02, 0
02/04/16, 0.02, 0.02, 0.02, 0.02, 0
02/03/16, 0.02, 0.02, 0.02, 0.02, 224000
02/02/16, 0.02, 0.02, 0.02, 0.02, 0
02/01/16, 0.02, 0.02, 0.02, 0.02, 0
01/29/16, 0.02, 0.02, 0.02, 0.02, 170000
01/28/16, 0.02, 0.02, 0.02, 0.02, 0
01/27/16, 0.02, 0.02, 0.02, 0.02, 500
01/26/16, 0.02, 0.02, 0.02, 0.02, 325200
01/25/16, 0.02, 0.02, 0.02, 0.02, 0
01/22/16, 0.02, 0.02, 0.02, 0.02, 0
01/21/16, 0.02, 0.02, 0.02, 0.02, 0
01/20/16, 0.02, 0.02, 0.02, 0.02, 0
01/19/16, 0.02, 0.02, 0.02, 0.02, 0
01/18/16, 0.02, 0.02, 0.02, 0.02, 10000
01/15/16, 0.02, 0.02, 0.02, 0.02, 225435
01/14/16, 0.02, 0.02, 0.02, 0.02, 0
01/13/16, 0.02, 0.02, 0.02, 0.02, 500
01/12/16, 0.02, 0.02, 0.02, 0.02, 1600
01/11/16, 0.02, 0.02, 0.02, 0.02, 1600
01/08/16, 0.02, 0.02, 0.02, 0.02, 0
01/07/16, 0.02, 0.02, 0.02, 0.02, 75000
01/06/16, 0.02, 0.02, 0.02, 0.02, 387500
01/05/16, 0.02, 0.02, 0.02, 0.02, 0
01/04/16, 0.02, 0.02, 0.02, 0.02, 12000
12/31/15, 0.02, 0.02, 0.02, 0.02, 3000
12/30/15, 0.02, 0.02, 0.02, 0.02, 3000
12/29/15, 0.02, 0.02, 0.02, 0.02, 69900
12/24/15, 0.02, 0.02, 0.02, 0.02, 10425
12/23/15, 0.02, 0.02, 0.02, 0.02, 49000
12/22/15, 0.02, 0.02, 0.02, 0.02, 31700
12/21/15, 0.02, 0.02, 0.02, 0.02, 5000
12/18/15, 0.02, 0.02, 0.02, 0.02, 233000
12/17/15, 0.02, 0.02, 0.02, 0.02, 20000
12/16/15, 0.02, 0.02, 0.02, 0.02, 0
12/15/15, 0.03, 0.03, 0.03, 0.03, 75000
12/14/15, 0.02, 0.02, 0.02, 0.02, 0
12/11/15, 0.02, 0.03, 0.02, 0.03, 40000
12/10/15, 0.02, 0.03, 0.02, 0.03, 217000
12/09/15, 0.02, 0.02, 0.02, 0.02, 3000
12/08/15, 0.02, 0.02, 0.02, 0.02, 150000
12/07/15, 0.02, 0.02, 0.02, 0.02, 10000
12/04/15, 0.02, 0.02, 0.02, 0.02, 0
12/03/15, 0.02, 0.02, 0.02, 0.02, 0
12/02/15, 0.02, 0.02, 0.02, 0.02, 23500
12/01/15, 0.02, 0.02, 0.02, 0.02, 178300
11/30/15, 0.02, 0.02, 0.02, 0.02, 4490
11/27/15, 0.02, 0.02, 0.02, 0.02, 4300
11/26/15, 0.02, 0.02, 0.02, 0.02, 0
11/25/15, 0.02, 0.02, 0.02, 0.02, 53000
11/24/15, 0.02, 0.02, 0.02, 0.02, 10000
11/23/15, 0.02, 0.02, 0.02, 0.02, 2000
11/20/15, 0.02, 0.02, 0.02, 0.02, 0
11/19/15, 0.02, 0.03, 0.02, 0.03, 149000
11/18/15, 0.02, 0.02, 0.02, 0.02, 0
11/17/15, 0.03, 0.03, 0.03, 0.03, 20000
11/16/15, 0.03, 0.03, 0.03, 0.03, 0
11/13/15, 0.03, 0.03, 0.03, 0.03, 69000
11/12/15, 0.03, 0.03, 0.03, 0.03, 0
11/11/15, 0.03, 0.03, 0.03, 0.03, 64500
11/10/15, 0.03, 0.03, 0.03, 0.03, 21500
11/09/15, 0.03, 0.04, 0.03, 0.04, 160000
11/06/15, 0.04, 0.04, 0.04, 0.04, 140000
11/05/15, 0.04, 0.04, 0.03, 0.04, 206000
11/04/15, 0.04, 0.04, 0.03, 0.03, 209500
11/03/15, 0.03, 0.04, 0.03, 0.04, 389000
11/02/15, 0.03, 0.03, 0.03, 0.03, 182000
10/30/15, 0.03, 0.03, 0.03, 0.03, 794000
10/29/15, 0.04, 0.04, 0.04, 0.04, 740560
10/28/15, 0.05, 0.05, 0.04, 0.04, 1018230
10/27/15, 0.04, 0.05, 0.04, 0.04, 1313000
10/26/15, 0.04, 0.04, 0.03, 0.03, 889387
10/23/15, 0.03, 0.05, 0.03, 0.04, 4785830
10/22/15, 0.02, 0.04, 0.02, 0.02, 2207974
10/21/15, 0.01, 0.01, 0.01, 0.01, 0
10/20/15, 0.01, 0.01, 0.01, 0.01, 0
10/19/15, 0.01, 0.01, 0.01, 0.01, 1000
10/16/15, 0.01, 0.01, 0.01, 0.01, 0
10/15/15, 0.01, 0.01, 0.01, 0.01, 1739
10/14/15, 0.01, 0.01, 0.01, 0.01, 625
10/13/15, 0.01, 0.01, 0.01, 0.01, 0
10/09/15, 0.01, 0.01, 0.01, 0.01, 500
10/08/15, 0.01, 0.01, 0.01, 0.01, 0
10/07/15, 0.01, 0.01, 0.01, 0.01, 0
10/06/15, 0.01, 0.01, 0.01, 0.01, 0
10/05/15, 0.01, 0.01, 0.01, 0.01, 0
10/02/15, 0.01, 0.01, 0.01, 0.01, 0
10/01/15, 0.01, 0.01, 0.01, 0.01, 0
09/30/15, 0.01, 0.01, 0.01, 0.01, 0
09/29/15, 0.01, 0.01, 0.01, 0.01, 0
09/28/15, 0.01, 0.01, 0.01, 0.01, 0
09/25/15, 0.01, 0.01, 0.01, 0.01, 0
09/24/15, 0.01, 0.01, 0.01, 0.01, 5000
09/23/15, 0.01, 0.01, 0.01, 0.01, 17971
09/22/15, 0.01, 0.01, 0.01, 0.01, 0
09/21/15, 0.02, 0.02, 0.02, 0.02, 30000
09/18/15, 0.01, 0.01, 0.01, 0.01, 0
09/17/15, 0.01, 0.01, 0.01, 0.01, 43000
09/16/15, 0.01, 0.01, 0.01, 0.01, 0
09/15/15, 0.01, 0.01, 0.01, 0.01, 0
09/14/15, 0.02, 0.02, 0.02, 0.02, 34000
09/11/15, 0.01, 0.01, 0.01, 0.01, 500
09/10/15, 0.01, 0.01, 0.01, 0.01, 0
09/09/15, 0.01, 0.01, 0.01, 0.01, 0
09/08/15, 0.01, 0.01, 0.01, 0.01, 0
09/04/15, 0.02, 0.02, 0.02, 0.02, 79000
09/03/15, 0.02, 0.02, 0.02, 0.02, 6000
09/02/15, 0.02, 0.02, 0.02, 0.02, 0
09/01/15, 0.02, 0.02, 0.02, 0.02, 0
08/31/15, 0.02, 0.02, 0.02, 0.02, 0
08/28/15, 0.02, 0.02, 0.02, 0.02, 15000
08/27/15, 0.02, 0.02, 0.02, 0.02, 5000
08/26/15, 0.02, 0.02, 0.02, 0.02, 0
08/25/15, 0.02, 0.02, 0.02, 0.02, 0
08/24/15, 0.02, 0.02, 0.02, 0.02, 0
08/21/15, 0.02, 0.02, 0.02, 0.02, 500
08/20/15, 0.02, 0.02, 0.02, 0.02, 100
08/19/15, 0.02, 0.02, 0.02, 0.02, 56000
08/18/15, 0.02, 0.02, 0.02, 0.02, 0
08/17/15, 0.02, 0.02, 0.02, 0.02, 213000
08/14/15, 0.02, 0.02, 0.02, 0.02, 326000
