Date, Open, High, Low, Close, Volume
03/31/16, 48116, 48116, 48116, 48116, 0
03/30/16, 48362, 48362, 48362, 48362, 0
03/29/16, 47501, 47501, 47501, 47501, 0
03/24/16, 47652, 47652, 47652, 47652, 0
03/23/16, 48262, 48262, 48262, 48262, 0
03/22/16, 48207, 48207, 48207, 48207, 0
03/21/16, 48147, 48147, 48147, 48147, 0
03/18/16, 48184, 48184, 48184, 48184, 0
03/17/16, 48191, 48191, 48191, 48191, 0
03/16/16, 48030, 48030, 48030, 48030, 0
03/15/16, 47767, 47767, 47767, 47767, 0
03/14/16, 47989, 47989, 47989, 47989, 0
03/11/16, 47727, 47727, 47727, 47727, 0
03/10/16, 47008, 47008, 47008, 47008, 0
03/09/16, 47828, 47828, 47828, 47828, 0
03/08/16, 47572, 47572, 47572, 47572, 0
03/07/16, 47996, 47996, 47996, 47996, 0
03/04/16, 48098, 48098, 48098, 48098, 0
03/03/16, 47548, 47548, 47548, 47548, 0
03/02/16, 47671, 47671, 47671, 47671, 0
03/01/16, 47672, 47672, 47672, 47672, 0
02/29/16, 47155, 47155, 47155, 47155, 0
02/26/16, 46961, 46961, 46961, 47281, 317
02/25/16, 46645, 46645, 46645, 46645, 0
02/24/16, 45387, 45387, 45387, 45387, 0
02/23/16, 46192, 46192, 46192, 46192, 0
02/22/16, 46783, 46783, 46783, 46783, 0
02/19/16, 46014, 46014, 46014, 46014, 0
02/18/16, 46382, 46382, 46382, 46302, 7
02/17/16, 46488, 46488, 46488, 46488, 0
02/16/16, 45207, 45207, 45207, 45207, 0
02/15/16, 45252, 45252, 45252, 45000, 7
02/12/16, 44065, 44065, 44065, 44065, 0
02/11/16, 42800, 42800, 42800, 42800, 0
02/10/16, 43717, 43717, 43717, 43717, 0
02/09/16, 43535, 43535, 43535, 43535, 0
02/08/16, 43920, 43920, 43920, 43920, 0
02/05/16, 45116, 45116, 45116, 45116, 0
02/04/16, 45530, 45530, 45530, 45530, 0
02/03/16, 45018, 45018, 45018, 45018, 0
02/02/16, 46068, 46068, 46068, 45609, 10
02/01/16, 46404, 46404, 46404, 46711, 10
01/29/16, 46696, 46696, 46696, 46696, 0
01/28/16, 45689, 45689, 45689, 45689, 0
01/27/16, 45991, 45991, 45991, 45991, 0
01/26/16, 45635, 45635, 45635, 45635, 0
01/25/16, 45292, 45292, 45292, 45292, 0
01/22/16, 45559, 45559, 45559, 45559, 0
01/21/16, 44448, 44448, 44448, 44448, 0
01/20/16, 43665, 43665, 43665, 43665, 0
01/19/16, 45246, 45246, 45246, 45246, 0
01/18/16, 44563, 44563, 44563, 44563, 0
01/15/16, 44649, 44649, 44649, 44649, 0
01/14/16, 45737, 45737, 45737, 45737, 0
01/13/16, 45851, 45851, 45851, 45851, 0
01/12/16, 45695, 45695, 45695, 45695, 0
01/11/16, 45352, 45352, 45352, 45352, 0
01/08/16, 45679, 45679, 45679, 45679, 0
01/07/16, 45842, 45842, 45842, 45842, 0
01/06/16, 46737, 46737, 46737, 46737, 0
01/05/16, 46836, 46836, 46836, 46836, 0
01/04/16, 46836, 46836, 46836, 46836, 0
12/31/15, 48422, 48422, 48422, 48422, 0
12/30/15, 48422, 48422, 48422, 48422, 0
12/29/15, 48553, 48553, 48553, 48553, 0
12/24/15, 48104, 48104, 48104, 48104, 0
12/23/15, 48104, 48104, 48104, 48104, 0
12/22/15, 46814, 46814, 46814, 46814, 0
12/21/15, 46634, 46634, 46634, 46634, 0
12/18/15, 46654, 46654, 46654, 46654, 0
12/17/15, 47128, 47128, 47128, 47128, 0
12/16/15, 46673, 46673, 46673, 46673, 0
12/15/15, 46390, 46390, 46390, 46390, 0
12/14/15, 45278, 45278, 45278, 45278, 0
12/11/15, 46943, 46943, 46943, 46943, 0
12/10/15, 46943, 46943, 46943, 46943, 0
12/09/15, 47263, 47263, 47263, 47263, 0
12/08/15, 47313, 47313, 47313, 47313, 0
