Date, Open, High, Low, Close, Volume
03/31/16, 47.40, 47.40, 47.20, 47.40, 8650
03/30/16, 48.21, 48.21, 48.21, 48.21, 0
03/29/16, 47.59, 48.12, 47.59, 47.94, 6936
03/24/16, 46.96, 46.96, 46.75, 46.75, 0
03/23/16, 47.54, 47.54, 47.46, 47.46, 0
03/22/16, 47.28, 47.47, 47.28, 47.47, 0
03/21/16, 46.92, 46.92, 46.92, 46.92, 0
03/18/16, 46.45, 46.86, 46.45, 46.86, 0
03/17/16, 47.05, 47.05, 46.91, 46.91, 0
03/16/16, 47.31, 47.40, 47.31, 47.40, 0
03/15/16, 47.48, 47.48, 47.19, 47.19, 0
03/14/16, 48.04, 48.09, 48.04, 48.09, 0
03/11/16, 47.92, 47.92, 47.92, 47.92, 0
03/10/16, 46.49, 46.49, 46.49, 46.49, 0
03/09/16, 46.64, 46.64, 46.64, 46.64, 0
03/08/16, 46.67, 46.67, 46.56, 46.56, 0
03/07/16, 47.44, 47.44, 47.29, 47.29, 0
03/04/16, 47.83, 48.04, 47.83, 48.04, 0
03/03/16, 47.52, 47.52, 47.20, 47.20, 0
03/02/16, 47.04, 47.10, 47.04, 47.10, 0
03/01/16, 45.51, 46.23, 45.51, 46.23, 0
02/29/16, 45.47, 45.47, 45.47, 45.47, 0
02/26/16, 46.18, 46.53, 46.18, 46.53, 0
02/25/16, 45.29, 45.29, 45.29, 45.29, 0
02/24/16, 44.96, 44.96, 43.57, 43.57, 0
02/23/16, 44.38, 44.38, 44.38, 44.38, 0
02/22/16, 45.38, 45.61, 45.38, 45.61, 0
02/19/16, 44.55, 44.55, 44.55, 44.55, 0
02/18/16, 45.69, 45.69, 45.43, 45.43, 0
02/17/16, 44.26, 45.68, 44.26, 45.68, 0
02/16/16, 44.47, 44.47, 44.47, 44.47, 0
02/15/16, 44.66, 44.66, 44.66, 44.66, 0
02/12/16, 41.75, 42.38, 41.67, 42.38, 117
02/11/16, 42.24, 42.24, 42.24, 42.24, 0
