Date, Open, High, Low, Close, Volume
03/31/16, 595, 610, 595, 610, 1520700
03/30/16, 585, 595, 585, 595, 2488000
03/29/16, 595, 600, 585, 585, 1777700
03/28/16, 600, 600, 590, 590, 3442700
03/24/16, 600, 600, 595, 595, 1524500
03/23/16, 605, 605, 605, 605, 90100
03/22/16, 605, 605, 600, 605, 2074100
03/21/16, 610, 615, 605, 605, 2150500
03/18/16, 610, 615, 610, 610, 2669700
03/17/16, 600, 610, 600, 610, 1193800
03/16/16, 600, 600, 595, 600, 1705100
03/15/16, 610, 610, 600, 600, 2227100
03/14/16, 600, 610, 600, 610, 1519900
03/11/16, 600, 605, 590, 595, 2566000
03/10/16, 615, 615, 600, 600, 1896600
03/08/16, 610, 615, 610, 615, 1413300
03/07/16, 610, 615, 610, 610, 2495500
03/04/16, 615, 615, 610, 610, 2019900
03/03/16, 615, 620, 615, 615, 2006500
03/02/16, 605, 620, 605, 615, 1980600
03/01/16, 600, 605, 600, 605, 1398800
02/29/16, 595, 605, 595, 605, 2026600
02/26/16, 595, 605, 595, 600, 3690800
02/25/16, 575, 590, 575, 590, 2781300
02/24/16, 625, 625, 461, 575, 3213200
02/23/16, 535, 535, 505, 505, 1100
02/22/16, 535, 535, 482, 535, 4800
02/19/16, 550, 550, 535, 535, 22900
02/18/16, 575, 575, 550, 550, 5100
02/17/16, 580, 580, 570, 570, 6600
02/16/16, 600, 600, 580, 580, 300
02/15/16, 595, 610, 595, 595, 3300
02/12/16, 605, 605, 605, 605, 100
02/11/16, 615, 615, 600, 615, 5900
02/10/16, 620, 620, 615, 615, 1400
02/09/16, 625, 625, 615, 615, 200
02/05/16, 620, 625, 620, 625, 1998600
02/04/16, 615, 615, 615, 615, 1231000
02/03/16, 620, 620, 610, 610, 1038100
02/02/16, 630, 630, 625, 625, 1681600
02/01/16, 645, 645, 630, 630, 2096100
01/29/16, 650, 650, 640, 640, 1896000
01/28/16, 645, 650, 645, 650, 2360100
01/27/16, 655, 655, 650, 650, 1719800
01/26/16, 650, 650, 645, 645, 3600200
01/25/16, 635, 650, 635, 650, 2985100
01/22/16, 625, 640, 620, 635, 5613800
01/21/16, 635, 635, 600, 620, 315000
01/20/16, 650, 655, 640, 640, 2476100
01/19/16, 655, 660, 650, 650, 2714600
01/18/16, 650, 660, 650, 655, 1610000
01/15/16, 660, 665, 660, 665, 2732500
01/14/16, 660, 660, 655, 660, 2789000
01/13/16, 665, 670, 665, 670, 2976500
01/12/16, 655, 665, 650, 660, 2901500
01/11/16, 680, 680, 655, 655, 2928000
01/08/16, 695, 695, 685, 685, 1723200
01/07/16, 710, 715, 700, 700, 2251300
01/06/16, 705, 720, 705, 720, 2410600
01/05/16, 700, 715, 700, 705, 3165500
01/04/16, 705, 705, 700, 700, 1942000
12/30/15, 700, 715, 700, 715, 2738200
12/29/15, 695, 705, 695, 700, 2121800
12/28/15, 695, 700, 690, 695, 2966600
12/23/15, 700, 700, 695, 695, 2038700
12/22/15, 690, 700, 690, 700, 2342600
12/21/15, 690, 690, 680, 690, 2295100
12/18/15, 705, 705, 695, 695, 2002500
12/17/15, 695, 705, 695, 705, 3551300
12/16/15, 685, 695, 685, 695, 2630900
12/15/15, 680, 685, 680, 685, 2208500
12/14/15, 680, 685, 680, 680, 2475300
12/11/15, 685, 690, 685, 685, 1728400
12/10/15, 690, 695, 685, 685, 2250800
12/08/15, 695, 695, 685, 690, 2196500
12/07/15, 690, 700, 690, 695, 1837900
12/04/15, 695, 695, 680, 690, 1735900
12/03/15, 705, 705, 690, 695, 1472600
12/02/15, 705, 710, 705, 705, 1718000
12/01/15, 705, 710, 705, 705, 875100
11/30/15, 705, 705, 705, 705, 360800
11/27/15, 705, 705, 705, 705, 353600
11/26/15, 700, 710, 700, 710, 565900
11/25/15, 705, 710, 705, 710, 763200
11/24/15, 690, 705, 685, 705, 2372300
11/23/15, 685, 690, 685, 690, 584400
11/20/15, 685, 690, 670, 685, 410500
11/19/15, 700, 700, 690, 690, 1058200
11/18/15, 695, 700, 690, 695, 1520000
11/17/15, 695, 700, 695, 695, 538700
