Date, Open, High, Low, Close, Volume
03/31/16, 37100, 37285, 36188, 36188, 332632
03/30/16, 36500, 37471, 35937, 36912, 288342
03/29/16, 37041, 37499, 34232, 35200, 446104
03/24/16, 35950, 36790, 34815, 36596, 481933
03/23/16, 37599, 38699, 35854, 35950, 479133
03/22/16, 38200, 39000, 37000, 38975, 336365
03/18/16, 39300, 39480, 37846, 37846, 886570
03/17/16, 38999, 39999, 38210, 39100, 886570
03/16/16, 37347, 38400, 36860, 37640, 258011
03/15/16, 37500, 38000, 36501, 37347, 450284
03/14/16, 39411, 40200, 36680, 37997, 408576
03/11/16, 38200, 39216, 37211, 39146, 492559
03/10/16, 36605, 39242, 36583, 37771, 407411
03/09/16, 38450, 39499, 37000, 37000, 619971
03/08/16, 42160, 42160, 38129, 38515, 852072
03/07/16, 38056, 45870, 38056, 41529, 914618
03/04/16, 36500, 39450, 36500, 38600, 910895
03/03/16, 33700, 37000, 33700, 36500, 821857
03/02/16, 33900, 34610, 32800, 34100, 689450
03/01/16, 33600, 34798, 32935, 33676, 518863
02/29/16, 32459, 34498, 30790, 32739, 533984
02/26/16, 30500, 31939, 30373, 31939, 377740
02/25/16, 31000, 31900, 29103, 30553, 483178
02/24/16, 29000, 30799, 28600, 30600, 476123
02/23/16, 28150, 30690, 28150, 30459, 325417
02/22/16, 30499, 30499, 28120, 29490, 360009
02/19/16, 30443, 30443, 28871, 29612, 451863
02/18/16, 31000, 31000, 28040, 28871, 480982
02/17/16, 30599, 31000, 30015, 30432, 374884
02/16/16, 29800, 30894, 28800, 30600, 299571
02/15/16, 31500, 31999, 29057, 29573, 415859
02/12/16, 29705, 31506, 28419, 31506, 417907
02/11/16, 27309, 28409, 27309, 28409, 920465
02/10/16, 29500, 29888, 27000, 27290, 447088
02/09/16, 30000, 31224, 29000, 29200, 1563895
02/08/16, 26700, 30800, 26700, 30000, 929260
02/05/16, 27390, 28696, 26381, 26973, 1129365
02/04/16, 23600, 27394, 23416, 27394, 1506191
02/03/16, 22401, 23116, 22142, 22900, 772420
02/02/16, 22800, 23100, 22446, 22850, 553876
02/01/16, 23500, 23600, 22375, 23100, 382703
01/29/16, 21999, 23141, 21527, 23141, 867278
01/28/16, 20116, 22397, 20116, 21574, 810528
01/27/16, 21002, 22456, 20000, 20000, 457769
01/26/16, 18476, 20931, 18420, 20931, 920727
01/25/16, 18515, 19491, 18326, 18649, 389178
01/22/16, 19000, 19762, 18847, 19205, 451091
01/21/16, 17672, 18698, 17195, 18303, 267065
01/20/16, 18401, 18674, 17701, 17780, 611856
01/19/16, 18061, 19800, 18061, 19017, 607106
01/18/16, 17300, 18389, 17127, 17900, 360653
01/15/16, 18300, 19100, 17253, 17500, 562222
01/14/16, 18001, 18708, 17412, 18300, 942087
01/13/16, 18949, 18949, 17551, 18146, 530574
01/12/16, 18740, 19083, 17280, 18552, 479893
01/11/16, 16636, 18947, 16401, 18787, 443866
01/08/16, 17101, 17349, 16200, 16650, 511622
01/07/16, 17880, 17880, 15646, 16681, 833241
01/06/16, 18255, 18699, 17310, 17897, 447118
01/05/16, 17100, 18735, 17009, 18347, 337966
01/04/16, 17991, 18499, 16300, 17300, 407394
12/31/15, 18119, 18800, 17656, 18534, 93119
12/30/15, 19110, 19400, 18029, 18119, 232534
12/29/15, 19040, 19575, 18580, 19072, 226302
12/28/15, 20149, 20149, 18298, 18975, 202438
12/24/15, 19557, 20150, 19500, 19986, 326202
12/23/15, 17445, 19597, 17341, 19220, 326202
12/22/15, 16799, 17385, 16644, 17365, 248148
12/21/15, 16650, 17494, 16256, 16508, 336303
12/18/15, 16651, 17226, 16101, 16512, 502844
12/17/15, 16848, 18300, 16434, 16600, 1091841
12/15/15, 17300, 17300, 16551, 16700, 382200
12/14/15, 17898, 17898, 16500, 17300, 376200
12/11/15, 17601, 18197, 16966, 17577, 1072318
12/10/15, 16800, 18296, 15905, 17733, 583195
12/09/15, 17299, 17700, 16506, 17050, 597435
12/08/15, 18051, 18647, 16370, 17074, 589351
12/07/15, 19000, 19400, 17920, 18386, 388047
12/04/15, 18200, 18948, 17055, 18000, 566033
12/03/15, 19097, 19696, 17893, 18348, 1063686
12/02/15, 19890, 20297, 18559, 19000, 302812
12/01/15, 19951, 20997, 19290, 19732, 392425
11/30/15, 19597, 20747, 19527, 20000, 782559
11/27/15, 20749, 20749, 19554, 20243, 535286
11/26/15, 20160, 20781, 19701, 20700, 258797
11/25/15, 19800, 20598, 19401, 19903, 709103
11/24/15, 20700, 21008, 19566, 19812, 1013182
11/23/15, 20396, 21890, 19501, 21000, 559850
11/20/15, 20780, 21383, 20165, 20935, 672295
11/19/15, 18760, 20895, 18760, 20791, 980054
11/18/15, 18199, 19342, 18004, 18500, 594410
11/17/15, 19748, 20206, 18021, 18276, 405783
11/16/15, 20789, 20800, 19500, 19887, 319226
11/13/15, 20200, 20767, 20025, 20177, 435074
11/12/15, 20678, 20794, 20001, 20490, 654389
11/11/15, 21000, 21000, 20200, 20678, 428938
11/10/15, 21676, 21676, 20264, 20575, 503295
11/09/15, 22206, 23587, 21097, 21495, 639918
11/06/15, 24160, 24187, 21610, 22693, 986601
11/05/15, 24850, 25080, 23288, 23893, 481907
11/04/15, 25479, 25894, 24360, 24850, 686508
11/03/15, 24389, 25743, 23735, 24500, 455706
11/02/15, 24271, 24949, 23201, 23733, 323681
10/30/15, 24499, 25300, 23800, 24271, 554092
10/29/15, 26200, 26228, 23730, 24117, 615973
10/28/15, 26000, 26977, 24800, 26200, 326862
10/27/15, 26460, 26460, 24534, 25916, 307700
10/26/15, 27018, 27651, 25581, 26341, 349420
10/23/15, 27366, 28509, 26255, 26877, 331158
10/22/15, 26499, 28292, 25833, 27397, 329099
10/21/15, 27487, 27886, 25508, 25996, 304404
10/20/15, 27500, 28000, 26405, 27365, 255962
10/19/15, 27535, 28987, 27500, 28000, 285015
10/16/15, 29704, 29788, 28081, 28251, 299711
10/15/15, 27800, 29300, 27500, 29100, 571724
10/14/15, 27156, 27799, 26553, 27208, 362708
10/13/15, 27426, 28299, 25900, 27156, 500630
10/12/15, 28580, 29955, 27000, 27426, 576466
10/09/15, 27750, 28586, 27004, 28105, 331591
10/08/15, 26808, 27180, 25300, 26626, 501544
10/07/15, 27640, 29050, 25900, 26686, 818282
10/06/15, 26360, 27400, 26001, 27235, 414005
10/05/15, 24480, 26240, 23600, 25827, 566429
10/02/15, 24887, 24899, 22750, 24260, 494395
10/01/15, 23213, 24995, 23199, 24458, 618751
09/30/15, 24065, 24487, 22115, 22908, 550944
09/29/15, 23300, 23987, 22565, 23591, 491627
09/28/15, 25576, 25900, 23063, 23553, 466555
09/25/15, 26182, 26949, 25224, 25325, 561015
09/23/15, 26515, 26800, 25700, 26150, 458002
09/22/15, 29297, 29569, 26500, 26670, 425218
09/21/15, 28990, 29777, 28768, 29086, 254276
09/18/15, 30000, 30079, 28255, 29201, 451788
09/17/15, 30344, 32300, 29653, 29780, 487745
09/16/15, 29912, 30323, 29500, 30128, 276167
09/15/15, 29752, 30370, 29310, 29978, 282006
09/14/15, 29700, 30150, 29221, 30038, 439938
09/11/15, 30682, 31042, 29187, 29767, 398767
09/10/15, 32658, 33317, 29895, 30508, 526743
09/09/15, 33000, 34040, 31078, 32342, 813993
09/08/15, 31202, 32200, 30916, 31400, 586119
09/07/15, 32305, 33500, 31137, 31200, 371885
09/04/15, 35399, 35399, 32104, 32250, 408989
09/03/15, 31956, 35100, 31299, 35100, 522867
09/02/15, 31527, 32328, 31092, 32119, 309804
09/01/15, 31840, 32524, 31253, 31253, 439330
08/31/15, 32199, 32464, 30920, 32019, 338168
08/28/15, 31121, 32720, 30463, 32330, 524584
08/27/15, 32071, 32097, 30406, 30800, 455540
08/26/15, 30768, 32724, 30636, 31200, 350520
08/25/15, 31100, 32888, 29873, 30757, 455227
08/24/15, 31272, 33000, 29870, 31342, 726515
08/21/15, 34300, 35900, 32357, 32828, 1586490
08/20/15, 33395, 32111, 32111, 32111, 288258
08/19/15, 27995, 29500, 27728, 29400, 594158
08/18/15, 28108, 28599, 27570, 28373, 301251
08/17/15, 27824, 29465, 27285, 28006, 495494
08/14/15, 28128, 29898, 27678, 27833, 545200
08/13/15, 29662, 29662, 28090, 28215, 445256
08/12/15, 27979, 29792, 27001, 29575, 619125
08/11/15, 28395, 29327, 27280, 28491, 538921
08/07/15, 26205, 27578, 26059, 27142, 405454
08/06/15, 26486, 27009, 25555, 26300, 339995
08/05/15, 25799, 27150, 25558, 26617, 249792
08/04/15, 25878, 26010, 25243, 25880, 277592
08/03/15, 25736, 26496, 25655, 25942, 346772
07/31/15, 25726, 26526, 25464, 26337, 335292
07/30/15, 25225, 25950, 25030, 25800, 1085456
07/29/15, 25730, 26251, 25189, 25300, 456915
07/28/15, 25407, 26288, 25187, 25694, 195786
07/27/15, 25629, 26210, 25164, 25386, 173637
07/24/15, 25813, 25895, 24600, 25613, 220108
07/23/15, 25769, 26377, 25451, 25931, 287648
07/22/15, 25900, 26096, 25483, 25874, 356116
07/21/15, 25949, 26836, 25695, 26067, 286619
07/20/15, 26785, 26785, 25295, 25949, 512045
07/17/15, 27500, 27697, 26583, 26901, 454238
07/16/15, 26500, 27450, 25862, 27290, 674446
07/15/15, 25800, 27111, 25800, 26378, 361805
07/14/15, 25310, 26076, 24779, 25776, 298562
07/13/15, 26190, 26462, 25053, 25294, 460899
07/10/15, 25300, 26046, 24799, 25000, 345512
07/09/15, 25100, 26042, 25100, 25312, 365513
07/08/15, 24800, 25350, 24500, 24874, 268462
07/07/15, 26118, 26572, 24746, 25411, 400314
07/06/15, 25605, 27249, 25605, 26400, 235278
07/03/15, 26567, 27037, 26400, 26690, 168473
07/02/15, 26690, 27399, 26304, 26508, 274645
07/01/15, 27456, 27997, 26515, 26681, 344911
06/30/15, 27995, 28099, 26720, 27422, 234693
06/29/15, 27999, 28294, 27700, 27850, 240019
06/26/15, 28700, 28700, 28000, 28200, 248788
06/25/15, 28500, 29350, 28350, 28500, 173666
