Date, Open, High, Low, Close, Volume
03/31/16, 109.72, 109.90, 108.88, 108.99, 25888449
03/30/16, 108.65, 110.42, 108.60, 109.56, 45601149
03/29/16, 104.89, 107.79, 104.88, 107.68, 31190083
03/28/16, 106.00, 106.19, 105.06, 105.19, 19411372
03/24/16, 105.47, 106.25, 104.89, 105.67, 26132955
03/23/16, 106.48, 107.07, 105.90, 106.13, 25703495
03/22/16, 105.25, 107.29, 105.21, 106.72, 32444375
03/21/16, 105.93, 107.65, 105.1401, 105.91, 35502678
03/18/16, 106.34, 106.50, 105.19, 105.92, 44205171
03/17/16, 105.52, 106.47, 104.96, 105.80, 34420705
03/16/16, 104.61, 106.31, 104.59, 105.97, 38303493
03/15/16, 103.96, 105.18, 103.85, 104.58, 40067734
03/14/16, 101.91, 102.91, 101.78, 102.52, 25076062
03/11/16, 102.24, 102.28, 101.50, 102.26, 27408237
03/10/16, 101.41, 102.24, 100.15, 101.17, 33513577
03/09/16, 101.31, 101.58, 100.27, 101.12, 27201683
03/08/16, 100.78, 101.76, 100.40, 101.03, 31561889
03/07/16, 102.39, 102.83, 100.96, 101.87, 35915810
03/04/16, 102.37, 103.75, 101.37, 103.01, 46055100
03/03/16, 100.58, 101.7099, 100.45, 101.50, 36955742
03/02/16, 100.51, 100.89, 99.64, 100.75, 33169560
03/01/16, 97.65, 100.77, 97.42, 100.53, 50407147
02/29/16, 96.86, 98.23, 96.65, 96.69, 35216277
02/26/16, 97.20, 98.0237, 96.58, 96.91, 28991131
02/25/16, 96.05, 96.76, 95.25, 96.76, 27582659
02/24/16, 93.98, 96.38, 93.32, 96.10, 36255745
02/23/16, 96.40, 96.50, 94.55, 94.69, 31942633
02/22/16, 96.31, 96.90, 95.92, 96.88, 34280758
02/19/16, 96.00, 96.7599, 95.80, 96.04, 35374173
02/18/16, 98.84, 98.89, 96.091, 96.26, 39020983
02/17/16, 96.67, 98.21, 96.15, 98.12, 44863243
02/16/16, 95.02, 96.85, 94.61, 96.64, 49057916
02/12/16, 94.19, 94.50, 93.01, 93.99, 40351381
02/11/16, 93.79, 94.72, 92.59, 93.70, 50074711
02/10/16, 95.92, 96.35, 94.10, 94.27, 42343601
02/09/16, 94.29, 95.94, 93.93, 94.99, 44331195
02/08/16, 93.13, 95.70, 93.04, 95.01, 54021375
02/05/16, 96.52, 96.92, 93.69, 94.02, 46418064
02/04/16, 95.86, 97.33, 95.19, 96.60, 46471652
02/03/16, 95.00, 96.84, 94.08, 96.35, 45964294
02/02/16, 95.42, 96.04, 94.28, 94.48, 37357215
02/01/16, 96.47, 96.71, 95.40, 96.43, 40943541
01/29/16, 94.79, 97.34, 94.35, 97.34, 64416504
01/28/16, 93.79, 94.52, 92.39, 94.09, 55678825
01/27/16, 96.04, 96.6289, 93.34, 93.42, 133369674
01/26/16, 99.93, 100.88, 98.07, 99.99, 75077002
01/25/16, 101.52, 101.53, 99.21, 99.44, 51794525
01/22/16, 98.63, 101.46, 98.37, 101.42, 65800467
01/21/16, 97.06, 97.88, 94.94, 96.30, 52161463
01/20/16, 95.10, 98.1897, 93.42, 96.79, 72334416
01/19/16, 98.41, 98.65, 95.50, 96.66, 53087747
01/15/16, 96.20, 97.71, 95.36, 97.13, 79833891
01/14/16, 97.96, 100.48, 95.74, 99.52, 63170127
01/13/16, 100.32, 101.19, 97.30, 97.39, 62439631
01/12/16, 100.55, 100.69, 98.8399, 99.96, 49154227
01/11/16, 98.97, 99.06, 97.34, 98.53, 49739377
01/08/16, 98.55, 99.11, 96.76, 96.96, 70798016
01/07/16, 98.68, 100.13, 96.43, 96.45, 81094428
01/06/16, 100.56, 102.37, 99.87, 100.70, 68457388
01/05/16, 105.75, 105.85, 102.41, 102.71, 55790992
01/04/16, 102.61, 105.368, 102.00, 105.35, 67649387
12/31/15, 107.01, 107.03, 104.82, 105.26, 40912316
12/30/15, 108.58, 108.70, 107.18, 107.32, 25213777
12/29/15, 106.96, 109.43, 106.86, 108.74, 30931243
12/28/15, 107.59, 107.69, 106.1807, 106.82, 26704210
12/24/15, 109.00, 109.00, 107.95, 108.03, 13596680
12/23/15, 107.27, 108.85, 107.20, 108.61, 32657354
12/22/15, 107.40, 107.72, 106.451, 107.23, 32789367
12/21/15, 107.28, 107.37, 105.57, 107.33, 47590610
12/18/15, 108.91, 109.52, 105.81, 106.03, 96453327
12/17/15, 112.02, 112.25, 108.98, 108.98, 44772827
12/16/15, 111.07, 111.99, 108.80, 111.34, 56238467
12/15/15, 111.935, 112.80, 110.35, 110.49, 53323105
12/14/15, 112.18, 112.68, 109.79, 112.48, 65003609
12/11/15, 115.19, 115.39, 112.851, 113.18, 46886161
12/10/15, 116.04, 116.94, 115.51, 116.17, 29212727
12/09/15, 115.30, 117.69, 115.08, 115.62, 46361357
12/08/15, 117.52, 118.60, 116.86, 118.23, 34309450
12/07/15, 118.315, 119.86, 117.81, 118.28, 32084249
12/04/15, 115.29, 119.25, 115.11, 119.03, 57776977
12/03/15, 115.245, 116.79, 114.22, 115.20, 41569509
12/02/15, 117.34, 118.11, 116.08, 116.28, 33386563
12/01/15, 118.75, 118.81, 116.86, 117.34, 34852374
11/30/15, 118.49, 119.41, 117.75, 118.30, 39180322
11/27/15, 118.29, 118.41, 117.60, 117.81, 13046445
11/25/15, 119.21, 119.23, 117.92, 118.03, 21388308
11/24/15, 117.33, 119.35, 117.12, 118.88, 42803172
11/23/15, 119.27, 119.73, 117.34, 117.75, 32482528
11/20/15, 119.20, 119.92, 118.85, 119.30, 34287096
11/19/15, 117.64, 119.75, 116.76, 118.78, 43295820
11/18/15, 115.76, 117.49, 115.50, 117.29, 46674697
11/17/15, 114.92, 115.05, 113.32, 113.69, 27616939
11/16/15, 111.38, 114.24, 111.00, 114.175, 38106701
11/13/15, 115.20, 115.57, 112.27, 112.34, 45812403
11/12/15, 116.26, 116.82, 115.65, 115.72, 32525579
11/11/15, 116.37, 117.42, 115.21, 116.11, 45217971
11/10/15, 116.90, 118.07, 116.061, 116.77, 59127931
11/09/15, 120.96, 121.81, 120.05, 120.57, 33871405
11/06/15, 121.08, 121.81, 120.62, 121.06, 33042283
11/05/15, 121.85, 122.69, 120.18, 120.92, 39552680
11/04/15, 122.555, 123.82, 121.62, 122.00, 44886050
11/03/15, 120.79, 123.49, 120.70, 122.57, 45518976
11/02/15, 120.795, 121.36, 119.61, 121.18, 32203267
10/30/15, 120.99, 121.22, 119.45, 119.50, 49365254
10/29/15, 118.70, 120.69, 118.27, 120.53, 51227334
10/28/15, 117.5801, 119.30, 116.06, 119.27, 85551352
10/27/15, 115.40, 116.54, 113.99, 114.55, 69884400
10/26/15, 118.08, 118.13, 114.92, 115.28, 66333781
10/23/15, 118.77, 119.228, 116.33, 119.08, 59366914
10/22/15, 114.33, 115.50, 114.10, 115.50, 41654089
10/21/15, 114.00, 115.58, 113.70, 113.76, 42326974
10/20/15, 111.34, 114.17, 110.82, 113.77, 48967763
10/19/15, 110.80, 111.75, 110.11, 111.73, 29759153
10/16/15, 111.78, 112.00, 110.53, 111.04, 39232609
10/15/15, 110.93, 112.10, 110.49, 111.86, 37673452
10/14/15, 111.29, 111.52, 109.56, 110.21, 44462449
10/13/15, 110.82, 112.45, 110.68, 111.79, 33049256
10/12/15, 112.73, 112.75, 111.44, 111.60, 30467204
10/09/15, 111.635, 112.28, 109.49, 112.12, 52766140
10/08/15, 110.06, 110.19, 108.21, 109.50, 61979577
10/07/15, 110.47, 111.77, 109.41, 110.78, 46765550
10/06/15, 110.63, 111.74, 109.765, 111.31, 48856977
10/05/15, 110.085, 111.3698, 109.07, 110.78, 52064743
10/02/15, 108.01, 111.0136, 107.55, 110.38, 58019758
10/01/15, 109.07, 109.62, 107.31, 109.58, 63929100
09/30/15, 110.17, 111.54, 108.73, 110.30, 66473033
09/29/15, 112.83, 113.51, 107.86, 109.06, 73365384
09/28/15, 113.85, 114.57, 112.44, 112.44, 52109011
09/25/15, 116.44, 116.69, 114.02, 114.71, 56151926
09/24/15, 113.25, 115.50, 112.37, 115.00, 50219475
09/23/15, 113.63, 114.72, 113.30, 114.32, 35756716
09/22/15, 113.38, 114.18, 112.5201, 113.40, 50346159
09/21/15, 113.67, 115.37, 113.66, 115.21, 50221965
09/18/15, 112.21, 114.30, 111.87, 113.45, 74285291
09/17/15, 115.66, 116.49, 113.715, 113.92, 64112641
09/16/15, 116.25, 116.54, 115.44, 116.41, 37173489
09/15/15, 115.93, 116.53, 114.42, 116.28, 43341155
09/14/15, 116.58, 116.89, 114.86, 115.31, 58363431
09/11/15, 111.79, 114.21, 111.76, 114.21, 49915473
09/10/15, 110.27, 113.2825, 109.90, 112.57, 62892831
09/09/15, 113.76, 114.02, 109.77, 110.15, 85010804
09/08/15, 111.75, 112.56, 110.32, 112.31, 54843626
09/04/15, 108.97, 110.45, 108.51, 109.27, 49996311
09/03/15, 112.49, 112.78, 110.04, 110.37, 53233940
09/02/15, 110.23, 112.34, 109.131, 112.34, 61888812
09/01/15, 110.15, 111.88, 107.36, 107.72, 76845860
08/31/15, 112.03, 114.53, 112.00, 112.76, 56229271
08/28/15, 112.17, 113.31, 111.54, 113.29, 53164407
08/27/15, 112.23, 113.24, 110.02, 112.92, 84616056
08/26/15, 107.085, 109.89, 105.05, 109.69, 96774611
08/25/15, 111.11, 111.11, 103.50, 103.74, 103601599
08/24/15, 94.87, 108.80, 92.00, 103.12, 162206292
08/21/15, 110.43, 111.90, 105.645, 105.76, 128275471
08/20/15, 114.08, 114.35, 111.63, 112.65, 68501622
08/19/15, 116.10, 116.52, 114.68, 115.01, 48286510
08/18/15, 116.43, 117.44, 116.01, 116.50, 34560708
