Date, Open, High, Low, Close, Volume
03/31/16, 0.013, 0.013, 0.013, 0.013, 430230
03/30/16, 0.013, 0.013, 0.013, 0.013, 3714140
03/29/16, 0.014, 0.014, 0.014, 0.014, 1337118
03/24/16, 0.013, 0.015, 0.013, 0.014, 3559786
03/23/16, 0.013, 0.013, 0.013, 0.013, 2989769
03/22/16, 0.013, 0.013, 0.013, 0.013, 0
03/21/16, 0.014, 0.014, 0.013, 0.013, 3629004
03/18/16, 0.014, 0.014, 0.014, 0.014, 56400
03/17/16, 0.014, 0.014, 0.014, 0.014, 2088085
03/16/16, 0.015, 0.016, 0.014, 0.014, 1192689
03/15/16, 0.015, 0.015, 0.015, 0.015, 4278263.79310345
03/14/16, 0.015, 0.015, 0.015, 0.015, 1141587.93103448
03/11/16, 0.015, 0.015, 0.015, 0.015, 8300612.06896552
03/10/16, 0.015, 0.015, 0.015, 0.015, 997571.379310345
03/09/16, 0.015, 0.015, 0.015, 0.015, 4719394.13793104
03/08/16, 0.015, 0.015, 0.015, 0.015, 336206.896551724
03/07/16, 0.015, 0.015, 0.014, 0.014, 7909083.10344828
03/04/16, 0.015, 0.015, 0.013, 0.015, 8693442.4137931
03/03/16, 0.016, 0.016, 0.015, 0.015, 4823953.44827586
03/02/16, 0.016, 0.016, 0.015, 0.015, 1805717.5862069
03/01/16, 0.016, 0.017, 0.015, 0.015, 7879552.75862069
02/29/16, 0.015, 0.016, 0.015, 0.016, 9269781.72413793
02/26/16, 0.016, 0.016, 0.015, 0.015, 5448578.27586207
02/25/16, 0.018, 0.019, 0.015, 0.016, 37241689.6551724
02/24/16, 0.018, 0.019, 0.015, 0.015, 32726582.0689655
02/23/16, 0.009, 0.021, 0.009, 0.017, 149072891.37931
02/22/16, 0.011, 0.011, 0.01, 0.01, 3722406.20689655
02/19/16, 0.01, 0.01, 0.01, 0.01, 1041771.72413793
02/18/16, 0.01, 0.01, 0.01, 0.01, 373618.965517241
02/17/16, 0.011, 0.011, 0.011, 0.011, 5335029.31034483
02/16/16, 0.008, 0.01, 0.007, 0.01, 4982855.17241379
02/15/16, 0.007, 0.007, 0.007, 0.007, 310344.827586207
02/12/16, 0.007, 0.007, 0.007, 0.007, 103448.275862069
02/11/16, 0.007, 0.007, 0.007, 0.007, 412241.379310345
02/10/16, 0.008, 0.008, 0.008, 0.008, 124137.931034483
02/09/16, 0.008, 0.008, 0.008, 0.008, 51724.1379310345
02/08/16, 0.007, 0.007, 0.007, 0.007, 294614.482758621
02/05/16, 0.007, 0.007, 0.007, 0.007, 0
02/04/16, 0.007, 0.007, 0.007, 0.007, 0
02/03/16, 0.007, 0.007, 0.007, 0.007, 712805.172413793
02/02/16, 0.008, 0.008, 0.007, 0.007, 739091.379310345
02/01/16, 0.007, 0.007, 0.007, 0.007, 0
01/29/16, 0.007, 0.007, 0.007, 0.007, 129310.344827586
01/28/16, 0.007, 0.007, 0.007, 0.007, 1241379.31034483
01/27/16, 0.007, 0.007, 0.007, 0.007, 0
01/25/16, 0.007, 0.007, 0.007, 0.007, 884012.068965517
01/22/16, 0.007, 0.007, 0.007, 0.007, 0
01/21/16, 0.007, 0.007, 0.007, 0.007, 0
01/20/16, 0.007, 0.007, 0.007, 0.007, 9310.34482758621
01/19/16, 0.007, 0.007, 0.007, 0.007, 0
01/18/16, 0.007, 0.007, 0.007, 0.007, 412241.379310345
01/15/16, 0.007, 0.007, 0.007, 0.007, 173019.310344828
01/14/16, 0.008, 0.008, 0.008, 0.008, 129310.344827586
01/13/16, 0.008, 0.008, 0.008, 0.008, 1724393.79310345
01/12/16, 0.008, 0.008, 0.008, 0.008, 103448.275862069
01/11/16, 0.007, 0.008, 0.007, 0.008, 367330.344827586
01/08/16, 0.007, 0.007, 0.007, 0.007, 0
01/07/16, 0.008, 0.008, 0.008, 0.008, 831635.172413793
01/06/16, 0.008, 0.008, 0.008, 0.008, 326985.517241379
01/05/16, 0.008, 0.008, 0.007, 0.008, 7534030.34482759
01/04/16, 0.008, 0.008, 0.008, 0.008, 20688.6206896552
12/31/15, 0.008, 0.008, 0.008, 0.008, 347853.103448276
12/30/15, 0.008, 0.008, 0.008, 0.008, 0
12/29/15, 0.009, 0.009, 0.009, 0.009, 129310.344827586
12/24/15, 0.009, 0.009, 0.009, 0.009, 119215.862068966
12/23/15, 0.009, 0.009, 0.009, 0.009, 356896.551724138
12/22/15, 0.009, 0.009, 0.009, 0.009, 901479.310344828
12/21/15, 0.009, 0.009, 0.009, 0.009, 103448.275862069
12/18/15, 0.009, 0.009, 0.009, 0.009, 59482.7586206897
12/17/15, 0.008, 0.009, 0.008, 0.008, 405143.793103448
12/16/15, 0.008, 0.008, 0.008, 0.008, 0
12/15/15, 0.009, 0.009, 0.009, 0.009, 58304.4827586207
12/14/15, 0.009, 0.009, 0.009, 0.009, 517241.379310345
12/11/15, 0.009, 0.009, 0.009, 0.009, 1287413.79310345
12/10/15, 0.009, 0.009, 0.009, 0.009, 4655.1724137931
12/09/15, 0.009, 0.009, 0.009, 0.009, 310675.862068966
12/08/15, 0.01, 0.01, 0.009, 0.009, 413793.103448276
12/07/15, 0.009, 0.01, 0.009, 0.01, 1485085.86206897
12/04/15, 0.01, 0.01, 0.01, 0.01, 103448.275862069
12/03/15, 0.009, 0.01, 0.009, 0.01, 167821.034482759
12/02/15, 0.009, 0.009, 0.009, 0.009, 1267785.51724138
12/01/15, 0.009, 0.009, 0.009, 0.009, 0
11/30/15, 0.009, 0.009, 0.009, 0.009, 2331739.65517241
11/27/15, 0.01, 0.01, 0.01, 0.01, 206896.551724138
11/26/15, 0.009, 0.009, 0.009, 0.009, 563865.517241379
11/25/15, 0.009, 0.009, 0.009, 0.009, 1083423.10344828
11/24/15, 0.009, 0.009, 0.009, 0.009, 1647372.4137931
11/23/15, 0.009, 0.009, 0.009, 0.009, 51724.1379310345
11/20/15, 0.01, 0.01, 0.009, 0.009, 3984280.34482759
11/19/15, 0.011, 0.011, 0.011, 0.011, 1092975.51724138
11/18/15, 0.011, 0.011, 0.011, 0.011, 491379.310344828
11/17/15, 0.01, 0.01, 0.01, 0.01, 71379.3103448276
11/16/15, 0.011, 0.011, 0.01, 0.01, 146708.275862069
11/13/15, 0.01, 0.01, 0.01, 0.01, 1241852.06896552
11/12/15, 0.01, 0.01, 0.01, 0.01, 517241.379310345
11/11/15, 0.01, 0.01, 0.01, 0.01, 1162845.51724138
11/10/15, 0.012, 0.012, 0.009, 0.009, 8278838.27586207
11/09/15, 0.011, 0.011, 0.011, 0.011, 0
11/06/15, 0.011, 0.012, 0.011, 0.012, 4828076.89655172
11/05/15, 0.01, 0.01, 0.01, 0.01, 0
11/04/15, 0.011, 0.011, 0.011, 0.011, 82758.6206896552
11/03/15, 0.011, 0.011, 0.011, 0.011, 224138.275862069
11/02/15, 0.011, 0.012, 0.011, 0.012, 403463.793103448
10/30/15, 0.011, 0.012, 0.01, 0.012, 2225092.75862069
10/29/15, 0.011, 0.011, 0.011, 0.011, 752845.862068966
10/28/15, 0.011, 0.011, 0.01, 0.01, 318110.689655172
10/27/15, 0.01, 0.01, 0.01, 0.01, 412241.379310345
10/26/15, 0.01, 0.01, 0.01, 0.01, 82758.6206896552
10/23/15, 0.011, 0.011, 0.01, 0.011, 696957.931034483
10/22/15, 0.011, 0.011, 0.01, 0.01, 492789.310344828
10/21/15, 0.011, 0.011, 0.01, 0.01, 3531924.82758621
10/20/15, 0.011, 0.012, 0.011, 0.012, 698275.862068966
10/19/15, 0.011, 0.011, 0.011, 0.011, 0
10/16/15, 0.011, 0.011, 0.011, 0.011, 739967.586206896
10/15/15, 0.011, 0.011, 0.011, 0.011, 610420.344827586
10/14/15, 0.011, 0.011, 0.011, 0.011, 0
10/13/15, 0.011, 0.012, 0.011, 0.012, 353451.724137931
10/12/15, 0.011, 0.012, 0.011, 0.012, 1597086.20689655
10/09/15, 0.012, 0.012, 0.011, 0.011, 64418.275862069
10/08/15, 0.012, 0.012, 0.012, 0.012, 103448.275862069
10/07/15, 0.01, 0.012, 0.01, 0.011, 5946630
10/06/15, 0.01, 0.01, 0.01, 0.01, 1633326.20689655
10/05/15, 0.01, 0.01, 0.01, 0.01, 587707.24137931
10/02/15, 0.01, 0.01, 0.01, 0.01, 667124.482758621
10/01/15, 0.009, 0.01, 0.009, 0.01, 600000
09/30/15, 0.01, 0.01, 0.01, 0.01, 310344.827586207
09/29/15, 0.009, 0.009, 0.009, 0.009, 385034.482758621
09/28/15, 0.01, 0.01, 0.01, 0.01, 455537.586206897
09/25/15, 0.01, 0.01, 0.009, 0.009, 5018352.4137931
09/24/15, 0.01, 0.01, 0.01, 0.01, 803520
09/23/15, 0.01, 0.01, 0.01, 0.01, 129310.344827586
09/22/15, 0.009, 0.01, 0.009, 0.01, 1535997.93103448
09/21/15, 0.009, 0.009, 0.009, 0.009, 0
09/18/15, 0.01, 0.01, 0.01, 0.01, 329172.413793104
09/17/15, 0.01, 0.01, 0.01, 0.01, 1034482.75862069
09/16/15, 0.01, 0.01, 0.01, 0.01, 1100455.86206897
09/15/15, 0.01, 0.01, 0.01, 0.01, 515378.275862069
09/14/15, 0.01, 0.011, 0.01, 0.011, 2311507.24137931
09/11/15, 0.011, 0.011, 0.01, 0.01, 3016538.27586207
09/10/15, 0.01, 0.011, 0.01, 0.011, 5521245.51724138
09/09/15, 0.01, 0.01, 0.009, 0.009, 6739840.34482759
09/08/15, 0.009, 0.009, 0.008, 0.008, 973810.344827586
09/07/15, 0.009, 0.009, 0.009, 0.009, 125742.413793103
09/04/15, 0.009, 0.009, 0.009, 0.009, 569659.655172414
09/03/15, 0.009, 0.009, 0.009, 0.009, 2776266.20689655
09/02/15, 0.009, 0.009, 0.009, 0.009, 258620.689655172
09/01/15, 0.01, 0.01, 0.01, 0.01, 351724.137931034
08/31/15, 0.01, 0.01, 0.01, 0.01, 1365023.79310345
08/28/15, 0.01, 0.01, 0.01, 0.01, 258620.689655172
08/27/15, 0.01, 0.01, 0.01, 0.01, 764477.586206896
08/26/15, 0.01, 0.01, 0.01, 0.01, 117931.034482759
08/25/15, 0.009, 0.01, 0.009, 0.01, 3735252.4137931
08/24/15, 0.01, 0.01, 0.009, 0.009, 1688529.31034483
08/21/15, 0.01, 0.01, 0.01, 0.01, 3425917.24137931
08/20/15, 0.01, 0.011, 0.01, 0.011, 2901724.13793104
08/19/15, 0.01, 0.01, 0.01, 0.01, 287581.034482759
08/18/15, 0.011, 0.011, 0.011, 0.011, 754262.068965517
08/17/15, 0.01, 0.01, 0.01, 0.01, 125337.931034483
08/14/15, 0.01, 0.011, 0.01, 0.01, 2508036.20689655
08/13/15, 0.01, 0.01, 0.01, 0.01, 931034.482758621
08/12/15, 0.01, 0.01, 0.01, 0.01, 777533.793103448
08/11/15, 0.011, 0.011, 0.01, 0.01, 525916.551724138
08/10/15, 0.01, 0.011, 0.01, 0.011, 1241380.34482759
08/07/15, 0.01, 0.01, 0.01, 0.01, 0
08/06/15, 0.01, 0.01, 0.01, 0.01, 206896.551724138
08/05/15, 0.01, 0.01, 0.01, 0.01, 1119400.34482759
08/04/15, 0.011, 0.011, 0.011, 0.011, 1613805.51724138
08/03/15, 0.011, 0.011, 0.011, 0.011, 3137397.93103448
07/31/15, 0.011, 0.011, 0.01, 0.011, 7444189.65517241
07/30/15, 0.01, 0.01, 0.01, 0.01, 97322.0689655172
