Date, Open, High, Low, Close, Volume
03/31/16, 5.26, 5.28, 5.22, 5.25, 40735392
03/30/16, 5.19, 5.27, 5.16, 5.26, 41721244
03/29/16, 5.20, 5.21, 5.10, 5.13, 31539942
03/28/16, 5.24, 5.28, 5.16, 5.20, 31212479
03/25/16, 5.24, 5.26, 5.19, 5.23, 31224932
03/24/16, 5.32, 5.32, 5.23, 5.24, 41158392
03/23/16, 5.35, 5.38, 5.30, 5.35, 43762752
03/22/16, 5.38, 5.39, 5.29, 5.33, 69886068
03/21/16, 5.36, 5.45, 5.35, 5.44, 89225538
03/18/16, 5.28, 5.38, 5.25, 5.37, 69777106
03/17/16, 5.20, 5.29, 5.18, 5.25, 59386444
03/16/16, 5.19, 5.22, 5.14, 5.21, 37918203
03/15/16, 5.25, 5.25, 5.15, 5.19, 47336268
03/14/16, 5.22, 5.34, 5.18, 5.26, 57677847
03/11/16, 5.15, 5.22, 5.10, 5.18, 33213193
03/10/16, 5.34, 5.38, 5.16, 5.18, 61221021
03/09/16, 5.37, 5.39, 5.22, 5.31, 81478866
03/08/16, 5.81, 5.85, 5.37, 5.58, 112372671
03/07/16, 5.67, 5.91, 5.56, 5.60, 90095494
03/04/16, 5.37, 5.55, 5.31, 5.39, 71120994
03/03/16, 5.37, 5.46, 5.33, 5.37, 64645482
03/02/16, 5.13, 5.55, 5.10, 5.44, 99891062
03/01/16, 5.13, 5.16, 5.00, 5.13, 39835628
02/29/16, 5.18, 5.29, 4.91, 5.07, 66422137
02/26/16, 5.10, 5.29, 5.06, 5.23, 51169175
02/25/16, 5.40, 5.40, 5.03, 5.08, 62565715
02/24/16, 5.34, 5.47, 5.28, 5.42, 54559944
02/23/16, 5.37, 5.39, 5.17, 5.38, 77411517
02/22/16, 5.11, 5.54, 5.11, 5.37, 128653789
02/19/16, 5.08, 5.16, 5.01, 5.04, 44090073
02/18/16, 5.07, 5.28, 5.05, 5.08, 63238057
02/17/16, 4.97, 5.10, 4.94, 5.06, 54352069
02/16/16, 4.85, 5.01, 4.84, 4.99, 55037329
02/15/16, 4.82, 4.87, 4.76, 4.83, 38553020
02/05/16, 4.94, 5.02, 4.92, 4.93, 42432174
02/04/16, 4.89, 4.93, 4.84, 4.90, 43623132
02/03/16, 4.90, 4.91, 4.76, 4.84, 49656737
02/02/16, 4.88, 5.04, 4.88, 4.95, 69972272
02/01/16, 5.21, 5.24, 4.81, 4.94, 79682117
01/29/16, 5.18, 5.30, 5.09, 5.21, 79124212
01/28/16, 5.38, 5.44, 5.13, 5.18, 58765849
01/27/16, 5.19, 5.51, 5.13, 5.44, 106909439
01/26/16, 5.56, 5.74, 5.09, 5.13, 112682012
01/25/16, 5.56, 5.78, 5.51, 5.63, 83217352
01/22/16, 5.53, 5.62, 5.36, 5.49, 73922137
01/21/16, 5.51, 5.70, 5.39, 5.40, 90472980
01/20/16, 5.88, 5.92, 5.55, 5.66, 130754347
01/19/16, 5.80, 6.04, 5.58, 6.02, 128490075
01/18/16, 5.74, 6.06, 5.66, 5.84, 101196227
01/15/16, 5.88, 5.99, 5.70, 5.86, 136296303
01/14/16, 5.46, 6.15, 5.23, 6.04, 233359804
01/13/16, 5.54, 6.05, 5.47, 5.73, 179130512
01/12/16, 5.78, 5.85, 5.44, 5.50, 97321505
01/11/16, 5.91, 6.09, 5.59, 5.73, 182344722
01/08/16, 5.60, 5.92, 5.51, 5.92, 224377656
01/07/16, 5.85, 5.86, 5.37, 5.38, 52582300
01/06/16, 5.44, 5.97, 5.39, 5.97, 291901237
01/05/16, 5.20, 5.53, 5.15, 5.43, 86707909
01/04/16, 5.60, 5.62, 5.21, 5.23, 44732837
12/31/15, 5.58, 5.64, 5.56, 5.58, 35446885
12/30/15, 5.64, 5.65, 5.54, 5.59, 32337701
12/29/15, 5.50, 5.66, 5.50, 5.63, 43779356
12/28/15, 5.64, 5.67, 5.52, 5.53, 43198949
12/25/15, 5.73, 5.73, 5.60, 5.65, 48050638
12/24/15, 5.70, 5.72, 5.57, 5.69, 49342887
12/23/15, 5.79, 5.83, 5.68, 5.68, 72215568
12/22/15, 5.64, 5.92, 5.64, 5.77, 121569796
12/21/15, 5.50, 5.68, 5.49, 5.65, 77363814
12/18/15, 5.61, 5.62, 5.51, 5.52, 87062125
12/17/15, 5.46, 5.67, 5.45, 5.64, 107210481
12/16/15, 5.47, 5.50, 5.41, 5.42, 32479086
12/15/15, 5.50, 5.54, 5.42, 5.45, 38326910
12/14/15, 5.37, 5.51, 5.34, 5.51, 56557614
12/11/15, 5.37, 5.44, 5.32, 5.42, 26641826
12/10/15, 5.43, 5.45, 5.37, 5.38, 24207913
12/09/15, 5.38, 5.45, 5.37, 5.41, 18673930
12/08/15, 5.49, 5.50, 5.38, 5.40, 33356985
12/07/15, 5.52, 5.55, 5.48, 5.51, 25016720
12/04/15, 5.65, 5.66, 5.50, 5.53, 49228988
12/03/15, 5.65, 5.80, 5.62, 5.67, 79016539
12/02/15, 5.52, 5.73, 5.47, 5.68, 81512193
12/01/15, 5.48, 5.56, 5.42, 5.52, 27832063
11/30/15, 5.53, 5.54, 5.37, 5.48, 34840350
11/27/15, 5.78, 5.79, 5.43, 5.51, 53881376
11/26/15, 5.81, 5.86, 5.78, 5.80, 34240454
11/25/15, 5.77, 5.83, 5.77, 5.81, 23440010
11/24/15, 5.82, 5.83, 5.72, 5.80, 34640896
11/23/15, 5.89, 5.91, 5.82, 5.83, 37256455
11/20/15, 5.89, 5.92, 5.86, 5.89, 33785603
11/19/15, 5.89, 5.92, 5.83, 5.91, 27221059
11/18/15, 5.88, 5.94, 5.83, 5.86, 44585497
11/17/15, 5.83, 5.92, 5.83, 5.88, 58904747
11/16/15, 5.71, 5.82, 5.70, 5.81, 28000834
11/13/15, 5.87, 5.89, 5.77, 5.79, 51042604
11/12/15, 6.05, 6.05, 5.88, 5.92, 78756552
11/11/15, 6.00, 6.20, 5.99, 6.05, 101360587
11/10/15, 5.97, 6.04, 5.95, 6.01, 75451049
11/09/15, 5.96, 6.08, 5.94, 6.03, 90263569
11/06/15, 5.89, 5.98, 5.84, 5.96, 98196590
11/05/15, 5.74, 6.14, 5.71, 5.92, 140054724
11/04/15, 5.60, 5.75, 5.57, 5.75, 55794852
11/03/15, 5.56, 5.61, 5.54, 5.57, 20759815
11/02/15, 5.60, 5.65, 5.54, 5.55, 31805699
10/30/15, 5.75, 5.76, 5.62, 5.67, 48464316
10/29/15, 5.84, 5.86, 5.76, 5.78, 38804126
10/28/15, 5.85, 5.95, 5.83, 5.84, 42751321
10/27/15, 5.91, 5.94, 5.80, 5.88, 37010719
10/26/15, 5.98, 6.00, 5.90, 5.93, 54658686
10/23/15, 5.86, 5.95, 5.81, 5.92, 48117830
10/22/15, 5.85, 5.88, 5.72, 5.86, 46132278
10/21/15, 6.03, 6.10, 5.78, 5.80, 86108455
10/20/15, 5.95, 6.05, 5.88, 6.03, 54555787
10/19/15, 6.05, 6.08, 5.94, 5.97, 55425126
10/16/15, 5.98, 6.05, 5.96, 6.03, 70922286
10/15/15, 5.87, 5.99, 5.84, 5.97, 48723414
10/14/15, 5.90, 6.06, 5.86, 5.88, 49891969
10/13/15, 5.94, 5.97, 5.92, 5.94, 35680195
10/12/15, 5.81, 6.05, 5.80, 5.98, 62880589
10/09/15, 5.79, 5.83, 5.73, 5.80, 30460767
10/08/15, 5.75, 5.84, 5.65, 5.77, 60045242
09/30/15, 5.50, 5.70, 5.48, 5.59, 44547147
09/29/15, 5.53, 5.53, 5.43, 5.47, 24742685
09/28/15, 5.55, 5.62, 5.51, 5.60, 18926864
09/25/15, 5.70, 5.70, 5.55, 5.56, 29722157
09/24/15, 5.71, 5.75, 5.65, 5.71, 27535257
09/23/15, 5.83, 5.85, 5.67, 5.69, 46657358
09/22/15, 5.87, 5.96, 5.84, 5.91, 50770679
09/21/15, 5.81, 5.88, 5.78, 5.86, 34711389
09/18/15, 5.88, 5.92, 5.78, 5.82, 34308527
09/17/15, 5.92, 6.04, 5.82, 5.83, 64479806
09/16/15, 5.52, 6.14, 5.52, 6.01, 77444122
09/15/15, 5.92, 5.98, 5.65, 5.67, 49396833
09/14/15, 6.10, 6.14, 5.74, 6.04, 86610222
09/11/15, 6.03, 6.08, 5.94, 5.98, 38863814
09/10/15, 6.05, 6.12, 5.98, 6.03, 59129246
09/09/15, 6.10, 6.30, 6.05, 6.17, 91497168
09/08/15, 5.97, 6.09, 5.72, 6.06, 74828449
09/07/15, 6.10, 6.44, 5.90, 5.97, 114724376
09/02/15, 5.62, 6.46, 5.60, 6.24, 277441904
09/01/15, 5.75, 6.04, 5.65, 5.92, 259288242
08/31/15, 5.65, 5.75, 5.40, 5.71, 151121792
08/28/15, 5.47, 5.75, 5.38, 5.72, 187727006
08/27/15, 5.26, 5.39, 5.04, 5.38, 164402110
08/26/15, 5.14, 5.67, 5.03, 5.16, 320300506
08/25/15, 5.60, 5.80, 5.50, 5.50, 120341481
08/24/15, 6.58, 6.58, 6.11, 6.11, 115236524
08/21/15, 7.02, 7.13, 6.61, 6.79, 94489495
08/20/15, 7.40, 7.40, 7.09, 7.13, 90024437
08/19/15, 6.86, 7.66, 6.79, 7.49, 155857965
08/18/15, 7.75, 7.75, 6.99, 6.99, 159567558
08/17/15, 7.57, 7.89, 7.46, 7.77, 134823159
08/14/15, 7.75, 7.78, 7.59, 7.61, 103059162
08/13/15, 7.66, 7.79, 7.44, 7.73, 136953946
08/12/15, 7.70, 8.01, 7.55, 7.71, 154582027
08/11/15, 7.72, 8.00, 7.67, 7.75, 237059554
08/10/15, 7.37, 7.72, 7.37, 7.72, 211094210
08/07/15, 6.95, 7.09, 6.92, 7.02, 53908226
08/06/15, 6.90, 7.00, 6.82, 6.88, 47697407
08/05/15, 7.20, 7.25, 7.03, 7.06, 64343010
08/04/15, 7.18, 7.28, 7.01, 7.25, 117363872
08/03/15, 6.72, 7.24, 6.67, 7.23, 148430803
07/31/15, 6.51, 6.83, 6.51, 6.79, 105946240
07/30/15, 6.86, 6.95, 6.62, 6.65, 115287079
07/29/15, 6.71, 6.93, 6.56, 6.92, 122538448
07/28/15, 6.50, 6.76, 6.31, 6.63, 219668415
07/27/15, 7.25, 7.35, 6.69, 6.69, 181545388
07/24/15, 7.55, 7.75, 7.38, 7.43, 185630344
07/23/15, 7.45, 7.80, 7.42, 7.61, 202039419
07/22/15, 7.33, 7.47, 7.18, 7.38, 120135564
07/21/15, 7.30, 7.48, 7.16, 7.33, 114727759
07/20/15, 7.47, 7.52, 7.27, 7.36, 122555366
07/17/15, 7.34, 7.54, 7.23, 7.45, 142243781
07/16/15, 7.09, 7.49, 6.95, 7.23, 124657573
07/15/15, 7.40, 7.56, 7.01, 7.09, 149568802
07/14/15, 7.99, 7.99, 7.50, 7.58, 262737194
07/13/15, 8.01, 8.48, 7.87, 8.20, 375082135
07/10/15, 7.49, 8.17, 7.26, 8.16, 338057010
07/09/15, 6.75, 7.43, 6.30, 7.43, 282312143
07/08/15, 6.95, 7.29, 6.75, 6.75, 199335843
07/07/15, 7.05, 7.58, 6.51, 7.50, 340396645
07/06/15, 7.50, 7.55, 6.73, 7.19, 275875966
07/03/15, 7.40, 7.79, 6.87, 6.87, 225217700
07/02/15, 8.41, 8.50, 7.55, 7.63, 253681409
07/01/15, 8.71, 9.10, 8.32, 8.36, 265096720
06/30/15, 8.05, 8.85, 7.70, 8.74, 248430752
06/29/15, 8.37, 8.65, 7.42, 8.17, 259591147
06/26/15, 8.61, 8.90, 8.08, 8.17, 209085495
06/25/15, 8.89, 9.27, 8.61, 8.98, 260793034
06/24/15, 8.54, 8.97, 8.51, 8.89, 209013311
06/23/15, 8.28, 8.54, 7.91, 8.50, 153844549
06/19/15, 8.78, 8.97, 8.22, 8.25, 167870224
06/18/15, 9.14, 9.58, 8.99, 9.01, 190113699
06/17/15, 8.98, 9.30, 8.69, 9.24, 180375937
06/16/15, 9.50, 9.57, 8.96, 9.06, 218925946
06/15/15, 9.45, 10.18, 9.35, 9.71, 364465269
06/12/15, 9.48, 9.59, 9.34, 9.57, 216484528
06/11/15, 9.31, 9.50, 9.23, 9.46, 170117188
06/10/15, 9.38, 9.59, 9.24, 9.37, 181805831
06/09/15, 9.71, 9.77, 9.34, 9.52, 227396226
06/08/15, 9.58, 9.83, 9.30, 9.70, 356089079
06/05/15, 9.04, 9.67, 8.97, 9.54, 380335414
06/04/15, 8.83, 8.99, 8.29, 8.97, 198162868
06/03/15, 9.05, 9.08, 8.60, 8.83, 179774738
06/02/15, 8.82, 9.11, 8.70, 9.04, 206039499
06/01/15, 8.33, 8.81, 8.32, 8.81, 182299719
05/29/15, 8.55, 8.64, 8.09, 8.31, 192287412
05/28/15, 9.40, 9.55, 8.52, 8.56, 298420594
05/27/15, 9.47, 9.63, 9.17, 9.47, 288710150
05/26/15, 9.31, 9.46, 9.01, 9.44, 305813829
05/25/15, 8.95, 9.29, 8.90, 9.27, 309900181
