Date, Open, High, Low, Close, Volume
03/31/16, 908.25, 908.25, 908.25, 908.25, 178
03/30/16, 901.63, 901.63, 901.63, 901.63, 178
03/29/16, 962.13, 962.13, 962.13, 962.13, 178
03/24/16, 993.88, 993.88, 993.88, 993.88, 178
03/23/16, 964.38, 964.38, 964.38, 964.38, 178
03/22/16, 953.00, 953.00, 953.00, 953.00, 178
03/21/16, 946.88, 946.88, 946.88, 946.88, 178
03/18/16, 930.00, 930.00, 930.00, 930.00, 178
03/17/16, 935.75, 935.75, 935.75, 935.75, 178
03/16/16, 987.00, 987.00, 987.00, 987.00, 178
03/15/16, 991.75, 991.75, 991.75, 991.75, 178
03/14/16, 973.63, 973.63, 973.63, 973.63, 178
03/11/16, 976.25, 976.25, 976.25, 976.25, 178
03/10/16, 1014.63, 1014.63, 1014.63, 1014.63, 178
03/09/16, 1005.00, 1005.00, 997.00, 1019.50, 178
03/08/16, 1015.63, 1015.63, 1015.63, 1015.63, 491
03/07/16, 998.00, 998.00, 998.00, 999.38, 491
03/04/16, 982.75, 982.75, 982.75, 982.75, 10677
03/03/16, 1010.63, 1010.63, 1010.63, 1010.63, 10677
03/02/16, 1037.00, 1037.00, 1029.00, 1031.00, 10677
03/01/16, 1073.00, 1073.00, 1073.00, 1073.00, 186
02/29/16, 1079.25, 1079.25, 1079.25, 1079.25, 186
02/26/16, 1080.00, 1080.00, 1080.00, 1081.50, 186
02/25/16, 1103.50, 1103.50, 1098.00, 1098.25, 10982
02/24/16, 1126.25, 1126.25, 1126.25, 1126.25, 437
02/23/16, 1088.50, 1088.50, 1088.50, 1088.50, 437
02/22/16, 1080.50, 1080.50, 1080.50, 1080.50, 437
02/19/16, 1109.50, 1109.50, 1109.50, 1109.50, 437
02/18/16, 1091.50, 1091.50, 1091.50, 1091.50, 437
02/17/16, 1104.25, 1104.25, 1104.25, 1104.25, 437
02/16/16, 1130.50, 1130.50, 1130.50, 1130.50, 437
02/15/16, 1110.00, 1110.00, 1110.00, 1110.00, 437
02/12/16, 1128.25, 1128.25, 1128.25, 1128.25, 437
02/11/16, 1158.75, 1158.75, 1158.75, 1158.75, 437
02/10/16, 1088.00, 1088.00, 1088.00, 1088.00, 437
