Date, Open, High, Low, Close, Volume
03/31/16, 49.90, 50.00, 49.90, 49.15, 9034
03/30/16, 49.50, 49.60, 49.19, 48.40, 60421
03/29/16, 54.00, 54.00, 54.00, 53.65, 3681
03/24/16, 56.90, 58.30, 56.90, 56.65, 63076
03/23/16, 54.50, 55.40, 53.20, 54.05, 63076
03/22/16, 52.00, 54.70, 52.00, 53.00, 5656
03/21/16, 55.00, 55.00, 54.49, 53.20, 23636
03/18/16, 54.90, 55.00, 52.90, 52.85, 67698
03/17/16, 56.20, 56.20, 55.78, 53.40, 32117
03/16/16, 59.10, 59.90, 59.10, 58.20, 5088
03/15/16, 60.90, 60.90, 60.90, 59.35, 8200
03/14/16, 59.60, 59.60, 59.50, 58.50, 1501
03/11/16, 58.75, 58.75, 58.75, 58.75, 13173
03/10/16, 61.90, 62.50, 61.90, 63.10, 13173
03/09/16, 63.30, 63.30, 63.30, 63.30, 9200
03/08/16, 63.20, 64.10, 63.20, 63.55, 9200
03/07/16, 62.30, 62.30, 62.30, 61.35, 6250
03/04/16, 62.00, 62.00, 61.70, 59.70, 10087
03/03/16, 62.00, 62.00, 62.00, 62.00, 158783
03/02/16, 63.80, 65.80, 63.80, 64.35, 158783
03/01/16, 67.95, 67.95, 67.95, 67.95, 2935
02/29/16, 68.80, 68.80, 68.80, 68.80, 2935
02/26/16, 68.60, 68.60, 68.60, 69.05, 2935
02/25/16, 73.08, 73.40, 72.78, 72.00, 166475
02/24/16, 76.57, 76.98, 74.43, 76.10, 23392
02/23/16, 71.18, 71.18, 71.18, 71.25, 10524
02/22/16, 69.20, 69.20, 69.20, 69.20, 6651
02/19/16, 73.15, 73.15, 73.15, 73.15, 6651
02/18/16, 72.85, 72.85, 72.85, 72.85, 6651
02/17/16, 75.18, 75.18, 75.18, 74.00, 6651
02/16/16, 77.95, 77.95, 77.95, 77.95, 6365
02/15/16, 74.94, 74.94, 74.94, 75.90, 6365
02/12/16, 81.60, 82.07, 78.73, 79.60, 617738
02/11/16, 84.05, 84.05, 84.05, 84.05, 24091
02/10/16, 76.10, 76.10, 76.10, 76.10, 24091
02/09/16, 75.70, 78.18, 75.70, 77.55, 24091
02/08/16, 75.02, 77.48, 75.02, 76.75, 52770
02/05/16, 70.77, 70.77, 70.77, 71.80, 3532
02/04/16, 68.40, 69.10, 68.40, 69.10, 30000
02/03/16, 68.83, 71.36, 68.24, 69.20, 25069
02/02/16, 69.20, 69.20, 69.20, 69.20, 6100
02/01/16, 68.78, 68.78, 66.03, 69.20, 6100
01/29/16, 67.54, 67.54, 67.54, 69.20, 2500
01/28/16, 68.94, 73.84, 68.94, 69.20, 10372
01/27/16, 70.00, 73.47, 69.20, 69.20, 34330
