Date, Open, High, Low, Close, Volume
03/31/16, 15.88, 15.88, 15.88, 15.88, 0
03/30/16, 15.66, 15.66, 15.66, 15.66, 1200
03/29/16, 15.21, 15.21, 15.21, 15.21, 0
03/28/16, 15.02, 15.02, 15.02, 15.02, 0
03/24/16, 15.14, 15.14, 15.14, 15.14, 166
03/23/16, 16.04, 16.04, 16.04, 16.04, 100
03/22/16, 15.80, 16.13, 15.80, 16.04, 1600
03/21/16, 15.84, 15.84, 15.84, 15.84, 1300
03/18/16, 16.07, 16.07, 16.07, 16.07, 0
03/17/16, 15.98, 15.99, 15.98, 15.99, 1103
03/16/16, 15.80, 15.80, 15.80, 15.80, 0
03/15/16, 15.10, 15.10, 15.10, 15.10, 0
03/14/16, 15.12, 15.13, 15.04, 15.12, 9900
03/11/16, 15.26, 15.26, 15.26, 15.26, 0
03/10/16, 15.00, 15.00, 15.00, 15.00, 1
03/09/16, 15.06, 15.06, 15.06, 15.06, 3
03/08/16, 15.67, 15.68, 15.66, 15.66, 1100
03/07/16, 15.89, 15.89, 15.89, 15.89, 0
03/04/16, 15.31, 15.31, 15.31, 15.31, 0
03/03/16, 15.49, 15.49, 15.49, 15.49, 0
03/02/16, 15.10, 15.10, 15.10, 15.10, 0
03/01/16, 14.66, 14.66, 14.66, 14.66, 1300
02/29/16, 14.49, 14.49, 14.49, 14.49, 0
02/26/16, 14.32, 14.32, 14.32, 14.32, 0
02/25/16, 14.16, 14.16, 14.16, 14.16, 0
02/24/16, 11.08, 11.08, 11.08, 11.08, 0
02/23/16, 14.34, 14.36, 14.30, 14.32, 24566
02/22/16, 14.04, 14.04, 14.04, 14.04, 0
02/19/16, 13.88, 13.88, 13.88, 13.88, 200
02/18/16, 14.05, 14.06, 14.05, 14.06, 300
02/17/16, 13.74, 14.15, 13.74, 14.15, 500
02/16/16, 13.32, 13.46, 13.32, 13.44, 1134
02/12/16, 12.08, 12.08, 12.08, 12.08, 0
02/11/16, 11.95, 12.00, 11.92, 12.00, 1100
02/10/16, 12.71, 12.71, 12.69, 12.70, 934
