Date, Open, High, Low, Close, Volume
03/31/16, 13.96, 14.00, 13.57, 13.58, 11409037
03/30/16, 13.94, 14.04, 13.50, 13.74, 15902026
03/29/16, 13.71, 14.15, 13.54, 14.05, 18278893
03/28/16, 13.59, 13.69, 13.34, 13.61, 9792338
03/24/16, 13.38, 13.67, 13.24, 13.56, 13018845
03/23/16, 13.93, 13.93, 13.23, 13.27, 31735315
03/22/16, 14.98, 15.07, 14.42, 14.50, 16881299
03/21/16, 14.63, 14.905, 14.535, 14.69, 15666446
03/18/16, 14.67, 15.015, 14.55, 14.74, 23750462
03/17/16, 15.25, 15.52, 14.75, 14.78, 31421119
03/16/16, 13.96, 15.22, 13.74, 15.18, 30391854
03/15/16, 13.78, 14.25, 13.63, 14.19, 26885610
03/14/16, 14.07, 14.28, 13.66, 13.67, 18801121
03/11/16, 14.10, 14.34, 13.87, 13.95, 15392858
03/10/16, 13.97, 14.36, 13.86, 14.17, 23647641
03/09/16, 12.89, 13.79, 12.64, 13.69, 38507231
03/08/16, 14.14, 14.32, 13.1401, 13.33, 25470199
03/07/16, 13.97, 14.67, 13.61, 13.86, 31945135
03/04/16, 14.05, 14.80, 13.61, 13.72, 31811167
03/03/16, 13.57, 14.09, 13.565, 13.91, 20358973
03/02/16, 13.30, 13.60, 13.23, 13.58, 14811338
03/01/16, 14.00, 14.02, 13.10, 13.27, 21344016
02/29/16, 13.64, 14.00, 13.60, 13.89, 17055236
02/26/16, 13.03, 13.60, 13.03, 13.53, 18683040
02/25/16, 13.35, 13.87, 13.35, 13.58, 21647924
02/24/16, 13.92, 14.45, 13.1635, 13.48, 40164982
02/23/16, 12.95, 13.57, 12.90, 13.54, 34525219
02/22/16, 12.16, 13.13, 12.12, 12.82, 24530777
02/19/16, 12.46, 12.94, 12.40, 12.56, 23409004
02/18/16, 11.76, 12.67, 11.68, 12.63, 32225251
02/17/16, 11.73, 12.00, 11.50, 11.89, 22669309
02/16/16, 11.56, 12.04, 11.49, 11.59, 24508820
02/12/16, 11.69, 12.32, 11.62, 12.25, 18949045
02/11/16, 12.61, 12.66, 11.91, 11.97, 33803667
02/10/16, 10.92, 11.60, 10.57, 11.58, 27524592
02/09/16, 12.05, 12.17, 11.18, 11.22, 32384924
02/08/16, 11.93, 12.465, 11.79, 11.91, 39140300
02/05/16, 10.82, 11.64, 10.61, 11.64, 23223780
02/04/16, 10.91, 11.44, 10.835, 11.18, 33191367
02/03/16, 9.98, 10.80, 9.96, 10.73, 23070164
02/02/16, 9.90, 10.05, 9.655, 9.86, 12446405
02/01/16, 10.03, 10.30, 9.88, 10.07, 16790325
01/29/16, 9.50, 9.95, 9.50, 9.91, 17992804
01/28/16, 9.53, 9.935, 9.30, 9.66, 24911150
01/27/16, 9.29, 9.8763, 9.23, 9.84, 29434108
