Date, Open, High, Low, Close, Volume
03/31/16, 0.05, 0.055, 0.05, 0.055, 966500
03/30/16, 0.05, 0.055, 0.05, 0.05, 608800
03/29/16, 0.05, 0.055, 0.05, 0.055, 301000
03/28/16, 0.045, 0.055, 0.045, 0.05, 633400
03/25/16, 0.045, 0.045, 0.045, 0.045, 30000
03/24/16, 0.045, 0.05, 0.045, 0.05, 731600
03/23/16, 0.045, 0.05, 0.045, 0.05, 300700
03/22/16, 0.045, 0.05, 0.045, 0.05, 150000
03/21/16, 0.045, 0.045, 0.045, 0.045, 262000
03/18/16, 0.045, 0.05, 0.045, 0.05, 1508700
03/17/16, 0.045, 0.045, 0.045, 0.045, 50000
03/16/16, 0.045, 0.045, 0.045, 0.045, 18800
03/15/16, 0.04, 0.04, 0.04, 0.04, 200000
03/14/16, 0.04, 0.04, 0.04, 0.04, 200000
03/11/16, 0.04, 0.04, 0.04, 0.04, 150000
03/10/16, 0.045, 0.045, 0.04, 0.04, 271000
03/09/16, 0.04, 0.04, 0.04, 0.04, 102000
03/08/16, 0.04, 0.04, 0.04, 0.04, 250000
03/07/16, 0.04, 0.04, 0.04, 0.04, 1283600
03/04/16, 0.04, 0.04, 0.04, 0.04, 30000
03/03/16, 0.04, 0.04, 0.04, 0.04, 351000
03/02/16, 0.04, 0.045, 0.04, 0.045, 612000
03/01/16, 0.045, 0.045, 0.045, 0.045, 0
02/29/16, 0.045, 0.045, 0.045, 0.045, 100000
02/26/16, 0.045, 0.045, 0.045, 0.045, 217300
02/25/16, 0.045, 0.05, 0.045, 0.05, 688600
02/24/16, 0.045, 0.05, 0.045, 0.045, 260400
02/23/16, 0.05, 0.05, 0.05, 0.05, 0
02/22/16, 0.045, 0.05, 0.045, 0.05, 50200
02/19/16, 0.045, 0.045, 0.045, 0.045, 110700
02/18/16, 0.045, 0.05, 0.045, 0.045, 37400
02/17/16, 0.05, 0.05, 0.05, 0.05, 0
02/16/16, 0.045, 0.05, 0.045, 0.05, 600
02/15/16, 0.045, 0.05, 0.045, 0.05, 200200
02/12/16, 0.05, 0.05, 0.05, 0.05, 200
02/11/16, 0.045, 0.045, 0.045, 0.045, 32200
02/10/16, 0.045, 0.05, 0.045, 0.05, 8500
02/05/16, 0.045, 0.045, 0.045, 0.045, 408200
02/04/16, 0.045, 0.045, 0.045, 0.045, 328000
02/03/16, 0.045, 0.045, 0.045, 0.045, 50000
02/02/16, 0.045, 0.05, 0.045, 0.045, 45000
01/29/16, 0.045, 0.045, 0.045, 0.045, 10000
01/28/16, 0.045, 0.045, 0.045, 0.045, 20000
01/27/16, 0.045, 0.045, 0.045, 0.045, 775200
01/26/16, 0.045, 0.045, 0.045, 0.045, 5000
01/22/16, 0.045, 0.045, 0.045, 0.045, 0
01/21/16, 0.05, 0.05, 0.045, 0.045, 201000
01/20/16, 0.05, 0.05, 0.045, 0.05, 1769500
01/19/16, 0.05, 0.05, 0.05, 0.05, 135000
01/18/16, 0.055, 0.055, 0.05, 0.05, 2161000
01/15/16, 0.05, 0.05, 0.05, 0.05, 132000
01/14/16, 0.055, 0.055, 0.05, 0.05, 187000
01/13/16, 0.05, 0.05, 0.05, 0.05, 100000
01/12/16, 0.05, 0.055, 0.05, 0.055, 260000
01/11/16, 0.055, 0.055, 0.055, 0.055, 30000
01/08/16, 0.05, 0.05, 0.05, 0.05, 10000
01/07/16, 0.05, 0.05, 0.05, 0.05, 100000
01/06/16, 0.05, 0.055, 0.05, 0.05, 249000
01/05/16, 0.05, 0.05, 0.05, 0.05, 1000
01/04/16, 0.055, 0.055, 0.055, 0.055, 46000
