Date, Open, High, Low, Close
03/31/16, 24.31, 25.32, 24.09, 24.71
03/30/16, 24.76, 24.96, 23.36, 23.93
03/29/16, 25.18, 25.99, 24.40, 24.47
03/28/16, 24.44, 25.50, 24.44, 24.91
03/24/16, 25.04, 25.19, 24.04, 24.04
03/23/16, 23.14, 24.02, 22.76, 23.73
03/22/16, 22.86, 23.25, 22.47, 22.87
03/21/16, 23.85, 24.37, 22.62, 22.62
03/18/16, 24.39, 24.39, 23.03, 23.35
03/17/16, 23.12, 24.02, 22.59, 23.91
03/16/16, 24.41, 24.82, 22.93, 23.22
03/15/16, 24.40, 24.76, 24.12, 24.19
03/14/16, 25.05, 25.26, 23.97, 24.16
03/11/16, 25.98, 26.09, 24.54, 24.63
03/10/16, 26.67, 27.01, 25.82, 26.13
03/09/16, 27.09, 27.68, 26.34, 26.50
03/08/16, 27.46, 28.21, 26.74, 27.18
03/07/16, 25.23, 28.21, 24.92, 27.14
03/04/16, 24.33, 24.60, 23.58, 23.95
03/03/16, 23.87, 24.85, 23.79, 24.26
03/02/16, 23.53, 24.57, 23.50, 23.75
03/01/16, 25.96, 26.19, 22.56, 22.56
02/29/16, 26.50, 26.52, 25.25, 25.90
02/26/16, 25.67, 25.91, 24.84, 25.45
02/25/16, 27.26, 28.12, 25.51, 25.51
02/24/16, 28.43, 29.35, 27.30, 27.39
02/23/16, 26.85, 27.44, 26.45, 27.36
02/22/16, 27.49, 27.57, 25.42, 26.67
02/19/16, 30.07, 30.23, 26.79, 27.23
02/18/16, 28.48, 30.08, 28.40, 29.69
02/17/16, 31.00, 31.54, 27.98, 28.90
02/16/16, 34.05, 34.43, 31.44, 31.53
02/12/16, 37.44, 37.77, 33.41, 33.41
02/11/16, 39.39, 40.34, 37.92, 38.22
02/10/16, 37.26, 37.75, 34.86, 37.42
02/09/16, 38.37, 39.01, 36.34, 38.13
02/08/16, 38.04, 38.95, 37.24, 37.49
02/05/16, 30.67, 35.87, 30.43, 35.53
02/04/16, 30.97, 33.84, 30.26, 30.56
02/03/16, 27.71, 32.58, 27.04, 30.36
02/02/16, 27.28, 28.98, 25.32, 28.09
02/01/16, 37.66, 39.89, 37.66, 38.81
01/29/16, 37.96, 39.22, 36.44, 36.77
01/28/16, 39.54, 40.95, 37.90, 38.05
01/27/16, 37.38, 40.73, 37.38, 39.37
01/26/16, 39.31, 40.62, 37.58, 37.63
01/25/16, 38.93, 39.92, 37.08, 39.46
01/22/16, 38.70, 39.92, 37.90, 38.10
01/21/16, 41.15, 44.22, 38.92, 40.48
01/20/16, 40.62, 45.59, 40.23, 41.87
01/19/16, 39.30, 41.01, 37.95, 39.49
01/15/16, 40.75, 44.89, 39.36, 40.44
01/14/16, 40.10, 42.67, 37.66, 38.21
01/13/16, 35.51, 40.37, 35.30, 40.20
01/12/16, 36.89, 38.04, 34.90, 35.85
01/11/16, 40.01, 41.93, 38.13, 38.45
