Date, Open, High, Low, Close
03/31/16, 47.25, 47.90, 44.90, 45.58
03/30/16, 46.76, 54.99, 35.86, 47.29
03/29/16, 48.71, 49.09, 46.97, 47.19
03/28/16, 46.18, 47.55, 45.97, 46.00
03/24/16, 46.58, 47.52, 44.52, 45.43
03/23/16, 44.31, 47.18, 40.29, 45.21
03/22/16, 44.60, 44.90, 43.33, 43.33
03/21/16, 46.28, 46.58, 44.44, 44.45
03/18/16, 46.43, 46.81, 45.06, 45.12
03/17/16, 45.98, 46.48, 44.97, 45.84
03/16/16, 47.43, 64.21, 43.49, 43.49
03/15/16, 49.89, 50.24, 48.61, 48.61
03/14/16, 51.72, 53.00, 50.75, 50.81
03/11/16, 50.92, 50.98, 49.26, 49.26
03/10/16, 52.00, 53.36, 51.37, 51.95
03/09/16, 54.28, 82.61, 47.72, 50.86
03/08/16, 51.39, 53.19, 51.30, 52.52
03/07/16, 52.49, 53.57, 51.25, 51.34
03/04/16, 51.83, 51.90, 50.21, 50.65
03/03/16, 54.75, 54.75, 52.67, 53.30
03/02/16, 58.07, 70.32, 48.14, 54.62
03/01/16, 58.42, 59.17, 56.67, 57.11
02/29/16, 61.62, 61.79, 59.14, 59.34
02/26/16, 62.82, 62.89, 60.40, 61.39
02/25/16, 65.07, 66.20, 62.56, 63.04
02/24/16, 69.29, 70.64, 58.44, 65.71
02/23/16, 63.85, 66.25, 63.69, 65.31
02/22/16, 64.07, 64.97, 63.73, 64.13
02/19/16, 68.95, 69.17, 62.44, 63.01
02/18/16, 71.30, 75.98, 67.23, 67.57
02/17/16, 72.31, 73.40, 70.61, 70.61
02/16/16, 80.00, 80.28, 72.87, 73.43
02/12/16, 77.67, 84.81, 77.67, 83.96
02/11/16, 78.94, 81.56, 78.01, 81.08
02/10/16, 76.16, 105.65, 69.49, 75.06
02/09/16, 70.42, 76.00, 68.89, 73.49
02/08/16, 70.82, 71.58, 68.92, 68.92
02/05/16, 65.52, 67.15, 65.14, 66.79
02/04/16, 65.20, 71.11, 64.44, 65.98
02/03/16, 67.90, 71.58, 65.91, 66.08
02/02/16, 70.47, 70.64, 67.86, 68.56
02/01/16, 65.83, 67.46, 65.32, 66.10
01/29/16, 63.82, 64.37, 61.20, 61.59
01/28/16, 65.97, 72.90, 55.66, 65.94
01/27/16, 66.61, 71.24, 64.82, 65.59
01/26/16, 65.67, 65.90, 64.23, 64.71
01/25/16, 66.18, 66.41, 63.49, 63.88
01/22/16, 64.96, 65.47, 60.90, 61.25
01/21/16, 67.16, 67.88, 64.02, 65.88
01/20/16, 66.31, 70.94, 65.95, 67.38
01/19/16, 63.03, 65.42, 62.78, 64.71
01/15/16, 61.90, 62.16, 58.51, 61.23
01/14/16, 62.44, 62.48, 54.89, 54.89
01/13/16, 60.31, 65.83, 58.33, 59.78
01/12/16, 62.52, 67.24, 62.52, 62.77
01/11/16, 59.52, 66.48, 58.93, 61.95
01/08/16, 55.54, 59.53, 55.49, 56.39
01/07/16, 57.72, 60.45, 31.98, 55.59
01/06/16, 52.39, 54.74, 51.57, 52.73
01/05/16, 49.53, 50.84, 48.94, 48.94
01/04/16, 49.74, 51.85, 49.15, 49.60
12/31/15, 47.24, 47.26, 45.57, 46.23
12/30/15, 45.24, 51.92, 44.78, 45.40
12/29/15, 46.79, 47.33, 44.64, 44.64
12/28/15, 47.59, 48.13, 47.03, 47.03
12/24/15, 47.40, 47.40, 45.33, 45.40
12/23/15, 49.45, 50.38, 47.37, 47.37
12/22/15, 49.51, 50.07, 48.35, 48.35
12/21/15, 49.88, 51.10, 48.85, 49.23
12/18/15, 49.85, 50.15, 47.39, 47.85
12/17/15, 47.80, 50.68, 47.43, 47.43
12/16/15, 50.42, 53.18, 47.10, 47.10
12/15/15, 55.68, 55.81, 50.25, 50.28
12/14/15, 57.44, 57.84, 55.15, 55.94
12/11/15, 54.48, 56.76, 53.70, 55.64
12/10/15, 53.70, 54.36, 51.88, 51.99
12/09/15, 51.55, 56.91, 49.81, 52.30
12/08/15, 53.25, 56.18, 50.20, 50.20
12/07/15, 48.65, 50.04, 46.88, 49.45
12/04/15, 46.12, 48.60, 43.96, 45.76
12/03/15, 50.38, 52.66, 49.88, 50.91
12/02/15, 49.61, 55.09, 42.97, 51.42
12/01/15, 47.93, 48.59, 46.79, 48.48
11/30/15, 47.31, 47.66, 46.98, 46.98
11/27/15, 46.69, 47.30, 46.65, 46.95
11/25/15, 46.24, 54.05, 45.43, 46.07
11/24/15, 45.73, 47.43, 45.70, 46.32
11/23/15, 46.64, 46.76, 44.67, 44.68
11/20/15, 42.72, 43.73, 42.68, 42.84
11/19/15, 42.85, 43.20, 42.30, 42.30
11/18/15, 45.34, 45.56, 42.06, 42.06
11/17/15, 48.11, 48.35, 44.65, 44.65
11/16/15, 47.97, 49.16, 47.27, 47.31
11/13/15, 45.33, 46.82, 44.04, 44.90
11/12/15, 45.36, 52.11, 43.04, 43.04
11/11/15, 41.09, 43.80, 40.31, 43.18
11/10/15, 42.86, 43.02, 39.89, 39.89
11/09/15, 41.86, 43.10, 41.22, 42.01
11/06/15, 39.95, 40.12, 38.86, 39.59
11/05/15, 40.74, 40.99, 38.95, 39.33
11/04/15, 41.84, 44.22, 40.49, 40.49
11/03/15, 42.04, 42.39, 41.52, 41.52
11/02/15, 42.61, 42.73, 41.54, 41.54
10/30/15, 43.73, 43.73, 41.71, 41.71
10/29/15, 46.11, 46.30, 43.16, 43.16
10/28/15, 44.61, 50.49, 43.49, 43.63
10/27/15, 44.53, 45.21, 43.86, 44.14
10/26/15, 43.64, 43.84, 42.07, 42.07
10/23/15, 41.02, 43.03, 40.36, 40.98
10/22/15, 41.05, 41.15, 40.18, 40.18
10/21/15, 43.62, 48.91, 41.33, 41.33
10/20/15, 41.76, 43.22, 41.28, 42.34
10/19/15, 41.44, 42.74, 41.36, 41.46
10/16/15, 41.99, 42.34, 40.06, 40.06
10/15/15, 43.59, 48.05, 41.51, 42.28
10/14/15, 45.32, 46.03, 43.09, 43.17
10/13/15, 45.76, 47.26, 45.05, 45.21
10/12/15, 44.47, 46.64, 43.22, 45.06
10/09/15, 44.87, 44.91, 43.43, 43.45
10/08/15, 43.61, 45.58, 43.31, 44.92
10/07/15, 45.06, 48.19, 43.47, 43.47
10/06/15, 43.44, 45.72, 43.44, 44.33
10/05/15, 43.79, 44.53, 43.23, 43.23
10/02/15, 44.39, 46.02, 42.91, 42.91
10/01/15, 45.17, 47.44, 44.45, 44.94
09/30/15, 47.22, 48.39, 39.12, 45.38
09/29/15, 48.52, 49.50, 48.37, 48.92
09/28/15, 48.83, 49.23, 47.07, 49.05
09/25/15, 47.45, 48.30, 46.92, 47.18
09/24/15, 51.82, 52.01, 48.96, 48.96
09/23/15, 48.12, 52.33, 47.83, 51.50
09/22/15, 49.68, 50.11, 48.62, 48.89
09/21/15, 46.36, 47.25, 45.95, 47.18
09/18/15, 44.43, 46.06, 43.97, 45.37
09/17/15, 50.12, 52.70, 43.87, 43.87
09/16/15, 50.76, 53.17, 48.57, 49.85
09/15/15, 48.93, 49.59, 48.86, 49.59
09/14/15, 49.25, 50.27, 49.00, 49.46
09/11/15, 50.65, 53.28, 48.65, 48.67
09/10/15, 50.12, 59.35, 48.32, 50.12
09/09/15, 49.18, 49.80, 48.21, 49.27
09/08/15, 51.31, 51.69, 49.83, 50.00
09/04/15, 49.69, 49.91, 48.91, 49.10
09/03/15, 48.55, 51.49, 48.55, 50.09
09/02/15, 56.66, 56.78, 52.30, 52.30
09/01/15, 57.40, 60.69, 55.45, 56.33
08/31/15, 50.44, 55.56, 50.23, 53.91
08/28/15, 48.06, 53.00, 47.16, 50.22
08/27/15, 45.05, 47.44, 44.75, 46.14
08/26/15, 47.46, 51.34, 46.62, 46.99
08/25/15, 47.81, 49.57, 47.23, 47.23
08/24/15, 49.71, 54.62, 47.69, 48.18
08/21/15, 42.48, 45.72, 41.59, 43.40
08/20/15, 41.88, 43.49, 41.16, 41.55
08/19/15, 38.80, 46.32, 38.67, 41.23
08/18/15, 40.32, 40.33, 38.99, 39.25
08/17/15, 43.52, 43.53, 41.23, 41.23
08/14/15, 42.80, 46.25, 41.25, 41.26
08/13/15, 44.46, 45.76, 44.05, 44.49
08/12/15, 44.84, 54.93, 43.45, 43.45
08/11/15, 42.83, 44.58, 42.63, 43.30
08/10/15, 43.02, 43.83, 41.19, 41.19
08/07/15, 41.53, 42.53, 41.19, 41.19
08/06/15, 41.72, 43.76, 41.34, 41.34
08/05/15, 39.87, 41.22, 34.56, 40.28
08/04/15, 40.92, 41.68, 40.07, 40.42
08/03/15, 41.72, 42.65, 40.53, 41.31
07/31/15, 38.29, 39.57, 38.01, 38.54
07/30/15, 37.82, 38.69, 37.44, 37.71
07/29/15, 40.13, 45.46, 31.12, 38.02
07/28/15, 40.37, 41.23, 39.42, 39.59
07/27/15, 41.36, 41.53, 40.01, 40.02
07/24/15, 37.98, 39.74, 37.98, 38.17
07/23/15, 37.24, 39.76, 37.08, 38.50
07/22/15, 36.08, 47.47, 35.61, 37.22
07/21/15, 36.35, 36.69, 34.52, 34.60
07/20/15, 35.76, 36.82, 35.53, 35.99
07/17/15, 37.22, 37.44, 34.10, 34.10
07/16/15, 37.15, 37.92, 35.41, 35.41
07/15/15, 37.77, 42.29, 36.50, 36.70
07/14/15, 38.49, 39.06, 36.47, 36.47
07/13/15, 42.20, 42.56, 39.01, 39.01
07/10/15, 41.87, 43.05, 41.24, 41.24
07/09/15, 42.57, 43.46, 42.28, 42.34
07/08/15, 42.62, 43.37, 41.09, 41.83
07/07/15, 40.70, 45.02, 40.51, 41.30
07/06/15, 37.11, 41.36, 37.11, 41.36
07/02/15, 33.56, 34.32, 32.76, 33.69
07/01/15, 34.01, 35.87, 33.96, 35.13
06/30/15, 33.67, 34.16, 33.03, 33.03
06/29/15, 32.78, 34.17, 32.72, 33.59
06/26/15, 29.83, 30.05, 29.07, 29.25
06/25/15, 30.09, 30.19, 29.12, 29.12
06/24/15, 30.86, 33.37, 29.96, 29.96
06/23/15, 31.46, 31.47, 30.24, 30.42
06/22/15, 32.04, 32.62, 30.70, 30.70
06/19/15, 31.30, 32.07, 29.85, 29.85
06/18/15, 31.62, 32.35, 31.12, 31.12
06/17/15, 33.26, 34.31, 32.32, 32.44
06/16/15, 33.48, 34.00, 32.28, 32.29
06/15/15, 33.62, 34.07, 33.22, 33.26
06/12/15, 32.37, 32.51, 31.69, 31.77
06/11/15, 31.88, 32.77, 31.29, 31.42
06/10/15, 31.99, 39.30, 31.35, 31.36
06/09/15, 32.20, 33.06, 31.87, 32.60
06/08/15, 33.48, 33.84, 32.88, 32.88
06/05/15, 35.33, 36.48, 32.86, 32.86
06/04/15, 37.87, 39.29, 37.19, 37.25
06/03/15, 36.46, 39.74, 35.70, 36.81
06/02/15, 35.98, 36.07, 34.73, 34.73
06/01/15, 36.21, 36.73, 35.46, 35.46
05/29/15, 34.31, 34.32, 32.97, 33.99
05/28/15, 36.98, 37.18, 34.16, 34.16
05/27/15, 36.62, 36.98, 34.67, 35.85
05/26/15, 35.52, 36.78, 34.69, 35.35
05/22/15, 32.60, 33.12, 31.61, 31.61
05/21/15, 33.90, 34.07, 32.36, 32.36
05/20/15, 34.94, 36.09, 33.88, 33.88
05/19/15, 34.49, 36.29, 33.71, 36.24
05/18/15, 32.33, 32.70, 31.21, 31.88
05/15/15, 33.66, 35.10, 31.11, 31.11
05/14/15, 35.34, 35.34, 33.22, 33.22
05/13/15, 34.90, 38.98, 34.08, 34.49
05/12/15, 35.19, 35.77, 34.17, 34.17
05/11/15, 37.03, 37.06, 35.07, 35.07
05/08/15, 37.37, 38.63, 36.13, 36.13
05/07/15, 38.01, 39.52, 37.32, 38.74
05/06/15, 36.80, 39.88, 36.33, 36.65
05/05/15, 37.24, 37.24, 36.20, 36.52
05/04/15, 36.52, 37.31, 36.17, 36.17
05/01/15, 37.13, 37.17, 35.94, 35.94
04/30/15, 38.18, 38.72, 37.24, 37.24
04/29/15, 38.33, 42.16, 37.57, 37.70
04/28/15, 37.64, 38.69, 37.45, 38.42
04/27/15, 37.89, 38.59, 37.06, 37.90
04/24/15, 37.76, 38.75, 36.99, 36.99
04/23/15, 38.17, 39.51, 37.92, 37.92
04/22/15, 40.85, 43.73, 39.26, 39.26
04/21/15, 42.51, 42.79, 40.02, 41.03
04/20/15, 43.24, 43.40, 41.72, 41.72
04/17/15, 41.73, 42.77, 41.03, 41.47
04/16/15, 45.32, 45.49, 42.67, 42.67
04/15/15, 45.02, 51.80, 31.93, 44.95
04/14/15, 44.42, 44.91, 43.46, 43.47
04/13/15, 43.62, 45.51, 43.62, 44.47
04/10/15, 45.95, 46.20, 43.98, 43.98
04/09/15, 49.00, 49.00, 45.07, 46.38
04/08/15, 48.42, 56.92, 47.30, 49.50
04/07/15, 48.68, 48.76, 46.68, 46.68
04/06/15, 51.92, 52.07, 49.42, 49.98
04/02/15, 53.60, 54.81, 51.86, 51.99
04/01/15, 54.70, 57.57, 52.32, 52.98
03/31/15, 55.70, 57.46, 55.30, 56.25
03/30/15, 54.81, 55.32, 53.42, 53.75
03/27/15, 50.19, 53.30, 50.16, 53.28
03/26/15, 51.39, 53.70, 49.46, 49.46
03/25/15, 48.48, 51.45, 48.07, 48.97
03/24/15, 48.75, 50.77, 48.38, 49.45
03/23/15, 53.75, 53.76, 50.52, 51.38
