Date, Open, High, Low, Close, Volume
03/31/16, 20.71, 21.22, 20.28, 20.54, 35276854
03/30/16, 19.81, 21.00, 19.70, 20.96, 40381609
03/29/16, 20.30, 20.30, 19.50, 19.61, 27489557
03/28/16, 20.00, 21.18, 20.00, 20.66, 32370938
03/25/16, 20.22, 20.60, 19.10, 19.74, 33763003
03/24/16, 19.81, 21.70, 19.62, 20.41, 45464183
03/23/16, 19.69, 20.66, 19.38, 20.15, 41886048
03/22/16, 18.20, 20.46, 18.05, 19.95, 53090830
03/21/16, 18.70, 18.85, 18.00, 18.60, 38058856
03/18/16, 17.43, 18.86, 17.43, 18.38, 43283159
03/17/16, 16.68, 17.79, 16.49, 17.72, 41004589
03/16/16, 16.75, 17.10, 16.19, 16.49, 20869427
03/15/16, 16.70, 17.12, 16.25, 16.40, 21975518
03/14/16, 16.35, 17.56, 16.30, 16.94, 31718083
03/11/16, 16.45, 16.85, 16.00, 16.18, 23779904
03/10/16, 16.70, 17.49, 15.90, 16.98, 35662891
03/09/16, 16.80, 17.19, 16.35, 16.70, 35042083
03/08/16, 17.95, 18.75, 17.47, 18.05, 58825414
03/07/16, 16.50, 18.08, 16.50, 17.34, 41710836
03/04/16, 17.99, 17.99, 16.58, 16.58, 52232409
03/03/16, 17.59, 17.59, 17.59, 17.59, 4054049
03/02/16, 15.99, 15.99, 15.99, 15.99, 11389479
03/01/16, 14.44, 14.80, 13.19, 14.54, 23589209
02/29/16, 15.96, 16.00, 14.54, 14.54, 16568616
02/26/16, 15.51, 16.60, 15.51, 16.15, 29968153
02/25/16, 16.00, 16.20, 15.00, 15.55, 30662548
02/24/16, 15.82, 16.67, 15.53, 16.27, 33739003
02/23/16, 14.90, 16.38, 14.74, 15.90, 31320713
02/22/16, 14.69, 15.27, 14.55, 15.02, 22842435
02/19/16, 14.22, 14.65, 14.10, 14.61, 19038071
02/18/16, 14.55, 15.19, 14.28, 14.57, 30322217
02/17/16, 14.17, 14.45, 13.80, 14.44, 20691145
02/16/16, 13.82, 14.42, 13.81, 14.38, 28717708
02/15/16, 13.19, 14.24, 13.10, 14.07, 28723320
02/05/16, 12.63, 13.76, 12.63, 13.76, 33476794
02/04/16, 12.40, 12.90, 12.38, 12.51, 14150418
02/03/16, 12.58, 12.58, 11.81, 12.24, 16040568
02/02/16, 12.46, 13.09, 12.46, 12.77, 11667421
02/01/16, 12.52, 13.12, 12.10, 12.49, 14630137
01/29/16, 12.50, 13.33, 12.39, 13.00, 18285081
01/28/16, 13.18, 13.80, 12.68, 12.89, 22714615
01/27/16, 12.57, 13.58, 11.80, 13.57, 23400202
01/26/16, 13.62, 13.74, 12.65, 12.65, 19189110
01/25/16, 14.53, 14.59, 13.90, 14.05, 24651242
01/22/16, 13.76, 14.37, 13.55, 14.25, 31102653
01/21/16, 13.26, 14.57, 13.10, 13.51, 30925730
01/20/16, 13.70, 14.30, 13.53, 13.77, 36979352
01/19/16, 12.20, 13.57, 12.01, 13.57, 28446336
01/18/16, 11.80, 12.70, 11.38, 12.34, 18623507
01/15/16, 13.38, 13.58, 12.51, 12.51, 22420177
01/14/16, 13.00, 14.06, 12.68, 13.90, 35206271
01/13/16, 15.38, 15.58, 14.09, 14.09, 35165956
01/12/16, 14.51, 15.85, 14.31, 15.65, 40760185
01/11/16, 14.21, 15.79, 14.00, 14.75, 46191316
01/08/16, 13.95, 14.62, 13.02, 14.62, 35097676
01/07/16, 14.45, 14.77, 13.29, 13.29, 8606325
01/06/16, 13.51, 14.77, 13.41, 14.77, 30592956
01/05/16, 12.88, 13.77, 12.50, 13.43, 20637332
01/04/16, 15.17, 15.40, 13.77, 13.77, 14672387
12/31/15, 16.20, 16.24, 15.22, 15.30, 19238526
12/30/15, 16.38, 16.42, 15.95, 16.10, 20248103
12/29/15, 16.00, 16.39, 15.83, 16.37, 25933513
12/28/15, 16.80, 17.00, 15.98, 16.02, 36854724
12/25/15, 17.12, 17.98, 16.72, 16.90, 52258814
12/24/15, 16.40, 18.39, 15.75, 17.71, 71385772
12/23/15, 16.13, 17.28, 16.06, 16.72, 77631881
12/22/15, 14.39, 15.71, 14.30, 15.71, 33757159
12/21/15, 14.27, 14.40, 14.06, 14.28, 11374173
12/18/15, 14.58, 14.69, 14.21, 14.38, 18310059
12/17/15, 14.11, 14.97, 14.10, 14.74, 33096514
12/16/15, 14.63, 14.68, 14.04, 14.14, 30043139
12/15/15, 13.30, 14.34, 13.20, 14.34, 20608458
12/14/15, 12.58, 13.29, 12.51, 13.04, 11489661
12/11/15, 12.69, 12.82, 12.46, 12.77, 5859591
12/10/15, 12.62, 12.88, 12.51, 12.72, 6871971
12/09/15, 12.76, 12.94, 12.50, 12.59, 7692208
12/08/15, 13.19, 13.30, 12.58, 12.87, 10623437
12/07/15, 13.15, 13.35, 13.05, 13.22, 7400370
12/04/15, 12.80, 13.36, 12.68, 13.18, 15775891
12/03/15, 12.41, 12.85, 12.31, 12.80, 12261761
12/02/15, 12.49, 12.69, 11.88, 12.29, 9797613
12/01/15, 12.38, 12.66, 12.34, 12.44, 10164018
11/30/15, 12.61, 12.84, 11.71, 12.47, 15906879
11/27/15, 14.01, 14.26, 12.75, 12.84, 17623162
11/26/15, 14.58, 14.58, 14.10, 14.17, 16125877
11/25/15, 14.14, 14.49, 14.06, 14.49, 17855509
11/24/15, 13.96, 14.15, 13.70, 14.15, 10840958
11/23/15, 14.20, 14.66, 14.05, 14.10, 17288592
11/20/15, 13.92, 14.19, 13.81, 14.17, 15603209
11/19/15, 13.60, 13.92, 13.37, 13.92, 11523539
11/18/15, 13.88, 14.19, 13.53, 13.57, 11761815
11/17/15, 14.30, 14.50, 13.83, 13.86, 17822832
11/16/15, 13.60, 14.19, 13.55, 14.14, 16160145
11/13/15, 14.61, 15.08, 14.00, 14.06, 26132239
11/12/15, 14.39, 15.16, 14.39, 14.76, 37844227
11/11/15, 13.91, 14.77, 13.70, 14.59, 29156770
11/10/15, 13.60, 14.19, 13.45, 14.01, 26413506
11/09/15, 13.30, 14.08, 13.02, 13.74, 26905239
11/06/15, 13.34, 13.72, 13.22, 13.54, 23543472
11/05/15, 13.50, 13.69, 13.08, 13.33, 26463790
11/04/15, 12.85, 13.60, 12.70, 13.60, 25611944
11/03/15, 12.63, 13.03, 12.50, 12.87, 18780113
11/02/15, 13.00, 13.45, 12.35, 12.49, 24065452
10/30/15, 13.58, 13.84, 13.15, 13.32, 36080923
10/29/15, 12.67, 13.95, 12.48, 13.95, 53200040
10/28/15, 12.10, 12.99, 12.01, 12.68, 31877948
10/27/15, 12.29, 12.46, 11.41, 12.28, 19831969
10/26/15, 12.17, 12.50, 12.03, 12.36, 21906014
10/23/15, 11.66, 12.11, 11.48, 12.01, 20458952
10/22/15, 11.25, 11.76, 11.08, 11.66, 18700328
10/21/15, 12.51, 12.51, 11.31, 11.31, 25803196
10/20/15, 12.19, 12.66, 12.06, 12.57, 21317764
10/19/15, 12.44, 12.78, 12.02, 12.20, 23035654
10/16/15, 12.43, 12.56, 12.08, 12.43, 27738077
10/15/15, 11.63, 12.59, 11.60, 12.55, 35790759
10/14/15, 11.93, 12.47, 11.88, 12.08, 21338467
10/13/15, 11.80, 12.18, 11.72, 12.03, 19077857
10/12/15, 11.13, 12.13, 11.13, 12.02, 23001288
10/09/15, 10.90, 11.20, 10.81, 11.10, 16302217
10/08/15, 10.64, 11.18, 10.42, 11.04, 18612078
09/30/15, 10.32, 10.36, 10.12, 10.27, 6541375
09/29/15, 10.20, 10.35, 10.16, 10.23, 9552964
09/28/15, 10.19, 10.56, 10.01, 10.48, 10133098
09/25/15, 10.50, 10.57, 9.95, 10.20, 14933486
09/24/15, 10.25, 10.78, 10.25, 10.63, 17878530
09/23/15, 10.32, 10.58, 10.13, 10.19, 15454260
09/22/15, 10.60, 10.81, 10.27, 10.65, 24850263
09/21/15, 10.19, 10.69, 10.00, 10.62, 24811861
09/18/15, 9.67, 9.85, 9.45, 9.76, 11190250
09/17/15, 9.60, 10.35, 9.27, 9.60, 21044822
09/16/15, 8.81, 9.57, 8.79, 9.57, 13566341
09/15/15, 8.80, 9.20, 8.52, 8.70, 13185890
09/14/15, 10.40, 10.61, 9.34, 9.34, 13805694
09/11/15, 10.31, 10.58, 10.18, 10.38, 12999779
09/10/15, 10.23, 11.15, 10.12, 10.47, 24117180
09/09/15, 10.13, 10.50, 9.98, 10.50, 21738326
09/08/15, 9.25, 10.13, 8.95, 10.00, 14144063
09/07/15, 9.09, 9.56, 8.90, 9.25, 12748543
09/02/15, 8.73, 9.70, 8.52, 8.88, 15559748
09/01/15, 10.01, 10.02, 9.28, 9.28, 18298920
08/31/15, 11.49, 11.49, 10.31, 10.31, 17736910
08/28/15, 10.67, 11.45, 10.65, 11.45, 25843431
08/27/15, 10.53, 10.90, 9.36, 10.54, 21618546
08/26/15, 11.47, 11.78, 10.38, 10.38, 23319016
08/25/15, 11.53, 11.81, 11.53, 11.53, 9280810
08/24/15, 13.49, 13.60, 12.81, 12.81, 9073127
08/21/15, 14.94, 15.54, 14.01, 14.23, 16060719
08/20/15, 16.21, 16.21, 15.01, 15.15, 14682083
08/19/15, 14.80, 16.55, 14.51, 16.21, 22053699
08/18/15, 17.75, 17.75, 16.07, 16.07, 21639156
08/17/15, 17.42, 18.04, 17.01, 17.85, 24250968
08/14/15, 18.10, 18.37, 17.52, 17.63, 26588853
08/13/15, 17.10, 18.11, 16.90, 18.00, 28293535
08/12/15, 17.90, 18.18, 17.23, 17.39, 31171966
08/11/15, 18.10, 19.50, 17.33, 18.40, 61667481
08/10/15, 16.86, 18.04, 16.26, 18.04, 66426073
08/07/15, 16.28, 16.40, 16.04, 16.40, 52199627
08/06/15, 14.91, 14.91, 14.91, 14.91, 15544477
07/06/15, 16.33, 16.41, 13.55, 13.55, 13423416
07/03/15, 15.06, 15.86, 15.05, 15.05, 8968720
07/02/15, 18.59, 18.80, 16.72, 16.72, 10683099
07/01/15, 19.00, 21.00, 18.02, 18.58, 16360295
06/30/15, 17.00, 20.00, 16.97, 19.12, 17245285
06/29/15, 21.39, 21.39, 18.86, 18.86, 12092959
06/26/15, 22.07, 22.10, 20.96, 20.96, 5771796
06/25/15, 24.56, 24.60, 22.25, 23.29, 9347717
06/24/15, 24.42, 24.99, 23.64, 24.60, 9621593
06/23/15, 25.70, 25.95, 23.22, 24.28, 8173540
06/19/15, 28.00, 28.02, 25.78, 25.80, 7265140
06/18/15, 28.45, 29.18, 26.91, 28.57, 10351500
06/17/15, 27.86, 28.78, 27.11, 28.45, 10742453
06/16/15, 28.09, 28.10, 26.60, 27.88, 10055140
06/15/15, 29.50, 29.50, 27.50, 28.13, 13898924
06/12/15, 29.70, 29.97, 29.10, 29.52, 11613635
06/11/15, 30.15, 30.30, 29.00, 29.70, 10696940
06/10/15, 29.75, 30.85, 28.70, 30.19, 14972986
06/09/15, 30.00, 30.00, 28.16, 30.00, 13312133
06/08/15, 32.25, 32.80, 30.00, 30.20, 18941811
06/05/15, 30.00, 32.30, 29.99, 31.59, 24822680
06/04/15, 27.77, 30.52, 26.01, 29.80, 25916867
06/03/15, 26.98, 29.28, 26.75, 27.79, 28174814
06/02/15, 24.93, 27.30, 24.56, 27.30, 31280798
06/01/15, 23.20, 24.83, 23.01, 24.82, 28668578
05/29/15, 22.38, 23.43, 22.36, 23.20, 14972791
05/28/15, 23.35, 24.00, 22.00, 23.40, 17623979
05/27/15, 24.02, 24.14, 23.00, 23.40, 15024256
05/26/15, 23.76, 24.37, 23.44, 23.88, 17347928
05/25/15, 23.40, 23.91, 22.85, 23.78, 14748217
05/22/15, 22.76, 23.92, 22.24, 23.40, 21628948
05/21/15, 21.77, 22.78, 21.20, 22.75, 17925024
05/20/15, 21.70, 22.45, 21.46, 21.82, 14559046
05/19/15, 21.48, 21.97, 20.90, 21.71, 11327598
05/18/15, 21.80, 22.50, 20.85, 21.48, 16031626
05/15/15, 21.40, 23.09, 21.01, 22.18, 29391616
05/14/15, 20.70, 21.20, 20.03, 21.20, 9910581
05/13/15, 21.12, 21.28, 20.78, 20.87, 8979395
05/12/15, 21.58, 21.75, 20.85, 21.42, 15133334
05/11/15, 21.23, 21.71, 20.65, 21.58, 14699806
05/08/15, 20.05, 21.12, 20.05, 21.08, 12354353
05/07/15, 19.10, 20.10, 19.10, 20.05, 9622031
05/06/15, 19.22, 20.14, 19.05, 19.21, 8280446
05/05/15, 20.20, 20.35, 19.10, 19.23, 9946442
05/04/15, 20.70, 20.98, 19.99, 20.35, 9772645
04/30/15, 22.92, 22.92, 20.56, 21.29, 19456651
04/20/15, 21.88, 21.88, 20.80, 20.85, 17831033
04/17/15, 22.39, 24.63, 21.70, 22.10, 24743753
04/16/15, 22.01, 23.00, 21.10, 22.39, 19155409
04/15/15, 21.58, 22.90, 20.68, 21.68, 23020570
04/14/15, 20.89, 23.18, 20.50, 21.60, 26411101
04/13/15, 19.56, 21.09, 19.40, 21.09, 22885965
04/10/15, 17.91, 19.57, 17.55, 19.17, 14829575
04/09/15, 17.69, 18.06, 17.07, 17.92, 9595517
04/08/15, 18.40, 18.56, 17.50, 17.70, 12616860
04/07/15, 18.35, 18.58, 18.00, 18.39, 14059849
04/03/15, 17.48, 18.46, 17.40, 18.30, 16962763
04/02/15, 17.55, 17.62, 17.18, 17.40, 8442699
04/01/15, 17.29, 17.45, 17.04, 17.35, 6936443
03/31/15, 17.55, 17.98, 17.26, 17.31, 8572728
03/30/15, 16.97, 17.65, 16.90, 17.56, 14619984
03/27/15, 16.70, 16.94, 16.42, 16.82, 7720104
03/26/15, 16.85, 17.06, 16.31, 16.63, 12221100
03/25/15, 16.92, 17.15, 16.55, 17.00, 10050478
03/24/15, 17.28, 17.35, 16.60, 16.87, 11390377
03/23/15, 16.90, 17.76, 16.39, 17.28, 18514305
03/20/15, 17.28, 18.17, 17.05, 17.25, 12088856
03/19/15, 16.83, 17.39, 16.51, 17.20, 9580698
03/18/15, 16.04, 16.83, 15.81, 16.80, 11510546
03/17/15, 16.44, 16.98, 15.80, 16.03, 13066354
03/16/15, 15.42, 16.49, 15.31, 16.20, 12146015
03/13/15, 15.03, 15.45, 14.97, 15.38, 8571278
03/12/15, 14.75, 15.83, 14.68, 15.29, 15137483
