Date, Open, High, Low, Close
03/31/16, 927.88, 935.53, 924.46, 925.03
03/30/16, 925.15, 931.55, 919.65, 927.74
03/29/16, 917.30, 926.79, 915.08, 925.08
03/28/16, 911.62, 918.48, 910.65, 917.09
03/25/16, 914.78, 915.61, 910.18, 911.62
03/24/16, 917.61, 917.82, 911.34, 914.71
03/23/16, 927.92, 929.18, 916.57, 917.68
03/22/16, 925.55, 930.52, 922.94, 927.85
03/21/16, 931.41, 931.41, 925.48, 925.76
03/18/16, 924.29, 937.25, 922.59, 931.41
03/17/16, 925.76, 927.67, 914.85, 924.36
03/16/16, 908.54, 926.11, 905.23, 925.83
03/15/16, 911.85, 915.23, 905.35, 908.47
03/14/16, 918.49, 918.49, 908.56, 911.92
03/11/16, 909.78, 921.70, 908.69, 918.49
03/10/16, 918.19, 919.02, 906.11, 909.71
03/09/16, 918.00, 919.57, 905.81, 918.25
03/08/16, 922.65, 926.22, 916.77, 917.93
03/07/16, 921.75, 924.19, 916.10, 922.58
03/04/16, 915.29, 921.95, 905.85, 921.75
03/03/16, 922.68, 923.50, 910.60, 915.15
03/02/16, 924.59, 924.79, 917.07, 922.74
03/01/16, 914.46, 926.24, 913.85, 924.86
02/29/16, 914.49, 918.52, 909.45, 914.39
02/26/16, 911.75, 915.56, 910.40, 914.49
02/25/16, 904.33, 912.56, 898.08, 911.68
02/24/16, 897.20, 905.98, 893.94, 904.27
02/23/16, 902.40, 903.12, 895.38, 897.07
02/22/16, 894.49, 905.44, 892.80, 902.46
02/19/16, 899.25, 899.84, 889.19, 894.49
02/18/16, 903.72, 907.02, 897.62, 899.38
02/17/16, 889.39, 904.05, 888.18, 903.78
02/16/16, 889.48, 899.81, 886.26, 889.46
02/15/16, 889.84, 892.81, 888.26, 889.54
02/12/16, 875.86, 892.35, 875.61, 889.84
02/11/16, 886.23, 889.04, 870.80, 875.67
02/10/16, 900.68, 900.88, 881.80, 886.30
02/09/16, 907.30, 907.56, 894.68, 900.75
02/08/16, 907.89, 912.94, 903.92, 907.23
02/05/16, 913.67, 934.25, 907.63, 907.89
02/04/16, 928.74, 932.66, 911.61, 913.60
02/03/16, 917.86, 930.22, 916.19, 928.60
02/02/16, 927.23, 927.70, 916.10, 917.99
02/01/16, 926.02, 934.91, 919.65, 927.30
01/29/16, 924.38, 926.69, 917.30, 926.02
01/28/16, 918.67, 929.68, 915.08, 924.51
01/27/16, 914.58, 923.19, 912.13, 918.74
01/26/16, 912.93, 919.27, 901.24, 914.45
01/25/16, 921.20, 923.65, 912.80, 912.86
01/22/16, 912.25, 921.78, 910.56, 921.20
01/21/16, 890.77, 914.82, 890.28, 912.32
01/20/16, 891.18, 892.67, 879.55, 890.89
01/19/16, 891.60, 900.25, 890.50, 891.11
01/18/16, 895.07, 896.09, 889.78, 891.66
01/15/16, 896.38, 906.98, 894.02, 895.07
01/14/16, 904.40, 904.53, 894.39, 896.26
01/13/16, 912.00, 913.00, 901.89, 904.34
01/12/16, 914.64, 917.40, 908.56, 911.94
01/11/16, 911.95, 924.39, 911.11, 914.57
01/08/16, 917.77, 919.34, 911.56, 911.95
01/07/16, 922.07, 922.86, 913.95, 917.64
01/06/16, 938.10, 939.71, 919.92, 922.14
01/05/16, 937.22, 944.85, 936.56, 938.16
01/04/16, 943.20, 943.20, 935.14, 937.15
01/01/16, 944.42, 944.42, 943.20, 943.20
12/31/15, 948.52, 949.34, 939.87, 944.29
12/30/15, 948.79, 951.19, 945.19, 948.38
12/29/15, 944.16, 950.64, 942.12, 948.72
12/28/15, 947.25, 947.25, 941.83, 944.09
12/25/15, 950.74, 951.29, 945.60, 947.25
12/24/15, 942.88, 951.08, 942.13, 950.87
12/23/15, 936.28, 943.77, 935.95, 942.75
12/22/15, 932.10, 936.55, 931.77, 936.21
12/21/15, 934.15, 935.32, 929.84, 932.03
12/18/15, 935.79, 940.96, 931.22, 934.15
12/17/15, 945.94, 946.25, 932.72, 935.86
12/16/15, 944.62, 954.54, 941.30, 946.01
12/15/15, 943.72, 948.70, 942.22, 944.55
12/14/15, 942.28, 947.58, 940.43, 943.58
12/11/15, 941.72, 949.53, 940.55, 942.28
12/10/15, 948.60, 949.72, 940.55, 941.58
12/09/15, 947.89, 952.95, 945.74, 948.53
12/08/15, 956.55, 956.70, 945.39, 947.82
12/07/15, 933.70, 963.58, 931.19, 956.62
12/04/15, 970.99, 972.15, 929.87, 933.70
12/03/15, 972.49, 975.52, 967.73, 971.06
12/02/15, 974.18, 974.91, 967.71, 972.42
12/01/15, 974.07, 978.48, 972.21, 974.25
11/30/15, 974.28, 977.73, 971.07, 973.99
11/27/15, 975.82, 980.14, 973.99, 974.28
11/26/15, 978.33, 978.48, 973.62, 975.89
11/25/15, 975.08, 979.52, 974.64, 978.55
11/24/15, 971.23, 976.48, 969.62, 974.94
11/23/15, 966.89, 973.35, 966.36, 971.31
11/20/15, 971.92, 972.50, 966.24, 966.89
11/19/15, 967.56, 975.05, 966.62, 971.77
11/18/15, 969.79, 970.44, 962.79, 967.49
11/17/15, 970.49, 971.54, 964.50, 969.86
11/16/15, 954.55, 973.63, 953.55, 970.56
11/13/15, 964.38, 965.18, 952.69, 954.55
11/12/15, 970.56, 973.42, 960.84, 964.52
11/11/15, 970.17, 972.91, 967.10, 970.49
11/10/15, 973.32, 974.72, 968.49, 970.10
11/09/15, 960.13, 976.48, 959.62, 973.40
11/06/15, 975.51, 976.40, 959.05, 960.13
11/05/15, 970.84, 977.59, 966.75, 975.59
