Date, Open, High, Low, Close
03/31/16, 6.1639, 6.2103, 6.1382, 6.1406
03/30/16, 6.1059, 6.1883, 6.1017, 6.1630
03/29/16, 6.0540, 6.1166, 6.0210, 6.1054
03/28/16, 6.0157, 6.0618, 6.0094, 6.0526
03/25/16, 6.0265, 6.0343, 6.0062, 6.0157
03/24/16, 6.0533, 6.0547, 6.0039, 6.0260
03/23/16, 6.1200, 6.1394, 6.0465, 6.0538
03/22/16, 6.0979, 6.1358, 6.0906, 6.1195
03/21/16, 6.1373, 6.1406, 6.0975, 6.0993
03/18/16, 6.1648, 6.1758, 6.1195, 6.1373
03/17/16, 6.1019, 6.1658, 6.0305, 6.1653
03/16/16, 5.9810, 6.1043, 5.9622, 6.1024
03/15/16, 6.0218, 6.0269, 5.9600, 5.9805
03/14/16, 6.0454, 6.0454, 5.9943, 6.0222
03/11/16, 5.9904, 6.0665, 5.9833, 6.0454
03/10/16, 6.0368, 6.0423, 5.9663, 5.9900
03/09/16, 5.9687, 6.0459, 5.9554, 6.0372
03/08/16, 6.0195, 6.0204, 5.9514, 5.9682
03/07/16, 5.9959, 6.0295, 5.9768, 6.0190
03/04/16, 5.9764, 5.9972, 5.9148, 5.9959
03/03/16, 5.9681, 5.9912, 5.9440, 5.9755
03/02/16, 5.9708, 5.9790, 5.9319, 5.9685
03/01/16, 5.9099, 5.9815, 5.9060, 5.9726
02/29/16, 5.9208, 5.9737, 5.8982, 5.9095
02/26/16, 5.9125, 5.9238, 5.8918, 5.9208
02/25/16, 5.8393, 5.9178, 5.7986, 5.9121
02/24/16, 5.8005, 5.8499, 5.7643, 5.8388
02/23/16, 5.8344, 5.8450, 5.7888, 5.7996
02/22/16, 5.8094, 5.8541, 5.7985, 5.8348
02/19/16, 5.8375, 5.8413, 5.7750, 5.8094
02/18/16, 5.8668, 5.8815, 5.8269, 5.8383
02/17/16, 5.7831, 5.8690, 5.7752, 5.8673
02/16/16, 5.7938, 5.8600, 5.7628, 5.7835
02/15/16, 5.7920, 5.8371, 5.7859, 5.7942
02/12/16, 5.7585, 5.8084, 5.7452, 5.7920
02/11/16, 5.7648, 5.7831, 5.6957, 5.7572
02/10/16, 5.7821, 5.8090, 5.7258, 5.7652
02/09/16, 5.7575, 5.8165, 5.6986, 5.7825
02/08/16, 5.7610, 5.8186, 5.7360, 5.7570
02/05/16, 5.7363, 5.8365, 5.7326, 5.7610
02/04/16, 5.8311, 5.8558, 5.7234, 5.7359
02/03/16, 5.7035, 5.8405, 5.6783, 5.8303
02/02/16, 5.7459, 5.7488, 5.6925, 5.7043
02/01/16, 5.7357, 5.7755, 5.6989, 5.7463
01/29/16, 5.7221, 5.7398, 5.6817, 5.7357
01/28/16, 5.6933, 5.7549, 5.6712, 5.7229
01/27/16, 5.6862, 5.7213, 5.6554, 5.6937
01/26/16, 5.6174, 5.7153, 5.5877, 5.6854
01/25/16, 5.6849, 5.6992, 5.6167, 5.6170
01/22/16, 5.6454, 5.7166, 5.6391, 5.6849
01/21/16, 5.5564, 5.6613, 5.5533, 5.6458
01/20/16, 5.5110, 5.5683, 5.4424, 5.5571
01/19/16, 5.5161, 5.5696, 5.5069, 5.5106
01/18/16, 5.5189, 5.5439, 5.4971, 5.5164
01/15/16, 5.5872, 5.6208, 5.5125, 5.5189
01/14/16, 5.5745, 5.5988, 5.5135, 5.5864
01/13/16, 5.6020, 5.6410, 5.5590, 5.5741
01/12/16, 5.6206, 5.6522, 5.5809, 5.6016
01/11/16, 5.6417, 5.6806, 5.6024, 5.6202
01/08/16, 5.6620, 5.6806, 5.6251, 5.6417
01/07/16, 5.6677, 5.6874, 5.6240, 5.6612
01/06/16, 5.7849, 5.8006, 5.6545, 5.6681
01/05/16, 5.7199, 5.8173, 5.7195, 5.7853
01/04/16, 5.7771, 5.7945, 5.7072, 5.7194
01/01/16, 5.7846, 5.7846, 5.7771, 5.7771
12/31/15, 5.7736, 5.7909, 5.7576, 5.7838
12/30/15, 5.7674, 5.7967, 5.7533, 5.7728
12/29/15, 5.7424, 5.7787, 5.7273, 5.7670
12/28/15, 5.7593, 5.7593, 5.7310, 5.7420
12/25/15, 5.7683, 5.7717, 5.7493, 5.7593
12/24/15, 5.7658, 5.7764, 5.7467, 5.7691
12/23/15, 5.6952, 5.7712, 5.6839, 5.7649
12/22/15, 5.7023, 5.7043, 5.6757, 5.6948
12/21/15, 5.7087, 5.7227, 5.6884, 5.7018
12/18/15, 5.7677, 5.7839, 5.7045, 5.7087
12/17/15, 5.8416, 5.8623, 5.7488, 5.7681
12/16/15, 5.7974, 5.8578, 5.7941, 5.8420
12/15/15, 5.8082, 5.8262, 5.7827, 5.7970
12/14/15, 5.8090, 5.8319, 5.7879, 5.8073
12/11/15, 5.7757, 5.8664, 5.7650, 5.8090
12/10/15, 5.8448, 5.8517, 5.7685, 5.7748
12/09/15, 5.8756, 5.8796, 5.8272, 5.8443
12/08/15, 5.7376, 5.9400, 5.7320, 5.8752
12/07/15, 5.7828, 5.7884, 5.7265, 5.7380
12/04/15, 6.0071, 6.0161, 5.7591, 5.7828
12/03/15, 5.9816, 6.0305, 5.9706, 6.0075
12/02/15, 5.9619, 5.9964, 5.9381, 5.9811
12/01/15, 5.9743, 6.0017, 5.9499, 5.9623
11/30/15, 5.9886, 5.9967, 5.9653, 5.9738
11/27/15, 5.9873, 6.0093, 5.9698, 5.9886
11/26/15, 6.0343, 6.0352, 5.9806, 5.9877
11/25/15, 5.9984, 6.0356, 5.9855, 6.0356
11/24/15, 6.0019, 6.0165, 5.9702, 5.9975
11/23/15, 5.9989, 6.0194, 5.9823, 6.0023
11/20/15, 6.0096, 6.0337, 5.9852, 5.9989
11/19/15, 5.9963, 6.0223, 5.9905, 6.0087
11/18/15, 6.0363, 6.0609, 5.9667, 5.9959
11/17/15, 6.0176, 6.0426, 6.0122, 6.0367
11/16/15, 5.9920, 6.0435, 5.9857, 6.0180
11/13/15, 6.0045, 6.0137, 5.9486, 5.9920
11/12/15, 6.0250, 6.0309, 5.9825, 6.0054
11/11/15, 6.0135, 6.0395, 6.0063, 6.0245
11/10/15, 6.0589, 6.0892, 6.0031, 6.0130
11/09/15, 5.9991, 6.0931, 5.9960, 6.0593
11/06/15, 6.0665, 6.0721, 5.9924, 5.9991
11/05/15, 6.0891, 6.1471, 6.0587, 6.0670
11/04/15, 6.1339, 6.1513, 6.0701, 6.0895
11/03/15, 6.0966, 6.1434, 6.0821, 6.1330
11/02/15, 6.1062, 6.1086, 6.0844, 6.0961
10/30/15, 6.1436, 6.1557, 6.0509, 6.1062
10/29/15, 6.0520, 6.1614, 6.0456, 6.1431
10/28/15, 6.0190, 6.0992, 6.0140, 6.0525
10/27/15, 6.1059, 6.1064, 6.0163, 6.0185
10/26/15, 6.0666, 6.1217, 6.0574, 6.1068
10/23/15, 6.1171, 6.1331, 6.0514, 6.0666
10/22/15, 6.0786, 6.1195, 6.0759, 6.1176
10/21/15, 6.1176, 6.1465, 6.0777, 6.0791
10/20/15, 6.1279, 6.1433, 6.1030, 6.1185
10/19/15, 6.2250, 6.2269, 6.1241, 6.1283
10/16/15, 6.1861, 6.2390, 6.1813, 6.2250
10/15/15, 6.1535, 6.2016, 6.1215, 6.1847
10/14/15, 6.1169, 6.1655, 6.1153, 6.1540
10/13/15, 6.1353, 6.1551, 6.0968, 6.1164
10/12/15, 6.1283, 6.1728, 6.1217, 6.1357
10/09/15, 6.1349, 6.1940, 6.1066, 6.1283
10/08/15, 6.1108, 6.1524, 6.1042, 6.1354
10/07/15, 6.1386, 6.1508, 6.1024, 6.1117
10/06/15, 6.0975, 6.1434, 6.0919, 6.1391
10/05/15, 6.0697, 6.1031, 6.0314, 6.0984
10/02/15, 6.0524, 6.0701, 6.0252, 6.0697
