Date, Open, High, Low, Close
03/31/16, 3.0214, 3.0287, 2.9785, 2.9807
03/30/16, 3.0321, 3.0398, 3.0094, 3.0209
03/29/16, 3.0420, 3.0563, 3.0219, 3.0319
03/28/16, 3.0376, 3.0472, 3.0257, 3.0413
03/25/16, 3.0346, 3.0499, 3.0284, 3.0376
03/24/16, 3.0509, 3.0561, 3.0211, 3.0344
03/23/16, 3.0604, 3.0630, 3.0314, 3.0511
03/22/16, 3.0828, 3.1060, 3.0465, 3.0602
03/21/16, 3.1148, 3.1263, 3.0826, 3.0836
03/18/16, 3.1051, 3.1288, 3.0977, 3.1148
03/17/16, 3.1342, 3.1384, 3.0967, 3.1053
03/16/16, 3.1130, 3.1493, 3.0921, 3.1344
03/15/16, 3.1046, 3.1144, 3.0919, 3.1127
03/14/16, 3.0816, 3.1127, 3.0774, 3.1048
03/11/16, 3.0932, 3.0965, 3.0686, 3.0816
03/10/16, 3.0969, 3.1090, 3.0610, 3.0930
03/09/16, 3.0755, 3.1138, 3.0640, 3.0971
03/08/16, 3.0657, 3.0915, 3.0597, 3.0753
03/07/16, 3.0504, 3.0715, 3.0448, 3.0654
03/04/16, 3.0790, 3.0889, 3.0244, 3.0504
03/03/16, 3.0858, 3.0902, 3.0655, 3.0786
03/02/16, 3.0870, 3.1005, 3.0691, 3.0861
03/01/16, 3.0970, 3.1003, 3.0680, 3.0879
02/29/16, 3.1220, 3.1266, 3.0953, 3.0968
02/26/16, 3.1086, 3.1269, 3.0892, 3.1220
02/25/16, 3.0788, 3.1150, 3.0634, 3.1084
02/24/16, 3.0607, 3.1055, 3.0589, 3.0786
02/23/16, 3.0521, 3.0703, 3.0423, 3.0603
02/22/16, 3.0575, 3.0655, 3.0376, 3.0523
02/19/16, 3.0418, 3.0779, 3.0376, 3.0575
02/18/16, 3.0458, 3.0603, 3.0305, 3.0422
02/17/16, 3.0339, 3.0658, 3.0242, 3.0460
02/16/16, 2.9925, 3.0351, 2.9834, 3.0341
02/15/16, 2.9958, 3.0160, 2.9819, 2.9927
02/12/16, 2.9677, 3.0099, 2.9668, 2.9958
02/11/16, 2.9629, 2.9728, 2.9397, 2.9670
02/10/16, 3.0074, 3.0093, 2.9461, 2.9631
02/09/16, 3.0040, 3.0179, 2.9895, 3.0076
02/08/16, 2.9890, 3.0143, 2.9890, 3.0038
02/05/16, 2.9851, 3.0319, 2.9777, 2.9890
02/04/16, 3.0167, 3.0328, 2.9825, 2.9849
02/03/16, 3.0113, 3.0556, 3.0017, 3.0163
02/02/16, 2.9851, 3.0194, 2.9821, 3.0118
02/01/16, 2.9637, 2.9973, 2.9523, 2.9853
01/29/16, 2.9716, 2.9798, 2.9361, 2.9637
01/28/16, 3.0193, 3.0276, 2.9563, 2.9720
01/27/16, 3.0175, 3.0291, 2.9995, 3.0195
01/26/16, 2.9984, 3.0294, 2.9973, 3.0170
01/25/16, 3.0244, 3.0244, 2.9889, 2.9981
