Date, Open, High, Low, Close
03/31/16, 13.2920, 13.3740, 13.2210, 13.2830
03/30/16, 13.2660, 13.3340, 13.2160, 13.2860
03/29/16, 13.2210, 13.3200, 13.2020, 13.2640
03/28/16, 13.2200, 13.2790, 13.2070, 13.2200
03/25/16, 13.2930, 13.3130, 13.2040, 13.2200
03/24/16, 13.3190, 13.3510, 13.2600, 13.2940
03/23/16, 13.2800, 13.3240, 13.2330, 13.3200
03/22/16, 13.2880, 13.3600, 13.2590, 13.2790
03/21/16, 13.3730, 13.3900, 13.2860, 13.2910
03/18/16, 13.3450, 13.4090, 13.2880, 13.3730
03/17/16, 13.4340, 13.5010, 13.3430, 13.3470
03/16/16, 13.3930, 13.4820, 13.3580, 13.4360
03/15/16, 13.3810, 13.4260, 13.3460, 13.3910
03/14/16, 13.3960, 13.4450, 13.3530, 13.3830
03/11/16, 13.3460, 13.4330, 13.3310, 13.3960
03/10/16, 13.4050, 13.4170, 13.2600, 13.3470
03/09/16, 13.3690, 13.4130, 13.2350, 13.4100
03/08/16, 13.3620, 13.4010, 13.3300, 13.3700
03/07/16, 13.3430, 13.3810, 13.2920, 13.3630
03/04/16, 13.3710, 13.3840, 13.2190, 13.3430
03/03/16, 13.2860, 13.4130, 13.2700, 13.3720
03/02/16, 13.3600, 13.3620, 13.2310, 13.2850
03/01/16, 13.3940, 13.4230, 13.2610, 13.3590
02/29/16, 13.5240, 13.5390, 13.3300, 13.3910
02/26/16, 13.3970, 13.5280, 13.2970, 13.5240
02/25/16, 13.2910, 13.4150, 12.2530, 13.3980
02/24/16, 13.2020, 13.3030, 13.1620, 13.2880
02/23/16, 13.1900, 13.2520, 13.1390, 13.1990
02/22/16, 13.2340, 13.2510, 13.1350, 13.1890
02/19/16, 13.3270, 13.3390, 13.1750, 13.2340
02/18/16, 13.4290, 13.4560, 13.1900, 13.3290
02/17/16, 13.6190, 13.6550, 13.1540, 13.4310
02/16/16, 13.6100, 13.6700, 13.5230, 13.6200
02/15/16, 13.6540, 13.7240, 13.5830, 13.6120
02/12/16, 13.7390, 13.8120, 13.6270, 13.6540
02/11/16, 13.6000, 13.9200, 13.5760, 13.7380
02/10/16, 13.5570, 13.6000, 13.4530, 13.5970
02/09/16, 13.4030, 13.6340, 13.3810, 13.5580
02/08/16, 13.2540, 13.4750, 13.2500, 13.4020
02/05/16, 13.2910, 13.3410, 13.1840, 13.2540
02/04/16, 13.1830, 13.3470, 13.1730, 13.2890
02/03/16, 13.1470, 13.3770, 13.1220, 13.1860
02/02/16, 13.0730, 13.2040, 13.0530, 13.1480
02/01/16, 12.9570, 13.1080, 12.9550, 13.0720
01/29/16, 13.0630, 13.0740, 12.9050, 12.9570
01/28/16, 13.1010, 13.1160, 12.9780, 13.0620
01/27/16, 13.0760, 13.1360, 13.0230, 13.1040
01/26/16, 13.0170, 13.1420, 13.0160, 13.0740
01/25/16, 13.0600, 13.0820, 13.0040, 13.0150
01/22/16, 13.1280, 13.1480, 12.9640, 13.0600
01/21/16, 12.7720, 13.1580, 12.7440, 13.1290
01/20/16, 12.5380, 12.7970, 12.5290, 12.7740
01/19/16, 12.5060, 12.5750, 12.4900, 12.5370
01/18/16, 12.5670, 12.5880, 12.4800, 12.5050
01/15/16, 12.4420, 12.6210, 12.3480, 12.5670
01/14/16, 12.5130, 12.5160, 12.4190, 12.4430
01/13/16, 12.5460, 12.5660, 12.4660, 12.5150
01/12/16, 12.5790, 12.6060, 12.4890, 12.5470
01/11/16, 12.6540, 12.6770, 12.5710, 12.5800
01/08/16, 12.6410, 12.7040, 12.5740, 12.6540
01/07/16, 12.4590, 12.6520, 12.4450, 12.6430
01/06/16, 12.3860, 12.4630, 12.3690, 12.4630
01/05/16, 12.4050, 12.4610, 12.3710, 12.3870
01/04/16, 12.4170, 12.4940, 12.4040, 12.4040
01/01/16, 12.4300, 12.4600, 12.4170, 12.4170
12/31/15, 12.5240, 12.5410, 12.4040, 12.4280
12/30/15, 12.4630, 12.5260, 12.4210, 12.5210
12/29/15, 12.4020, 12.4950, 12.3450, 12.4640
12/28/15, 12.4790, 12.4970, 12.3980, 12.4070
12/25/15, 12.4760, 12.4940, 12.4530, 12.4790
12/24/15, 12.4360, 12.4980, 12.4200, 12.4770
12/23/15, 12.3500, 12.4460, 12.3350, 12.4310
12/22/15, 12.2940, 12.3710, 12.2660, 12.3490
12/21/15, 12.2720, 12.3350, 12.2050, 12.2930
12/18/15, 12.2300, 12.2950, 12.1310, 12.2720
12/17/15, 12.3200, 12.3460, 12.1480, 12.2290
12/16/15, 12.4610, 12.4770, 12.2960, 12.3230
12/15/15, 12.6100, 12.6600, 12.4520, 12.4590
12/14/15, 12.6450, 12.6870, 12.6010, 12.6080
12/11/15, 12.6180, 12.7540, 12.6010, 12.6450
12/10/15, 12.5660, 12.6420, 12.5540, 12.6200
12/09/15, 12.5320, 12.5860, 12.4820, 12.5650
12/08/15, 12.5140, 12.5550, 12.4930, 12.5270
12/07/15, 12.4640, 12.5550, 12.4320, 12.5120
12/04/15, 12.5120, 12.5620, 12.4400, 12.4640
12/03/15, 12.4130, 12.5550, 12.3990, 12.5130
12/02/15, 12.3660, 12.4430, 12.3270, 12.4150
12/01/15, 12.4060, 12.4260, 12.3420, 12.3700
11/30/15, 12.4310, 12.4860, 12.3830, 12.4040
11/27/15, 12.4570, 12.4710, 12.3750, 12.4310
11/26/15, 12.4170, 12.4670, 12.4060, 12.4580
11/25/15, 12.4250, 12.4550, 12.3930, 12.4180
11/24/15, 12.3800, 12.4360, 12.3370, 12.4260
11/23/15, 12.3910, 12.4100, 12.3440, 12.3810
11/20/15, 12.5110, 12.5240, 12.3590, 12.3910
11/19/15, 12.5820, 12.5950, 12.4640, 12.5090
11/18/15, 12.5580, 12.5870, 12.5400, 12.5800
11/17/15, 12.5770, 12.6080, 12.5490, 12.5560
11/16/15, 12.5220, 12.6090, 12.5220, 12.5800
11/13/15, 12.5920, 12.6310, 12.5130, 12.5220
11/12/15, 12.6130, 12.6320, 12.5590, 12.5930
11/11/15, 12.6200, 12.6390, 12.5680, 12.6120
11/10/15, 12.6200, 12.6920, 12.5990, 12.6180
11/09/15, 12.6350, 12.7430, 12.6190, 12.6190
11/06/15, 12.6090, 12.6910, 12.5870, 12.6350
11/05/15, 12.5760, 12.6300, 12.5450, 12.6080
11/04/15, 12.5540, 12.5850, 12.5130, 12.5750
11/03/15, 12.5570, 12.5770, 12.4870, 12.5560
11/02/15, 12.6130, 12.6260, 12.5460, 12.5550
10/30/15, 12.6260, 12.6610, 12.5440, 12.6130
10/29/15, 12.6120, 12.6600, 12.5780, 12.6250
10/28/15, 12.4700, 12.6200, 12.4540, 12.6140
10/27/15, 12.5690, 12.5820, 12.4480, 12.4680
10/26/15, 12.6010, 12.6130, 12.5410, 12.5660
10/23/15, 12.5880, 12.6130, 12.5170, 12.6010
10/22/15, 12.6740, 12.6920, 12.5640, 12.5870
10/21/15, 12.7600, 12.8140, 12.6630, 12.6750
10/20/15, 12.6620, 12.8070, 12.6450, 12.7610
10/19/15, 12.7190, 12.7460, 12.6540, 12.6630
10/16/15, 12.7420, 12.7870, 12.6540, 12.7190
10/15/15, 12.7340, 12.7640, 12.6860, 12.7390
10/14/15, 12.7730, 12.7990, 12.7050, 12.7310
10/13/15, 12.6640, 12.7950, 12.6400, 12.7750
10/12/15, 12.6920, 12.7300, 12.6500, 12.6660
10/09/15, 12.6420, 12.7380, 12.6370, 12.6920
10/08/15, 12.7530, 12.7900, 12.6400, 12.6430
10/07/15, 12.7760, 12.7940, 12.7010, 12.7550
10/06/15, 12.8350, 12.8660, 12.7370, 12.7780
10/05/15, 12.7400, 12.8340, 12.6650, 12.8310
10/02/15, 12.7530, 12.8630, 12.6760, 12.7400
10/01/15, 12.7110, 12.7630, 12.6550, 12.7520
09/30/15, 12.6840, 12.7130, 12.5830, 12.7070
09/29/15, 12.7470, 12.7880, 12.6580, 12.6820
09/28/15, 12.7290, 12.8080, 12.6860, 12.7400
09/25/15, 12.6790, 12.7780, 12.5500, 12.7290
09/24/15, 12.8500, 12.9410, 12.6150, 12.6810
09/23/15, 12.7220, 12.8820, 12.7070, 12.8520
09/22/15, 12.5710, 12.7670, 12.5660, 12.7230
09/21/15, 12.5940, 12.6380, 12.5540, 12.5700
09/18/15, 12.5930, 12.6780, 12.5640, 12.5930
09/17/15, 12.5610, 12.6140, 12.5030, 12.5920
09/16/15, 12.5970, 12.6170, 12.5410, 12.5630
09/15/15, 12.6270, 12.6710, 12.5940, 12.5950
09/14/15, 12.6950, 12.7180, 12.6250, 12.6250
09/11/15, 12.6610, 12.7060, 12.6070, 12.6950
09/10/15, 12.6920, 12.8190, 12.6480, 12.6620
09/09/15, 12.7370, 12.7500, 12.6380, 12.6910
09/08/15, 12.7730, 12.7830, 12.6900, 12.7360
09/07/15, 12.7560, 12.7910, 12.7370, 12.7710
09/04/15, 12.7480, 12.8180, 12.6740, 12.7560
09/03/15, 12.6790, 12.7720, 12.6740, 12.7470
09/02/15, 12.7990, 12.8200, 12.6560, 12.6760
09/01/15, 12.7470, 12.8660, 12.7310, 12.7940
08/31/15, 12.6880, 12.7540, 12.5860, 12.7460
08/28/15, 12.7850, 12.8120, 12.6280, 12.6880
08/27/15, 12.8000, 12.8530, 12.6990, 12.7870
08/26/15, 12.9020, 12.9760, 12.7530, 12.7990
08/25/15, 12.9460, 12.9490, 12.7630, 12.8990
08/24/15, 12.8820, 12.9890, 12.8770, 12.9470
08/21/15, 12.8460, 12.9430, 12.8180, 12.8820
08/20/15, 12.6620, 12.8510, 12.6470, 12.8470
08/19/15, 12.5610, 12.6720, 12.5240, 12.6630
08/18/15, 12.5610, 12.5810, 12.5290, 12.5630
08/17/15, 12.5050, 12.5620, 12.4920, 12.5590
08/14/15, 12.5580, 12.5780, 12.5020, 12.5050
08/13/15, 12.5410, 12.5680, 12.4630, 12.5560
08/12/15, 12.4380, 12.5930, 12.4330, 12.5400
08/11/15, 12.4290, 12.4890, 12.4100, 12.4400
