Date, Open, High, Low, Close, Volume
03/31/16, 12.35, 12.70, 12.30, 12.56, 21285019
03/30/16, 12.55, 12.65, 12.27, 12.52, 20906871
03/29/16, 12.38, 12.41, 12.05, 12.17, 15651947
03/28/16, 12.23, 12.57, 12.10, 12.42, 24628129
03/25/16, 12.39, 12.45, 11.83, 12.23, 27732618
03/24/16, 12.71, 12.79, 12.37, 12.40, 34021448
03/23/16, 13.58, 13.75, 13.09, 13.32, 35476756
03/22/16, 13.64, 14.18, 13.05, 13.85, 44122191
03/21/16, 13.23, 13.96, 13.21, 13.71, 46158617
03/18/16, 13.66, 14.07, 13.35, 13.65, 50334683
03/17/16, 13.12, 13.30, 12.78, 13.03, 45386296
03/16/16, 12.49, 12.93, 12.30, 12.77, 33547009
03/15/16, 12.80, 13.04, 12.18, 12.51, 40470391
03/14/16, 12.03, 13.48, 11.80, 13.30, 52598922
03/11/16, 12.70, 12.95, 12.25, 12.32, 44468046
03/10/16, 12.25, 13.08, 12.02, 12.25, 51639192
03/09/16, 12.85, 13.15, 12.33, 12.47, 55883570
03/08/16, 13.01, 14.45, 12.90, 13.36, 91859836
03/07/16, 12.60, 13.30, 12.09, 13.30, 92055420
03/04/16, 12.20, 12.54, 11.98, 12.09, 91075080
03/03/16, 10.25, 11.40, 10.20, 11.40, 40956937
03/02/16, 9.55, 10.53, 9.48, 10.36, 19830124
03/01/16, 9.31, 9.78, 9.18, 9.69, 14277153
02/29/16, 9.68, 9.75, 9.00, 9.20, 12448097
02/26/16, 10.02, 10.13, 9.68, 9.92, 13902458
02/25/16, 10.97, 11.11, 9.96, 9.96, 25090027
02/24/16, 10.70, 11.28, 10.56, 11.07, 32521265
02/23/16, 10.39, 10.85, 10.34, 10.85, 22318619
02/22/16, 10.46, 10.73, 10.32, 10.53, 18628683
02/19/16, 10.44, 10.65, 10.30, 10.40, 16003757
02/18/16, 10.66, 10.67, 10.21, 10.27, 20440659
02/17/16, 10.60, 10.87, 10.50, 10.66, 24930359
02/16/16, 10.60, 11.26, 10.31, 10.97, 44266729
02/15/16, 10.38, 10.93, 10.31, 10.93, 41292849
02/05/16, 10.30, 10.59, 9.92, 9.94, 33139357
02/04/16, 8.97, 9.63, 8.97, 9.63, 9091184
02/03/16, 8.51, 8.79, 8.41, 8.75, 7445469
02/02/16, 8.39, 8.63, 8.35, 8.60, 6943107
02/01/16, 8.40, 8.56, 8.20, 8.33, 5724622
01/29/16, 8.10, 8.58, 7.96, 8.42, 9133476
01/28/16, 8.35, 8.47, 8.05, 8.12, 6450920
01/27/16, 8.56, 8.70, 8.03, 8.43, 9674945
01/26/16, 9.00, 9.06, 8.40, 8.44, 8364248
01/25/16, 9.04, 9.17, 8.96, 9.10, 5247951
01/22/16, 8.92, 9.04, 8.65, 8.96, 7226249
01/21/16, 9.10, 9.38, 8.75, 8.79, 10208787
01/20/16, 9.08, 9.55, 8.97, 9.27, 11301673
01/19/16, 8.78, 9.17, 8.75, 9.11, 7885337
01/18/16, 8.44, 8.95, 8.41, 8.82, 6809377
01/15/16, 9.00, 9.08, 8.60, 8.64, 8300563
01/14/16, 8.55, 9.14, 8.46, 9.09, 9455188
01/13/16, 9.30, 9.34, 8.68, 8.79, 10023062
01/12/16, 9.22, 9.44, 8.93, 9.19, 12033769
01/11/16, 10.11, 10.29, 9.47, 9.47, 18435550
01/08/16, 10.88, 10.88, 9.81, 10.52, 17889167
01/07/16, 11.10, 11.24, 10.21, 10.28, 2788900
01/06/16, 10.83, 11.49, 10.83, 11.33, 12699382
01/05/16, 10.28, 11.09, 10.06, 10.86, 15979024
01/04/16, 11.75, 11.76, 10.59, 10.61, 9855539
12/31/15, 12.03, 12.11, 11.73, 11.75, 8734889
12/30/15, 12.00, 12.16, 11.98, 12.07, 8302233
12/29/15, 11.84, 12.01, 11.65, 12.01, 11334193
12/28/15, 12.14, 12.24, 11.93, 11.93, 15001169
12/25/15, 12.41, 12.48, 12.08, 12.18, 11098370
12/24/15, 12.05, 12.28, 11.93, 12.22, 14935260
12/23/15, 12.30, 12.35, 11.96, 11.96, 14017440
12/22/15, 12.24, 12.44, 12.13, 12.36, 15958209
12/21/15, 12.13, 12.21, 11.94, 12.20, 12189534
12/18/15, 12.15, 12.23, 11.83, 12.05, 17335347
12/17/15, 11.99, 12.33, 11.98, 12.30, 19908989
12/16/15, 11.90, 12.20, 11.83, 12.00, 15082226
12/15/15, 11.80, 11.95, 11.64, 11.88, 13755684
12/14/15, 11.20, 12.28, 11.16, 11.99, 22597436
12/11/15, 11.20, 11.44, 10.99, 11.29, 11116269
12/10/15, 11.22, 11.48, 11.10, 11.20, 15801751
12/09/15, 11.60, 11.95, 11.48, 11.60, 12406419
12/08/15, 11.99, 12.15, 11.69, 11.75, 16315489
12/07/15, 12.27, 12.55, 12.17, 12.33, 17836910
12/04/15, 11.78, 12.20, 11.77, 11.95, 18383712
12/03/15, 11.46, 11.75, 11.32, 11.75, 11404015
12/02/15, 11.63, 11.79, 11.09, 11.46, 13542254
12/01/15, 11.40, 12.00, 11.33, 11.75, 17636014
11/30/15, 11.70, 11.87, 10.65, 11.45, 25395486
11/27/15, 12.80, 13.14, 11.78, 11.78, 30209600
11/26/15, 13.27, 13.85, 12.83, 13.09, 35022287
11/25/15, 13.40, 14.00, 13.26, 13.50, 30867266
11/24/15, 13.02, 13.44, 13.00, 13.27, 34052149
11/23/15, 12.95, 14.39, 12.90, 13.78, 67816218
11/20/15, 13.82, 13.82, 13.02, 13.08, 83603794
11/19/15, 11.77, 12.56, 11.58, 12.56, 20914262
11/18/15, 11.30, 11.99, 11.17, 11.42, 21204742
11/17/15, 11.50, 11.86, 11.30, 11.33, 23389173
11/16/15, 10.87, 11.65, 10.87, 11.65, 22186286
11/13/15, 11.10, 11.30, 10.68, 11.00, 20410354
11/12/15, 11.10, 11.87, 11.04, 11.38, 28462682
11/11/15, 11.08, 11.19, 10.91, 11.07, 24243740
11/10/15, 10.46, 11.51, 10.40, 11.28, 36749158
11/09/15, 10.25, 10.75, 10.13, 10.61, 24654713
11/06/15, 10.15, 10.52, 10.05, 10.51, 23488315
11/05/15, 10.06, 10.35, 9.97, 10.18, 25503798
11/04/15, 9.66, 10.09, 9.66, 10.07, 16429323
11/03/15, 9.63, 9.77, 9.58, 9.64, 8742897
11/02/15, 9.62, 9.89, 9.51, 9.65, 9358701
10/30/15, 9.90, 9.99, 9.72, 9.85, 13814555
10/29/15, 10.11, 10.17, 9.98, 10.05, 15096062
10/28/15, 10.14, 10.36, 9.96, 10.13, 20492023
10/27/15, 10.12, 10.33, 9.81, 10.25, 23095676
10/26/15, 10.09, 10.45, 9.86, 10.37, 31547673
10/23/15, 9.60, 9.91, 9.51, 9.85, 18100966
10/22/15, 9.33, 9.61, 9.17, 9.55, 16548976
10/21/15, 10.11, 10.25, 9.18, 9.35, 28672199
10/20/15, 9.72, 10.09, 9.65, 10.02, 20953999
10/19/15, 9.90, 9.94, 9.65, 9.79, 19034855
10/16/15, 10.00, 10.07, 9.65, 9.94, 28552496
10/15/15, 9.94, 10.06, 9.76, 10.02, 20319485
10/14/15, 9.80, 10.24, 9.70, 9.75, 26150738
10/13/15, 9.63, 9.88, 9.56, 9.75, 24358006
10/12/15, 9.08, 9.82, 8.95, 9.82, 36428758
10/09/15, 8.63, 9.06, 8.58, 8.93, 21299589
10/08/15, 8.80, 8.84, 8.51, 8.63, 18488719
09/30/15, 8.16, 8.30, 8.16, 8.24, 7646691
09/29/15, 8.18, 8.25, 8.10, 8.15, 7673090
09/28/15, 8.28, 8.41, 8.08, 8.39, 10373033
09/25/15, 8.65, 8.81, 8.30, 8.38, 18328398
09/24/15, 8.48, 8.56, 8.39, 8.53, 10791678
09/23/15, 8.49, 8.54, 8.31, 8.41, 13998151
09/22/15, 8.62, 8.78, 8.47, 8.67, 18986748
09/21/15, 8.28, 8.66, 8.18, 8.62, 15755640
09/18/15, 8.46, 8.58, 8.13, 8.35, 13624425
09/17/15, 8.50, 8.74, 8.33, 8.34, 21823251
09/16/15, 8.00, 8.64, 7.87, 8.54, 18481883
09/15/15, 8.23, 8.57, 7.81, 7.85, 17401029
09/14/15, 9.45, 9.51, 8.50, 8.50, 21930900
09/11/15, 9.39, 9.60, 9.32, 9.44, 16640579
09/10/15, 9.35, 9.60, 9.13, 9.29, 22246974
09/09/15, 9.33, 9.78, 9.25, 9.62, 28686758
09/08/15, 8.85, 9.34, 8.60, 9.24, 22232175
09/07/15, 9.09, 9.46, 8.89, 8.96, 22539497
09/02/15, 8.92, 9.88, 8.92, 8.92, 36519302
09/01/15, 11.07, 11.68, 9.91, 9.91, 65116522
08/31/15, 10.50, 11.01, 10.30, 11.01, 25550140
08/28/15, 9.55, 10.10, 9.36, 10.01, 23574876
08/27/15, 10.11, 10.27, 9.10, 9.28, 29919126
08/26/15, 10.11, 10.96, 10.11, 10.11, 40557962
08/25/15, 11.23, 11.23, 11.23, 11.23, 432800
08/24/15, 12.48, 12.48, 12.48, 12.48, 2062900
04/17/15, 14.00, 14.31, 13.85, 13.92, 16602973.2
04/16/15, 13.59, 14.07, 13.43, 13.91, 16522710.6
04/15/15, 14.41, 14.54, 13.59, 13.64, 22776567
04/14/15, 15.05, 15.05, 14.50, 14.58, 22142771.2
04/13/15, 15.25, 15.51, 15.08, 15.14, 26139880.8
04/10/15, 14.57, 15.22, 14.47, 15.09, 27156100.4
04/09/15, 15.00, 15.00, 13.89, 14.81, 35808709.2
04/08/15, 14.77, 15.65, 14.51, 15.13, 47883400.4
04/07/15, 13.80, 15.00, 13.80, 14.65, 32781520.2
04/03/15, 13.45, 13.73, 13.38, 13.67, 28977058
04/02/15, 13.35, 13.76, 13.26, 13.58, 28231867.4
04/01/15, 12.86, 13.57, 12.78, 13.31, 31281762.6
03/31/15, 13.00, 13.06, 12.73, 12.84, 21915449.6
03/30/15, 13.03, 13.20, 12.77, 12.88, 21675154.6
03/27/15, 12.94, 13.11, 12.75, 13.03, 18869397.8
03/26/15, 13.00, 13.22, 12.60, 12.94, 20691616
03/25/15, 12.81, 13.40, 12.74, 13.23, 27026656.8
03/24/15, 12.95, 13.12, 12.50, 12.92, 29993180.8
03/23/15, 12.50, 13.14, 12.40, 12.87, 32257911.4
03/20/15, 12.15, 12.41, 12.11, 12.30, 20340482.8
03/19/15, 12.25, 12.62, 12.00, 12.20, 29595720
03/18/15, 11.93, 12.22, 11.84, 12.15, 20526116.6
03/17/15, 11.82, 12.05, 11.72, 11.89, 18380241
03/16/15, 11.60, 11.81, 11.56, 11.78, 18577059.6
03/13/15, 11.51, 11.59, 11.47, 11.57, 8399993.8
03/12/15, 11.61, 11.62, 11.40, 11.51, 6906666.8
03/11/15, 11.58, 11.58, 11.40, 11.49, 8306819.4
03/10/15, 11.75, 11.76, 11.59, 11.61, 9997486.4
03/09/15, 11.41, 11.75, 11.41, 11.72, 10012213.2
03/06/15, 11.52, 11.75, 11.36, 11.64, 13241960.6
03/05/15, 11.49, 11.55, 11.22, 11.54, 10558985.8
03/04/15, 11.41, 11.58, 11.39, 11.49, 8281574.4
03/03/15, 11.32, 11.63, 11.28, 11.47, 12908482.4
03/02/15, 11.16, 11.50, 11.12, 11.47, 14846601
02/27/15, 11.07, 11.16, 10.91, 11.12, 9387199.8
02/26/15, 10.86, 11.07, 10.82, 11.06, 8951683.4
02/25/15, 11.06, 11.06, 10.81, 10.84, 6377298.4
02/17/15, 11.18, 11.20, 10.98, 11.05, 7607919
02/16/15, 11.03, 11.20, 10.96, 11.16, 9836664.2
02/13/15, 11.32, 11.35, 11.02, 11.02, 17496441.6
02/12/15, 10.67, 10.72, 10.56, 10.67, 4970644.8
02/11/15, 10.52, 10.72, 10.52, 10.67, 6452916.8
02/10/15, 10.45, 10.56, 10.38, 10.52, 5208579.2
02/09/15, 10.42, 10.51, 10.28, 10.46, 5608116.8
02/06/15, 10.59, 10.61, 10.41, 10.53, 6503382.6
02/05/15, 10.98, 11.02, 10.64, 10.64, 12309248.6
02/04/15, 10.98, 11.00, 10.86, 10.91, 10941398.6
02/03/15, 11.02, 11.07, 10.88, 10.98, 11773132.8
02/02/15, 11.03, 11.14, 10.87, 10.98, 6879921.4
01/30/15, 11.59, 11.61, 11.05, 11.06, 12927208.8
01/29/15, 11.59, 11.80, 11.48, 11.70, 6729384.2
01/28/15, 11.82, 11.83, 11.45, 11.58, 9001847.8
01/27/15, 11.98, 11.99, 11.73, 11.83, 4879824.4
01/26/15, 11.96, 12.13, 11.89, 12.11, 5495534
01/23/15, 12.26, 12.34, 11.91, 12.10, 14306481.2
01/22/15, 11.81, 12.38, 11.65, 12.32, 14834023.6
01/21/15, 11.94, 12.20, 11.88, 11.96, 9701586.4
01/20/15, 11.49, 11.80, 11.39, 11.76, 6534585.2
01/19/15, 11.34, 11.76, 11.05, 11.35, 7863158.6
01/16/15, 11.30, 11.55, 11.30, 11.37, 5069440.2
01/15/15, 10.91, 11.10, 10.87, 11.03, 2570988.2
01/14/15, 11.20, 11.26, 10.96, 10.99, 2619269.4
01/13/15, 11.14, 11.36, 11.06, 11.18, 2640173.8
01/12/15, 11.30, 11.39, 10.97, 10.99, 3003435.6
01/09/15, 11.28, 11.48, 11.23, 11.27, 3283882.8
01/08/15, 11.55, 11.55, 11.33, 11.39, 4643680.8
01/07/15, 11.51, 12.23, 11.51, 11.68, 9410678.2
01/06/15, 11.37, 11.59, 11.17, 11.51, 5704619.8
01/05/15, 11.19, 11.59, 10.95, 11.50, 7122066.6
