Date, Open, High, Low, Close, Volume
03/31/16, 0.015, 0.015, 0.015, 0.015, 33500
03/30/16, 0.015, 0.015, 0.015, 0.015, 0
03/29/16, 0.015, 0.015, 0.015, 0.015, 0
03/24/16, 0.015, 0.015, 0.015, 0.015, 0
03/23/16, 0.013, 0.013, 0.013, 0.013, 0
03/22/16, 0.013, 0.013, 0.013, 0.013, 0
03/21/16, 0.013, 0.013, 0.013, 0.013, 0
03/18/16, 0.02, 0.021, 0.02, 0.02, 150000
03/17/16, 0.02, 0.02, 0.02, 0.02, 0
03/16/16, 0.015, 0.015, 0.015, 0.015, 0
03/15/16, 0.015, 0.015, 0.015, 0.015, 0
03/14/16, 0.013, 0.013, 0.013, 0.013, 0
03/11/16, 0.012, 0.012, 0.012, 0.012, 5000
03/10/16, 0.015, 0.015, 0.015, 0.015, 120000
03/09/16, 0.014, 0.015, 0.014, 0.015, 115000
03/08/16, 0.014, 0.014, 0.014, 0.014, 30000
03/07/16, 0.012, 0.012, 0.012, 0.012, 0
03/04/16, 0.012, 0.012, 0.012, 0.012, 0
03/03/16, 0.012, 0.012, 0.012, 0.012, 0
03/02/16, 0.015, 0.015, 0.015, 0.015, 0
03/01/16, 0.017, 0.017, 0.015, 0.015, 126211
02/29/16, 0.02, 0.02, 0.017, 0.017, 627865
02/26/16, 0.02, 0.02, 0.02, 0.02, 0
02/25/16, 0.02, 0.02, 0.02, 0.02, 0
02/24/16, 0.02, 0.02, 0.02, 0.02, 0
02/23/16, 0.02, 0.02, 0.02, 0.02, 0
02/19/16, 0.02, 0.02, 0.02, 0.02, 0
02/18/16, 0.02, 0.02, 0.02, 0.02, 0
02/17/16, 0.02, 0.02, 0.02, 0.02, 0
02/16/16, 0.02, 0.02, 0.02, 0.02, 0
02/15/16, 0.02, 0.02, 0.02, 0.02, 0
02/12/16, 0.02, 0.02, 0.02, 0.02, 0
02/11/16, 0.025, 0.025, 0.025, 0.025, 100000
02/10/16, 0.02, 0.02, 0.02, 0.02, 0
02/09/16, 0.02, 0.02, 0.02, 0.02, 0
02/08/16, 0.025, 0.025, 0.025, 0.025, 20000
02/05/16, 0.025, 0.025, 0.025, 0.025, 0
02/04/16, 0.02, 0.02, 0.02, 0.02, 0
02/03/16, 0.02, 0.02, 0.02, 0.02, 0
02/02/16, 0.02, 0.02, 0.02, 0.02, 0
02/01/16, 0.02, 0.02, 0.02, 0.02, 0
