Date, Open, High, Low, Close, Volume
03/31/16, 3.52, 3.66, 3.49, 3.58, 134070476
03/30/16, 3.47, 3.54, 3.46, 3.51, 65422688
03/29/16, 3.49, 3.53, 3.44, 3.45, 56634972
03/28/16, 3.46, 3.54, 3.43, 3.48, 58987322
03/25/16, 3.45, 3.50, 3.41, 3.46, 45026276
03/24/16, 3.50, 3.53, 3.46, 3.47, 86993444
03/23/16, 3.49, 3.74, 3.46, 3.59, 118023358
03/22/16, 3.54, 3.55, 3.48, 3.50, 68770036
03/21/16, 3.51, 3.57, 3.48, 3.56, 101809302
03/18/16, 3.40, 3.54, 3.40, 3.51, 95207219
03/17/16, 3.37, 3.41, 3.34, 3.40, 48565631
03/16/16, 3.38, 3.40, 3.32, 3.34, 32783871
03/15/16, 3.42, 3.43, 3.35, 3.38, 43858532
03/14/16, 3.42, 3.48, 3.39, 3.45, 58188498
03/11/16, 3.38, 3.42, 3.33, 3.38, 27975712
03/10/16, 3.45, 3.50, 3.36, 3.38, 37661753
03/09/16, 3.45, 3.50, 3.40, 3.43, 72656545
03/08/16, 3.72, 3.72, 3.55, 3.62, 104705748
03/07/16, 3.59, 3.75, 3.53, 3.70, 131682999
03/04/16, 3.54, 3.67, 3.38, 3.50, 102686978
03/03/16, 3.52, 3.73, 3.48, 3.56, 134988702
03/02/16, 3.30, 3.56, 3.20, 3.53, 116269081
03/01/16, 3.21, 3.40, 3.20, 3.33, 61418467
02/29/16, 3.29, 3.34, 3.08, 3.22, 53948085
02/26/16, 3.26, 3.35, 3.24, 3.32, 49677491
02/25/16, 3.59, 3.61, 3.23, 3.26, 80904886
02/24/16, 3.63, 3.64, 3.53, 3.58, 54228785
02/23/16, 3.59, 3.68, 3.58, 3.62, 65228345
02/22/16, 3.55, 3.69, 3.54, 3.62, 83188180
02/19/16, 3.49, 3.56, 3.48, 3.51, 93832304
02/18/16, 3.47, 3.77, 3.42, 3.59, 165970572
02/17/16, 3.43, 3.44, 3.38, 3.43, 59594465
02/16/16, 3.39, 3.49, 3.34, 3.45, 86102651
02/15/16, 3.19, 3.47, 3.13, 3.40, 78306048
02/05/16, 3.36, 3.37, 3.26, 3.27, 55183064
02/04/16, 3.21, 3.44, 3.21, 3.36, 84998577
02/03/16, 3.14, 3.24, 3.11, 3.20, 40148018
02/02/16, 3.10, 3.19, 3.10, 3.17, 39558867
02/01/16, 3.15, 3.17, 3.06, 3.10, 40839622
01/29/16, 3.06, 3.30, 3.04, 3.20, 54800219
01/28/16, 3.22, 3.26, 3.04, 3.06, 45192909
01/27/16, 3.39, 3.45, 3.10, 3.28, 61231590
01/26/16, 3.71, 3.71, 3.37, 3.40, 65886210
01/25/16, 3.71, 3.79, 3.71, 3.74, 39703352
01/22/16, 3.70, 3.78, 3.66, 3.73, 41969999
01/21/16, 3.78, 3.84, 3.68, 3.69, 51823599
01/20/16, 3.87, 3.93, 3.81, 3.84, 55917072
01/19/16, 3.82, 3.90, 3.76, 3.90, 71412121
01/18/16, 3.78, 3.87, 3.72, 3.82, 48607101
01/15/16, 3.99, 3.99, 3.78, 3.83, 80813548
01/14/16, 3.80, 4.08, 3.75, 4.02, 88375185
01/13/16, 3.99, 4.04, 3.88, 3.94, 134944198
01/12/16, 4.00, 4.22, 3.86, 4.10, 188482025
01/11/16, 4.00, 4.05, 3.82, 3.84, 97735702
01/08/16, 4.00, 4.20, 3.82, 4.09, 143096903
01/07/16, 4.18, 4.27, 3.90, 3.90, 43117195
01/06/16, 3.95, 4.33, 3.95, 4.33, 151088038
01/05/16, 3.91, 4.05, 3.63, 3.94, 86015589
01/04/16, 4.47, 4.47, 4.01, 4.02, 67367534
12/31/15, 4.48, 4.51, 4.45, 4.46, 43907742
12/30/15, 4.54, 4.54, 4.46, 4.48, 46344123
12/29/15, 4.54, 4.55, 4.47, 4.52, 58123197
12/28/15, 4.64, 4.65, 4.54, 4.55, 74734583
12/25/15, 4.61, 4.69, 4.58, 4.65, 61125021
12/24/15, 4.62, 4.66, 4.57, 4.61, 58883535
12/23/15, 4.71, 4.71, 4.62, 4.63, 87284748
12/22/15, 4.72, 4.76, 4.68, 4.72, 75047777
12/21/15, 4.70, 4.74, 4.65, 4.72, 73018255
12/18/15, 4.80, 4.80, 4.67, 4.72, 105767725
12/17/15, 4.77, 4.85, 4.76, 4.81, 113409263
12/16/15, 4.76, 4.84, 4.75, 4.76, 78820670
12/15/15, 4.84, 4.84, 4.75, 4.78, 98070670
12/14/15, 4.66, 4.91, 4.62, 4.86, 130421715
12/11/15, 4.71, 4.85, 4.55, 4.75, 121782359
12/10/15, 4.67, 4.85, 4.65, 4.70, 84102023
12/09/15, 4.75, 4.78, 4.66, 4.67, 96495233
12/08/15, 4.94, 4.95, 4.78, 4.80, 130066319
12/07/15, 5.01, 5.05, 4.95, 4.99, 99110778
12/04/15, 5.07, 5.12, 4.98, 5.02, 128251176
12/03/15, 4.98, 5.14, 4.94, 5.08, 131544298
12/02/15, 5.01, 5.01, 4.80, 4.99, 111812991
12/01/15, 5.09, 5.09, 4.95, 5.02, 146785762
11/30/15, 5.13, 5.28, 4.70, 5.09, 229348083
11/27/15, 5.41, 5.58, 5.05, 5.17, 293181894
11/26/15, 5.49, 5.79, 5.35, 5.54, 356929243
11/25/15, 5.43, 5.85, 5.40, 5.58, 459039060
11/24/15, 5.61, 5.61, 5.19, 5.43, 493330223
11/23/15, 5.49, 5.65, 5.39, 5.65, 590388662
11/20/15, 4.68, 5.14, 4.63, 5.14, 294332010
11/19/15, 4.61, 4.73, 4.50, 4.67, 194466588
11/18/15, 4.55, 4.85, 4.43, 4.61, 250081059
11/17/15, 4.68, 4.71, 4.54, 4.55, 248004616
11/16/15, 4.58, 4.67, 4.47, 4.65, 329020793
11/13/15, 4.85, 5.19, 4.77, 4.97, 196092618
11/12/15, 4.77, 4.95, 4.72, 4.77, 355505496
11/11/15, 4.84, 4.86, 4.71, 4.75, 224626314
11/10/15, 4.69, 5.03, 4.66, 4.78, 364928625
11/09/15, 4.79, 4.89, 4.67, 4.73, 294908676
11/06/15, 4.63, 4.78, 4.58, 4.77, 218799426
11/05/15, 4.58, 4.73, 4.54, 4.63, 255545730
11/04/15, 4.35, 4.77, 4.35, 4.59, 258106410
11/03/15, 4.34, 4.46, 4.30, 4.35, 113385006
11/02/15, 4.33, 4.48, 4.24, 4.28, 169085763
10/30/15, 4.39, 4.65, 4.33, 4.51, 189395070
10/29/15, 4.37, 4.52, 4.34, 4.39, 141147582
10/28/15, 4.54, 4.54, 4.28, 4.32, 220509636
10/27/15, 4.08, 4.56, 4.07, 4.56, 325132869
10/26/15, 4.10, 4.25, 4.07, 4.14, 158868552
10/23/15, 3.93, 4.06, 3.91, 4.05, 113198142
10/22/15, 3.80, 3.98, 3.77, 3.93, 130097607
10/21/15, 4.19, 4.21, 3.76, 3.76, 184212282
10/20/15, 4.14, 4.22, 4.11, 4.18, 150742140
10/19/15, 4.08, 4.30, 4.03, 4.17, 199933143
10/16/15, 4.09, 4.13, 3.99, 4.08, 146330742
10/15/15, 3.95, 4.10, 3.95, 4.08, 139511277
10/14/15, 3.94, 4.15, 3.92, 3.99, 176228058
10/13/15, 3.93, 3.99, 3.88, 3.96, 147967038
10/12/15, 3.75, 4.09, 3.74, 4.00, 203578377
10/09/15, 3.61, 3.81, 3.57, 3.74, 151431951
10/08/15, 3.66, 3.68, 3.58, 3.59, 104940804
09/30/15, 3.50, 3.55, 3.47, 3.48, 50762361
09/29/15, 3.52, 3.56, 3.44, 3.46, 73416825
09/28/15, 3.56, 3.62, 3.49, 3.61, 60417168
09/25/15, 3.80, 3.83, 3.50, 3.54, 139058286
09/24/15, 3.78, 3.88, 3.76, 3.83, 132541383
09/23/15, 3.64, 3.85, 3.63, 3.78, 146747775
09/22/15, 3.78, 3.88, 3.70, 3.77, 134615220
09/21/15, 3.53, 3.83, 3.52, 3.79, 130302531
09/18/15, 3.62, 3.66, 3.52, 3.62, 86224023
09/17/15, 3.64, 3.83, 3.54, 3.56, 159181434
09/16/15, 3.37, 3.70, 3.33, 3.66, 142921830
09/15/15, 3.67, 3.68, 3.36, 3.36, 131007423
09/14/15, 4.17, 4.19, 3.73, 3.73, 136496127
09/11/15, 4.13, 4.19, 4.03, 4.15, 88882833
09/10/15, 4.21, 4.30, 4.11, 4.13, 112696899
09/09/15, 4.17, 4.36, 4.13, 4.30, 188163687
09/08/15, 4.05, 4.23, 3.80, 4.18, 128245476
09/07/15, 4.07, 4.40, 4.02, 4.05, 138776196
09/02/15, 3.77, 4.17, 3.72, 4.08, 312418260
09/01/15, 4.00, 4.05, 3.70, 4.02, 284296227
08/31/15, 4.10, 4.13, 3.86, 4.11, 335045607
08/28/15, 3.97, 4.27, 3.89, 4.26, 300901206
08/27/15, 3.78, 3.90, 3.60, 3.88, 258234213
08/26/15, 3.69, 3.96, 3.54, 3.62, 314775399
08/25/15, 3.66, 3.90, 3.63, 3.63, 210882774
08/24/15, 4.30, 4.33, 4.03, 4.03, 190110993
08/21/15, 4.67, 4.83, 4.42, 4.48, 226876407
08/20/15, 4.83, 5.19, 4.72, 4.80, 265325877
08/19/15, 4.71, 5.01, 4.45, 4.91, 281923704
08/18/15, 5.40, 5.44, 4.89, 4.89, 340647864
08/17/15, 5.39, 5.46, 5.23, 5.44, 291129093
08/14/15, 5.68, 5.69, 5.34, 5.40, 483016197
08/13/15, 5.03, 5.54, 5.02, 5.54, 529270623
08/12/15, 5.17, 5.27, 5.03, 5.03, 262565253
08/11/15, 5.21, 5.40, 5.15, 5.25, 398418501
08/10/15, 4.93, 5.32, 4.86, 5.23, 402142365
08/07/15, 4.74, 4.96, 4.74, 4.84, 251173626
08/06/15, 4.61, 4.83, 4.59, 4.65, 193117038
08/05/15, 4.93, 5.00, 4.73, 4.78, 284538054
08/04/15, 4.69, 5.03, 4.60, 5.00, 335450139
08/03/15, 4.93, 5.06, 4.63, 4.63, 366324747
07/31/15, 5.00, 5.40, 4.97, 5.14, 333071916
07/30/15, 5.37, 5.53, 5.02, 5.10, 381095445
07/29/15, 5.42, 5.60, 4.87, 5.54, 490745520
07/28/15, 4.86, 5.48, 4.72, 5.31, 534089577
07/27/15, 5.58, 5.94, 5.21, 5.21, 550406238
07/24/15, 5.57, 6.07, 5.40, 5.79, 687605619
07/23/15, 5.56, 5.79, 5.50, 5.63, 433700223
07/22/15, 5.83, 5.91, 5.33, 5.63, 681875451
07/21/15, 5.17, 5.79, 5.10, 5.79, 768791634
07/20/15, 5.00, 5.36, 5.00, 5.26, 660871995
07/17/15, 5.07, 5.43, 5.00, 5.24, 897262791
07/16/15, 4.27, 4.94, 4.13, 4.94, 596567187
07/15/15, 4.86, 5.09, 4.49, 4.49, 692724459
07/14/15, 4.71, 4.98, 4.65, 4.98, 903048114
07/13/15, 4.53, 4.53, 4.40, 4.53, 318239181
07/10/15, 4.12, 4.12, 3.95, 4.12, 169053435
07/09/15, 3.23, 3.74, 3.10, 3.74, 343381539
07/08/15, 3.40, 3.60, 3.40, 3.40, 454204254
07/07/15, 3.89, 4.05, 3.65, 3.78, 774722853
07/06/15, 4.06, 4.06, 3.97, 4.06, 654845247
07/03/15, 3.69, 3.69, 3.62, 3.69, 331378485
07/02/15, 3.73, 3.74, 3.35, 3.35, 152972139
07/01/15, 4.00, 4.14, 3.71, 3.72, 103137129
06/30/15, 3.64, 4.17, 3.51, 4.12, 138646011
06/29/15, 4.45, 4.46, 3.90, 3.90, 129530454
06/26/15, 4.64, 4.73, 4.34, 4.34, 61740426
06/25/15, 5.23, 5.23, 4.75, 4.82, 70979736
06/24/15, 5.11, 5.27, 5.00, 5.25, 81067851
06/23/15, 5.03, 5.11, 4.52, 5.07, 62168673
06/19/15, 5.33, 5.53, 5.01, 5.02, 56436687
06/18/15, 5.60, 5.72, 5.30, 5.40, 65614569
06/17/15, 5.43, 5.72, 5.24, 5.64, 86143707
06/16/15, 5.99, 6.01, 5.53, 5.53, 107074992
06/15/15, 5.99, 6.27, 5.90, 6.14, 132341358
06/12/15, 5.91, 6.09, 5.91, 6.00, 80966925
06/11/15, 6.00, 6.06, 5.87, 5.96, 66058926
06/10/15, 5.97, 6.27, 5.87, 6.03, 87336387
06/09/15, 5.95, 6.22, 5.95, 6.10, 100314963
06/08/15, 6.10, 6.19, 5.93, 6.03, 127431855
06/05/15, 6.16, 6.54, 5.96, 6.22, 237066159
06/04/15, 5.41, 5.96, 5.08, 5.96, 156101271
06/03/15, 5.57, 5.57, 5.33, 5.42, 72420600
06/02/15, 5.40, 5.59, 5.31, 5.56, 81166254
06/01/15, 5.06, 5.46, 5.05, 5.40, 77124978
05/29/15, 5.16, 5.33, 4.87, 5.07, 81864927
05/28/15, 5.78, 6.06, 5.25, 5.26, 137625744
05/27/15, 5.72, 5.91, 5.52, 5.84, 129707853
05/26/15, 5.70, 5.85, 5.51, 5.75, 120087237
05/25/15, 5.50, 5.64, 5.43, 5.59, 115467321
05/22/15, 5.22, 5.50, 5.22, 5.50, 123181770
05/21/15, 5.17, 5.22, 5.11, 5.21, 65347848
