Date, Open, High, Low, Close, Volume
03/31/16, 0.13, 0.13, 0.13, 0.13, 0
03/30/16, 0.13, 0.13, 0.13, 0.13, 0
03/29/16, 0.13, 0.13, 0.13, 0.13, 0
03/24/16, 0.13, 0.13, 0.13, 0.13, 0
03/23/16, 0.14, 0.14, 0.14, 0.14, 0
03/22/16, 0.14, 0.14, 0.14, 0.14, 0
03/21/16, 0.14, 0.14, 0.14, 0.14, 0
03/18/16, 0.14, 0.14, 0.14, 0.14, 0
03/17/16, 0.13, 0.13, 0.13, 0.13, 900
03/16/16, 0.13, 0.13, 0.13, 0.13, 0
03/15/16, 0.14, 0.14, 0.14, 0.14, 0
03/14/16, 0.14, 0.14, 0.14, 0.14, 0
03/11/16, 0.14, 0.14, 0.14, 0.14, 0
03/10/16, 0.14, 0.14, 0.14, 0.14, 0
03/09/16, 0.13, 0.13, 0.13, 0.13, 0
03/08/16, 0.15, 0.15, 0.15, 0.15, 0
03/07/16, 0.15, 0.15, 0.15, 0.15, 0
03/04/16, 0.15, 0.15, 0.15, 0.15, 0
03/03/16, 0.14, 0.14, 0.14, 0.14, 0
03/02/16, 0.14, 0.14, 0.14, 0.14, 0
03/01/16, 0.13, 0.13, 0.13, 0.13, 0
02/29/16, 0.13, 0.13, 0.13, 0.13, 0
02/26/16, 0.13, 0.13, 0.13, 0.13, 0
02/25/16, 0.14, 0.14, 0.14, 0.14, 7000
02/24/16, 0.13, 0.13, 0.13, 0.13, 2500
02/23/16, 0.13, 0.13, 0.13, 0.13, 0
02/22/16, 0.13, 0.13, 0.13, 0.13, 0
02/19/16, 0.13, 0.13, 0.13, 0.13, 0
02/18/16, 0.12, 0.12, 0.12, 0.12, 0
02/17/16, 0.12, 0.12, 0.12, 0.12, 0
02/16/16, 0.12, 0.12, 0.12, 0.12, 0
02/15/16, 0.12, 0.12, 0.12, 0.12, 0
02/12/16, 0.11, 0.11, 0.11, 0.11, 0
02/11/16, 0.11, 0.11, 0.11, 0.11, 0
02/10/16, 0.10, 0.10, 0.10, 0.10, 0
02/09/16, 0.10, 0.10, 0.10, 0.10, 4000
02/08/16, 0.10, 0.10, 0.10, 0.10, 0
02/05/16, 0.12, 0.12, 0.12, 0.12, 0
