Date, Open, High, Low, Close, Volume
03/31/16, 16.40, 16.52, 15.93, 16.27, 29107688
03/30/16, 16.28, 17.13, 16.05, 16.60, 49828906
03/29/16, 14.80, 16.29, 14.80, 16.29, 49058803
03/28/16, 14.21, 14.94, 14.21, 14.81, 16565078
03/25/16, 14.18, 14.46, 13.95, 14.26, 9255080
03/24/16, 14.75, 14.88, 14.32, 14.33, 16549692
03/23/16, 14.59, 15.24, 14.40, 15.21, 18608969
03/22/16, 14.86, 14.98, 14.53, 14.64, 14559941
03/21/16, 14.35, 15.08, 14.02, 15.08, 18723106
03/18/16, 13.89, 14.48, 13.73, 14.20, 15333539
03/17/16, 13.39, 13.63, 13.15, 13.62, 11032628
03/16/16, 13.57, 13.65, 12.90, 13.11, 8396558
03/15/16, 13.78, 13.87, 13.30, 13.42, 9692014
03/14/16, 13.66, 14.28, 13.54, 13.89, 13303329
03/11/16, 13.60, 13.94, 13.34, 13.42, 12298560
03/10/16, 14.65, 14.73, 13.70, 13.71, 13689762
03/09/16, 15.11, 15.50, 14.60, 14.60, 19920408
03/08/16, 16.46, 16.56, 15.66, 16.22, 20948017
03/07/16, 16.55, 17.48, 16.15, 16.46, 31879466
03/04/16, 15.87, 16.82, 14.93, 16.50, 43993352
03/03/16, 15.29, 15.29, 15.29, 15.29, 5026527
03/02/16, 12.43, 13.90, 12.43, 13.90, 5496681
03/01/16, 12.59, 13.11, 11.80, 12.64, 16040854
02/29/16, 13.98, 14.15, 13.01, 13.01, 13210555
02/26/16, 15.25, 15.56, 14.45, 14.45, 26656480
02/25/16, 16.30, 17.61, 14.41, 16.05, 47643449
08/05/15, 16.27, 16.43, 15.60, 16.01, 10051711
08/04/15, 15.15, 16.17, 14.96, 16.12, 9964459
08/03/15, 15.59, 15.89, 14.37, 14.90, 9409990
07/31/15, 15.30, 16.03, 15.08, 15.72, 9556554
07/30/15, 15.68, 16.40, 15.35, 15.45, 14194942
07/29/15, 15.06, 15.80, 14.00, 15.70, 13188049
07/28/15, 14.31, 16.28, 14.31, 14.67, 16928835
07/27/15, 17.38, 18.08, 15.71, 15.71, 18532380
07/24/15, 17.32, 18.29, 17.11, 17.45, 19341878
07/23/15, 16.40, 17.26, 16.30, 17.12, 13303338
07/22/15, 16.20, 17.10, 15.70, 16.53, 15200813
07/21/15, 15.40, 17.07, 15.10, 16.41, 16201757
