Date, Open, High, Low, Close, Volume
03/31/16, 0.275, 0.275, 0.265, 0.275, 1782000
03/30/16, 0.285, 0.285, 0.275, 0.285, 903000
03/29/16, 0.295, 0.295, 0.275, 0.285, 1406299
03/24/16, 0.29, 0.30, 0.29, 0.295, 1483000
03/23/16, 0.31, 0.31, 0.30, 0.30, 503000
03/22/16, 0.30, 0.315, 0.29, 0.305, 2270000
03/21/16, 0.31, 0.315, 0.295, 0.30, 2891000
03/18/16, 0.31, 0.315, 0.30, 0.31, 11374000
03/17/16, 0.315, 0.345, 0.31, 0.315, 5667000
03/16/16, 0.305, 0.31, 0.30, 0.31, 2986000
03/15/16, 0.325, 0.33, 0.31, 0.315, 2211000
03/14/16, 0.35, 0.355, 0.325, 0.33, 4804000
03/11/16, 0.33, 0.36, 0.315, 0.345, 11540000
03/10/16, 0.345, 0.35, 0.315, 0.325, 8475000
03/09/16, 0.395, 0.395, 0.33, 0.34, 16695000
03/08/16, 0.36, 0.43, 0.36, 0.40, 29688000
03/07/16, 0.32, 0.365, 0.32, 0.35, 16842000
03/04/16, 0.30, 0.335, 0.295, 0.32, 10350000
03/03/16, 0.30, 0.31, 0.29, 0.29, 1409000
03/02/16, 0.28, 0.30, 0.27, 0.30, 2876000
03/01/16, 0.27, 0.28, 0.26, 0.28, 673000
02/29/16, 0.27, 0.28, 0.26, 0.265, 401000
02/26/16, 0.27, 0.28, 0.26, 0.27, 495000
02/25/16, 0.25, 0.28, 0.25, 0.27, 2951000
02/24/16, 0.241, 0.241, 0.241, 0.241, 0
02/23/16, 0.238, 0.238, 0.238, 0.241, 20000
02/22/16, 0.245, 0.245, 0.221, 0.244, 448000
02/19/16, 0.233, 0.233, 0.233, 0.233, 0
02/18/16, 0.232, 0.232, 0.232, 0.233, 31000
02/17/16, 0.215, 0.246, 0.215, 0.232, 84000
02/16/16, 0.231, 0.231, 0.231, 0.232, 6000
02/15/16, 0.231, 0.234, 0.231, 0.231, 96000
02/12/16, 0.23, 0.23, 0.23, 0.23, 0
02/11/16, 0.23, 0.231, 0.229, 0.23, 325000
02/05/16, 0.23, 0.238, 0.23, 0.234, 105000
02/04/16, 0.237, 0.239, 0.236, 0.236, 79000
02/03/16, 0.221, 0.237, 0.22, 0.237, 162000
02/02/16, 0.236, 0.24, 0.228, 0.228, 421000
02/01/16, 0.227, 0.232, 0.227, 0.235, 160000
01/29/16, 0.23, 0.236, 0.222, 0.23, 841000
01/28/16, 0.234, 0.238, 0.225, 0.231, 1318000
01/27/16, 0.237, 0.238, 0.235, 0.236, 371000
01/26/16, 0.242, 0.242, 0.235, 0.237, 138000
01/25/16, 0.25, 0.25, 0.242, 0.245, 234000
01/22/16, 0.246, 0.25, 0.241, 0.249, 504000
01/21/16, 0.27, 0.27, 0.234, 0.238, 1993000
01/20/16, 0.28, 0.28, 0.25, 0.275, 302000
01/19/16, 0.275, 0.29, 0.275, 0.285, 1083000
01/18/16, 0.275, 0.31, 0.275, 0.29, 6793000
01/15/16, 0.35, 0.35, 0.26, 0.275, 12595000
01/14/16, 0.255, 0.38, 0.25, 0.34, 5595000
01/13/16, 0.26, 0.265, 0.25, 0.255, 1332000
01/12/16, 0.255, 0.26, 0.25, 0.255, 613000
01/11/16, 0.265, 0.265, 0.25, 0.26, 672000
01/08/16, 0.25, 0.275, 0.249, 0.265, 1097000
01/07/16, 0.28, 0.28, 0.245, 0.25, 3184000
01/06/16, 0.25, 0.285, 0.246, 0.28, 7529000
01/05/16, 0.241, 0.25, 0.241, 0.25, 1279000
01/04/16, 0.235, 0.25, 0.231, 0.241, 899000
12/31/15, 0.255, 0.255, 0.24, 0.24, 133000
12/30/15, 0.245, 0.245, 0.243, 0.24, 120000
12/29/15, 0.243, 0.25, 0.236, 0.247, 1860000
12/28/15, 0.27, 0.275, 0.243, 0.243, 708000
12/24/15, 0.26, 0.27, 0.248, 0.26, 79000
12/23/15, 0.255, 0.26, 0.244, 0.249, 578000
12/22/15, 0.237, 0.26, 0.237, 0.245, 2201000
12/21/15, 0.238, 0.244, 0.222, 0.226, 1531000
12/18/15, 0.222, 0.236, 0.222, 0.231, 348000
12/17/15, 0.24, 0.245, 0.23, 0.235, 491000
12/16/15, 0.237, 0.242, 0.221, 0.23, 544000
12/15/15, 0.232, 0.232, 0.232, 0.232, 3000
12/14/15, 0.227, 0.23, 0.22, 0.225, 2422000
12/11/15, 0.228, 0.228, 0.227, 0.227, 155000
12/10/15, 0.22, 0.234, 0.22, 0.233, 2241000
12/09/15, 0.221, 0.245, 0.22, 0.222, 2440000
12/08/15, 0.211, 0.229, 0.211, 0.223, 339000
12/07/15, 0.221, 0.225, 0.221, 0.222, 247000
12/04/15, 0.23, 0.234, 0.217, 0.225, 2662000
12/03/15, 0.23, 0.241, 0.225, 0.233, 1059000
12/02/15, 0.235, 0.236, 0.23, 0.232, 2383000
12/01/15, 0.24, 0.245, 0.233, 0.236, 4629900
11/30/15, 0.25, 0.26, 0.232, 0.243, 6465090
11/27/15, 0.265, 0.265, 0.255, 0.26, 1031000
11/26/15, 0.27, 0.275, 0.26, 0.26, 1324000
11/25/15, 0.27, 0.27, 0.26, 0.27, 903000
11/24/15, 0.275, 0.28, 0.26, 0.27, 963000
11/23/15, 0.28, 0.28, 0.28, 0.28, 663000
11/20/15, 0.28, 0.29, 0.275, 0.29, 680000
11/19/15, 0.29, 0.29, 0.28, 0.28, 381000
11/18/15, 0.28, 0.28, 0.28, 0.28, 0
11/17/15, 0.295, 0.295, 0.28, 0.28, 238000
11/16/15, 0.29, 0.29, 0.285, 0.29, 318000
11/13/15, 0.28, 0.29, 0.28, 0.29, 159000
11/12/15, 0.285, 0.285, 0.28, 0.285, 426000
11/11/15, 0.285, 0.285, 0.285, 0.285, 120000
11/10/15, 0.285, 0.295, 0.275, 0.29, 1099000
11/09/15, 0.29, 0.295, 0.285, 0.295, 551000
11/06/15, 0.30, 0.30, 0.285, 0.285, 948000
11/05/15, 0.30, 0.30, 0.29, 0.30, 1014000
11/04/15, 0.295, 0.30, 0.29, 0.295, 506000
11/03/15, 0.305, 0.305, 0.29, 0.295, 134000
11/02/15, 0.31, 0.31, 0.29, 0.305, 413000
10/30/15, 0.30, 0.31, 0.295, 0.30, 95000
10/29/15, 0.295, 0.305, 0.295, 0.30, 753200
10/28/15, 0.31, 0.315, 0.29, 0.29, 2167000
10/27/15, 0.295, 0.31, 0.295, 0.30, 678000
10/26/15, 0.305, 0.32, 0.295, 0.30, 1122000
10/23/15, 0.31, 0.31, 0.295, 0.30, 515000
10/22/15, 0.30, 0.305, 0.30, 0.30, 82000
10/20/15, 0.31, 0.31, 0.30, 0.30, 84000
10/19/15, 0.305, 0.325, 0.305, 0.31, 701000
10/16/15, 0.315, 0.315, 0.305, 0.305, 483000
10/15/15, 0.31, 0.325, 0.305, 0.305, 1413000
10/14/15, 0.305, 0.31, 0.305, 0.305, 724000
10/13/15, 0.305, 0.31, 0.30, 0.31, 1418000
10/12/15, 0.29, 0.305, 0.29, 0.30, 2237000
10/09/15, 0.31, 0.31, 0.255, 0.295, 2897000
10/08/15, 0.33, 0.33, 0.295, 0.305, 2430000
10/07/15, 0.29, 0.315, 0.29, 0.31, 2010000
10/06/15, 0.285, 0.295, 0.285, 0.29, 689000
10/05/15, 0.285, 0.295, 0.285, 0.285, 362000
10/02/15, 0.28, 0.30, 0.28, 0.295, 643000
09/30/15, 0.29, 0.29, 0.275, 0.285, 476000
09/29/15, 0.305, 0.305, 0.28, 0.29, 1286000
09/25/15, 0.32, 0.32, 0.29, 0.30, 994000
09/24/15, 0.28, 0.33, 0.28, 0.32, 1348000
09/23/15, 0.295, 0.295, 0.275, 0.28, 389000
09/22/15, 0.29, 0.295, 0.285, 0.29, 1487000
09/21/15, 0.285, 0.30, 0.27, 0.285, 6519000
09/18/15, 0.305, 0.32, 0.295, 0.305, 547000
09/17/15, 0.325, 0.325, 0.30, 0.31, 3928000
09/16/15, 0.335, 0.36, 0.32, 0.325, 580000
09/15/15, 0.33, 0.355, 0.33, 0.33, 532000
09/14/15, 0.33, 0.37, 0.315, 0.345, 1490000
09/11/15, 0.345, 0.35, 0.33, 0.345, 2144000
09/10/15, 0.35, 0.36, 0.28, 0.345, 2277000
09/09/15, 0.36, 0.38, 0.35, 0.36, 697000
09/08/15, 0.345, 0.35, 0.34, 0.35, 150000
09/07/15, 0.34, 0.34, 0.34, 0.34, 0
09/04/15, 0.355, 0.36, 0.34, 0.34, 436000
09/02/15, 0.36, 0.365, 0.335, 0.345, 633000
09/01/15, 0.34, 0.365, 0.34, 0.36, 453000
08/31/15, 0.355, 0.36, 0.34, 0.34, 445000
08/28/15, 0.345, 0.375, 0.345, 0.36, 1234000
08/27/15, 0.36, 0.36, 0.335, 0.345, 808000
08/26/15, 0.355, 0.355, 0.33, 0.35, 949000
08/25/15, 0.35, 0.365, 0.33, 0.34, 2587000
08/24/15, 0.36, 0.375, 0.35, 0.37, 1839000
08/21/15, 0.43, 0.45, 0.40, 0.40, 3351000
08/20/15, 0.44, 0.455, 0.44, 0.44, 400000
08/19/15, 0.45, 0.46, 0.43, 0.46, 923000
08/18/15, 0.46, 0.465, 0.44, 0.445, 272000
08/17/15, 0.46, 0.46, 0.455, 0.455, 73000
08/14/15, 0.475, 0.475, 0.46, 0.46, 409000
08/13/15, 0.475, 0.48, 0.465, 0.47, 551000
08/12/15, 0.47, 0.49, 0.465, 0.47, 1869000
08/11/15, 0.52, 0.52, 0.50, 0.51, 381990
08/10/15, 0.50, 0.53, 0.50, 0.52, 804000
08/07/15, 0.50, 0.52, 0.50, 0.50, 522000
08/06/15, 0.51, 0.52, 0.495, 0.52, 872000
08/05/15, 0.495, 0.51, 0.49, 0.51, 1719000
08/04/15, 0.475, 0.49, 0.47, 0.49, 50000
08/03/15, 0.475, 0.475, 0.47, 0.475, 535000
07/31/15, 0.50, 0.50, 0.48, 0.48, 271000
07/30/15, 0.475, 0.49, 0.47, 0.475, 727000
07/29/15, 0.48, 0.48, 0.465, 0.47, 1136000
07/28/15, 0.48, 0.50, 0.455, 0.47, 1937000
07/27/15, 0.51, 0.52, 0.47, 0.48, 2337000
07/24/15, 0.53, 0.53, 0.52, 0.52, 260000
07/23/15, 0.53, 0.53, 0.52, 0.53, 338000
07/22/15, 0.51, 0.53, 0.51, 0.52, 821000
07/21/15, 0.52, 0.56, 0.52, 0.53, 1806000
07/20/15, 0.53, 0.54, 0.52, 0.52, 364000
07/17/15, 0.52, 0.54, 0.52, 0.53, 705000
07/16/15, 0.53, 0.53, 0.51, 0.52, 803000
07/15/15, 0.55, 0.55, 0.52, 0.53, 567000
07/14/15, 0.56, 0.56, 0.53, 0.55, 3667000
07/13/15, 0.52, 0.57, 0.51, 0.57, 4347000
07/10/15, 0.54, 0.58, 0.52, 0.53, 3732000
07/09/15, 0.44, 0.55, 0.44, 0.54, 3523000
