Date, Open, High, Low, Close, Volume
03/31/16, 10.00, 10.06, 9.65, 9.72, 31451159
03/30/16, 9.70, 10.13, 9.66, 10.00, 46010054
03/29/16, 9.55, 10.32, 9.33, 9.97, 64698458
03/28/16, 9.18, 9.65, 9.15, 9.43, 29027464
03/25/16, 9.10, 9.19, 8.98, 9.18, 12548845
03/24/16, 9.33, 9.39, 9.07, 9.09, 27904355
03/23/16, 9.32, 9.79, 9.29, 9.64, 31801872
03/22/16, 9.36, 9.51, 9.20, 9.38, 22719551
03/21/16, 9.27, 9.59, 9.10, 9.47, 29210406
03/18/16, 8.90, 9.22, 8.84, 9.19, 26326610
03/17/16, 8.63, 8.87, 8.53, 8.81, 17257186
03/16/16, 8.63, 8.77, 8.35, 8.49, 13707269
03/15/16, 8.97, 8.97, 8.55, 8.63, 17049596
03/14/16, 8.84, 9.13, 8.78, 8.97, 20127633
03/11/16, 8.82, 8.87, 8.54, 8.73, 17672303
03/10/16, 9.08, 9.17, 8.75, 8.88, 18230137
03/09/16, 9.28, 9.33, 8.88, 9.02, 31264044
03/08/16, 10.14, 10.14, 9.20, 9.85, 32131154
03/07/16, 10.25, 10.33, 9.80, 10.14, 37030122
03/04/16, 9.66, 10.08, 9.33, 9.76, 50834543
03/03/16, 9.95, 10.48, 9.66, 9.69, 53006843
03/02/16, 8.82, 9.75, 8.71, 9.75, 35213737
03/01/16, 8.47, 8.95, 8.31, 8.86, 19337702
02/29/16, 8.69, 8.75, 7.99, 8.43, 20615385
02/26/16, 8.55, 9.07, 8.23, 8.87, 25244321
02/25/16, 9.30, 9.46, 8.36, 8.36, 25967095
02/24/16, 9.23, 9.36, 8.97, 9.29, 21057978
02/23/16, 9.60, 9.80, 9.15, 9.37, 29377545
02/22/16, 9.40, 10.09, 9.30, 9.66, 36678213
02/19/16, 9.15, 9.29, 8.95, 9.17, 13310932
02/18/16, 9.58, 9.83, 9.20, 9.28, 27676578
02/17/16, 8.77, 9.78, 8.62, 9.42, 25960982
02/16/16, 8.78, 9.00, 8.55, 8.89, 26782062
02/15/16, 7.70, 8.71, 7.62, 8.71, 16835636
02/05/16, 8.09, 8.30, 7.90, 7.92, 14402199
02/04/16, 7.81, 8.25, 7.79, 7.98, 17034029
02/03/16, 7.60, 7.69, 7.44, 7.67, 13117905
02/02/16, 7.61, 7.79, 7.56, 7.73, 11016877
02/01/16, 7.61, 7.72, 7.36, 7.50, 4374637
01/29/16, 7.34, 7.74, 7.25, 7.62, 7136701
01/28/16, 7.69, 7.76, 7.30, 7.31, 8011719
01/27/16, 7.98, 7.98, 7.30, 7.78, 11683727
01/26/16, 8.52, 8.57, 7.75, 7.75, 10894900
01/25/16, 8.52, 8.71, 8.48, 8.61, 5428794
01/22/16, 8.31, 8.56, 8.18, 8.46, 7634668
01/21/16, 8.67, 8.89, 8.12, 8.18, 8456627
01/20/16, 8.74, 9.20, 8.64, 8.80, 11010805
01/19/16, 8.52, 8.85, 8.41, 8.81, 9968963
01/18/16, 8.30, 8.70, 8.14, 8.48, 7483911
01/15/16, 8.85, 9.09, 8.30, 8.47, 9257085
01/14/16, 8.41, 9.00, 8.30, 8.91, 9031473
01/13/16, 9.23, 9.34, 8.45, 8.67, 9990772
01/12/16, 9.34, 9.52, 8.88, 9.13, 12497714
01/11/16, 9.90, 10.46, 9.34, 9.34, 14753493
01/08/16, 10.35, 10.77, 9.28, 10.38, 19605582
01/07/16, 10.80, 10.89, 10.08, 10.08, 7326300
01/06/16, 10.48, 11.22, 10.34, 11.20, 25664268
01/05/16, 9.86, 10.80, 9.77, 10.30, 19449128
01/04/16, 12.03, 12.03, 10.84, 10.85, 13823673
12/31/15, 12.40, 12.40, 11.95, 12.04, 15603235
12/30/15, 11.99, 12.63, 11.99, 12.42, 30782244
12/29/15, 11.80, 12.10, 11.72, 11.96, 18954885
12/28/15, 11.80, 12.62, 11.70, 11.99, 26931855
12/25/15, 11.84, 12.06, 11.74, 11.80, 8304566
12/24/15, 11.72, 12.08, 11.71, 11.90, 11808642
12/23/15, 12.00, 12.10, 11.68, 11.72, 16195665
12/22/15, 11.81, 12.30, 11.81, 12.15, 20324608
12/21/15, 11.69, 12.09, 11.59, 11.89, 19883881
12/18/15, 11.85, 11.85, 11.41, 11.57, 16087744
12/17/15, 12.08, 12.13, 11.76, 11.94, 20606949
12/16/15, 11.54, 12.25, 11.47, 11.78, 21695061
12/15/15, 11.52, 11.56, 11.28, 11.45, 14141014
12/14/15, 10.90, 11.85, 10.81, 11.52, 23172295
12/11/15, 10.55, 11.33, 10.50, 11.11, 19148039
12/10/15, 10.95, 10.99, 10.63, 10.66, 8848170
12/09/15, 10.73, 11.00, 10.62, 10.85, 11175421
12/08/15, 11.05, 11.07, 10.61, 10.75, 13845820
12/07/15, 11.07, 11.25, 11.01, 11.16, 12164058
12/04/15, 11.25, 11.36, 10.95, 11.04, 15155019
12/03/15, 11.16, 11.41, 11.03, 11.41, 19223085
12/02/15, 11.20, 11.41, 10.65, 11.16, 14455044
12/01/15, 11.31, 11.57, 11.00, 11.23, 15592177
11/30/15, 11.68, 11.94, 10.88, 11.40, 28949648
11/27/15, 12.75, 13.30, 11.95, 12.03, 47363324
11/26/15, 12.25, 13.46, 12.14, 12.75, 46306274
11/25/15, 12.06, 12.41, 11.96, 12.24, 22062066
11/24/15, 11.75, 11.97, 11.62, 11.96, 10544674
11/23/15, 12.09, 12.18, 11.60, 11.73, 17719343
11/20/15, 12.21, 12.35, 11.95, 12.18, 22254463
11/19/15, 11.80, 12.09, 11.77, 12.07, 14733769
11/18/15, 11.86, 12.02, 11.55, 11.77, 18117977
11/17/15, 12.23, 12.45, 11.70, 11.81, 25487798
11/16/15, 11.55, 12.23, 11.50, 12.12, 21446523
11/13/15, 12.40, 12.47, 11.84, 11.87, 32566071
11/12/15, 12.48, 13.32, 12.40, 12.80, 49716445
11/11/15, 12.90, 13.17, 12.35, 12.61, 34806212
11/10/15, 11.74, 12.98, 11.47, 12.98, 45872725
11/09/15, 11.70, 11.99, 11.40, 11.80, 33383824
11/06/15, 11.40, 12.08, 11.33, 11.99, 40201624
11/05/15, 11.37, 11.88, 11.06, 11.71, 59354149
11/04/15, 9.94, 10.80, 9.85, 10.80, 13058817
11/03/15, 9.72, 9.95, 9.55, 9.82, 9490610
11/02/15, 9.76, 10.13, 9.61, 9.67, 12722768
10/30/15, 10.20, 10.36, 9.92, 10.00, 16600940
10/29/15, 10.11, 10.68, 10.02, 10.38, 28285265
10/28/15, 9.80, 10.40, 9.60, 10.10, 28110220
10/27/15, 9.75, 10.21, 9.26, 10.04, 20630897
10/26/15, 9.93, 10.00, 9.66, 9.91, 19606239
10/23/15, 9.49, 9.85, 9.36, 9.75, 19139446
10/22/15, 9.00, 9.60, 8.90, 9.50, 18158565
10/21/15, 9.99, 10.08, 8.97, 8.99, 25675660
10/20/15, 9.78, 9.90, 9.63, 9.90, 16666169
10/19/15, 10.10, 10.10, 9.65, 9.80, 21806243
10/16/15, 9.89, 10.17, 9.66, 10.00, 28887012
10/15/15, 9.46, 9.86, 9.31, 9.86, 23681598
10/14/15, 9.45, 10.32, 9.35, 9.59, 32685565
10/13/15, 9.30, 9.60, 9.21, 9.50, 19640019
10/12/15, 8.93, 9.60, 8.93, 9.42, 23925764
10/09/15, 8.57, 9.05, 8.50, 8.90, 17429481
10/08/15, 8.62, 8.68, 8.45, 8.54, 11801475
09/30/15, 8.20, 8.33, 8.19, 8.24, 6692840
09/29/15, 8.30, 8.30, 8.05, 8.18, 8038052
09/28/15, 8.29, 8.45, 8.11, 8.40, 10831299
09/25/15, 8.30, 8.43, 8.01, 8.20, 13954822
09/24/15, 8.20, 8.36, 8.08, 8.33, 9171160
09/23/15, 8.27, 8.38, 8.00, 8.12, 11613343
09/22/15, 8.50, 8.65, 8.26, 8.46, 15310014
09/21/15, 7.95, 8.43, 7.86, 8.41, 12133658
09/18/15, 7.97, 8.30, 7.91, 8.09, 11912767
09/17/15, 8.00, 8.27, 7.80, 7.84, 15717888
09/16/15, 7.35, 8.04, 7.25, 8.01, 15814419
09/15/15, 7.75, 8.11, 7.31, 7.31, 14620054
09/14/15, 9.06, 9.11, 8.12, 8.12, 10735705
09/11/15, 8.93, 9.08, 8.80, 9.02, 10740161
09/10/15, 9.03, 9.22, 8.90, 8.98, 11079754
09/09/15, 8.81, 9.25, 8.81, 9.24, 17762722
09/08/15, 8.28, 8.85, 8.15, 8.77, 13741525
09/07/15, 8.16, 8.62, 8.08, 8.32, 16119075
09/02/15, 8.00, 8.88, 7.89, 7.99, 22702984
09/01/15, 9.38, 9.38, 8.65, 8.65, 18311346
08/31/15, 9.90, 10.05, 9.60, 9.61, 19716475
08/28/15, 9.26, 9.80, 9.10, 9.79, 18064844
08/27/15, 8.85, 9.10, 8.50, 9.08, 19601100
08/26/15, 9.50, 9.99, 8.70, 8.70, 28075354
08/25/15, 9.67, 9.84, 9.67, 9.67, 8423400
08/24/15, 11.06, 11.27, 10.74, 10.74, 8153761
08/21/15, 12.80, 13.00, 11.88, 11.93, 11208678
08/20/15, 13.50, 13.96, 13.00, 13.14, 10231705
08/19/15, 13.00, 14.25, 12.27, 13.79, 15781920
08/18/15, 15.05, 15.09, 13.54, 13.54, 16354156
08/17/15, 15.15, 15.28, 14.50, 15.04, 14517666
08/14/15, 15.28, 15.59, 14.97, 15.06, 16808586
08/13/15, 14.79, 15.36, 14.50, 15.28, 16456562
08/12/15, 14.30, 15.48, 14.30, 14.79, 18684212
08/11/15, 14.55, 15.55, 14.50, 15.06, 25358758
08/10/15, 13.70, 14.70, 13.60, 14.50, 21334779
08/07/15, 13.15, 13.78, 13.15, 13.49, 17223102
08/06/15, 13.21, 13.44, 12.70, 13.02, 12599588
08/05/15, 13.82, 14.06, 13.27, 13.41, 23867144
08/04/15, 12.12, 14.40, 12.12, 14.24, 31983530
08/03/15, 14.00, 14.49, 13.47, 13.47, 13779490
07/31/15, 15.40, 16.34, 14.97, 14.97, 28688504
07/30/15, 16.30, 16.63, 14.80, 16.63, 37223022
07/01/15, 15.98, 16.98, 15.12, 15.12, 13781420
06/30/15, 14.55, 17.66, 14.55, 16.80, 18040089
06/29/15, 18.23, 18.52, 16.17, 16.17, 12127131
06/26/15, 19.00, 19.50, 17.97, 17.97, 8680934
06/25/15, 21.34, 21.34, 19.21, 19.97, 11772796
06/24/15, 21.35, 21.50, 20.51, 21.34, 18273678
06/23/15, 20.69, 21.15, 18.62, 21.00, 11460278
06/19/15, 22.10, 23.05, 20.69, 20.69, 9413455
06/18/15, 23.20, 23.52, 22.61, 22.99, 13827397
06/17/15, 22.59, 23.50, 21.15, 23.04, 12478038
06/16/15, 23.30, 23.99, 22.35, 22.44, 13072302
06/15/15, 22.77, 24.24, 22.77, 23.51, 20953884
06/12/15, 22.29, 22.95, 22.00, 22.77, 15063010
06/11/15, 22.38, 22.66, 21.95, 22.29, 12238732
06/10/15, 22.41, 22.85, 21.86, 22.39, 9903709
06/09/15, 22.25, 23.15, 21.70, 22.63, 15702369
06/08/15, 23.47, 23.51, 22.01, 22.30, 19049968
06/05/15, 23.18, 23.88, 22.63, 23.41, 29627529
06/04/15, 22.11, 23.18, 20.50, 22.96, 21487397
06/03/15, 22.19, 22.25, 20.40, 22.10, 22189034
06/02/15, 22.68, 22.85, 21.58, 22.19, 18758301
06/01/15, 21.14, 22.60, 21.13, 22.16, 16462399
05/29/15, 20.20, 21.28, 18.67, 20.91, 20337580
05/28/15, 21.37, 23.28, 19.60, 20.30, 32375863
05/27/15, 19.68, 21.65, 19.00, 21.65, 28885858
05/26/15, 19.02, 20.06, 18.76, 19.68, 27120461
05/25/15, 17.85, 19.70, 17.73, 19.02, 24531542
05/22/15, 18.10, 18.56, 17.40, 18.31, 27681703
05/21/15, 17.30, 18.08, 16.55, 17.98, 26589976
05/20/15, 16.43, 17.81, 16.43, 17.15, 20170724
05/19/15, 15.91, 16.45, 15.65, 16.41, 12051772
05/18/15, 15.50, 16.42, 15.15, 15.91, 13607444
05/15/15, 16.96, 16.96, 15.78, 15.80, 23093440
05/14/15, 15.80, 16.99, 15.64, 16.89, 29065310
05/13/15, 15.05, 15.73, 14.89, 15.44, 13886046
05/12/15, 14.85, 15.25, 14.69, 15.16, 11627852
05/11/15, 14.62, 14.88, 14.45, 14.85, 12556678
05/08/15, 14.05, 14.36, 14.00, 14.36, 7458606
05/07/15, 14.25, 14.46, 13.94, 13.98, 8196950
05/06/15, 14.51, 14.81, 14.10, 14.27, 9089750
05/05/15, 14.89, 15.22, 14.31, 14.53, 11390730
05/04/15, 15.00, 15.10, 14.65, 14.87, 13897406
04/30/15, 16.50, 16.84, 15.05, 15.05, 26615754
04/29/15, 14.93, 15.96, 14.64, 15.96, 32540548
04/28/15, 15.25, 15.42, 14.33, 14.51, 16445954
