Date, Open, High, Low, Close, Volume
03/31/16, 68.90, 69.60, 68.40, 69.20, 533000
03/30/16, 68.00, 69.40, 67.60, 68.00, 555000
03/29/16, 69.10, 69.90, 67.90, 68.80, 290000
03/28/16, 68.50, 69.70, 68.50, 68.90, 484000
03/25/16, 68.60, 69.60, 67.30, 67.80, 767000
03/24/16, 70.30, 70.80, 69.00, 69.60, 488141
03/23/16, 72.00, 72.30, 70.10, 70.30, 678000
03/22/16, 72.30, 73.00, 71.80, 72.50, 275000
03/21/16, 73.50, 73.60, 72.20, 72.20, 220000
03/18/16, 73.10, 74.10, 73.10, 73.20, 413000
03/17/16, 74.10, 74.20, 72.50, 73.10, 449000
03/16/16, 71.80, 74.00, 71.80, 73.50, 546000
03/15/16, 73.20, 73.30, 71.50, 71.50, 197000
03/14/16, 72.40, 73.80, 72.40, 73.20, 190000
03/11/16, 72.40, 73.50, 72.40, 72.60, 499600
03/10/16, 73.00, 73.00, 72.40, 72.40, 360000
03/09/16, 73.00, 73.30, 72.30, 72.80, 329000
03/08/16, 74.60, 74.80, 73.20, 73.30, 343000
03/07/16, 74.70, 74.70, 73.80, 74.60, 559000
03/04/16, 75.00, 75.00, 73.40, 74.10, 829000
03/03/16, 74.50, 75.00, 72.80, 74.70, 624000
03/02/16, 74.60, 74.80, 74.00, 74.50, 936000
03/01/16, 74.00, 74.60, 72.60, 73.90, 1793000
02/26/16, 69.80, 70.70, 69.70, 70.50, 785000
02/25/16, 69.40, 71.00, 68.90, 69.70, 1167000
02/24/16, 67.50, 71.40, 67.10, 67.10, 2697000
02/23/16, 66.70, 67.10, 65.70, 66.70, 1008000
02/22/16, 65.70, 67.50, 65.70, 66.70, 849000
02/19/16, 66.00, 66.40, 65.20, 65.70, 358000
02/18/16, 65.00, 65.70, 64.60, 65.30, 433000
02/17/16, 65.90, 66.10, 64.50, 65.00, 413000
02/16/16, 63.60, 67.00, 63.30, 65.90, 875000
02/15/16, 63.20, 63.50, 61.90, 62.30, 819000
02/03/16, 65.60, 65.60, 64.70, 65.00, 677557
02/02/16, 65.40, 66.00, 65.00, 65.90, 439000
02/01/16, 65.50, 66.00, 64.80, 65.50, 594982
01/29/16, 63.60, 66.00, 63.10, 65.90, 890000
01/28/16, 61.30, 63.50, 61.30, 62.70, 254000
01/27/16, 61.80, 61.90, 61.50, 61.60, 102000
01/26/16, 61.10, 61.70, 61.10, 61.40, 77000
01/25/16, 61.10, 61.30, 61.00, 61.10, 763000
01/22/16, 63.10, 63.10, 61.00, 61.00, 321000
01/21/16, 61.40, 62.40, 61.00, 62.30, 286000
01/20/16, 61.50, 61.90, 61.00, 61.40, 194000
