Date, Open, High, Low, Close, Volume
03/31/16, 4.29, 4.29, 4.20, 4.26, 15002.6666666667
03/30/16, 4.4088, 4.4088, 4.23, 4.32, 9669.33333333333
03/29/16, 4.29, 4.38, 4.20, 4.29, 5018.66666666667
03/28/16, 4.23, 4.26, 4.17, 4.26, 5836
03/24/16, 4.35, 4.44, 4.17, 4.26, 54463
03/23/16, 4.44, 4.47, 4.32, 4.41, 28241
03/22/16, 4.4691, 4.47, 4.20, 4.41, 57078.3333333333
03/21/16, 4.47, 4.56, 4.38, 4.47, 33698.6666666667
03/18/16, 4.80, 4.80, 4.38, 4.50, 121652.666666667
03/17/16, 4.5297, 4.80, 4.50, 4.80, 135192.666666667
03/16/16, 4.5285, 4.53, 4.38, 4.50, 30525.6666666667
03/15/16, 4.515, 4.53, 4.41, 4.50, 18066.6666666667
03/14/16, 4.50, 4.56, 4.38, 4.53, 28358.3333333333
03/11/16, 4.50, 4.53, 4.35, 4.41, 28059.3333333333
03/10/16, 4.65, 4.65, 4.44, 4.50, 89825
03/09/16, 4.41, 4.59, 4.38, 4.59, 62146.3333333333
03/08/16, 4.38, 4.47, 4.23, 4.38, 36627
03/07/16, 4.29, 4.50, 4.23, 4.38, 46937
03/04/16, 4.20, 4.50, 4.11, 4.3797, 84939.3333333333
03/03/16, 4.20, 4.20, 4.05, 4.17, 39800
03/02/16, 4.29, 4.38, 4.11, 4.17, 49615
03/01/16, 4.02, 4.32, 3.99, 4.20, 104544
02/29/16, 3.96, 4.05, 3.90, 4.02, 36210.3333333333
02/26/16, 3.90, 3.96, 3.81, 3.96, 16334.6666666667
02/25/16, 4.02, 4.05, 3.81, 3.90, 25929
02/24/16, 4.05, 4.05, 3.84, 3.99, 8975.66666666666
02/23/16, 3.96, 4.02, 3.81, 3.915, 47177.6666666667
02/22/16, 3.87, 3.99, 3.81, 3.93, 62919.6666666667
02/19/16, 3.78, 3.87, 3.75, 3.87, 4033.33333333333
02/18/16, 3.90, 3.90, 3.63, 3.81, 33074
02/17/16, 3.795, 3.90, 3.7803, 3.87, 25195.3333333333
02/16/16, 3.87, 3.87, 3.72, 3.81, 15675.3333333333
02/12/16, 3.855, 3.90, 3.81, 3.8115, 6934.33333333333
02/11/16, 3.78, 3.84, 3.63, 3.84, 47696.6666666667
02/10/16, 3.8985, 3.90, 3.75, 3.81, 26331.6666666667
02/09/16, 3.99, 4.05, 3.72, 3.81, 55170.6666666667
