Date, Open, High, Low, Close, Volume
03/31/16, 3.97, 4.67, 3.96, 4.32, 55654
03/30/16, 4.35, 4.48, 4.30, 4.39, 54032
03/29/16, 4.90, 4.90, 4.15, 4.28, 134777
03/28/16, 4.64, 4.75, 4.20, 4.28, 123665
03/23/16, 4.92, 5.00, 4.50, 4.63, 139187
03/22/16, 4.50, 4.85, 4.25, 4.70, 291955
03/21/16, 4.71, 4.75, 4.21, 4.33, 307915
03/18/16, 4.03, 4.77, 3.91, 4.68, 1541201
03/17/16, 4.14, 4.20, 3.41, 3.98, 528948
03/16/16, 3.99, 4.28, 3.65, 3.70, 59337
03/15/16, 4.28, 4.28, 3.61, 3.81, 117775
03/14/16, 3.85, 3.89, 3.65, 3.70, 38179
03/11/16, 3.92, 3.94, 3.60, 3.66, 67365
03/10/16, 3.83, 3.89, 3.60, 3.72, 121154
03/09/16, 3.80, 3.94, 3.30, 3.81, 191364
03/08/16, 3.72, 4.25, 3.70, 3.80, 477611
03/04/16, 3.07, 3.64, 3.07, 3.64, 196195
03/03/16, 3.19, 3.19, 3.02, 3.04, 18528
03/02/16, 3.14, 3.19, 3.01, 3.06, 36461
03/01/16, 2.90, 3.20, 2.90, 3.08, 176653
02/29/16, 3.05, 3.05, 2.90, 2.94, 39801
02/26/16, 3.09, 3.09, 2.85, 2.88, 102928
02/25/16, 3.14, 3.15, 2.95, 2.97, 39946
02/24/16, 3.02, 3.18, 2.96, 3.01, 63107
02/23/16, 3.35, 3.35, 3.05, 3.19, 108144
02/22/16, 2.96, 3.11, 2.96, 3.11, 151316
02/19/16, 2.75, 2.83, 2.70, 2.83, 2579
02/18/16, 2.76, 2.84, 2.73, 2.75, 11077
02/17/16, 2.89, 2.89, 2.71, 2.72, 26953
02/16/16, 2.89, 2.89, 2.75, 2.78, 19250
02/15/16, 2.95, 2.95, 2.82, 2.90, 5051
02/12/16, 2.91, 3.04, 2.75, 2.91, 47249
02/11/16, 3.03, 3.09, 2.90, 2.94, 111480
02/10/16, 3.00, 3.06, 2.96, 2.99, 16202
02/09/16, 2.95, 3.07, 2.95, 3.07, 40954
02/08/16, 3.04, 3.14, 2.97, 3.05, 68578
02/05/16, 3.10, 3.10, 2.91, 2.96, 20721
02/04/16, 3.05, 3.05, 2.91, 2.98, 66655
02/03/16, 3.00, 3.00, 2.92, 2.94, 25660
02/02/16, 3.06, 3.17, 3.01, 3.05, 41474
02/01/16, 3.14, 3.15, 3.05, 3.05, 54048
01/29/16, 2.96, 3.14, 2.96, 3.10, 43606
