Date, Open, High, Low, Close, Volume
03/31/16, 4.00, 4.70, 4.00, 4.20, 136865
03/30/16, 4.30, 4.45, 4.20, 4.40, 83558
03/29/16, 4.25, 4.45, 4.15, 4.30, 164653
03/28/16, 4.80, 4.80, 4.15, 4.35, 394846
03/23/16, 4.80, 4.80, 4.45, 4.50, 294716
03/22/16, 4.40, 4.90, 4.25, 4.65, 653509
03/21/16, 4.75, 4.75, 4.10, 4.35, 945290
03/18/16, 4.00, 4.70, 3.75, 4.60, 1677508
03/17/16, 3.95, 4.20, 3.75, 3.95, 1014537
03/16/16, 3.95, 3.95, 3.65, 3.75, 185424
03/15/16, 3.50, 3.95, 3.50, 3.80, 196398
03/14/16, 3.65, 3.80, 3.65, 3.65, 142120
03/11/16, 3.70, 3.80, 3.60, 3.70, 202363
03/10/16, 3.90, 3.90, 3.55, 3.65, 225060
03/09/16, 3.75, 4.00, 3.30, 3.80, 490059
03/08/16, 3.85, 4.30, 3.65, 3.80, 944670
03/04/16, 3.25, 3.70, 3.05, 3.70, 609205
03/03/16, 3.05, 3.20, 3.00, 3.10, 62418
03/02/16, 3.00, 3.20, 3.00, 3.05, 98743
03/01/16, 2.90, 3.15, 2.90, 3.10, 124359
02/29/16, 3.10, 3.10, 2.90, 2.90, 54549
02/26/16, 3.00, 3.05, 2.95, 2.95, 79078
02/25/16, 3.10, 3.10, 2.95, 3.05, 64702
02/24/16, 3.05, 3.25, 3.00, 3.05, 144835
02/23/16, 3.20, 3.35, 3.10, 3.15, 248689
02/22/16, 2.95, 3.10, 2.95, 3.10, 107420
02/19/16, 2.80, 2.85, 2.70, 2.85, 109245
02/18/16, 2.90, 2.90, 2.70, 2.75, 79703
02/17/16, 2.80, 2.80, 2.70, 2.75, 61454
02/16/16, 2.85, 2.85, 2.75, 2.80, 47283
02/15/16, 2.80, 2.95, 2.80, 2.85, 145365
02/12/16, 2.95, 2.95, 2.75, 2.95, 165009
02/11/16, 2.95, 3.10, 2.90, 2.95, 230292
02/10/16, 2.95, 3.05, 2.90, 3.05, 106151
02/09/16, 3.00, 3.05, 2.90, 2.95, 102938
02/08/16, 2.95, 3.10, 2.95, 3.00, 79851
02/05/16, 3.00, 3.05, 2.95, 3.00, 69311
02/04/16, 2.95, 3.05, 2.90, 2.95, 112845
02/03/16, 3.00, 3.05, 2.95, 2.95, 103916
02/02/16, 3.05, 3.15, 3.05, 3.05, 64332
02/01/16, 3.05, 3.15, 3.05, 3.05, 62012
01/29/16, 3.10, 3.15, 3.00, 3.05, 145636
01/28/16, 3.05, 3.10, 2.95, 3.05, 85500
01/27/16, 3.00, 3.10, 2.95, 3.05, 56451
01/25/16, 3.10, 3.10, 2.95, 3.05, 180480
01/22/16, 2.95, 3.05, 2.90, 3.00, 213471
01/21/16, 3.05, 3.05, 2.85, 2.95, 265436
01/20/16, 3.05, 3.05, 2.90, 2.95, 356585
01/19/16, 2.90, 2.95, 2.80, 2.95, 188204
01/18/16, 2.95, 2.95, 2.85, 2.85, 455098
01/15/16, 3.05, 3.20, 3.00, 3.00, 544042
01/14/16, 3.15, 3.25, 3.15, 3.15, 204098
01/13/16, 3.50, 3.50, 3.30, 3.30, 440908
01/12/16, 3.70, 3.75, 3.35, 3.45, 685118
01/11/16, 3.70, 3.75, 3.40, 3.65, 949840
01/08/16, 3.95, 4.15, 3.60, 3.75, 704825
01/07/16, 4.00, 4.15, 3.75, 3.95, 823534
01/06/16, 4.85, 4.85, 4.05, 4.15, 1522232
01/05/16, 4.45, 4.45, 4.25, 4.45, 880075
01/04/16, 4.05, 4.05, 3.95, 4.05, 540000
01/01/16, 3.60, 3.70, 3.35, 3.70, 657954
12/31/15, 3.35, 3.55, 3.25, 3.40, 273455
12/30/15, 3.45, 3.75, 3.30, 3.40, 506733
12/29/15, 4.10, 4.10, 3.65, 3.65, 499558
12/28/15, 4.05, 4.35, 3.70, 4.05, 332821
12/24/15, 4.30, 4.30, 4.05, 4.05, 442292
12/23/15, 3.50, 4.00, 3.40, 4.00, 681181
12/22/15, 3.60, 3.75, 3.35, 3.35, 793419
12/21/15, 2.90, 3.40, 2.90, 3.35, 1021025
12/18/15, 2.90, 2.90, 2.70, 2.85, 59502
12/17/15, 2.90, 2.95, 2.70, 2.75, 292573
12/16/15, 3.15, 3.25, 2.70, 2.75, 517546
12/15/15, 2.75, 3.15, 2.75, 3.10, 277720
12/14/15, 3.10, 3.10, 2.65, 2.70, 1712498
12/11/15, 3.10, 3.25, 3.05, 3.10, 35191
12/10/15, 3.20, 3.20, 3.00, 3.15, 49983
12/09/15, 3.30, 3.30, 3.05, 3.10, 66770
12/08/15, 3.05, 3.30, 3.00, 3.20, 195663
12/07/15, 3.10, 3.10, 2.95, 3.00, 39480
12/04/15, 3.00, 3.00, 2.95, 3.00, 33403
12/03/15, 2.90, 3.00, 2.90, 2.95, 91193
12/02/15, 3.05, 3.10, 2.90, 3.00, 67640
12/01/15, 3.00, 3.05, 2.90, 3.00, 51407
11/30/15, 3.20, 3.20, 2.75, 2.90, 986287
11/27/15, 3.05, 3.30, 2.95, 3.00, 136586
11/26/15, 3.00, 3.50, 3.00, 3.15, 268156
11/24/15, 2.95, 3.10, 2.85, 3.05, 75466
11/23/15, 2.75, 2.95, 2.75, 2.85, 17714
11/20/15, 2.65, 2.95, 2.65, 2.80, 42123
11/19/15, 2.70, 2.95, 2.70, 2.80, 23463
11/18/15, 3.00, 3.00, 2.85, 2.85, 45776
11/17/15, 2.95, 2.95, 2.85, 2.90, 19117
11/16/15, 3.00, 3.00, 2.80, 2.80, 55689
11/13/15, 2.90, 3.10, 2.85, 2.90, 84003
11/11/15, 3.40, 3.40, 3.00, 3.05, 46650
11/10/15, 3.05, 3.10, 2.90, 2.90, 37038
11/09/15, 3.05, 3.10, 2.85, 3.10, 8165
11/06/15, 3.05, 3.15, 2.90, 3.00, 68131
11/05/15, 3.00, 3.15, 3.00, 3.05, 7450
11/04/15, 3.10, 3.10, 2.80, 3.00, 28469
11/03/15, 3.05, 3.10, 3.00, 3.00, 45287
11/02/15, 3.05, 3.15, 3.00, 3.05, 12025
10/30/15, 3.20, 3.25, 3.00, 3.05, 69857
10/29/15, 3.25, 3.25, 3.20, 3.25, 21317
10/28/15, 3.15, 3.25, 3.00, 3.20, 66000
10/27/15, 3.30, 3.30, 3.15, 3.15, 11451
10/26/15, 3.25, 3.35, 3.20, 3.35, 15081
10/23/15, 3.30, 3.35, 3.25, 3.30, 18211
10/21/15, 3.20, 3.35, 3.20, 3.20, 10099
10/20/15, 3.30, 3.35, 3.20, 3.35, 9091
10/19/15, 3.20, 3.45, 3.15, 3.25, 79063
10/16/15, 3.30, 3.30, 3.25, 3.25, 9203
10/15/15, 3.10, 3.45, 3.10, 3.20, 22247
10/14/15, 3.20, 3.30, 3.20, 3.25, 9755
10/13/15, 3.25, 3.30, 3.20, 3.20, 13509
10/12/15, 3.20, 3.25, 3.20, 3.20, 9998
10/09/15, 3.25, 3.30, 3.15, 3.20, 55602
10/08/15, 3.25, 3.45, 3.25, 3.30, 27384
10/07/15, 3.35, 3.45, 3.30, 3.40, 22947
10/06/15, 3.40, 3.40, 3.25, 3.35, 3701
10/05/15, 3.35, 3.50, 3.20, 3.25, 26439
10/01/15, 3.25, 3.40, 3.20, 3.20, 4871
09/30/15, 3.50, 3.50, 3.25, 3.30, 6646
09/29/15, 3.35, 3.50, 3.35, 3.45, 14351
09/28/15, 3.55, 3.60, 3.35, 3.50, 75829
09/24/15, 3.05, 3.30, 3.00, 3.30, 65107
09/23/15, 3.10, 3.10, 3.00, 3.00, 6363
09/22/15, 3.10, 3.15, 3.05, 3.15, 15447
09/21/15, 3.05, 3.25, 2.95, 3.05, 67495
09/18/15, 3.20, 3.30, 3.15, 3.20, 9815
09/16/15, 3.20, 3.25, 3.05, 3.10, 3862
09/15/15, 3.25, 3.25, 3.10, 3.10, 22283
09/14/15, 3.20, 3.40, 3.05, 3.35, 32505
09/11/15, 3.10, 3.20, 3.05, 3.10, 26783
09/10/15, 3.00, 3.10, 3.00, 3.05, 26768
09/09/15, 3.10, 3.30, 3.00, 3.00, 33149
09/08/15, 3.00, 3.10, 2.90, 3.00, 2529
09/07/15, 3.30, 3.30, 2.95, 3.05, 29416
09/04/15, 3.00, 3.20, 2.90, 3.15, 18778
09/03/15, 3.15, 3.40, 3.05, 3.15, 17999
09/02/15, 3.30, 3.30, 3.05, 3.10, 9861
09/01/15, 3.00, 3.35, 3.00, 3.15, 82237
08/31/15, 3.15, 3.30, 3.05, 3.05, 94835
08/28/15, 3.30, 3.40, 3.20, 3.35, 42958
08/27/15, 3.05, 3.25, 3.00, 3.10, 49407
08/26/15, 3.00, 3.35, 2.95, 3.00, 69335
08/25/15, 3.20, 3.20, 2.85, 3.15, 109167
08/24/15, 3.40, 3.60, 2.90, 2.95, 150387
08/21/15, 3.60, 3.65, 3.25, 3.55, 50954
08/20/15, 3.80, 3.85, 3.65, 3.65, 59726
08/19/15, 4.05, 4.05, 3.65, 3.70, 116804
08/18/15, 4.30, 4.30, 3.85, 3.90, 79891
08/17/15, 4.75, 4.75, 4.00, 4.15, 169945
08/14/15, 4.40, 4.70, 4.00, 4.45, 351691
08/13/15, 4.10, 4.35, 3.80, 4.10, 307860
08/12/15, 3.55, 4.00, 3.50, 3.95, 92253
08/11/15, 4.00, 4.00, 3.55, 3.80, 83929
08/10/15, 3.75, 4.05, 3.45, 3.55, 211218
08/07/15, 4.15, 4.70, 3.90, 3.90, 468281
08/06/15, 4.85, 4.85, 4.85, 4.85, 38380
08/05/15, 5.35, 5.35, 5.35, 5.35, 131768
08/04/15, 6.05, 6.20, 5.40, 5.90, 134110
08/03/15, 6.00, 6.20, 5.70, 5.95, 281339
07/31/15, 5.40, 5.95, 5.40, 5.80, 537455
07/30/15, 5.65, 5.75, 5.35, 5.45, 127440
07/29/15, 5.70, 5.75, 5.45, 5.55, 121180
07/28/15, 5.10, 5.85, 5.10, 5.55, 426361
07/27/15, 5.55, 5.75, 5.10, 5.40, 180081
07/24/15, 5.00, 5.50, 4.95, 5.40, 230415
07/23/15, 5.15, 5.30, 4.95, 5.00, 290915
07/22/15, 4.85, 5.25, 4.60, 5.05, 581692
07/21/15, 4.20, 4.95, 4.05, 4.85, 552387
07/20/15, 4.50, 4.55, 3.90, 4.15, 141357
07/17/15, 3.55, 4.10, 3.50, 4.10, 308601
07/16/15, 3.50, 3.60, 3.40, 3.45, 14112
07/15/15, 3.65, 3.65, 3.55, 3.60, 12736
07/14/15, 3.60, 3.80, 3.40, 3.55, 61129
07/13/15, 3.60, 3.80, 3.55, 3.75, 2923
07/10/15, 3.70, 3.80, 3.60, 3.65, 40309
07/09/15, 3.45, 3.75, 3.45, 3.60, 14537
07/08/15, 3.45, 3.50, 3.35, 3.40, 12275
07/07/15, 3.35, 3.75, 3.30, 3.55, 16785
07/06/15, 3.35, 3.35, 3.25, 3.29, 22337
07/03/15, 3.30, 3.50, 3.20, 3.25, 29363
07/02/15, 3.40, 3.40, 3.15, 3.30, 7017
07/01/15, 3.45, 3.45, 3.25, 3.30, 37492
06/30/15, 3.45, 3.45, 3.20, 3.40, 35380
06/29/15, 3.45, 3.45, 3.20, 3.25, 23449
06/26/15, 3.60, 3.65, 3.45, 3.45, 12281
06/25/15, 3.50, 3.60, 3.40, 3.50, 22885
06/24/15, 3.60, 3.75, 3.40, 3.50, 35600
06/23/15, 3.45, 3.90, 3.30, 3.65, 89554
06/22/15, 3.35, 3.80, 3.30, 3.80, 120457
06/19/15, 3.10, 3.45, 3.05, 3.20, 22595
06/18/15, 3.15, 3.15, 3.05, 3.05, 35765
06/17/15, 3.15, 3.15, 2.90, 3.10, 17044
06/16/15, 3.00, 3.05, 3.00, 3.00, 10416
06/15/15, 2.90, 3.00, 2.90, 3.00, 47113
06/12/15, 2.85, 3.05, 2.85, 2.95, 12324
06/11/15, 3.05, 3.10, 2.90, 3.10, 19250
06/10/15, 3.20, 3.20, 3.00, 3.05, 4602
06/09/15, 3.00, 3.10, 2.90, 3.10, 47975
06/08/15, 3.25, 3.25, 3.00, 3.05, 23161
06/05/15, 3.30, 3.35, 3.10, 3.15, 63100
06/04/15, 3.45, 3.45, 3.25, 3.30, 26122
06/03/15, 3.40, 3.70, 3.25, 3.40, 39102
06/02/15, 3.60, 3.65, 3.45, 3.50, 22211
06/01/15, 3.70, 3.85, 3.40, 3.70, 62874
05/29/15, 3.90, 4.05, 3.80, 3.85, 14644
05/28/15, 4.20, 4.20, 3.80, 3.85, 19372
05/27/15, 3.30, 4.00, 3.30, 3.90, 90050
05/26/15, 3.40, 3.80, 3.30, 3.60, 57374
05/25/15, 3.60, 3.60, 3.45, 3.50, 16646
05/22/15, 3.50, 3.70, 3.50, 3.70, 3541
05/21/15, 3.45, 3.65, 3.45, 3.65, 7501
05/20/15, 3.85, 3.85, 3.50, 3.70, 20664
05/19/15, 3.60, 3.80, 3.60, 3.65, 3911
05/18/15, 3.70, 3.80, 3.55, 3.65, 23634
05/15/15, 3.40, 3.70, 3.40, 3.40, 14962
05/14/15, 3.60, 3.60, 3.45, 3.50, 7806
05/13/15, 3.55, 3.65, 3.50, 3.65, 15473
05/12/15, 3.50, 3.75, 3.45, 3.70, 6044
05/11/15, 3.75, 3.95, 3.60, 3.70, 10915
05/08/15, 3.60, 3.75, 3.10, 3.60, 9150
05/07/15, 3.80, 3.80, 3.65, 3.65, 18172
05/06/15, 3.75, 3.95, 3.65, 3.65, 18034
05/05/15, 3.80, 3.80, 3.70, 3.80, 25975
05/04/15, 3.95, 3.95, 3.80, 3.80, 13627
04/30/15, 3.95, 4.05, 3.85, 3.85, 15445
04/29/15, 4.20, 4.25, 3.95, 3.95, 52961
04/28/15, 3.70, 4.20, 3.70, 4.15, 38584
04/27/15, 4.15, 4.15, 3.80, 3.85, 17615
04/24/15, 4.25, 4.40, 3.90, 4.00, 70148
04/23/15, 4.15, 4.25, 4.10, 4.20, 27498
04/22/15, 4.45, 4.45, 4.15, 4.15, 20444
04/21/15, 4.15, 4.40, 4.05, 4.35, 19186
04/20/15, 4.40, 4.55, 4.30, 4.35, 30478
04/17/15, 4.20, 4.50, 4.15, 4.40, 134652
04/16/15, 4.10, 4.55, 4.10, 4.25, 39433
04/15/15, 4.15, 4.50, 4.15, 4.20, 54482
04/13/15, 4.40, 4.40, 4.05, 4.15, 102089
04/10/15, 4.20, 4.50, 4.00, 4.45, 148474
04/09/15, 4.45, 4.45, 4.05, 4.10, 47875
04/08/15, 4.60, 4.60, 4.15, 4.45, 93124
04/07/15, 4.15, 4.70, 4.05, 4.60, 372015
04/06/15, 3.20, 3.95, 3.20, 3.95, 177489
04/01/15, 3.40, 4.05, 3.00, 3.30, 63493
03/31/15, 3.00, 3.40, 3.00, 3.40, 24904
03/30/15, 3.00, 3.10, 2.55, 2.93, 23250
03/27/15, 2.95, 3.10, 2.95, 3.05, 10143
03/26/15, 2.90, 3.00, 2.80, 3.00, 27178
03/25/15, 3.10, 3.20, 2.75, 2.95, 36878
03/24/15, 3.00, 3.25, 3.00, 3.00, 30533
03/23/15, 3.15, 3.50, 2.60, 3.20, 66825
03/20/15, 3.45, 3.45, 3.10, 3.21, 41776
03/19/15, 3.40, 3.55, 3.30, 3.30, 22376
03/18/15, 3.40, 3.50, 3.30, 3.40, 6920
03/17/15, 3.40, 3.65, 3.30, 3.40, 32861
03/16/15, 3.50, 3.55, 3.50, 3.55, 4686
03/13/15, 3.65, 3.65, 3.45, 3.55, 21070
03/12/15, 3.50, 3.65, 3.50, 3.65, 14749
03/11/15, 3.55, 3.65, 3.50, 3.50, 23849
03/10/15, 3.75, 3.75, 3.60, 3.60, 6919
03/09/15, 3.60, 3.80, 3.55, 3.70, 21356
03/05/15, 3.80, 3.80, 3.60, 3.65, 40839
03/04/15, 3.75, 3.85, 3.65, 3.65, 28604
03/03/15, 3.80, 4.00, 3.40, 3.75, 28326
