Date, Open, High, Low, Close, Volume
03/31/16, 10, 10, 10, 10, 0
03/30/16, 10, 10, 10, 10, 70000
03/29/16, 10, 10, 10, 10, 0
03/24/16, 8, 10, 8, 10, 31200
03/23/16, 8, 8, 8, 8, 0
03/22/16, 8, 8, 8, 8, 0
03/18/16, 8, 8, 8, 8, 8000
03/17/16, 8, 9, 8, 9, 130365
03/16/16, 8, 8, 8, 8, 8194
03/15/16, 9, 10, 9, 10, 25905
03/14/16, 9, 9, 9, 9, 0
03/11/16, 9, 9, 9, 9, 0
03/10/16, 9, 9, 9, 9, 10194
03/09/16, 9, 9, 9, 9, 50000
03/08/16, 10, 10, 10, 10, 0
03/07/16, 10, 10, 10, 10, 6149
03/04/16, 9, 9, 9, 9, 1347
03/03/16, 9, 9, 8, 8, 195655
03/02/16, 9, 9, 9, 9, 20000
03/01/16, 8, 8, 8, 8, 5000
02/29/16, 9, 9, 8, 8, 56666
02/26/16, 9, 9, 9, 9, 0
02/25/16, 9, 9, 9, 9, 0
02/24/16, 9, 9, 9, 9, 0
02/23/16, 9, 9, 9, 9, 22500
02/22/16, 9, 9, 9, 9, 3200
02/19/16, 9, 9, 9, 9, 0
02/18/16, 9, 9, 9, 9, 0
02/17/16, 9, 9, 9, 9, 2000
02/16/16, 10, 10, 10, 10, 0
02/15/16, 10, 10, 10, 10, 0
02/12/16, 10, 10, 10, 10, 0
02/11/16, 7, 10, 7, 10, 62100
02/10/16, 7, 7, 7, 7, 0
02/09/16, 7, 7, 7, 7, 117700
02/08/16, 8, 8, 7, 7, 19938
02/05/16, 8, 8, 8, 8, 0
02/04/16, 8, 8, 8, 8, 10870
02/03/16, 9, 9, 9, 9, 0
02/02/16, 8, 9, 8, 9, 184140
02/01/16, 10, 10, 10, 10, 6000
01/29/16, 11, 11, 11, 11, 0
01/28/16, 11, 11, 11, 11, 0
01/27/16, 11, 11, 11, 11, 100
01/26/16, 10, 10, 10, 10, 300000
01/25/16, 8, 8, 8, 8, 0
01/22/16, 8, 8, 8, 8, 0
01/21/16, 8, 8, 8, 8, 42976
01/20/16, 8, 8, 8, 8, 0
01/19/16, 8, 8, 8, 8, 0
01/18/16, 8, 8, 8, 8, 37352
01/15/16, 8, 8, 8, 8, 0
01/14/16, 9, 9, 8, 8, 164190
01/13/16, 11, 11, 8, 8, 137900
01/12/16, 11, 11, 11, 11, 1900
01/11/16, 10, 10, 10, 10, 180000
01/08/16, 7, 7, 7, 7, 0
01/07/16, 7, 7, 7, 7, 0
01/06/16, 8, 10, 7, 7, 170000
01/05/16, 12, 12, 12, 12, 0
01/04/16, 12, 12, 12, 12, 0
12/31/15, 11, 12, 11, 12, 108100
12/30/15, 11, 11, 11, 11, 106393
12/29/15, 8, 8, 8, 8, 0
12/28/15, 8, 8, 8, 8, 0
12/24/15, 8, 8, 8, 8, 0
12/23/15, 8, 8, 8, 8, 81955
12/22/15, 8, 8, 8, 8, 0
12/21/15, 7, 8, 7, 8, 2300
12/18/15, 11, 11, 11, 11, 3850
12/17/15, 11, 11, 11, 11, 14666
12/15/15, 11, 11, 11, 11, 18000
12/14/15, 11, 11, 11, 11, 18000
12/11/15, 11, 11, 11, 11, 0
12/10/15, 11, 11, 11, 11, 9000
12/09/15, 11, 11, 11, 11, 33500
12/08/15, 10, 10, 10, 10, 0
12/07/15, 10, 10, 10, 10, 0
12/04/15, 10, 10, 10, 10, 5000
12/03/15, 11, 11, 11, 11, 0
12/02/15, 11, 11, 11, 11, 0
12/01/15, 11, 11, 11, 11, 0
11/30/15, 12, 12, 11, 11, 78901
11/27/15, 11, 11, 11, 11, 504545
11/26/15, 10, 12, 10, 11, 751583
