Date, Open, High, Low, Close, Volume
03/31/16, 2.46, 2.46, 2.46, 2.46, 0
03/30/16, 2.52, 2.52, 2.52, 2.52, 0
03/29/16, 2.53, 2.57, 2.50, 2.57, 0
03/24/16, 2.57, 2.57, 2.57, 2.57, 0
03/23/16, 2.90, 2.90, 2.77, 2.77, 0
03/22/16, 3.11, 3.11, 3.11, 3.11, 171
03/21/16, 2.91, 2.91, 2.91, 2.91, 0
03/18/16, 2.95, 2.96, 2.95, 2.96, 0
03/17/16, 2.81, 2.81, 2.81, 2.81, 0
03/16/16, 2.80, 2.80, 2.80, 2.80, 0
03/15/16, 2.76, 2.76, 2.76, 2.76, 0
03/14/16, 2.83, 2.83, 2.83, 2.83, 0
03/11/16, 2.63, 2.98, 2.63, 2.98, 0
03/10/16, 2.79, 2.79, 2.54, 2.66, 0
03/09/16, 2.49, 2.87, 2.49, 2.87, 0
03/08/16, 3.02, 3.02, 2.76, 2.76, 0
03/07/16, 3.05, 3.12, 3.05, 3.12, 0
03/04/16, 2.87, 2.87, 2.87, 2.87, 0
03/03/16, 2.71, 2.89, 2.70, 2.89, 0
03/02/16, 2.48, 2.80, 2.47, 2.64, 500
03/01/16, 2.40, 2.49, 2.40, 2.49, 300
02/29/16, 2.32, 2.32, 2.32, 2.32, 0
02/26/16, 2.22, 2.22, 2.22, 2.22, 0
02/25/16, 2.22, 2.22, 2.22, 2.22, 0
02/24/16, 2.10, 2.10, 2.10, 2.10, 0
02/23/16, 2.08, 2.08, 2.08, 2.08, 0
02/22/16, 1.85, 1.85, 1.85, 1.85, 0
02/19/16, 2.15, 2.15, 2.15, 2.15, 0
02/18/16, 2.24, 2.24, 2.24, 2.24, 0
02/17/16, 2.00, 2.29, 2.00, 2.29, 100
02/16/16, 2.15, 2.15, 2.15, 2.15, 0
02/15/16, 2.14, 2.14, 2.14, 2.14, 0
02/12/16, 2.03, 2.03, 2.03, 2.03, 0
02/11/16, 2.05, 2.05, 2.05, 2.05, 0
02/10/16, 2.31, 2.31, 2.31, 2.31, 0
02/09/16, 2.47, 2.47, 2.47, 2.47, 0
02/08/16, 2.74, 2.74, 2.74, 2.74, 0
02/05/16, 2.89, 2.89, 2.89, 2.89, 0
