Date, Open, High, Low, Close, Volume
03/31/16, 2.81, 2.98, 2.80, 2.97, 2347227
03/30/16, 2.96, 3.05, 2.725, 2.84, 3821034
03/29/16, 2.80, 2.94, 2.69, 2.90, 2615921
03/28/16, 2.98, 3.02, 2.785, 2.89, 3133902
03/24/16, 2.84, 3.05, 2.68, 2.97, 3171157
03/23/16, 3.23, 3.25, 2.90, 2.93, 3784915
03/22/16, 3.33, 3.36, 3.24, 3.31, 3144149
03/21/16, 3.31, 3.36, 3.22, 3.33, 3063560
03/18/16, 3.57, 3.81, 3.22, 3.34, 8620965
03/17/16, 3.22, 3.43, 3.20, 3.40, 7536630
03/16/16, 3.27, 3.38, 3.10, 3.21, 6423896
03/15/16, 3.06, 3.16, 2.86, 3.16, 3332065
03/14/16, 3.07, 3.25, 2.98, 3.12, 6001359
03/11/16, 3.09, 3.43, 3.0801, 3.21, 5072556
03/10/16, 3.08, 3.08, 2.75, 2.97, 5043884
03/09/16, 2.91, 3.37, 2.75, 3.12, 6829244
03/08/16, 3.34, 3.345, 2.74, 2.79, 7773169
03/07/16, 3.43, 3.53, 3.30, 3.40, 7724832
03/04/16, 3.25, 3.64, 3.14, 3.41, 7240402
03/03/16, 3.07, 3.31, 3.03, 3.20, 6036552
03/02/16, 2.73, 3.03, 2.70, 3.00, 5880467
03/01/16, 2.66, 2.75, 2.61, 2.74, 5387784
02/29/16, 2.58, 2.68, 2.55, 2.66, 4562612
02/26/16, 2.56, 2.67, 2.465, 2.59, 3316591
02/25/16, 2.63, 2.66, 2.44, 2.50, 4697765
02/24/16, 2.29, 2.59, 2.26, 2.50, 5522083
02/23/16, 2.34, 2.62, 2.275, 2.36, 4871575
02/22/16, 2.06, 2.46, 2.03, 2.34, 6334116
02/19/16, 2.36, 2.39, 2.015, 2.10, 10887623
02/18/16, 2.54, 2.56, 2.39, 2.44, 5394846
02/17/16, 2.32, 2.60, 2.3005, 2.54, 5785572
02/16/16, 2.52, 2.57, 2.20, 2.29, 3846677
02/12/16, 2.38, 2.49, 2.29, 2.41, 3180772
02/11/16, 2.36, 2.38, 2.19, 2.33, 4995881
02/10/16, 2.61, 2.67, 2.34, 2.36, 7207555
02/09/16, 2.77, 2.7999, 2.63, 2.66, 4324844
02/08/16, 3.02, 3.06, 2.79, 2.84, 3660714
02/05/16, 3.24, 3.39, 3.07, 3.11, 4020617
02/04/16, 3.36, 3.62, 3.25, 3.30, 4342333
02/03/16, 3.09, 3.36, 3.02, 3.33, 5401489
02/02/16, 3.50, 3.53, 3.0001, 3.08, 9197435
02/01/16, 3.67, 3.67, 3.36, 3.63, 4221834
01/29/16, 3.67, 3.82, 3.60, 3.79, 4719728
01/28/16, 3.78, 3.83, 3.62, 3.67, 4685301
01/27/16, 3.59, 3.67, 3.375, 3.43, 4099520
01/26/16, 3.24, 3.63, 3.09, 3.60, 7383240
01/25/16, 3.14, 3.33, 3.04, 3.06, 3851802
01/22/16, 3.27, 3.33, 3.04, 3.25, 5840268
01/21/16, 2.88, 3.19, 2.88, 3.11, 4115252
01/20/16, 2.79, 3.00, 2.68, 2.93, 9087412
01/19/16, 3.55, 3.56, 3.06, 3.07, 5819688
01/15/16, 3.42, 3.64, 3.42, 3.50, 6570750
01/14/16, 3.68, 3.83, 3.55, 3.68, 5210208
01/13/16, 3.68, 3.81, 3.55, 3.63, 5763147
01/12/16, 4.14, 4.15, 3.61, 3.65, 5676917
01/11/16, 4.27, 4.30, 3.82, 3.93, 4838087
01/08/16, 4.35, 4.39, 4.20, 4.27, 4307760
01/07/16, 4.54, 4.64, 4.28, 4.33, 5413804
01/06/16, 4.99, 5.00, 4.61, 4.71, 4123495
01/05/16, 5.33, 5.40, 5.08, 5.11, 3957844
01/04/16, 5.41, 5.46, 5.27, 5.38, 3723508
12/31/15, 5.23, 5.42, 5.18, 5.40, 2581693
12/30/15, 5.21, 5.48, 5.20, 5.27, 2091323
12/29/15, 5.55, 5.61, 5.25, 5.33, 2794187
12/28/15, 5.50, 5.505, 5.34, 5.41, 1828612
12/24/15, 5.81, 5.83, 5.63, 5.64, 1369519
12/23/15, 5.62, 5.85, 5.56, 5.80, 3232112
12/22/15, 5.32, 5.50, 5.30, 5.46, 4598230
12/21/15, 5.32, 5.39, 5.14, 5.35, 4753201
12/18/15, 5.58, 5.60, 5.26, 5.31, 5608431
12/17/15, 5.77, 5.85, 5.42, 5.56, 6961486
12/16/15, 6.07, 6.1384, 5.79, 5.82, 5490783
12/15/15, 6.20, 6.285, 6.09, 6.12, 4834698
12/14/15, 6.39, 6.395, 6.04, 6.07, 4960756
12/11/15, 6.81, 6.92, 6.40, 6.43, 4465243
12/10/15, 6.92, 7.15, 6.86, 6.96, 3493218
12/09/15, 7.05, 7.34, 6.85, 7.00, 4014345
12/08/15, 6.66, 6.96, 6.57, 6.90, 3895045
12/07/15, 7.06, 7.18, 6.73, 6.82, 4487090
12/04/15, 7.42, 7.47, 7.132, 7.23, 2683663
12/03/15, 7.71, 7.74, 7.44, 7.55, 3387389
12/02/15, 7.65, 7.74, 7.46, 7.61, 4377378
12/01/15, 7.41, 7.85, 7.40, 7.66, 6683810
11/30/15, 7.88, 7.89, 7.21, 7.37, 21526199
11/27/15, 8.02, 8.11, 7.79, 7.86, 1598811
11/25/15, 8.00, 8.26, 7.88, 8.12, 2455737
11/24/15, 7.76, 8.20, 7.74, 8.09, 4221429
11/23/15, 7.73, 7.895, 7.645, 7.67, 4572187
11/20/15, 7.81, 8.08, 7.65, 7.76, 3838743
11/19/15, 8.17, 8.21, 7.62, 7.81, 3674886
11/18/15, 7.96, 8.30, 7.90, 8.26, 3508739
11/17/15, 8.02, 8.03, 7.70, 7.89, 4374950
11/16/15, 7.81, 8.13, 7.74, 8.10, 4102913
11/13/15, 8.17, 8.25, 7.61, 7.84, 9408036
11/12/15, 8.32, 8.52, 8.14, 8.19, 3636410
11/11/15, 8.98, 9.03, 8.45, 8.47, 2802143
11/10/15, 8.90, 9.06, 8.70, 8.99, 2775211
11/09/15, 8.93, 9.05, 8.82, 8.94, 3158702
11/06/15, 8.83, 8.97, 8.745, 8.89, 3512194
11/05/15, 9.08, 9.43, 8.86, 8.92, 4945605
11/04/15, 8.75, 9.16, 8.71, 9.15, 6712415
11/03/15, 8.01, 9.13, 7.94, 8.72, 10226697
11/02/15, 7.61, 7.97, 7.59, 7.91, 6166372
10/30/15, 7.59, 7.77, 7.34, 7.67, 2829923
10/29/15, 7.41, 7.81, 7.34, 7.55, 3691945
10/28/15, 7.25, 7.64, 7.13, 7.36, 2632628
10/27/15, 7.32, 7.49, 7.13, 7.20, 2740507
10/26/15, 7.62, 7.63, 7.35, 7.38, 2369986
10/23/15, 7.59, 7.76, 7.44, 7.66, 2348130
10/22/15, 7.64, 7.76, 7.44, 7.62, 2041682
10/21/15, 7.78, 7.81, 7.54, 7.56, 2159879
10/20/15, 7.85, 8.06, 7.7416, 7.83, 3288833
10/19/15, 8.18, 8.26, 7.81, 7.86, 3010090
10/16/15, 8.28, 8.44, 8.18, 8.28, 4099833
10/15/15, 7.70, 8.32, 7.68, 8.24, 6408966
10/14/15, 7.68, 7.86, 7.55, 7.77, 4640616
10/13/15, 7.64, 7.99, 7.57, 7.68, 3563884
10/12/15, 7.80, 7.875, 7.43, 7.72, 6457800
10/09/15, 7.79, 7.95, 7.69, 7.80, 4865527
10/08/15, 7.58, 7.90, 7.50, 7.75, 3767526
10/07/15, 7.77, 7.78, 7.25, 7.55, 5525615
10/06/15, 7.55, 7.84, 7.52, 7.55, 6590435
10/05/15, 7.52, 7.69, 7.39, 7.50, 4160371
10/02/15, 6.99, 7.49, 6.92, 7.40, 4168378
10/01/15, 7.19, 7.46, 6.93, 7.08, 3076487
09/30/15, 6.92, 7.10, 6.775, 7.08, 4741037
09/29/15, 6.99, 7.08, 6.73, 6.80, 2380395
09/28/15, 7.00, 7.08, 6.74, 6.90, 3755459
09/25/15, 7.23, 7.29, 6.94, 7.09, 2505652
09/24/15, 7.05, 7.265, 7.01, 7.16, 2370727
09/23/15, 7.61, 7.73, 7.11, 7.13, 2040989
09/22/15, 7.60, 7.765, 7.47, 7.57, 2476004
09/21/15, 8.00, 8.07, 7.71, 7.73, 2406558
09/18/15, 7.99, 8.14, 7.73, 7.91, 6456619
09/17/15, 8.38, 8.52, 8.05, 8.13, 6549422
09/16/15, 8.34, 8.71, 8.24, 8.38, 4615208
09/15/15, 7.96, 8.30, 7.96, 8.20, 1827650
09/14/15, 7.98, 8.10, 7.85, 7.93, 1955980
09/11/15, 8.10, 8.19, 7.87, 8.03, 2617691
09/10/15, 8.23, 8.38, 8.01, 8.25, 2489720
09/09/15, 7.92, 8.38, 7.92, 8.15, 4808571
09/08/15, 7.78, 7.94, 7.665, 7.91, 2887708
09/04/15, 7.89, 8.02, 7.54, 7.62, 4266260
09/03/15, 7.79, 8.35, 7.73, 8.03, 4336385
09/02/15, 8.13, 8.13, 7.58, 7.73, 4597887
09/01/15, 7.67, 8.16, 7.62, 8.02, 6443227
08/31/15, 8.05, 8.19, 7.65, 8.01, 9131125
08/28/15, 8.31, 8.44, 7.95, 8.12, 8009119
08/27/15, 8.19, 8.56, 8.04, 8.38, 7011197
