Date, Open, High, Low, Close
03/31/16, 13.99, 13.99, 13.99, 13.99
03/30/16, 13.97, 13.97, 13.97, 13.97
03/29/16, 13.97, 13.97, 13.97, 13.97
03/28/16, 13.96, 13.96, 13.96, 13.96
03/24/16, 13.96, 13.96, 13.96, 13.96
03/23/16, 13.96, 13.96, 13.96, 13.96
03/22/16, 13.95, 13.95, 13.95, 13.95
03/21/16, 13.94, 13.94, 13.94, 13.94
03/18/16, 13.95, 13.95, 13.95, 13.95
03/17/16, 13.94, 13.94, 13.94, 13.94
03/16/16, 13.92, 13.92, 13.92, 13.92
03/15/16, 13.92, 13.92, 13.92, 13.92
03/14/16, 13.92, 13.92, 13.92, 13.92
03/11/16, 13.92, 13.92, 13.92, 13.92
03/10/16, 13.92, 13.92, 13.92, 13.92
03/09/16, 13.92, 13.92, 13.92, 13.92
03/08/16, 13.92, 13.92, 13.92, 13.92
03/07/16, 13.91, 13.91, 13.91, 13.91
03/04/16, 13.91, 13.91, 13.91, 13.91
03/03/16, 13.92, 13.92, 13.92, 13.92
03/02/16, 13.93, 13.93, 13.93, 13.93
03/01/16, 13.94, 13.94, 13.94, 13.94
02/29/16, 13.97, 13.97, 13.97, 13.97
02/26/16, 13.97, 13.97, 13.97, 13.97
02/25/16, 13.99, 13.99, 13.99, 13.99
02/24/16, 13.99, 13.99, 13.99, 13.99
02/23/16, 13.98, 13.98, 13.98, 13.98
02/22/16, 13.99, 13.99, 13.99, 13.99
02/19/16, 13.99, 13.99, 13.99, 13.99
02/18/16, 14.00, 14.00, 14.00, 14.00
02/17/16, 14.00, 14.00, 14.00, 14.00
02/16/16, 14.03, 14.03, 14.03, 14.03
02/12/16, 14.05, 14.05, 14.05, 14.05
02/11/16, 14.07, 14.07, 14.07, 14.07
02/10/16, 14.05, 14.05, 14.05, 14.05
02/09/16, 14.05, 14.05, 14.05, 14.05
02/08/16, 14.05, 14.05, 14.05, 14.05
02/05/16, 14.04, 14.04, 14.04, 14.04
02/04/16, 14.04, 14.04, 14.04, 14.04
02/03/16, 14.03, 14.03, 14.03, 14.03
02/02/16, 14.04, 14.04, 14.04, 14.04
02/01/16, 14.02, 14.02, 14.02, 14.02
01/29/16, 14.02, 14.02, 14.02, 14.02
01/28/16, 14.00, 14.00, 14.00, 14.00
01/27/16, 14.00, 14.00, 14.00, 14.00
01/26/16, 14.02, 14.02, 14.02, 14.02
01/25/16, 14.01, 14.01, 14.01, 14.01
01/22/16, 14.02, 14.02, 14.02, 14.02
01/21/16, 14.04, 14.04, 14.04, 14.04
01/20/16, 14.06, 14.06, 14.06, 14.06
01/19/16, 14.04, 14.04, 14.04, 14.04
01/15/16, 14.05, 14.05, 14.05, 14.05
01/14/16, 14.04, 14.04, 14.04, 14.04
01/13/16, 14.05, 14.05, 14.05, 14.05
01/12/16, 14.06, 14.06, 14.06, 14.06
01/11/16, 14.06, 14.06, 14.06, 14.06
01/08/16, 14.07, 14.07, 14.07, 14.07
01/07/16, 14.07, 14.07, 14.07, 14.07
01/06/16, 14.07, 14.07, 14.07, 14.07
01/05/16, 14.03, 14.03, 14.03, 14.03
01/04/16, 14.02, 14.02, 14.02, 14.02
12/31/15, 13.99, 13.99, 13.99, 13.99
12/30/15, 13.98, 13.98, 13.98, 13.98
12/29/15, 13.98, 13.98, 13.98, 13.98
12/28/15, 13.98, 13.98, 13.98, 13.98
12/24/15, 13.98, 13.98, 13.98, 13.98
12/23/15, 13.98, 13.98, 13.98, 13.98
12/22/15, 13.98, 13.98, 13.98, 13.98
12/21/15, 13.99, 13.99, 13.99, 13.99
12/18/15, 13.98, 13.98, 13.98, 13.98
12/17/15, 13.97, 13.97, 13.97, 13.97
12/16/15, 13.95, 13.95, 13.95, 13.95
12/15/15, 13.95, 13.95, 13.95, 13.95
12/14/15, 13.98, 13.98, 13.98, 13.98
12/11/15, 14.00, 14.00, 14.00, 14.00
12/10/15, 13.97, 13.97, 13.97, 13.97
12/09/15, 13.96, 13.96, 13.96, 13.96
12/08/15, 13.95, 13.95, 13.95, 13.95
12/07/15, 13.94, 13.94, 13.94, 13.94
12/04/15, 13.93, 13.93, 13.93, 13.93
12/03/15, 13.93, 13.93, 13.93, 13.93
12/02/15, 13.96, 13.96, 13.96, 13.96
12/01/15, 13.95, 13.95, 13.95, 13.95
11/30/15, 13.93, 13.93, 13.93, 13.93
11/27/15, 13.92, 13.92, 13.92, 13.92
11/25/15, 13.92, 13.92, 13.92, 13.92
11/24/15, 13.92, 13.92, 13.92, 13.92
11/23/15, 13.91, 13.91, 13.91, 13.91
11/20/15, 13.90, 13.90, 13.90, 13.90
11/19/15, 13.90, 13.90, 13.90, 13.90
11/18/15, 13.87, 13.87, 13.87, 13.87
11/17/15, 13.86, 13.86, 13.86, 13.86
11/16/15, 13.85, 13.85, 13.85, 13.85
11/13/15, 13.85, 13.85, 13.85, 13.85
11/12/15, 13.83, 13.83, 13.83, 13.83
11/11/15, 13.83, 13.83, 13.83, 13.83
11/10/15, 13.83, 13.83, 13.83, 13.83
11/09/15, 13.83, 13.83, 13.83, 13.83
11/06/15, 13.84, 13.84, 13.84, 13.84
11/05/15, 13.88, 13.88, 13.88, 13.88
11/04/15, 13.88, 13.88, 13.88, 13.88
11/03/15, 13.88, 13.88, 13.88, 13.88
11/02/15, 13.89, 13.89, 13.89, 13.89
10/30/15, 13.89, 13.89, 13.89, 13.89
10/29/15, 13.90, 13.90, 13.90, 13.90
10/28/15, 13.91, 13.91, 13.91, 13.91
10/27/15, 13.90, 13.90, 13.90, 13.90
10/26/15, 13.89, 13.89, 13.89, 13.89
10/23/15, 13.88, 13.88, 13.88, 13.88
10/22/15, 13.89, 13.89, 13.89, 13.89
10/21/15, 13.89, 13.89, 13.89, 13.89
10/20/15, 13.88, 13.88, 13.88, 13.88
10/19/15, 13.88, 13.88, 13.88, 13.88
10/16/15, 13.89, 13.89, 13.89, 13.89
10/15/15, 13.89, 13.89, 13.89, 13.89
10/14/15, 13.89, 13.89, 13.89, 13.89
10/13/15, 13.88, 13.88, 13.88, 13.88
10/12/15, 13.88, 13.88, 13.88, 13.88
10/09/15, 13.88, 13.88, 13.88, 13.88
10/08/15, 13.88, 13.88, 13.88, 13.88
10/07/15, 13.89, 13.89, 13.89, 13.89
10/06/15, 13.89, 13.89, 13.89, 13.89
10/05/15, 13.89, 13.89, 13.89, 13.89
10/02/15, 13.91, 13.91, 13.91, 13.91
10/01/15, 13.88, 13.88, 13.88, 13.88
09/30/15, 13.88, 13.88, 13.88, 13.88
09/29/15, 13.88, 13.88, 13.88, 13.88
09/28/15, 13.86, 13.86, 13.86, 13.86
09/25/15, 13.85, 13.85, 13.85, 13.85
09/24/15, 13.86, 13.86, 13.86, 13.86
09/23/15, 13.84, 13.84, 13.84, 13.84
09/22/15, 13.84, 13.84, 13.84, 13.84
09/21/15, 13.82, 13.82, 13.82, 13.82
09/18/15, 13.82, 13.82, 13.82, 13.82
09/17/15, 13.78, 13.78, 13.78, 13.78
09/16/15, 13.77, 13.77, 13.77, 13.77
09/15/15, 13.77, 13.77, 13.77, 13.77
09/14/15, 13.79, 13.79, 13.79, 13.79
09/11/15, 13.79, 13.79, 13.79, 13.79
09/10/15, 13.79, 13.79, 13.79, 13.79
09/09/15, 13.79, 13.79, 13.79, 13.79
09/08/15, 13.81, 13.81, 13.81, 13.81
09/04/15, 13.82, 13.82, 13.82, 13.82
09/03/15, 13.81, 13.81, 13.81, 13.81
09/02/15, 13.81, 13.81, 13.81, 13.81
09/01/15, 13.81, 13.81, 13.81, 13.81
08/31/15, 13.81, 13.81, 13.81, 13.81
08/28/15, 13.81, 13.81, 13.81, 13.81
08/27/15, 13.81, 13.81, 13.81, 13.81
08/26/15, 13.81, 13.81, 13.81, 13.81
08/25/15, 13.84, 13.84, 13.84, 13.84
08/24/15, 13.87, 13.87, 13.87, 13.87
08/21/15, 13.86, 13.86, 13.86, 13.86
08/20/15, 13.85, 13.85, 13.85, 13.85
08/19/15, 13.82, 13.82, 13.82, 13.82
08/18/15, 13.82, 13.82, 13.82, 13.82
08/17/15, 13.83, 13.83, 13.83, 13.83
08/14/15, 13.83, 13.83, 13.83, 13.83
08/13/15, 13.83, 13.83, 13.83, 13.83
08/12/15, 13.84, 13.84, 13.84, 13.84
08/11/15, 13.84, 13.84, 13.84, 13.84
08/10/15, 13.83, 13.83, 13.83, 13.83
08/07/15, 13.84, 13.84, 13.84, 13.84
08/06/15, 13.83, 13.83, 13.83, 13.83
08/05/15, 13.83, 13.83, 13.83, 13.83
08/04/15, 13.84, 13.84, 13.84, 13.84
08/03/15, 13.85, 13.85, 13.85, 13.85
07/31/15, 13.84, 13.84, 13.84, 13.84
07/30/15, 13.82, 13.82, 13.82, 13.82
07/29/15, 13.82, 13.82, 13.82, 13.82
07/28/15, 13.83, 13.83, 13.83, 13.83
07/27/15, 13.84, 13.84, 13.84, 13.84
07/24/15, 13.84, 13.84, 13.84, 13.84
07/23/15, 13.84, 13.84, 13.84, 13.84
07/22/15, 13.83, 13.83, 13.83, 13.83
07/21/15, 13.80, 13.80, 13.80, 13.80
07/20/15, 13.80, 13.80, 13.80, 13.80
07/17/15, 13.80, 13.80, 13.80, 13.80
07/16/15, 13.79, 13.79, 13.79, 13.79
07/15/15, 13.78, 13.78, 13.78, 13.78
07/14/15, 13.77, 13.77, 13.77, 13.77
07/13/15, 13.77, 13.77, 13.77, 13.77
07/10/15, 13.78, 13.78, 13.78, 13.78
07/09/15, 13.82, 13.82, 13.82, 13.82
