Date, Open, High, Low, Close
03/31/16, 9997.44, 10021.34, 9947.02, 9965.51
03/30/16, 9951.68, 10097.70, 9947.26, 10046.61
03/29/16, 9900.88, 9947.03, 9808.48, 9887.94
03/24/16, 9974.60, 9977.99, 9845.37, 9851.35
03/23/16, 10046.94, 10112.17, 9964.63, 10022.93
03/22/16, 9836.28, 9990.00, 9762.57, 9990.00
03/21/16, 9893.26, 10095.46, 9863.83, 9948.64
03/18/16, 9905.67, 9961.48, 9822.52, 9950.80
03/17/16, 10051.69, 10055.29, 9753.04, 9892.20
03/16/16, 9971.04, 10021.70, 9917.92, 9983.41
03/15/16, 9941.46, 9973.58, 9890.12, 9933.85
03/14/16, 9948.21, 10039.61, 9936.06, 9990.26
03/11/16, 9672.05, 9833.90, 9642.79, 9831.13
03/10/16, 9697.64, 9995.84, 9498.15, 9498.15
03/09/16, 9700.16, 9838.95, 9679.19, 9723.09
03/08/16, 9688.47, 9785.05, 9617.69, 9692.82
03/07/16, 9764.08, 9803.73, 9690.00, 9778.93
03/04/16, 9800.86, 9899.11, 9742.76, 9824.17
03/03/16, 9807.06, 9808.52, 9709.68, 9751.92
03/02/16, 9780.84, 9837.11, 9695.98, 9776.62
03/01/16, 9482.66, 9719.02, 9471.09, 9717.16
02/29/16, 9424.93, 9498.57, 9332.42, 9495.40
02/26/16, 9454.52, 9576.88, 9436.33, 9513.30
02/25/16, 9277.02, 9391.31, 9199.09, 9331.48
02/24/16, 9396.48, 9415.33, 9125.19, 9167.80
02/23/16, 9503.12, 9535.12, 9405.22, 9416.77
02/22/16, 9481.37, 9581.45, 9477.69, 9573.59
02/19/16, 9420.51, 9474.02, 9319.10, 9388.05
02/18/16, 9428.01, 9551.87, 9349.95, 9463.64
02/17/16, 9174.28, 9394.62, 9156.14, 9377.21
02/16/16, 9242.75, 9269.06, 9079.19, 9135.11
02/15/16, 9163.54, 9249.46, 9134.76, 9206.84
02/12/16, 8854.40, 8967.51, 8815.77, 8967.51
02/11/16, 8887.89, 8899.57, 8699.29, 8752.87
02/10/16, 8937.98, 9128.54, 8875.45, 9017.29
02/09/16, 8980.71, 9041.90, 8772.88, 8879.40
02/08/16, 9329.87, 9337.52, 8937.98, 8979.36
02/05/16, 9375.29, 9469.71, 9250.84, 9286.23
02/04/16, 9522.67, 9539.92, 9270.09, 9393.36
02/03/16, 9541.53, 9577.20, 9350.98, 9434.82
02/02/16, 9721.18, 9729.23, 9536.97, 9581.04
02/01/16, 9823.73, 9827.10, 9638.58, 9757.88
01/29/16, 9772.58, 9798.38, 9656.36, 9798.11
01/28/16, 9826.28, 9905.08, 9594.80, 9639.59
01/27/16, 9781.42, 9880.82, 9728.64, 9880.82
01/26/16, 9599.56, 9867.18, 9563.64, 9822.75
01/25/16, 9790.44, 9800.49, 9681.70, 9736.15
01/22/16, 9762.55, 9837.62, 9704.90, 9764.88
01/21/16, 9400.69, 9656.33, 9348.74, 9574.16
01/20/16, 9430.13, 9490.45, 9314.57, 9391.64
01/19/16, 9722.64, 9756.14, 9626.65, 9664.21
01/18/16, 9542.60, 9657.94, 9457.95, 9521.85
01/15/16, 9778.36, 9832.92, 9459.09, 9545.27
01/14/16, 9836.85, 9884.27, 9614.77, 9794.20
01/13/16, 10112.35, 10164.05, 9929.07, 9960.96
01/12/16, 9832.82, 10092.67, 9832.82, 9985.43
01/11/16, 9814.04, 9978.69, 9813.02, 9825.07
01/08/16, 10010.47, 10122.46, 9849.34, 9849.34
01/07/16, 10144.17, 10145.47, 9810.47, 9979.85
01/06/16, 10288.68, 10288.68, 10094.18, 10214.02
01/05/16, 10373.27, 10384.26, 10173.52, 10310.10
01/04/16, 10485.81, 10485.91, 10248.58, 10283.44
12/30/15, 10855.17, 10857.43, 10743.01, 10743.01
12/29/15, 10744.96, 10860.14, 10731.63, 10860.14
12/28/15, 10748.37, 10756.17, 10627.46, 10653.91
12/23/15, 10623.56, 10743.32, 10595.27, 10727.64
12/22/15, 10598.19, 10623.98, 10400.61, 10488.75
12/21/15, 10607.20, 10796.03, 10497.77, 10497.77
12/18/15, 10639.98, 10735.85, 10543.05, 10608.19
12/17/15, 10685.30, 10829.62, 10656.39, 10738.12
12/16/15, 10476.06, 10572.55, 10423.78, 10469.26
12/15/15, 10239.80, 10482.75, 10237.48, 10450.38
12/14/15, 10406.71, 10448.65, 10122.95, 10139.34
12/11/15, 10572.86, 10596.03, 10294.25, 10340.06
12/10/15, 10547.52, 10662.77, 10500.03, 10598.93
12/09/15, 10719.70, 10719.70, 10554.54, 10592.49
12/08/15, 10872.68, 10895.50, 10616.24, 10673.60
12/07/15, 10832.42, 10992.55, 10806.52, 10886.09
12/04/15, 10770.16, 10814.82, 10632.77, 10752.10
12/03/15, 11173.79, 11318.80, 10780.63, 10789.24
12/02/15, 11301.51, 11329.79, 11188.03, 11190.02
12/01/15, 11422.47, 11430.38, 11235.97, 11261.24
11/30/15, 11268.31, 11430.87, 11253.37, 11382.23
11/27/15, 11277.91, 11354.01, 11247.14, 11293.76
11/26/15, 11180.94, 11366.37, 11176.56, 11320.77
11/25/15, 10958.40, 11186.68, 10921.71, 11169.54
11/24/15, 11064.78, 11064.96, 10869.20, 10933.99
