Date, Open, High, Low, Close, Volume
03/31/16, 61.60, 61.60, 61.60, 61.60, 0
03/30/16, 61.60, 61.60, 61.60, 61.60, 0
03/29/16, 62.00, 63.50, 61.60, 61.60, 50
03/24/16, 61.60, 61.60, 61.60, 61.60, 0
03/23/16, 61.60, 61.60, 61.60, 61.60, 0
03/22/16, 61.60, 61.60, 61.60, 61.60, 0
03/21/16, 61.64, 61.64, 61.64, 61.64, 0
03/18/16, 60.00, 60.00, 60.00, 60.00, 0
03/17/16, 60.00, 60.00, 60.00, 60.00, 0
03/16/16, 60.00, 60.00, 60.00, 60.00, 0
03/15/16, 60.00, 60.00, 60.00, 60.00, 30
03/14/16, 59.00, 60.00, 59.00, 60.00, 18
03/11/16, 60.00, 60.00, 60.00, 60.00, 70
03/10/16, 60.00, 60.00, 60.00, 60.00, 0
03/09/16, 62.00, 62.00, 60.00, 60.00, 0
03/08/16, 57.00, 59.40, 57.00, 59.40, 75
03/07/16, 57.00, 57.00, 57.00, 57.00, 0
03/04/16, 59.65, 59.65, 59.65, 59.65, 35
03/03/16, 61.39, 61.39, 61.39, 61.39, 63
03/02/16, 59.90, 59.90, 59.90, 59.90, 0
03/01/16, 61.00, 61.00, 61.00, 61.00, 0
02/29/16, 60.36, 60.36, 60.36, 60.36, 0
02/26/16, 59.91, 59.91, 59.80, 59.80, 148
02/25/16, 59.48, 59.48, 59.48, 59.48, 0
02/24/16, 59.52, 60.00, 57.00, 60.00, 20
02/23/16, 59.29, 60.00, 59.29, 60.00, 50
02/22/16, 60.00, 60.00, 58.00, 58.00, 0
02/19/16, 58.89, 60.00, 57.00, 60.00, 23
02/18/16, 57.97, 57.97, 57.97, 57.97, 0
02/17/16, 57.78, 58.00, 57.78, 58.00, 100
02/16/16, 57.94, 57.94, 57.94, 57.94, 0
02/15/16, 57.63, 57.63, 57.63, 57.63, 0
02/12/16, 56.82, 56.82, 56.82, 56.82, 40
02/11/16, 56.70, 57.64, 56.70, 57.64, 5
02/10/16, 56.93, 57.00, 56.93, 57.00, 10
02/09/16, 57.27, 57.27, 57.27, 57.27, 0
02/08/16, 56.90, 56.90, 56.90, 56.90, 0
02/05/16, 57.08, 57.08, 57.08, 57.08, 0
02/04/16, 56.02, 57.45, 56.02, 57.45, 6
02/03/16, 56.02, 57.00, 56.02, 57.00, 50
02/02/16, 54.30, 54.30, 54.30, 54.30, 0
02/01/16, 55.30, 57.45, 55.30, 57.45, 6
01/29/16, 59.00, 59.00, 58.10, 58.10, 41
01/28/16, 58.85, 58.85, 58.85, 58.85, 0
01/27/16, 58.89, 58.89, 58.89, 58.89, 0
01/26/16, 56.02, 56.02, 56.02, 56.02, 0
01/25/16, 57.00, 59.61, 57.00, 59.56, 0
01/22/16, 56.02, 59.65, 56.02, 59.65, 25
01/21/16, 54.85, 55.10, 54.85, 55.10, 491
01/20/16, 57.02, 57.50, 55.34, 57.50, 105
01/19/16, 57.02, 57.02, 57.02, 57.02, 0
01/18/16, 56.02, 57.02, 56.02, 57.02, 0
01/15/16, 59.00, 59.00, 55.00, 56.02, 53
01/14/16, 58.00, 58.00, 58.00, 58.00, 0
01/13/16, 59.00, 59.00, 59.00, 59.00, 10
01/12/16, 58.00, 59.00, 58.00, 59.00, 0
01/11/16, 58.00, 58.00, 58.00, 58.00, 8
01/08/16, 54.43, 54.51, 53.55, 53.55, 20
01/07/16, 68.70, 68.70, 60.41, 68.70, 11
01/06/16, 59.00, 59.00, 59.00, 59.00, 0
01/05/16, 57.00, 57.00, 57.00, 57.00, 0
01/04/16, 68.71, 68.71, 57.00, 57.00, 4
12/30/15, 68.71, 68.71, 68.71, 68.71, 46
12/29/15, 68.71, 68.71, 68.71, 68.71, 0
12/28/15, 68.71, 68.71, 68.71, 68.71, 0
12/23/15, 62.50, 62.50, 62.50, 62.50, 0
12/22/15, 62.50, 65.40, 62.50, 65.40, 33
12/21/15, 56.00, 56.00, 56.00, 56.00, 0
12/18/15, 65.86, 65.86, 65.86, 65.86, 0
12/17/15, 65.55, 65.55, 65.55, 65.55, 0
12/16/15, 65.55, 65.55, 65.55, 65.55, 0
12/15/15, 65.55, 65.55, 65.55, 65.55, 0
12/14/15, 67.50, 67.50, 58.13, 58.13, 0
12/11/15, 59.00, 60.50, 59.00, 60.50, 13
12/10/15, 58.93, 58.93, 58.93, 58.93, 0
12/09/15, 67.00, 67.00, 67.00, 67.00, 10
12/08/15, 67.00, 67.00, 67.00, 67.00, 0
12/07/15, 67.00, 67.00, 67.00, 67.00, 0
12/04/15, 67.00, 67.00, 67.00, 67.00, 0
12/03/15, 67.00, 67.00, 67.00, 67.00, 0
12/02/15, 67.00, 67.00, 67.00, 67.00, 0
12/01/15, 67.00, 67.00, 67.00, 67.00, 60
11/30/15, 68.71, 70.20, 68.71, 70.20, 0
11/27/15, 69.50, 70.20, 69.50, 70.20, 0
11/26/15, 69.00, 70.00, 69.00, 70.00, 33
11/25/15, 69.00, 69.00, 69.00, 69.00, 0
11/24/15, 69.00, 69.50, 69.00, 69.50, 35
11/23/15, 68.71, 69.00, 68.71, 69.00, 0
11/20/15, 68.71, 70.00, 67.00, 69.00, 20
11/19/15, 67.00, 67.00, 67.00, 67.00, 0
11/18/15, 67.00, 67.00, 67.00, 67.00, 0
11/17/15, 67.00, 67.00, 67.00, 67.00, 0
11/16/15, 67.00, 67.00, 67.00, 67.00, 0
11/13/15, 68.71, 68.71, 68.71, 68.71, 0
11/12/15, 67.00, 69.00, 67.00, 69.00, 0
11/11/15, 68.72, 68.72, 68.72, 68.72, 0
11/10/15, 67.00, 67.00, 67.00, 67.00, 0
11/09/15, 68.71, 68.71, 68.71, 68.71, 0
11/06/15, 68.00, 68.00, 68.00, 68.00, 0
11/05/15, 68.00, 68.00, 68.00, 68.00, 0
11/04/15, 67.00, 67.05, 67.00, 67.05, 50
11/03/15, 65.23, 69.00, 65.23, 69.00, 0
11/02/15, 64.98, 64.98, 64.98, 64.98, 0
10/30/15, 65.91, 65.91, 65.91, 65.91, 0
10/29/15, 67.08, 67.08, 67.08, 67.08, 0
10/28/15, 66.60, 70.00, 66.60, 70.00, 0
10/27/15, 67.00, 67.00, 67.00, 67.00, 0
10/26/15, 67.37, 67.37, 67.37, 67.37, 0
10/23/15, 66.99, 67.11, 66.99, 67.11, 0
10/22/15, 65.42, 65.42, 65.42, 65.42, 0
10/21/15, 69.00, 69.00, 69.00, 69.00, 0
10/20/15, 65.25, 69.00, 65.25, 69.00, 0
10/19/15, 66.21, 66.21, 66.21, 66.21, 0
10/16/15, 70.51, 70.51, 65.00, 67.00, 0
10/15/15, 73.00, 73.00, 65.10, 69.10, 0
10/14/15, 70.51, 70.51, 70.51, 70.51, 0
10/13/15, 68.00, 68.00, 68.00, 68.00, 0
10/12/15, 68.50, 68.50, 68.50, 68.50, 0
10/09/15, 65.80, 68.50, 65.80, 68.45, 340
10/08/15, 68.50, 68.50, 68.50, 68.50, 30
10/07/15, 69.49, 69.49, 69.49, 69.49, 130
10/06/15, 68.50, 68.50, 68.00, 68.00, 100
10/05/15, 68.50, 69.00, 68.50, 69.00, 0
10/02/15, 64.50, 64.50, 64.50, 64.50, 25
10/01/15, 65.10, 65.10, 65.10, 65.10, 16
09/30/15, 67.00, 67.50, 67.00, 67.50, 0
09/29/15, 66.80, 66.81, 66.80, 66.80, 0
09/28/15, 66.81, 66.82, 66.81, 66.81, 0
09/25/15, 65.92, 66.81, 65.50, 66.81, 60
09/24/15, 65.10, 65.10, 65.10, 65.10, 0
09/23/15, 65.10, 65.10, 65.10, 65.10, 0
09/22/15, 66.00, 66.00, 65.10, 65.10, 15
09/21/15, 65.25, 66.00, 65.25, 66.00, 0
09/18/15, 66.77, 66.80, 66.20, 66.20, 7744
09/17/15, 67.30, 67.30, 67.30, 67.30, 0
09/16/15, 67.30, 67.84, 67.30, 67.30, 391
09/15/15, 67.30, 67.30, 67.30, 67.30, 905
09/14/15, 65.33, 67.30, 65.33, 67.30, 1000
09/11/15, 67.50, 67.50, 66.00, 66.00, 80
09/10/15, 67.50, 67.50, 67.50, 67.50, 20
09/09/15, 67.50, 67.50, 67.50, 67.50, 0
09/08/15, 67.50, 68.87, 67.50, 67.50, 10
09/07/15, 68.00, 68.00, 67.50, 67.50, 108
09/04/15, 68.11, 69.17, 68.11, 68.16, 0
09/03/15, 68.00, 68.50, 68.00, 68.50, 0
09/02/15, 67.50, 68.25, 67.50, 68.01, 0
09/01/15, 66.01, 67.51, 66.01, 67.01, 0
08/31/15, 66.01, 69.00, 66.01, 67.01, 0
08/28/15, 69.34, 69.34, 65.33, 65.33, 100
08/11/15, 72.47, 72.47, 72.47, 72.47, 0
08/10/15, 71.13, 71.13, 71.13, 71.13, 0
08/07/15, 69.20, 71.70, 69.20, 70.61, 60
08/06/15, 70.00, 70.00, 68.77, 68.77, 5
08/05/15, 69.01, 70.00, 69.00, 70.00, 5
08/04/15, 65.10, 67.01, 65.10, 67.01, 0
08/03/15, 67.26, 67.26, 65.99, 65.99, 39
07/31/15, 71.80, 71.80, 68.26, 68.26, 385
07/30/15, 71.80, 71.80, 71.63, 71.63, 0
07/29/15, 72.02, 72.02, 72.02, 72.02, 0
07/28/15, 71.91, 71.91, 71.80, 71.80, 0
07/27/15, 72.14, 72.14, 72.02, 72.02, 0
07/24/15, 72.00, 72.00, 72.00, 72.00, 0
07/23/15, 70.02, 72.13, 70.02, 72.13, 0
07/22/15, 70.51, 70.91, 70.51, 70.51, 0
07/21/15, 70.00, 75.00, 69.00, 69.00, 12
07/20/15, 73.00, 73.00, 73.00, 73.00, 0
07/17/15, 84.01, 84.02, 84.01, 84.02, 0
07/16/15, 84.86, 85.00, 84.86, 85.00, 50
07/15/15, 83.03, 84.22, 82.21, 84.22, 0
07/14/15, 75.00, 83.70, 75.00, 83.70, 221
07/13/15, 69.00, 75.11, 69.00, 75.11, 40
07/10/15, 71.49, 71.49, 68.50, 68.50, 132
07/09/15, 70.39, 70.39, 70.39, 70.39, 0
07/08/15, 67.83, 70.12, 67.73, 70.12, 10
07/07/15, 67.50, 69.00, 67.50, 69.00, 25
07/06/15, 70.00, 70.00, 68.00, 68.55, 10
07/03/15, 67.00, 67.00, 67.00, 67.00, 0
07/02/15, 70.19, 70.19, 67.00, 70.00, 74
07/01/15, 71.99, 72.80, 70.00, 71.50, 1880
06/30/15, 73.03, 73.82, 71.50, 71.99, 2319
06/29/15, 77.78, 78.00, 74.90, 74.90, 408
06/26/15, 78.12, 78.15, 77.78, 77.78, 32
06/25/15, 78.18, 79.02, 78.18, 79.02, 0
06/24/15, 80.03, 80.03, 78.12, 78.12, 128
06/23/15, 80.03, 80.03, 80.03, 80.03, 0
06/22/15, 80.03, 80.03, 79.56, 80.03, 0
06/19/15, 80.95, 81.97, 79.12, 80.40, 120
06/18/15, 84.00, 84.00, 79.60, 79.60, 50
06/17/15, 83.39, 83.39, 83.39, 83.39, 0
06/16/15, 83.39, 84.00, 83.39, 83.39, 0
06/15/15, 83.64, 83.64, 83.64, 83.64, 0
06/12/15, 83.83, 84.09, 83.83, 83.97, 0
06/11/15, 83.50, 84.01, 83.50, 84.01, 0
06/10/15, 83.54, 83.54, 83.53, 83.53, 0
06/09/15, 83.75, 83.75, 83.56, 83.72, 0
06/08/15, 84.92, 85.56, 83.53, 83.53, 0
06/05/15, 86.66, 86.99, 85.31, 85.31, 50
06/04/15, 85.86, 86.98, 83.39, 84.95, 70
06/03/15, 87.25, 87.35, 85.75, 85.75, 0
06/02/15, 89.33, 89.33, 87.56, 87.56, 0
06/01/15, 90.90, 90.90, 90.11, 90.11, 0
05/29/15, 90.83, 90.83, 90.47, 90.47, 0
05/28/15, 91.23, 91.50, 89.65, 89.65, 0
05/27/15, 92.25, 92.25, 92.20, 92.20, 0
05/26/15, 91.98, 92.24, 89.65, 89.65, 90
05/22/15, 90.00, 90.95, 89.96, 90.88, 100
05/21/15, 90.37, 90.37, 88.81, 88.81, 1500
05/20/15, 90.58, 90.78, 90.42, 90.67, 0
05/19/15, 90.67, 90.90, 90.23, 90.42, 0
05/18/15, 90.12, 91.00, 90.12, 90.12, 70
05/15/15, 90.02, 90.11, 88.99, 88.99, 150
05/14/15, 89.02, 90.03, 89.02, 90.03, 0
05/13/15, 90.77, 93.99, 90.02, 90.02, 20
05/12/15, 91.94, 91.94, 90.78, 90.83, 0
05/11/15, 95.98, 95.98, 92.53, 92.53, 50
05/08/15, 93.69, 93.82, 93.69, 93.80, 50
05/07/15, 93.01, 94.52, 93.01, 93.20, 20
05/06/15, 94.73, 95.14, 94.03, 94.03, 70
05/05/15, 96.02, 96.91, 96.02, 96.91, 0
05/04/15, 96.01, 96.02, 96.01, 96.02, 0
04/30/15, 98.01, 98.01, 96.01, 96.01, 0
04/29/15, 99.51, 99.51, 98.02, 98.02, 0
04/28/15, 98.52, 99.51, 98.52, 99.51, 5
04/27/15, 99.61, 99.61, 98.52, 98.52, 0
04/24/15, 99.70, 100.00, 98.51, 98.51, 100
04/23/15, 100.03, 100.03, 99.85, 99.85, 0
04/22/15, 100.03, 100.03, 100.03, 100.03, 0
04/21/15, 99.93, 100.03, 99.93, 100.03, 100
04/20/15, 98.76, 99.28, 98.68, 98.68, 0
04/17/15, 100.03, 100.45, 98.70, 98.70, 73
04/16/15, 102.51, 102.51, 100.03, 100.03, 0
04/15/15, 102.53, 104.61, 102.53, 102.53, 50
04/14/15, 102.22, 103.14, 102.22, 102.53, 190
04/13/15, 102.03, 102.22, 102.03, 102.22, 12
04/10/15, 105.50, 105.50, 102.03, 102.03, 20
04/09/15, 101.11, 102.03, 101.11, 102.03, 0
04/08/15, 101.00, 101.11, 101.00, 101.11, 30
04/07/15, 101.53, 101.53, 101.11, 101.11, 0
04/02/15, 103.03, 103.86, 99.47, 99.47, 150
04/01/15, 103.03, 103.03, 103.03, 103.03, 0
03/31/15, 101.92, 103.03, 101.92, 103.03, 35
03/30/15, 101.11, 101.53, 101.03, 101.53, 0
03/27/15, 101.12, 101.12, 100.29, 100.29, 0
03/26/15, 100.23, 100.31, 100.23, 100.31, 0
03/25/15, 100.23, 100.86, 100.22, 100.86, 0
03/24/15, 103.03, 103.03, 101.03, 101.03, 0
03/23/15, 104.03, 104.03, 103.03, 103.03, 140
03/20/15, 103.53, 104.01, 103.52, 104.01, 0
03/19/15, 103.06, 103.53, 103.03, 103.52, 105
03/18/15, 104.17, 104.18, 103.11, 103.11, 0
03/17/15, 104.01, 104.40, 103.95, 104.40, 20
03/16/15, 104.02, 105.00, 104.02, 104.42, 0
03/13/15, 104.27, 104.27, 103.70, 103.70, 0
03/12/15, 104.36, 104.39, 103.79, 104.08, 100
03/11/15, 103.13, 104.69, 100.01, 104.69, 125
03/10/15, 102.38, 103.88, 100.01, 102.86, 500
03/09/15, 101.50, 101.90, 101.40, 101.90, 10
03/06/15, 100.22, 102.30, 100.22, 100.90, 703
03/05/15, 100.24, 100.24, 99.26, 99.26, 10
03/04/15, 99.21, 100.00, 99.13, 100.00, 0
03/03/15, 99.04, 99.40, 98.31, 98.68, 755
03/02/15, 98.33, 99.05, 98.32, 99.05, 150
02/27/15, 98.33, 98.33, 98.33, 98.33, 0
02/26/15, 98.33, 99.22, 98.33, 99.22, 33
02/25/15, 98.32, 99.21, 98.32, 99.21, 100
02/24/15, 98.33, 98.33, 98.32, 98.32, 230
02/23/15, 98.32, 100.60, 98.32, 98.33, 447
02/20/15, 97.99, 100.61, 97.99, 98.33, 60
02/19/15, 97.99, 99.95, 97.99, 99.95, 110
02/18/15, 98.15, 98.15, 97.99, 97.99, 0
02/17/15, 99.50, 101.47, 98.02, 98.02, 263
02/16/15, 98.03, 98.63, 98.02, 98.63, 0
02/13/15, 97.02, 98.50, 97.02, 98.03, 100
02/12/15, 98.27, 98.34, 98.06, 98.06, 0
02/11/15, 98.40, 98.42, 98.37, 98.38, 125
02/10/15, 98.37, 98.54, 98.37, 98.37, 0
02/09/15, 97.98, 98.51, 97.93, 97.93, 0
02/06/15, 97.06, 98.04, 96.02, 98.01, 100
02/05/15, 95.78, 97.84, 95.33, 96.80, 487
