Date, Open, High, Low, Close, Volume
03/31/16, 4.61, 4.65, 4.52, 4.53, 21964724
03/30/16, 4.43, 4.58, 4.43, 4.58, 23116639
03/29/16, 4.50, 4.52, 4.37, 4.41, 17330804
03/28/16, 4.52, 4.62, 4.45, 4.49, 22230784
03/25/16, 4.46, 4.52, 4.44, 4.50, 13719538
03/24/16, 4.55, 4.58, 4.46, 4.46, 19997309
03/23/16, 4.51, 4.62, 4.49, 4.58, 21816252
03/22/16, 4.55, 4.59, 4.46, 4.52, 30206431
03/21/16, 4.48, 4.62, 4.45, 4.56, 38133913
03/18/16, 4.30, 4.45, 4.29, 4.40, 36290812
03/17/16, 4.19, 4.32, 4.17, 4.28, 20249320
03/16/16, 4.30, 4.32, 4.15, 4.19, 15033704
03/15/16, 4.27, 4.32, 4.23, 4.26, 14724772
03/14/16, 4.20, 4.32, 4.16, 4.27, 18667625
03/11/16, 4.12, 4.19, 4.08, 4.14, 9713753
03/10/16, 4.22, 4.33, 4.14, 4.18, 12960335
03/09/16, 4.18, 4.27, 4.12, 4.24, 13245392
03/08/16, 4.24, 4.28, 4.10, 4.27, 18946082
03/07/16, 4.20, 4.34, 4.20, 4.26, 14173486
03/04/16, 4.24, 4.30, 4.01, 4.18, 22700161
03/03/16, 4.27, 4.45, 4.24, 4.29, 24412404
03/02/16, 4.04, 4.33, 4.02, 4.29, 26125467
03/01/16, 4.00, 4.06, 3.90, 4.03, 19393982
02/29/16, 4.18, 4.20, 3.85, 3.97, 25262246
02/26/16, 4.28, 4.31, 4.05, 4.23, 20532712
02/25/16, 4.70, 4.71, 4.22, 4.22, 26512510
02/24/16, 4.61, 4.71, 4.56, 4.69, 15633590
02/23/16, 4.74, 4.76, 4.59, 4.65, 20698861
02/22/16, 4.65, 4.76, 4.63, 4.74, 24198555
02/19/16, 4.61, 4.64, 4.54, 4.62, 16729612
02/18/16, 4.66, 4.70, 4.59, 4.60, 22147348
02/17/16, 4.57, 4.69, 4.51, 4.63, 20022644
02/16/16, 4.41, 4.63, 4.40, 4.60, 20968904
02/15/16, 4.19, 4.43, 4.13, 4.39, 13823132
02/05/16, 4.49, 4.53, 4.38, 4.39, 14220572
02/04/16, 4.37, 4.55, 4.35, 4.49, 22395040
02/03/16, 4.29, 4.37, 4.25, 4.35, 13245208
02/02/16, 4.27, 4.42, 4.21, 4.37, 13398268
02/01/16, 4.35, 4.35, 4.15, 4.25, 16897102
01/29/16, 4.20, 4.41, 4.18, 4.36, 17678257
01/28/16, 4.24, 4.41, 4.10, 4.21, 20673399
01/27/16, 4.53, 4.55, 4.11, 4.31, 32461358
01/26/16, 4.94, 4.98, 4.50, 4.50, 22452945
01/25/16, 5.05, 5.07, 4.93, 5.00, 14039700
01/22/16, 4.93, 5.02, 4.82, 5.00, 16511974
01/21/16, 4.98, 5.11, 4.79, 4.86, 21881311
01/20/16, 4.99, 5.29, 4.95, 5.07, 32786239
01/19/16, 4.82, 5.06, 4.80, 5.01, 27835476
