Date, Open, High, Low, Close, Volume
03/31/16, 31.25, 31.40, 30.90, 31.35, 43000
03/30/16, 30.70, 31.30, 30.70, 31.25, 108000
03/29/16, 31.25, 31.40, 31.00, 31.30, 42000
03/28/16, 31.60, 32.00, 31.00, 31.40, 39000
03/25/16, 31.70, 31.70, 31.50, 31.50, 12000
03/24/16, 31.50, 31.95, 31.10, 31.70, 96100
03/23/16, 31.45, 31.45, 31.45, 31.45, 3000
03/22/16, 31.70, 31.80, 31.20, 31.45, 33000
03/21/16, 31.50, 32.00, 31.50, 31.90, 46000
03/18/16, 31.70, 31.90, 31.60, 31.90, 19000
03/17/16, 32.20, 32.20, 31.65, 31.90, 80000
03/16/16, 31.60, 32.30, 31.60, 32.10, 72000
03/15/16, 31.80, 31.85, 31.50, 31.70, 111000
03/14/16, 32.10, 32.40, 31.85, 31.85, 131000
03/11/16, 32.00, 32.30, 31.80, 32.10, 102050
03/10/16, 31.95, 32.10, 31.50, 32.10, 59000
03/09/16, 32.15, 32.25, 31.70, 32.00, 100000
03/08/16, 31.70, 32.20, 31.65, 32.15, 68000
03/07/16, 31.60, 31.90, 31.30, 31.70, 46000
03/04/16, 31.55, 31.70, 31.30, 31.60, 49000
03/03/16, 31.50, 31.70, 31.00, 31.25, 56000
03/02/16, 31.35, 31.50, 31.20, 31.50, 38000
03/01/16, 31.00, 31.70, 31.00, 31.30, 36000
02/26/16, 30.80, 31.50, 30.70, 31.00, 52000
02/25/16, 31.00, 32.40, 30.65, 31.80, 116000
02/24/16, 31.30, 32.00, 31.20, 31.80, 149000
02/23/16, 30.50, 31.70, 30.50, 31.20, 90000
02/22/16, 31.00, 31.00, 30.25, 30.50, 23000
02/19/16, 30.60, 30.60, 30.15, 30.15, 38000
02/18/16, 30.50, 30.60, 30.00, 30.60, 100000
02/17/16, 30.40, 30.45, 29.90, 30.05, 17000
02/16/16, 29.80, 30.50, 29.80, 30.45, 71000
02/15/16, 29.45, 30.00, 28.85, 29.80, 25000
02/03/16, 29.10, 29.60, 29.10, 29.35, 16050
02/02/16, 28.80, 29.00, 28.70, 28.85, 88000
