Date, Open, High, Low, Close, Volume
03/31/16, 21.04, 21.42, 19.75, 20.05, 93195
03/30/16, 20.34, 21.51, 19.66, 20.91, 123452
03/29/16, 23.31, 23.709, 21.11, 21.30, 127738
03/28/16, 21.24, 23.33, 21.05, 22.05, 98200
03/24/16, 24.10, 24.36, 21.02, 21.61, 193168
03/23/16, 20.24, 22.23, 19.80, 21.99, 196664
03/22/16, 19.72, 20.1088, 18.83, 19.50, 127709
03/21/16, 18.97, 20.4999, 18.47, 19.45, 222688
03/18/16, 16.16, 18.95, 15.60, 18.95, 321303
03/17/16, 16.15, 17.05, 15.6035, 16.94, 209776
03/16/16, 19.03, 19.05, 17.0101, 17.115, 366146
03/15/16, 19.76, 21.50, 19.76, 19.82, 278057
03/14/16, 19.79, 20.37, 18.1001, 19.32, 428224
03/11/16, 19.00, 19.00, 16.75, 17.93, 413311
03/10/16, 19.80, 21.764, 19.31, 20.32, 596439
03/09/16, 18.64, 21.29, 17.4301, 19.37, 554633
03/08/16, 17.00, 23.00, 16.60, 22.87, 843398
03/07/16, 23.47, 23.64, 16.10, 16.43, 1119301
03/04/16, 27.44, 30.17, 22.02, 24.5501, 346002
03/03/16, 40.49, 40.49, 29.70, 30.46, 206899
03/02/16, 57.69, 57.69, 39.41, 39.63, 100986
03/01/16, 55.14, 62.5303, 52.4802, 53.6601, 18019
02/29/16, 55.00, 58.5899, 54.37, 56.7109, 17348
02/26/16, 55.00, 58.4799, 52.68, 55.12, 36424
02/25/16, 56.36, 64.7797, 54.7001, 59.6999, 31382
02/24/16, 69.02, 69.8699, 56.20, 57.0499, 44236
02/23/16, 55.21, 65.88, 55.21, 65.88, 36017
02/22/16, 54.002, 56.342, 51.18, 52.52, 30903
02/19/16, 60.72, 66.95, 60.72, 61.70, 48892
02/18/16, 46.82, 57.9886, 45.3611, 57.83, 30426
02/17/16, 61.66, 62.748, 47.00, 47.83, 33001
02/16/16, 55.18, 65.7128, 55.18, 61.6615, 19781
02/12/16, 58.00, 65.17, 55.00, 59.399, 27464
02/11/16, 63.75, 71.50, 62.322, 63.2932, 50237
02/10/16, 58.8208, 64.01, 53.00, 60.71, 26681
02/09/16, 52.87, 62.36, 52.7812, 58.2665, 31515
02/08/16, 47.57, 54.00, 47.57, 50.90, 197838
02/05/16, 43.37, 48.627, 42.20, 45.86, 40091
02/04/16, 41.80, 42.35, 35.40, 41.82, 47768
02/03/16, 46.00, 57.00, 38.96, 39.84, 50346
02/02/16, 46.86, 53.00, 46.86, 52.3566, 46778
02/01/16, 43.41, 46.746, 43.3641, 44.62, 40450
01/29/16, 44.70, 45.00, 39.011, 39.23, 82697
01/28/16, 42.00, 51.42, 41.84, 46.70, 37204
01/27/16, 58.50, 59.45, 46.8583, 53.8983, 58552
01/26/16, 83.00, 94.99, 54.00, 55.94, 62156
01/25/16, 72.00, 90.00, 66.03, 87.6443, 32276
01/22/16, 66.48, 70.00, 60.00, 65.00, 22258
01/21/16, 108.74, 111.77, 76.39, 78.475, 24980
01/20/16, 139.31, 158.95, 106.1087, 108.74, 30075
01/19/16, 102.75, 127.78, 102.05, 126.90, 17572
01/15/16, 100.16, 110.00, 100.05, 100.05, 12091
01/14/16, 100.00, 107.05, 90.00, 90.00, 18177
01/13/16, 93.28, 103.15, 85.00, 99.21, 5527
01/12/16, 80.00, 102.00, 80.00, 95.8059, 15511
01/11/16, 71.16, 86.00, 71.16, 84.141, 5463
01/08/16, 80.49, 80.50, 64.95, 70.40, 7735
01/07/16, 73.74, 76.81, 69.00, 76.80, 18901
01/06/16, 60.35, 68.51, 60.35, 68.51, 11661
01/05/16, 54.20, 55.9001, 53.74, 54.27, 9862
01/04/16, 54.28, 56.6601, 50.14, 52.81, 10826
12/31/15, 64.15, 64.15, 53.545, 53.545, 6597
12/30/15, 62.00, 64.00, 58.4599, 64.00, 3535
12/29/15, 59.50, 61.30, 52.50, 57.6677, 5974
12/28/15, 55.70, 60.7988, 55.70, 60.62, 4543
12/24/15, 51.7184, 55.86, 51.44, 53.0072, 5897
12/23/15, 71.92, 73.2849, 53.36, 53.43, 17647
12/22/15, 82.18, 85.09, 79.88, 82.00, 3052
12/21/15, 83.00, 87.21, 82.01, 82.20, 7401
12/18/15, 80.0025, 80.81, 74.00, 80.81, 2358
12/17/15, 74.00, 82.4699, 74.00, 79.09, 9100
12/16/15, 70.1101, 74.58, 68.67, 73.90, 13408
12/15/15, 76.47, 76.47, 68.20, 68.7201, 8543
12/14/15, 67.08, 75.00, 67.08, 74.25, 17601
12/11/15, 59.39, 65.67, 59.39, 65.67, 16791
12/10/15, 53.82, 54.8099, 53.82, 54.8099, 4730
12/09/15, 54.72, 59.17, 50.75, 56.7401, 3578
12/08/15, 65.00, 67.42, 56.76, 57.5376, 12213
12/07/15, 55.19, 59.8152, 55.19, 59.51, 5058
12/04/15, 44.92, 44.92, 44.88, 44.88, 878
12/03/15, 38.18, 40.80, 37.50, 40.80, 764
