Date, Open, High, Low, Close
03/31/16, 3141.72, 3141.72, 3064.93, 3087.48
03/30/16, 3099.46, 3141.73, 3094.06, 3135.29
03/29/16, 3083.80, 3118.22, 3083.80, 3087.72
03/28/16, 3136.36, 3142.09, 3105.24, 3113.23
03/27/16, 3137.82, 3137.82, 3137.82, 3137.82
03/25/16, 3134.27, 3140.53, 3130.11, 3134.27
03/24/16, 3130.73, 3136.77, 3130.73, 3135.52
03/23/16, 3172.79, 3172.79, 3125.44, 3138.05
03/22/16, 3193.26, 3193.26, 3161.48, 3171.55
03/21/16, 3195.24, 3198.54, 3178.96, 3184.86
03/20/16, 3200.89, 3208.01, 3177.55, 3200.89
03/18/16, 3199.54, 3199.54, 3199.54, 3199.54
03/17/16, 3185.93, 3220.22, 3185.93, 3198.01
03/16/16, 3155.83, 3205.92, 3155.83, 3199.42
03/15/16, 3149.61, 3157.62, 3136.69, 3152.52
03/14/16, 3198.36, 3198.36, 3147.19, 3179.60
03/13/16, 3189.62, 3217.79, 3188.15, 3189.62
03/11/16, 3188.99, 3188.99, 3188.99, 3188.99
03/10/16, 3171.86, 3199.25, 3159.30, 3171.18
03/09/16, 3199.04, 3199.04, 3181.20, 3188.88
03/08/16, 3156.78, 3162.74, 3141.84, 3161.28
03/07/16, 3178.34, 3192.75, 3150.02, 3161.99
03/06/16, 3140.51, 3180.50, 3140.51, 3140.51
03/04/16, 3139.87, 3139.87, 3139.87, 3139.87
03/03/16, 3139.96, 3146.93, 3134.42, 3141.76
03/02/16, 3085.43, 3130.23, 3085.43, 3123.30
03/01/16, 3020.84, 3112.63, 3020.84, 3088.75
02/29/16, 3002.61, 3036.71, 3002.23, 3005.62
02/28/16, 3015.48, 3029.67, 3015.48, 3015.48
02/26/16, 3001.16, 3001.16, 3001.16, 3001.16
02/25/16, 2987.60, 3012.57, 2985.07, 3004.70
02/24/16, 2986.34, 3008.86, 2981.38, 2992.60
02/23/16, 3075.87, 3075.87, 2992.06, 3027.35
02/22/16, 3097.59, 3099.81, 3060.90, 3069.90
02/21/16, 3024.17, 3082.10, 3024.17, 3024.17
02/19/16, 3046.13, 3046.13, 3046.13, 3046.13
02/18/16, 3067.99, 3067.99, 3034.04, 3049.20
02/17/16, 2999.32, 3061.32, 2999.32, 3059.17
02/16/16, 3004.74, 3028.36, 2993.52, 3017.72
02/15/16, 2975.27, 2976.97, 2957.04, 2972.51
02/14/16, 2907.27, 2907.27, 2907.27, 2907.27
02/12/16, 2921.02, 2921.02, 2921.02, 2921.02
02/11/16, 2937.38, 2944.93, 2918.40, 2940.96
02/10/16, 2924.74, 2945.48, 2924.74, 2937.01
02/09/16, 2967.34, 2967.34, 2885.76, 2899.15
02/08/16, 3051.65, 3051.65, 2971.81, 2983.63
02/07/16, 3054.46, 3055.14, 3036.69, 3054.46
02/05/16, 3054.03, 3054.03, 3054.03, 3054.03
02/04/16, 3069.93, 3069.93, 3026.93, 3035.51
02/03/16, 3028.90, 3064.07, 3022.21, 3045.55
02/02/16, 3076.45, 3076.45, 2998.29, 3003.25
02/01/16, 3086.42, 3089.38, 3059.11, 3080.56
01/31/16, 3075.64, 3114.48, 3075.64, 3075.64
01/29/16, 3073.69, 3073.69, 3073.69, 3073.69
01/28/16, 3056.58, 3076.81, 3036.97, 3050.30
01/27/16, 3018.46, 3062.27, 3013.55, 3059.38
01/26/16, 3053.63, 3066.32, 3031.35, 3053.25
01/25/16, 3073.80, 3074.68, 3072.91, 3073.80
01/24/16, 3028.58, 3028.58, 3028.58, 3028.58
01/22/16, 3017.16, 3017.16, 3017.16, 3017.16
01/21/16, 2955.93, 3027.44, 2955.93, 3015.62
01/20/16, 2932.05, 3024.74, 2932.05, 3011.08
01/19/16, 3017.29, 3021.09, 2985.85, 2994.12
01/18/16, 2986.74, 3008.96, 2981.31, 3008.96
01/17/16, 3017.01, 3017.01, 2973.84, 3017.01
01/15/16, 3008.46, 3008.46, 3008.46, 3008.46
01/14/16, 3003.67, 3058.01, 2993.91, 3021.81
01/13/16, 3014.79, 3030.82, 3006.84, 3018.19
01/12/16, 3026.53, 3070.28, 3026.53, 3054.14
01/11/16, 3036.16, 3064.54, 3018.23, 3037.62
01/10/16, 3088.07, 3088.07, 3002.76, 3088.07
01/08/16, 3071.03, 3071.03, 3071.03, 3071.03
01/07/16, 3086.06, 3099.79, 3046.81, 3067.08
01/06/16, 3145.93, 3152.36, 3073.12, 3108.11
01/05/16, 3178.84, 3182.51, 3135.58, 3152.64
01/04/16, 3234.40, 3234.40, 3203.70, 3214.19
01/03/16, 3253.35, 3279.48, 3237.55, 3253.35
01/01/16, 3257.60, 3257.60, 3257.60, 3257.60
12/31/15, 3247.11, 3257.60, 3247.11, 3257.60
12/30/15, 3276.44, 3276.44, 3264.56, 3265.09
12/29/15, 3270.73, 3275.71, 3258.72, 3263.54
12/28/15, 3211.89, 3225.29, 3210.82, 3223.28
12/27/15, 3200.70, 3200.70, 3200.70, 3200.70
12/25/15, 3205.10, 3209.06, 3205.10, 3205.10
12/24/15, 3205.54, 3208.62, 3202.02, 3205.10
12/23/15, 3195.02, 3208.15, 3194.23, 3204.11
12/22/15, 3144.87, 3180.30, 3144.87, 3174.98
12/21/15, 3134.95, 3164.73, 3134.95, 3144.49
12/20/15, 3140.72, 3140.72, 3117.53, 3140.72
12/18/15, 3136.57, 3136.57, 3136.57, 3136.57
12/17/15, 3126.90, 3140.54, 3106.06, 3123.06
12/16/15, 3084.70, 3151.18, 3084.70, 3141.93
12/15/15, 3062.78, 3076.87, 3061.28, 3075.81
12/14/15, 3024.15, 3045.91, 3024.15, 3036.52
12/13/15, 3111.47, 3111.47, 3111.47, 3111.47
12/11/15, 3092.48, 3092.48, 3092.48, 3092.48
12/10/15, 3106.86, 3114.29, 3085.93, 3088.73
12/09/15, 3118.44, 3118.44, 3070.62, 3083.42
12/08/15, 3139.82, 3146.53, 3120.02, 3134.85
12/07/15, 3179.30, 3179.30, 3131.70, 3148.41
12/06/15, 3173.46, 3207.15, 3173.46, 3173.46
12/04/15, 3165.91, 3165.91, 3165.91, 3165.91
12/03/15, 3194.26, 3194.26, 3144.48, 3158.15
12/02/15, 3235.23, 3235.23, 3199.77, 3213.49
12/01/15, 3225.44, 3235.80, 3217.17, 3228.77
