Date, Open, High, Low, Close
03/31/16, 8290.67, 8290.67, 8290.67, 8290.67
03/30/16, 8173.42, 8173.42, 8173.42, 8173.42
03/29/16, 8163.10, 8163.10, 8163.10, 8163.10
03/24/16, 8296.68, 8296.68, 8296.68, 8296.68
03/23/16, 8398.43, 8398.43, 8398.43, 8398.43
03/22/16, 8435.93, 8435.93, 8435.93, 8435.93
03/21/16, 8437.83, 8437.83, 8437.83, 8437.83
03/18/16, 8464.72, 8464.72, 8464.72, 8464.72
03/17/16, 8438.70, 8438.70, 8438.70, 8438.70
03/16/16, 8347.40, 8347.40, 8347.40, 8347.40
03/15/16, 8334.20, 8334.20, 8334.20, 8334.20
03/14/16, 8458.67, 8458.67, 8458.67, 8458.67
03/11/16, 8433.90, 8433.90, 8433.90, 8433.90
03/10/16, 8405.67, 8405.67, 8405.67, 8405.67
03/09/16, 8407.74, 8407.74, 8407.74, 8407.74
03/08/16, 8327.09, 8327.09, 8327.09, 8327.09
03/07/16, 8382.25, 8382.25, 8382.25, 8382.25
03/04/16, 8289.70, 8289.70, 8289.70, 8289.70
03/03/16, 8274.47, 8274.47, 8274.47, 8274.47
03/02/16, 8170.48, 8170.48, 8170.48, 8170.48
03/01/16, 8000.90, 8000.90, 8000.90, 8000.90
02/29/16, 7907.08, 7907.08, 7907.08, 7907.08
02/26/16, 7895.38, 7895.38, 7895.38, 7895.38
02/25/16, 7896.52, 7896.52, 7896.52, 7896.52
02/24/16, 7892.08, 7892.08, 7892.08, 7892.08
02/23/16, 8062.81, 8062.81, 8062.81, 8062.81
02/19/16, 7997.70, 7997.70, 7997.70, 7997.70
02/18/16, 8058.19, 8058.19, 8058.19, 8058.19
02/17/16, 7874.77, 7874.77, 7874.77, 7874.77
02/16/16, 7916.06, 7916.06, 7916.06, 7916.06
02/15/16, 7786.37, 7786.37, 7786.37, 7786.37
02/12/16, 7643.26, 7643.26, 7643.26, 7643.26
02/11/16, 7735.46, 7735.46, 7735.46, 7735.46
02/10/16, 7661.04, 7661.04, 7661.04, 7661.04
02/09/16, 7744.65, 7744.65, 7744.65, 7744.65
02/08/16, 7979.25, 7979.25, 7979.25, 7979.25
02/05/16, 7984.36, 7984.36, 7984.36, 7984.36
02/04/16, 7993.71, 7993.71, 7993.71, 7993.71
02/03/16, 7824.27, 7824.27, 7824.27, 7824.27
