Date, Open, High, Low, Close
03/31/16, 17391.18, 17391.18, 17391.18, 17391.18
03/30/16, 17531.32, 17531.32, 17531.32, 17531.32
03/29/16, 17202.16, 17202.16, 17202.16, 17202.16
03/24/16, 16532.80, 16532.80, 16532.80, 16532.80
03/23/16, 16660.04, 16660.04, 16660.04, 16660.04
03/22/16, 17508.29, 17508.29, 17508.29, 17508.29
03/21/16, 17458.66, 17458.66, 17458.66, 17458.66
03/18/16, 17333.16, 17333.16, 17333.16, 17333.16
03/17/16, 17297.33, 17297.33, 17297.33, 17297.33
03/16/16, 15504.25, 15504.25, 15504.25, 15504.25
03/15/16, 15610.60, 15610.60, 15610.60, 15610.60
03/14/16, 16627.73, 16627.73, 16627.73, 16627.73
03/11/16, 16909.24, 16909.24, 16909.24, 16909.24
03/10/16, 16633.90, 16633.90, 16633.90, 16633.90
03/09/16, 16265.78, 16265.78, 16265.78, 16265.78
03/08/16, 15988.13, 15988.13, 15988.13, 15988.13
03/07/16, 16116.68, 16116.68, 16116.68, 16116.68
03/04/16, 16219.76, 16219.76, 16219.76, 16219.76
03/03/16, 15153.81, 15153.81, 15153.81, 15153.81
03/02/16, 14279.86, 14279.86, 14279.86, 14279.86
03/01/16, 13776.19, 13776.19, 13776.19, 13776.19
02/29/16, 13367.01, 13367.01, 13367.01, 13367.01
02/26/16, 12985.20, 12985.20, 12985.20, 12985.20
02/25/16, 13182.38, 13182.38, 13182.38, 13182.38
02/24/16, 13102.95, 13102.95, 13102.95, 13102.95
02/23/16, 13291.75, 13291.75, 13291.75, 13291.75
02/19/16, 12748.98, 12748.98, 12748.98, 12748.98
02/18/16, 12857.46, 12857.46, 12857.46, 12857.46
02/17/16, 13001.54, 13001.54, 13001.54, 13001.54
02/16/16, 12542.85, 12542.85, 12542.85, 12542.85
02/15/16, 12523.79, 12523.79, 12523.79, 12523.79
02/12/16, 12479.58, 12479.58, 12479.58, 12479.58
02/11/16, 12395.02, 12395.02, 12395.02, 12395.02
02/10/16, 12794.93, 12794.93, 12794.93, 12794.93
02/09/16, 12966.99, 12966.99, 12966.99, 12966.99
02/08/16, 12966.99, 12966.99, 12966.99, 12966.99
02/05/16, 12909.12, 12909.12, 12909.12, 12909.12
02/04/16, 13137.17, 13137.17, 13137.17, 13137.17
02/03/16, 12557.06, 12557.06, 12557.06, 12557.06
02/02/16, 12069.46, 12069.46, 12069.46, 12069.46
02/01/16, 12753.18, 12753.18, 12753.18, 12753.18
01/29/16, 12571.16, 12571.16, 12571.16, 12571.16
01/28/16, 11892.32, 11892.32, 11892.32, 11892.32
01/27/16, 11828.86, 11828.86, 11828.86, 11828.86
01/26/16, 11516.40, 11516.40, 11516.40, 11516.40
01/25/16, 11591.54, 11591.54, 11591.54, 11591.54
01/22/16, 11542.33, 11542.33, 11542.33, 11542.33
01/21/16, 11283.49, 11283.49, 11283.49, 11283.49
01/20/16, 11405.29, 11405.29, 11405.29, 11405.29
01/19/16, 11725.02, 11725.02, 11725.02, 11725.02
01/18/16, 11728.49, 11728.49, 11728.49, 11728.49
01/15/16, 11868.36, 11868.36, 11868.36, 11868.36
01/14/16, 12284.01, 12284.01, 12284.01, 12284.01
01/13/16, 12169.79, 12169.79, 12169.79, 12169.79
01/12/16, 12143.44, 12143.44, 12143.44, 12143.44
01/11/16, 12232.91, 12232.91, 12232.91, 12232.91
01/08/16, 12479.99, 12479.99, 12479.99, 12479.99
01/06/16, 12903.17, 12903.17, 12903.17, 12903.17
01/05/16, 13082.11, 13082.11, 13082.11, 13082.11
01/04/16, 12939.20, 12939.20, 12939.20, 12939.20
01/01/16, 13766.37, 13766.37, 13766.37, 13766.37
12/31/15, 13766.37, 13766.37, 13766.37, 13766.37
12/30/15, 13604.74, 13604.74, 13604.74, 13604.74
12/29/15, 14185.86, 14185.86, 14185.86, 14185.86
12/28/15, 14133.87, 14133.87, 14133.87, 14133.87
12/25/15, 14024.44, 14024.44, 14024.44, 14024.44
12/24/15, 14024.44, 14024.44, 14024.44, 14024.44
12/23/15, 13943.43, 13943.43, 13943.43, 13943.43
12/22/15, 13611.88, 13611.88, 13611.88, 13611.88
12/21/15, 13452.70, 13452.70, 13452.70, 13452.70
12/18/15, 14133.99, 14133.99, 14133.99, 14133.99
12/17/15, 14557.96, 14557.96, 14557.96, 14557.96
12/16/15, 14291.88, 14291.88, 14291.88, 14291.88
12/15/15, 14454.35, 14454.35, 14454.35, 14454.35
12/14/15, 14428.39, 14428.39, 14428.39, 14428.39
12/11/15, 14643.46, 14643.46, 14643.46, 14643.46
12/10/15, 15168.50, 15168.50, 15168.50, 15168.50
