Date, Open, High, Low, Close
03/31/16, 26220.70, 26220.70, 26220.70, 26220.70
03/30/16, 26253.66, 26253.66, 26253.66, 26253.66
03/28/16, 25715.48, 25715.48, 25715.48, 25715.48
03/25/16, 25704.78, 25704.78, 25704.78, 25704.78
03/23/16, 25662.59, 25662.59, 25662.59, 25662.59
03/22/16, 25767.38, 25767.38, 25767.38, 25767.38
03/21/16, 25875.02, 25875.02, 25875.02, 25875.02
03/18/16, 25988.55, 25988.55, 25988.55, 25988.55
03/17/16, 26052.04, 26052.04, 26052.04, 26052.04
03/16/16, 25514.80, 25514.80, 25514.80, 25514.80
03/15/16, 25327.06, 25327.06, 25327.06, 25327.06
03/14/16, 25255.92, 25255.92, 25255.92, 25255.92
03/11/16, 25366.33, 25366.33, 25366.33, 25366.33
03/10/16, 24708.87, 24708.87, 24708.87, 24708.87
03/09/16, 24689.08, 24689.08, 24689.08, 24689.08
03/08/16, 24773.52, 24773.52, 24773.52, 24773.52
03/07/16, 25047.85, 25047.85, 25047.85, 25047.85
03/04/16, 25196.42, 25196.42, 25196.42, 25196.42
03/03/16, 25168.69, 25168.69, 25168.69, 25168.69
03/02/16, 25062.27, 25062.27, 25062.27, 25062.27
03/01/16, 25053.71, 25053.71, 25053.71, 25053.71
02/29/16, 24525.27, 24525.27, 24525.27, 24525.27
02/26/16, 24223.42, 24223.42, 24223.42, 24223.42
02/25/16, 24319.53, 24319.53, 24319.53, 24319.53
02/24/16, 24083.62, 24083.62, 24083.62, 24083.62
02/23/16, 23936.63, 23936.63, 23936.63, 23936.63
02/22/16, 24103.22, 24103.22, 24103.22, 24103.22
02/19/16, 23637.35, 23637.35, 23637.35, 23637.35
02/18/16, 23791.59, 23791.59, 23791.59, 23791.59
02/17/16, 23578.61, 23578.61, 23578.61, 23578.61
02/16/16, 23522.46, 23522.46, 23522.46, 23522.46
02/15/16, 23272.38, 23272.38, 23272.38, 23272.38
02/12/16, 23201.00, 23201.00, 23201.00, 23201.00
02/11/16, 22756.16, 22756.16, 22756.16, 22756.16
02/10/16, 23080.70, 23080.70, 23080.70, 23080.70
02/09/16, 23085.40, 23085.40, 23085.40, 23085.40
02/08/16, 23062.20, 23062.20, 23062.20, 23062.20
02/05/16, 23963.33, 23963.33, 23963.33, 23963.33
02/04/16, 24528.77, 24528.77, 24528.77, 24528.77
02/03/16, 24452.36, 24452.36, 24452.36, 24452.36
02/02/16, 24542.37, 24542.37, 24542.37, 24542.37
02/01/16, 24903.78, 24903.78, 24903.78, 24903.78
01/29/16, 24944.19, 24944.19, 24944.19, 24944.19
01/28/16, 24443.31, 24443.31, 24443.31, 24443.31
01/27/16, 24324.69, 24324.69, 24324.69, 24324.69
01/26/16, 24334.29, 24334.29, 24334.29, 24334.29
01/25/16, 23870.60, 23870.60, 23870.60, 23870.60
01/22/16, 24147.20, 24147.20, 24147.20, 24147.20
01/21/16, 23270.53, 23270.53, 23270.53, 23270.53
01/20/16, 23102.71, 23102.71, 23102.71, 23102.71
01/19/16, 23633.57, 23633.57, 23633.57, 23633.57
01/18/16, 23300.83, 23300.83, 23300.83, 23300.83
01/15/16, 23375.35, 23375.35, 23375.35, 23375.35
01/14/16, 24492.88, 24492.88, 24492.88, 24492.88
01/13/16, 24355.77, 24355.77, 24355.77, 24355.77
01/12/16, 24778.63, 24778.63, 24778.63, 24778.63
01/11/16, 24853.44, 24853.44, 24853.44, 24853.44
01/08/16, 24720.64, 24720.64, 24720.64, 24720.64
01/07/16, 25036.24, 25036.24, 25036.24, 25036.24
01/06/16, 25616.40, 25616.40, 25616.40, 25616.40
01/05/16, 25762.59, 25762.59, 25762.59, 25762.59
01/04/16, 25355.38, 25355.38, 25355.38, 25355.38
12/31/15, 25527.48, 25527.48, 25527.48, 25527.48
12/30/15, 25784.02, 25784.02, 25784.02, 25784.02
12/29/15, 26040.05, 26040.05, 26040.05, 26040.05
12/28/15, 25772.98, 25772.98, 25772.98, 25772.98
12/25/15, 25697.52, 25697.52, 25697.52, 25697.52
12/24/15, 25697.52, 25697.52, 25697.52, 25697.52
12/23/15, 25734.26, 25734.26, 25734.26, 25734.26
12/22/15, 25402.30, 25402.30, 25402.30, 25402.30
12/21/15, 25229.81, 25229.81, 25229.81, 25229.81
12/17/15, 25186.53, 25186.53, 25186.53, 25186.53
12/16/15, 25409.38, 25409.38, 25409.38, 25409.38
12/15/15, 25084.06, 25084.06, 25084.06, 25084.06
12/14/15, 24802.98, 24802.98, 24802.98, 24802.98
12/11/15, 24719.75, 24719.75, 24719.75, 24719.75
12/10/15, 25073.43, 25073.43, 25073.43, 25073.43
12/09/15, 25230.58, 25230.58, 25230.58, 25230.58
12/08/15, 25613.28, 25613.28, 25613.28, 25613.28
12/07/15, 25792.46, 25792.46, 25792.46, 25792.46
12/04/15, 25646.68, 25646.68, 25646.68, 25646.68
12/03/15, 25585.83, 25585.83, 25585.83, 25585.83
12/02/15, 25850.44, 25850.44, 25850.44, 25850.44
12/01/15, 26127.60, 26127.60, 26127.60, 26127.60
11/30/15, 25632.11, 25632.11, 25632.11, 25632.11
11/27/15, 25746.33, 25746.33, 25746.33, 25746.33
11/26/15, 25734.88, 25734.88, 25734.88, 25734.88
11/25/15, 25721.64, 25721.64, 25721.64, 25721.64
11/24/15, 25702.05, 25702.05, 25702.05, 25702.05
11/23/15, 25833.03, 25833.03, 25833.03, 25833.03
11/20/15, 25924.66, 25924.66, 25924.66, 25924.66
11/19/15, 25880.20, 25880.20, 25880.20, 25880.20
11/18/15, 25817.58, 25817.58, 25817.58, 25817.58
11/17/15, 25569.57, 25569.57, 25569.57, 25569.57
11/16/15, 25501.98, 25501.98, 25501.98, 25501.98
11/13/15, 25219.03, 25219.03, 25219.03, 25219.03
11/12/15, 25445.78, 25445.78, 25445.78, 25445.78
11/11/15, 25567.34, 25567.34, 25567.34, 25567.34
11/10/15, 25352.30, 25352.30, 25352.30, 25352.30
11/09/15, 25341.21, 25341.21, 25341.21, 25341.21
11/06/15, 25661.69, 25661.69, 25661.69, 25661.69
11/05/15, 26218.17, 26218.17, 26218.17, 26218.17
11/04/15, 26705.21, 26705.21, 26705.21, 26705.21
11/03/15, 26975.23, 26975.23, 26975.23, 26975.23
11/02/15, 27091.16, 27091.16, 27091.16, 27091.16
10/30/15, 26636.46, 26636.46, 26636.46, 26636.46
10/29/15, 26694.07, 26694.07, 26694.07, 26694.07
10/28/15, 26559.21, 26559.21, 26559.21, 26559.21
10/27/15, 26359.71, 26359.71, 26359.71, 26359.71
10/26/15, 26549.49, 26549.49, 26549.49, 26549.49
10/23/15, 26381.87, 26381.87, 26381.87, 26381.87
10/22/15, 26454.05, 26454.05, 26454.05, 26454.05
10/21/15, 25620.40, 25620.40, 25620.40, 25620.40
10/20/15, 25768.20, 25768.20, 25768.20, 25768.20
10/19/15, 25836.83, 25836.83, 25836.83, 25836.83
