Date, Open, High, Low, Close
03/31/16, 5080.62, 5080.62, 5080.62, 5080.62
03/30/16, 5116.47, 5116.47, 5116.47, 5116.47
03/23/16, 4963.35, 4963.35, 4963.35, 4963.35
03/22/16, 4972.37, 4972.37, 4972.37, 4972.37
03/21/16, 5026.71, 5026.71, 5026.71, 5026.71
03/18/16, 5032.09, 5032.09, 5032.09, 5032.09
03/17/16, 5017.52, 5017.52, 5017.52, 5017.52
03/16/16, 4849.32, 4849.32, 4849.32, 4849.32
03/15/16, 4878.67, 4878.67, 4878.67, 4878.67
03/14/16, 4903.61, 4903.61, 4903.61, 4903.61
03/11/16, 4906.33, 4906.33, 4906.33, 4906.33
03/10/16, 4806.78, 4806.78, 4806.78, 4806.78
03/09/16, 4763.67, 4763.67, 4763.67, 4763.67
03/08/16, 4748.15, 4748.15, 4748.15, 4748.15
03/07/16, 4735.90, 4735.90, 4735.90, 4735.90
03/04/16, 4764.96, 4764.96, 4764.96, 4764.96
03/03/16, 4726.95, 4726.95, 4726.95, 4726.95
03/02/16, 4715.14, 4715.14, 4715.14, 4715.14
03/01/16, 4742.87, 4742.87, 4742.87, 4742.87
02/29/16, 4695.01, 4695.01, 4695.01, 4695.01
02/26/16, 4696.53, 4696.53, 4696.53, 4696.53
02/25/16, 4741.78, 4741.78, 4741.78, 4741.78
02/24/16, 4642.27, 4642.27, 4642.27, 4642.27
02/23/16, 4741.97, 4741.97, 4741.97, 4741.97
02/22/16, 4783.50, 4783.50, 4783.50, 4783.50
02/19/16, 4757.05, 4757.05, 4757.05, 4757.05
02/18/16, 4783.50, 4783.50, 4783.50, 4783.50
02/17/16, 4761.91, 4761.91, 4761.91, 4761.91
02/16/16, 4738.50, 4738.50, 4738.50, 4738.50
02/15/16, 4743.84, 4743.84, 4743.84, 4743.84
02/12/16, 4671.46, 4671.46, 4671.46, 4671.46
02/11/16, 4652.61, 4652.61, 4652.61, 4652.61
02/10/16, 4720.70, 4720.70, 4720.70, 4720.70
02/09/16, 4722.47, 4722.47, 4722.47, 4722.47
02/08/16, 4716.05, 4716.05, 4716.05, 4716.05
02/05/16, 4849.08, 4849.08, 4849.08, 4849.08
02/04/16, 4936.89, 4936.89, 4936.89, 4936.89
02/03/16, 4906.50, 4906.50, 4906.50, 4906.50
02/02/16, 4897.76, 4897.76, 4897.76, 4897.76
02/01/16, 4931.92, 4931.92, 4931.92, 4931.92
01/29/16, 4849.62, 4849.62, 4849.62, 4849.62
01/28/16, 4795.62, 4795.62, 4795.62, 4795.62
01/27/16, 4797.95, 4797.95, 4797.95, 4797.95
01/26/16, 4738.40, 4738.40, 4738.40, 4738.40
01/25/16, 4710.18, 4710.18, 4710.18, 4710.18
01/22/16, 4716.18, 4716.18, 4716.18, 4716.18
01/21/16, 4595.42, 4595.42, 4595.42, 4595.42
01/20/16, 4557.96, 4557.96, 4557.96, 4557.96
01/19/16, 4678.17, 4678.17, 4678.17, 4678.17
01/18/16, 4608.61, 4608.61, 4608.61, 4608.61
01/15/16, 4664.31, 4664.31, 4664.31, 4664.31
01/14/16, 4704.25, 4704.25, 4704.25, 4704.25
01/13/16, 4775.00, 4775.00, 4775.00, 4775.00
01/12/16, 4764.33, 4764.33, 4764.33, 4764.33
01/11/16, 4761.80, 4761.80, 4761.80, 4761.80
01/08/16, 4779.98, 4779.98, 4779.98, 4779.98
01/07/16, 4792.92, 4792.92, 4792.92, 4792.92
01/06/16, 4815.68, 4815.68, 4815.68, 4815.68
01/05/16, 4819.91, 4819.91, 4819.91, 4819.91
01/04/16, 4808.04, 4808.04, 4808.04, 4808.04
12/31/15, 4890.78, 4890.78, 4890.78, 4890.78
12/30/15, 4956.54, 4956.54, 4956.54, 4956.54
12/29/15, 4966.66, 4966.66, 4966.66, 4966.66
12/28/15, 4919.59, 4919.59, 4919.59, 4919.59
12/24/15, 4928.19, 4928.19, 4928.19, 4928.19
12/23/15, 4890.33, 4890.33, 4890.33, 4890.33
12/22/15, 4816.96, 4816.96, 4816.96, 4816.96
12/21/15, 4832.56, 4832.56, 4832.56, 4832.56
12/17/15, 4889.27, 4889.27, 4889.27, 4889.27
12/16/15, 4870.00, 4870.00, 4870.00, 4870.00
12/15/15, 4862.90, 4862.90, 4862.90, 4862.90
12/14/15, 4819.01, 4819.01, 4819.01, 4819.01
12/11/15, 4868.19, 4868.19, 4868.19, 4868.19
12/10/15, 4903.45, 4903.45, 4903.45, 4903.45
12/09/15, 4929.71, 4929.71, 4929.71, 4929.71
12/08/15, 4884.32, 4884.32, 4884.32, 4884.32
12/07/15, 4936.37, 4936.37, 4936.37, 4936.37
12/04/15, 4919.58, 4919.58, 4919.58, 4919.58
12/03/15, 4913.41, 4913.41, 4913.41, 4913.41
12/02/15, 4906.08, 4906.08, 4906.08, 4906.08
12/01/15, 4933.98, 4933.98, 4933.98, 4933.98
11/30/15, 4923.55, 4923.55, 4923.55, 4923.55
11/27/15, 4937.15, 4937.15, 4937.15, 4937.15
11/26/15, 4935.39, 4935.39, 4935.39, 4935.39
11/25/15, 4895.25, 4895.25, 4895.25, 4895.25
11/24/15, 4865.47, 4865.47, 4865.47, 4865.47
11/23/15, 4924.26, 4924.26, 4924.26, 4924.26
11/20/15, 4977.72, 4977.72, 4977.72, 4977.72
11/19/15, 4988.51, 4988.51, 4988.51, 4988.51
11/18/15, 4914.00, 4914.00, 4914.00, 4914.00
11/17/15, 4922.57, 4922.57, 4922.57, 4922.57
11/16/15, 4850.06, 4850.06, 4850.06, 4850.06
11/13/15, 4846.09, 4846.09, 4846.09, 4846.09
11/12/15, 4866.46, 4866.46, 4866.46, 4866.46
11/11/15, 4873.92, 4873.92, 4873.92, 4873.92
11/10/15, 4853.98, 4853.98, 4853.98, 4853.98
11/09/15, 4822.71, 4822.71, 4822.71, 4822.71
11/06/15, 4889.53, 4889.53, 4889.53, 4889.53
11/05/15, 5000.97, 5000.97, 5000.97, 5000.97
11/04/15, 5002.77, 5002.77, 5002.77, 5002.77
11/03/15, 5025.13, 5025.13, 5025.13, 5025.13
11/02/15, 5069.84, 5069.84, 5069.84, 5069.84
10/30/15, 5073.38, 5073.38, 5073.38, 5073.38
10/29/15, 5039.92, 5039.92, 5039.92, 5039.92
10/28/15, 5088.14, 5088.14, 5088.14, 5088.14
10/27/15, 5059.65, 5059.65, 5059.65, 5059.65
10/26/15, 5116.09, 5116.09, 5116.09, 5116.09
10/23/15, 5104.35, 5104.35, 5104.35, 5104.35
10/22/15, 5103.44, 5103.44, 5103.44, 5103.44
10/21/15, 5113.12, 5113.12, 5113.12, 5113.12
10/20/15, 5118.40, 5118.40, 5118.40, 5118.40
10/19/15, 5118.85, 5118.85, 5118.85, 5118.85
10/16/15, 5135.21, 5135.21, 5135.21, 5135.21
10/15/15, 5110.25, 5110.25, 5110.25, 5110.25
10/14/15, 5057.39, 5057.39, 5057.39, 5057.39
10/13/15, 5028.23, 5028.23, 5028.23, 5028.23
10/12/15, 5039.39, 5039.39, 5039.39, 5039.39
10/09/15, 5051.36, 5051.36, 5051.36, 5051.36
10/08/15, 5069.85, 5069.85, 5069.85, 5069.85
10/07/15, 5021.32, 5021.32, 5021.32, 5021.32
10/06/15, 5048.50, 5048.50, 5048.50, 5048.50
10/05/15, 5018.46, 5018.46, 5018.46, 5018.46
10/02/15, 4966.43, 4966.43, 4966.43, 4966.43
10/01/15, 4904.70, 4904.70, 4904.70, 4904.70
09/30/15, 4898.83, 4898.83, 4898.83, 4898.83
09/29/15, 4799.02, 4799.02, 4799.02, 4799.02
09/28/15, 4826.85, 4826.85, 4826.85, 4826.85
09/25/15, 4832.41, 4832.41, 4832.41, 4832.41
09/24/15, 4742.80, 4742.80, 4742.80, 4742.80
09/23/15, 4722.25, 4722.25, 4722.25, 4722.25
09/22/15, 4710.69, 4710.69, 4710.69, 4710.69
09/21/15, 4819.18, 4819.18, 4819.18, 4819.18
09/18/15, 4852.89, 4852.89, 4852.89, 4852.89
09/17/15, 4851.70, 4851.70, 4851.70, 4851.70
09/16/15, 4835.61, 4835.61, 4835.61, 4835.61
09/15/15, 4772.69, 4772.69, 4772.69, 4772.69
09/14/15, 4761.40, 4761.40, 4761.40, 4761.40
09/10/15, 4798.46, 4798.46, 4798.46, 4798.46
09/09/15, 4798.48, 4798.48, 4798.48, 4798.48
09/08/15, 4751.44, 4751.44, 4751.44, 4751.44
09/07/15, 4696.11, 4696.11, 4696.11, 4696.11
