Date, Open, High, Low, Close
03/31/16, 3510.23, 3510.23, 3510.23, 3510.23
03/30/16, 3494.60, 3494.60, 3494.60, 3494.60
03/28/16, 3486.59, 3486.59, 3486.59, 3486.59
03/25/16, 3501.31, 3501.31, 3501.31, 3501.31
03/23/16, 3495.29, 3495.29, 3495.29, 3495.29
03/22/16, 3482.67, 3482.67, 3482.67, 3482.67
03/21/16, 3495.27, 3495.27, 3495.27, 3495.27
03/18/16, 3504.65, 3504.65, 3504.65, 3504.65
03/17/16, 3507.92, 3507.92, 3507.92, 3507.92
03/16/16, 3515.12, 3515.12, 3515.12, 3515.12
03/15/16, 3465.48, 3465.48, 3465.48, 3465.48
03/14/16, 3463.43, 3463.43, 3463.43, 3463.43
03/11/16, 3452.38, 3452.38, 3452.38, 3452.38
03/10/16, 3440.23, 3440.23, 3440.23, 3440.23
03/09/16, 3418.76, 3418.76, 3418.76, 3418.76
03/08/16, 3433.03, 3433.03, 3433.03, 3433.03
03/07/16, 3477.52, 3477.52, 3477.52, 3477.52
03/04/16, 3484.59, 3484.59, 3484.59, 3484.59
03/03/16, 3481.44, 3481.44, 3481.44, 3481.44
03/02/16, 3496.32, 3496.32, 3496.32, 3496.32
03/01/16, 3513.62, 3513.62, 3513.62, 3513.62
02/29/16, 3500.14, 3500.14, 3500.14, 3500.14
02/26/16, 3472.55, 3472.55, 3472.55, 3472.55
02/25/16, 3462.04, 3462.04, 3462.04, 3462.04
02/24/16, 3445.14, 3445.14, 3445.14, 3445.14
02/23/16, 3423.95, 3423.95, 3423.95, 3423.95
02/22/16, 3456.45, 3456.45, 3456.45, 3456.45
02/19/16, 3456.63, 3456.63, 3456.63, 3456.63
02/18/16, 3459.16, 3459.16, 3459.16, 3459.16
02/17/16, 3415.58, 3415.58, 3415.58, 3415.58
02/16/16, 3392.76, 3392.76, 3392.76, 3392.76
02/15/16, 3319.43, 3319.43, 3319.43, 3319.43
02/12/16, 3317.13, 3317.13, 3317.13, 3317.13
02/11/16, 3270.52, 3270.52, 3270.52, 3270.52
02/10/16, 3326.30, 3326.30, 3326.30, 3326.30
02/09/16, 3329.76, 3329.76, 3329.76, 3329.76
02/08/16, 3358.87, 3358.87, 3358.87, 3358.87
02/05/16, 3469.16, 3469.16, 3469.16, 3469.16
02/04/16, 3462.70, 3462.70, 3462.70, 3462.70
02/03/16, 3494.55, 3494.55, 3494.55, 3494.55
02/02/16, 3493.03, 3493.03, 3493.03, 3493.03
02/01/16, 3512.92, 3512.92, 3512.92, 3512.92
01/29/16, 3516.80, 3516.80, 3516.80, 3516.80
01/28/16, 3454.26, 3454.26, 3454.26, 3454.26
01/27/16, 3418.92, 3418.92, 3418.92, 3418.92
01/26/16, 3440.71, 3440.71, 3440.71, 3440.71
01/25/16, 3399.98, 3399.98, 3399.98, 3399.98
01/22/16, 3426.76, 3426.76, 3426.76, 3426.76
01/21/16, 3311.45, 3311.45, 3311.45, 3311.45
01/20/16, 3286.89, 3286.89, 3286.89, 3286.89
01/19/16, 3353.65, 3353.65, 3353.65, 3353.65
01/18/16, 3377.15, 3377.15, 3377.15, 3377.15
01/15/16, 3396.31, 3396.31, 3396.31, 3396.31
01/14/16, 3445.46, 3445.46, 3445.46, 3445.46
01/13/16, 3369.04, 3369.04, 3369.04, 3369.04
01/12/16, 3432.13, 3432.13, 3432.13, 3432.13
01/11/16, 3444.55, 3444.55, 3444.55, 3444.55
01/08/16, 3499.32, 3499.32, 3499.32, 3499.32
01/07/16, 3472.15, 3472.15, 3472.15, 3472.15
01/06/16, 3537.11, 3537.11, 3537.11, 3537.11
01/05/16, 3574.82, 3574.82, 3574.82, 3574.82
01/04/16, 3551.95, 3551.95, 3551.95, 3551.95
12/31/15, 3516.65, 3516.65, 3516.65, 3516.65
12/30/15, 3498.25, 3498.25, 3498.25, 3498.25
12/29/15, 3519.84, 3519.84, 3519.84, 3519.84
12/28/15, 3522.56, 3522.56, 3522.56, 3522.56
12/25/15, 3534.99, 3534.99, 3534.99, 3534.99
12/24/15, 3536.36, 3536.36, 3536.36, 3536.36
12/23/15, 3556.53, 3556.53, 3556.53, 3556.53
12/22/15, 3452.38, 3452.38, 3452.38, 3452.38
12/21/15, 3434.49, 3434.49, 3434.49, 3434.49
12/17/15, 3483.69, 3483.69, 3483.69, 3483.69
12/16/15, 3474.76, 3474.76, 3474.76, 3474.76
12/15/15, 3434.89, 3434.89, 3434.89, 3434.89
12/14/15, 3372.51, 3372.51, 3372.51, 3372.51
