Date, Open, High, Low, Close
03/31/16, 3192.27, 3192.27, 3192.27, 3192.27
03/30/16, 3172.99, 3172.99, 3172.99, 3172.99
03/28/16, 3158.87, 3158.87, 3158.87, 3158.87
03/23/16, 3172.42, 3172.42, 3172.42, 3172.42
03/22/16, 3168.16, 3168.16, 3168.16, 3168.16
03/21/16, 3172.25, 3172.25, 3172.25, 3172.25
03/18/16, 3187.72, 3187.72, 3187.72, 3187.72
03/17/16, 3189.40, 3189.40, 3189.40, 3189.40
03/16/16, 3193.24, 3193.24, 3193.24, 3193.24
03/15/16, 3144.16, 3144.16, 3144.16, 3144.16
03/14/16, 3145.01, 3145.01, 3145.01, 3145.01
03/11/16, 3136.51, 3136.51, 3136.51, 3136.51
03/10/16, 3132.27, 3132.27, 3132.27, 3132.27
03/09/16, 3117.80, 3117.80, 3117.80, 3117.80
03/08/16, 3125.46, 3125.46, 3125.46, 3125.46
03/07/16, 3163.49, 3163.49, 3163.49, 3163.49
03/04/16, 3166.10, 3166.10, 3166.10, 3166.10
03/03/16, 3162.93, 3162.93, 3162.93, 3162.93
03/02/16, 3176.27, 3176.27, 3176.27, 3176.27
03/01/16, 3196.49, 3196.49, 3196.49, 3196.49
02/29/16, 3192.35, 3192.35, 3192.35, 3192.35
02/26/16, 3165.67, 3165.67, 3165.67, 3165.67
02/25/16, 3161.75, 3161.75, 3161.75, 3161.75
02/24/16, 3144.72, 3144.72, 3144.72, 3144.72
02/23/16, 3125.32, 3125.32, 3125.32, 3125.32
02/22/16, 3158.70, 3158.70, 3158.70, 3158.70
02/19/16, 3159.49, 3159.49, 3159.49, 3159.49
02/18/16, 3166.13, 3166.13, 3166.13, 3166.13
02/17/16, 3127.18, 3127.18, 3127.18, 3127.18
02/16/16, 3099.57, 3099.57, 3099.57, 3099.57
02/15/16, 3029.31, 3029.31, 3029.31, 3029.31
02/12/16, 3032.52, 3032.52, 3032.52, 3032.52
02/11/16, 2988.16, 2988.16, 2988.16, 2988.16
02/10/16, 3038.17, 3038.17, 3038.17, 3038.17
02/09/16, 3040.73, 3040.73, 3040.73, 3040.73
02/08/16, 3067.15, 3067.15, 3067.15, 3067.15
02/05/16, 3177.32, 3177.32, 3177.32, 3177.32
02/04/16, 3170.78, 3170.78, 3170.78, 3170.78
02/03/16, 3199.76, 3199.76, 3199.76, 3199.76
02/02/16, 3191.25, 3191.25, 3191.25, 3191.25
02/01/16, 3208.31, 3208.31, 3208.31, 3208.31
01/29/16, 3210.24, 3210.24, 3210.24, 3210.24
01/28/16, 3156.57, 3156.57, 3156.57, 3156.57
01/27/16, 3116.84, 3116.84, 3116.84, 3116.84
01/26/16, 3139.53, 3139.53, 3139.53, 3139.53
01/25/16, 3092.86, 3092.86, 3092.86, 3092.86
01/22/16, 3120.69, 3120.69, 3120.69, 3120.69
01/21/16, 3015.54, 3015.54, 3015.54, 3015.54
01/20/16, 2977.58, 2977.58, 2977.58, 2977.58
01/19/16, 3038.78, 3038.78, 3038.78, 3038.78
01/18/16, 3061.40, 3061.40, 3061.40, 3061.40
01/15/16, 3078.86, 3078.86, 3078.86, 3078.86
01/14/16, 3125.38, 3125.38, 3125.38, 3125.38
01/13/16, 3044.95, 3044.95, 3044.95, 3044.95
01/12/16, 3105.71, 3105.71, 3105.71, 3105.71
01/11/16, 3115.60, 3115.60, 3115.60, 3115.60
01/08/16, 3164.97, 3164.97, 3164.97, 3164.97
01/07/16, 3138.33, 3138.33, 3138.33, 3138.33
01/06/16, 3196.17, 3196.17, 3196.17, 3196.17
01/05/16, 3233.98, 3233.98, 3233.98, 3233.98
01/04/16, 3214.99, 3214.99, 3214.99, 3214.99
12/31/15, 3178.25, 3178.25, 3178.25, 3178.25
12/30/15, 3161.47, 3161.47, 3161.47, 3161.47
12/29/15, 3182.33, 3182.33, 3182.33, 3182.33
12/28/15, 3185.02, 3185.02, 3185.02, 3185.02
12/24/15, 3200.90, 3200.90, 3200.90, 3200.90
12/23/15, 3219.54, 3219.54, 3219.54, 3219.54
12/22/15, 3119.81, 3119.81, 3119.81, 3119.81
12/21/15, 3101.92, 3101.92, 3101.92, 3101.92
12/17/15, 3139.39, 3139.39, 3139.39, 3139.39
12/16/15, 3133.44, 3133.44, 3133.44, 3133.44
12/15/15, 3095.86, 3095.86, 3095.86, 3095.86
12/14/15, 3037.03, 3037.03, 3037.03, 3037.03
12/11/15, 3073.78, 3073.78, 3073.78, 3073.78
12/10/15, 3107.56, 3107.56, 3107.56, 3107.56
12/09/15, 3160.72, 3160.72, 3160.72, 3160.72
12/08/15, 3095.62, 3095.62, 3095.62, 3095.62
12/07/15, 3078.00, 3078.00, 3078.00, 3078.00
12/04/15, 3108.23, 3108.23, 3108.23, 3108.23
12/03/15, 3169.74, 3169.74, 3169.74, 3169.74
12/02/15, 3214.02, 3214.02, 3214.02, 3214.02
12/01/15, 3275.13, 3275.13, 3275.13, 3275.13
11/30/15, 3298.97, 3298.97, 3298.97, 3298.97
11/27/15, 3325.73, 3325.73, 3325.73, 3325.73
11/26/15, 3322.33, 3322.33, 3322.33, 3322.33
11/25/15, 3314.01, 3314.01, 3314.01, 3314.01
11/24/15, 3320.83, 3320.83, 3320.83, 3320.83
11/23/15, 3334.77, 3334.77, 3334.77, 3334.77
11/20/15, 3335.46, 3335.46, 3335.46, 3335.46
11/19/15, 3373.03, 3373.03, 3373.03, 3373.03
11/18/15, 3415.44, 3415.44, 3415.44, 3415.44
11/17/15, 3376.59, 3376.59, 3376.59, 3376.59
11/16/15, 3391.89, 3391.89, 3391.89, 3391.89
11/13/15, 3322.13, 3322.13, 3322.13, 3322.13
11/12/15, 3336.71, 3336.71, 3336.71, 3336.71
11/11/15, 3406.71, 3406.71, 3406.71, 3406.71
11/10/15, 3431.62, 3431.62, 3431.62, 3431.62
11/09/15, 3411.22, 3411.22, 3411.22, 3411.22
11/06/15, 3454.58, 3454.58, 3454.58, 3454.58
11/05/15, 3483.58, 3483.58, 3483.58, 3483.58
11/04/15, 3511.11, 3511.11, 3511.11, 3511.11
11/03/15, 3535.83, 3535.83, 3535.83, 3535.83
11/02/15, 3525.15, 3525.15, 3525.15, 3525.15
10/30/15, 3523.34, 3523.34, 3523.34, 3523.34
10/29/15, 3528.42, 3528.42, 3528.42, 3528.42
10/28/15, 3507.14, 3507.14, 3507.14, 3507.14
10/27/15, 3429.60, 3429.60, 3429.60, 3429.60
10/26/15, 3451.37, 3451.37, 3451.37, 3451.37
10/23/15, 3492.68, 3492.68, 3492.68, 3492.68
10/22/15, 3511.78, 3511.78, 3511.78, 3511.78
10/21/15, 3526.30, 3526.30, 3526.30, 3526.30
10/20/15, 3532.68, 3532.68, 3532.68, 3532.68
10/19/15, 3529.72, 3529.72, 3529.72, 3529.72
10/16/15, 3543.66, 3543.66, 3543.66, 3543.66
10/15/15, 3500.66, 3500.66, 3500.66, 3500.66
10/14/15, 3478.86, 3478.86, 3478.86, 3478.86
10/13/15, 3458.18, 3458.18, 3458.18, 3458.18
10/12/15, 3450.46, 3450.46, 3450.46, 3450.46
10/09/15, 3480.78, 3480.78, 3480.78, 3480.78
10/08/15, 3548.25, 3548.25, 3548.25, 3548.25
10/07/15, 3516.99, 3516.99, 3516.99, 3516.99
10/06/15, 3525.35, 3525.35, 3525.35, 3525.35
10/05/15, 3548.77, 3548.77, 3548.77, 3548.77
10/02/15, 3489.83, 3489.83, 3489.83, 3489.83
10/01/15, 3412.87, 3412.87, 3412.87, 3412.87
09/30/15, 3389.60, 3389.60, 3389.60, 3389.60
09/29/15, 3284.74, 3284.74, 3284.74, 3284.74
09/28/15, 3360.19, 3360.19, 3360.19, 3360.19
09/25/15, 3431.49, 3431.49, 3431.49, 3431.49
09/24/15, 3410.49, 3410.49, 3410.49, 3410.49
09/23/15, 3397.64, 3397.64, 3397.64, 3397.64
09/22/15, 3415.96, 3415.96, 3415.96, 3415.96
09/21/15, 3425.98, 3425.98, 3425.98, 3425.98
09/18/15, 3374.81, 3374.81, 3374.81, 3374.81
09/17/15, 3418.21, 3418.21, 3418.21, 3418.21
09/16/15, 3383.45, 3383.45, 3383.45, 3383.45
09/15/15, 3375.68, 3375.68, 3375.68, 3375.68
09/14/15, 3341.14, 3341.14, 3341.14, 3341.14
09/10/15, 3430.56, 3430.56, 3430.56, 3430.56
09/09/15, 3459.76, 3459.76, 3459.76, 3459.76
09/08/15, 3484.39, 3484.39, 3484.39, 3484.39
09/07/15, 3477.03, 3477.03, 3477.03, 3477.03
09/04/15, 3466.68, 3466.68, 3466.68, 3466.68
09/03/15, 3463.51, 3463.51, 3463.51, 3463.51
09/02/15, 3458.49, 3458.49, 3458.49, 3458.49
09/01/15, 3441.23, 3441.23, 3441.23, 3441.23
08/31/15, 3493.09, 3493.09, 3493.09, 3493.09
08/28/15, 3480.06, 3480.06, 3480.06, 3480.06
08/27/15, 3457.83, 3457.83, 3457.83, 3457.83
08/26/15, 3387.60, 3387.60, 3387.60, 3387.60
08/25/15, 3341.82, 3341.82, 3341.82, 3341.82
08/24/15, 3331.50, 3331.50, 3331.50, 3331.50
08/21/15, 3383.68, 3383.68, 3383.68, 3383.68
08/20/15, 3450.71, 3450.71, 3450.71, 3450.71
08/19/15, 3502.58, 3502.58, 3502.58, 3502.58
08/18/15, 3528.78, 3528.78, 3528.78, 3528.78
08/17/15, 3526.20, 3526.20, 3526.20, 3526.20
08/14/15, 3503.51, 3503.51, 3503.51, 3503.51
08/13/15, 3488.08, 3488.08, 3488.08, 3488.08
08/12/15, 3498.02, 3498.02, 3498.02, 3498.02
08/11/15, 3490.93, 3490.93, 3490.93, 3490.93
08/10/15, 3447.61, 3447.61, 3447.61, 3447.61
08/07/15, 3400.56, 3400.56, 3400.56, 3400.56
08/06/15, 3425.84, 3425.84, 3425.84, 3425.84
08/05/15, 3430.48, 3430.48, 3430.48, 3430.48
08/04/15, 3445.84, 3445.84, 3445.84, 3445.84
08/03/15, 3526.79, 3526.79, 3526.79, 3526.79
07/31/15, 3522.73, 3522.73, 3522.73, 3522.73
07/30/15, 3533.50, 3533.50, 3533.50, 3533.50
07/29/15, 3533.23, 3533.23, 3533.23, 3533.23
07/28/15, 3506.19, 3506.19, 3506.19, 3506.19
07/27/15, 3480.11, 3480.11, 3480.11, 3480.11
07/23/15, 3452.53, 3452.53, 3452.53, 3452.53
07/22/15, 3457.51, 3457.51, 3457.51, 3457.51
07/21/15, 3471.99, 3471.99, 3471.99, 3471.99
07/20/15, 3523.71, 3523.71, 3523.71, 3523.71
07/17/15, 3547.14, 3547.14, 3547.14, 3547.14
07/16/15, 3555.31, 3555.31, 3555.31, 3555.31
07/15/15, 3550.76, 3550.76, 3550.76, 3550.76
07/14/15, 3538.42, 3538.42, 3538.42, 3538.42
07/13/15, 3555.84, 3555.84, 3555.84, 3555.84
07/10/15, 3469.22, 3469.22, 3469.22, 3528.22
07/08/15, 3461.55, 3461.55, 3461.55, 3461.55
07/07/15, 3483.51, 3483.51, 3483.51, 3483.51
07/06/15, 3424.67, 3424.67, 3424.67, 3424.67
07/03/15, 3468.66, 3468.66, 3468.66, 3468.66
07/02/15, 3425.94, 3425.94, 3425.94, 3425.94
07/01/15, 3382.95, 3382.95, 3382.95, 3382.95
06/29/15, 3414.07, 3414.07, 3414.07, 3414.07
06/26/15, 3476.64, 3476.64, 3476.64, 3476.64
06/25/15, 3446.06, 3446.06, 3446.06, 3446.06
06/24/15, 3498.54, 3498.54, 3498.54, 3498.54
06/23/15, 3492.16, 3492.16, 3492.16, 3492.16
06/22/15, 3493.27, 3493.27, 3493.27, 3493.27
06/19/15, 3440.68, 3440.68, 3440.68, 3440.68
06/18/15, 3434.19, 3434.19, 3434.19, 3434.19
06/17/15, 3469.15, 3469.15, 3469.15, 3469.15
