Date, Open, High, Low, Close
03/31/16, 3493.18, 3493.18, 3493.18, 3493.18
03/30/16, 3483.66, 3483.66, 3483.66, 3483.66
03/28/16, 3480.05, 3480.05, 3480.05, 3480.05
03/25/16, 3490.74, 3490.74, 3490.74, 3490.74
03/23/16, 3481.43, 3481.43, 3481.43, 3481.43
03/22/16, 3459.86, 3459.86, 3459.86, 3459.86
03/21/16, 3475.67, 3475.67, 3475.67, 3475.67
03/18/16, 3479.05, 3479.05, 3479.05, 3479.05
03/17/16, 3482.40, 3482.40, 3482.40, 3482.40
03/16/16, 3492.32, 3492.32, 3492.32, 3492.32
03/15/16, 3457.02, 3457.02, 3457.02, 3457.02
03/14/16, 3452.13, 3452.13, 3452.13, 3452.13
03/11/16, 3441.07, 3441.07, 3441.07, 3441.07
03/10/16, 3430.77, 3430.77, 3430.77, 3430.77
03/09/16, 3406.40, 3406.40, 3406.40, 3406.40
03/08/16, 3422.84, 3422.84, 3422.84, 3422.84
03/07/16, 3441.67, 3441.67, 3441.67, 3441.67
03/04/16, 3463.34, 3463.34, 3463.34, 3463.34
03/03/16, 3456.47, 3456.47, 3456.47, 3456.47
03/02/16, 3480.25, 3480.25, 3480.25, 3480.25
03/01/16, 3507.31, 3507.31, 3507.31, 3507.31
02/29/16, 3491.40, 3491.40, 3491.40, 3491.40
02/26/16, 3467.82, 3467.82, 3467.82, 3467.82
02/25/16, 3466.30, 3466.30, 3466.30, 3466.30
02/24/16, 3441.38, 3441.38, 3441.38, 3441.38
02/23/16, 3427.32, 3427.32, 3427.32, 3427.32
02/22/16, 3447.01, 3447.01, 3447.01, 3447.01
02/19/16, 3462.44, 3462.44, 3462.44, 3462.44
02/18/16, 3460.14, 3460.14, 3460.14, 3460.14
02/17/16, 3415.31, 3415.31, 3415.31, 3415.31
02/16/16, 3410.94, 3410.94, 3410.94, 3410.94
02/15/16, 3359.21, 3359.21, 3359.21, 3359.21
02/12/16, 3356.17, 3356.17, 3356.17, 3356.17
02/11/16, 3326.50, 3326.50, 3326.50, 3326.50
02/10/16, 3371.02, 3371.02, 3371.02, 3371.02
02/09/16, 3379.99, 3379.99, 3379.99, 3379.99
02/08/16, 3396.47, 3396.47, 3396.47, 3396.47
02/05/16, 3471.87, 3471.87, 3471.87, 3471.87
02/04/16, 3454.12, 3454.12, 3454.12, 3454.12
02/03/16, 3495.83, 3495.83, 3495.83, 3495.83
02/02/16, 3484.83, 3484.83, 3484.83, 3484.83
02/01/16, 3497.04, 3497.04, 3497.04, 3497.04
01/29/16, 3497.14, 3497.14, 3497.14, 3497.14
01/28/16, 3429.07, 3429.07, 3429.07, 3429.07
01/27/16, 3405.22, 3405.22, 3405.22, 3405.22
01/26/16, 3423.83, 3423.83, 3423.83, 3423.83
01/25/16, 3392.29, 3392.29, 3392.29, 3392.29
01/22/16, 3417.14, 3417.14, 3417.14, 3417.14
01/21/16, 3322.09, 3322.09, 3322.09, 3322.09
01/20/16, 3308.09, 3308.09, 3308.09, 3308.09
01/19/16, 3355.28, 3355.28, 3355.28, 3355.28
01/18/16, 3347.64, 3347.64, 3347.64, 3347.64
01/15/16, 3367.69, 3367.69, 3367.69, 3367.69
01/14/16, 3406.38, 3406.38, 3406.38, 3406.38
01/13/16, 3349.29, 3349.29, 3349.29, 3349.29
01/12/16, 3387.23, 3387.23, 3387.23, 3387.23
01/11/16, 3400.74, 3400.74, 3400.74, 3400.74
01/08/16, 3431.43, 3431.43, 3431.43, 3431.43
01/07/16, 3408.93, 3408.93, 3408.93, 3408.93
01/06/16, 3455.45, 3455.45, 3455.45, 3455.45
01/05/16, 3469.05, 3469.05, 3469.05, 3469.05
01/04/16, 3439.15, 3439.15, 3439.15, 3439.15
12/31/15, 3415.14, 3415.14, 3415.14, 3415.14
12/30/15, 3418.53, 3418.53, 3418.53, 3418.53
12/29/15, 3438.73, 3438.73, 3438.73, 3438.73
12/28/15, 3436.67, 3436.67, 3436.67, 3436.67
12/25/15, 3439.37, 3439.37, 3439.37, 3439.37
12/24/15, 3440.83, 3440.83, 3440.83, 3440.83
12/23/15, 3459.99, 3459.99, 3459.99, 3459.99
12/22/15, 3376.18, 3376.18, 3376.18, 3376.18
12/21/15, 3374.26, 3374.26, 3374.26, 3374.26
12/17/15, 3451.84, 3451.84, 3451.84, 3451.84
