Date, Open, High, Low, Close
03/31/16, 4610.49, 4610.49, 4610.49, 4610.49
03/30/16, 4594.10, 4594.10, 4594.10, 4594.10
03/29/16, 4488.74, 4488.74, 4488.74, 4488.74
03/28/16, 4435.49, 4435.49, 4435.49, 4435.49
03/24/16, 4387.24, 4387.24, 4387.24, 4387.24
03/23/16, 4441.71, 4441.71, 4441.71, 4441.71
03/22/16, 4510.27, 4510.27, 4510.27, 4510.27
03/21/16, 4476.33, 4476.33, 4476.33, 4476.33
03/18/16, 4442.19, 4442.19, 4442.19, 4442.19
03/17/16, 4493.15, 4493.15, 4493.15, 4493.15
03/16/16, 4346.10, 4346.10, 4346.10, 4346.10
03/15/16, 4346.13, 4346.13, 4346.13, 4346.13
03/14/16, 4363.26, 4363.26, 4363.26, 4363.26
03/11/16, 4397.05, 4397.05, 4397.05, 4397.05
03/10/16, 4352.09, 4352.09, 4352.09, 4352.09
03/09/16, 4404.65, 4404.65, 4404.65, 4404.65
03/08/16, 4360.72, 4360.72, 4360.72, 4360.72
03/07/16, 4358.74, 4358.74, 4358.74, 4358.74
03/04/16, 4295.97, 4295.97, 4295.97, 4295.97
03/03/16, 4281.39, 4281.39, 4281.39, 4281.39
03/02/16, 4265.36, 4265.36, 4265.36, 4265.36
03/01/16, 4208.65, 4208.65, 4208.65, 4208.65
02/29/16, 4087.02, 4087.02, 4087.02, 4087.02
02/26/16, 4071.61, 4071.61, 4071.61, 4071.61
02/25/16, 4106.81, 4106.81, 4106.81, 4106.81
02/24/16, 4048.73, 4048.73, 4048.73, 4048.73
02/23/16, 4059.69, 4059.69, 4059.69, 4059.69
02/22/16, 4130.62, 4130.62, 4130.62, 4130.62
02/19/16, 4062.12, 4062.12, 4062.12, 4062.12
02/18/16, 4161.87, 4161.87, 4161.87, 4161.87
02/17/16, 4143.89, 4143.89, 4143.89, 4143.89
02/16/16, 3959.17, 3959.17, 3959.17, 3959.17
02/12/16, 3907.45, 3907.45, 3907.45, 3907.45
02/11/16, 3859.50, 3859.50, 3859.50, 3859.50
02/10/16, 3975.58, 3975.58, 3975.58, 3975.58
02/09/16, 4086.08, 4086.08, 4086.08, 4086.08
02/08/16, 4199.45, 4199.45, 4199.45, 4199.45
02/05/16, 4276.91, 4276.91, 4276.91, 4276.91
02/04/16, 4301.21, 4301.21, 4301.21, 4301.21
02/03/16, 4210.87, 4210.87, 4210.87, 4210.87
02/02/16, 4095.90, 4095.90, 4095.90, 4095.90
02/01/16, 4099.54, 4099.54, 4099.54, 4099.54
01/29/16, 4111.51, 4111.51, 4111.51, 4111.51
01/28/16, 4036.24, 4036.24, 4036.24, 4036.24
01/27/16, 3917.83, 3917.83, 3917.83, 3917.83
01/26/16, 3874.53, 3874.53, 3874.53, 3874.53
01/25/16, 3772.12, 3772.12, 3772.12, 3772.12
