Date, Open, High, Low, Close
03/31/16, 6673.89, 6673.89, 6673.89, 6673.89
03/30/16, 6675.49, 6675.49, 6675.49, 6675.49
03/29/16, 6525.69, 6525.69, 6525.69, 6525.69
03/24/16, 6434.68, 6434.68, 6434.68, 6434.68
03/23/16, 6476.33, 6476.33, 6476.33, 6476.33
03/22/16, 6611.23, 6611.23, 6611.23, 6611.23
03/21/16, 6635.54, 6635.54, 6635.54, 6635.54
03/18/16, 6648.98, 6648.98, 6648.98, 6648.98
03/17/16, 6706.12, 6706.12, 6706.12, 6706.12
03/16/16, 6449.40, 6449.40, 6449.40, 6449.40
03/15/16, 6408.29, 6408.29, 6408.29, 6408.29
03/14/16, 6482.26, 6482.26, 6482.26, 6482.26
03/11/16, 6528.71, 6528.71, 6528.71, 6528.71
03/10/16, 6411.07, 6411.07, 6411.07, 6411.07
03/09/16, 6428.80, 6428.80, 6428.80, 6428.80
03/08/16, 6338.97, 6338.97, 6338.97, 6338.97
03/07/16, 6432.61, 6432.61, 6432.61, 6432.61
03/04/16, 6313.01, 6313.01, 6313.01, 6313.01
03/03/16, 6264.77, 6264.77, 6264.77, 6264.77
03/02/16, 6177.36, 6177.36, 6177.36, 6177.36
03/01/16, 6155.66, 6155.66, 6155.66, 6155.66
02/29/16, 6052.50, 6052.50, 6052.50, 6052.50
02/26/16, 6023.52, 6023.52, 6023.52, 6023.52
02/25/16, 5973.86, 5973.86, 5973.86, 5973.86
02/24/16, 5884.97, 5884.97, 5884.97, 5884.97
02/23/16, 5886.50, 5886.50, 5886.50, 5886.50
02/19/16, 5893.70, 5893.70, 5893.70, 5893.70
02/18/16, 6011.35, 6011.35, 6011.35, 6011.35
02/17/16, 5982.51, 5982.51, 5982.51, 5982.51
02/16/16, 5750.18, 5750.18, 5750.18, 5750.18
02/15/16, 5690.77, 5690.77, 5690.77, 5690.77
02/12/16, 5661.00, 5661.00, 5661.00, 5661.00
02/11/16, 5491.42, 5491.42, 5491.42, 5491.42
02/10/16, 5556.79, 5556.79, 5556.79, 5556.79
02/09/16, 5640.83, 5640.83, 5640.83, 5640.83
02/08/16, 5699.22, 5699.22, 5699.22, 5699.22
02/05/16, 5858.10, 5858.10, 5858.10, 5858.10
02/04/16, 5931.03, 5931.03, 5931.03, 5931.03
02/03/16, 5779.73, 5779.73, 5779.73, 5779.73
02/02/16, 5619.98, 5619.98, 5619.98, 5619.98
02/01/16, 5754.82, 5754.82, 5754.82, 5754.82
01/29/16, 5796.86, 5796.86, 5796.86, 5796.86
01/28/16, 5687.34, 5687.34, 5687.34, 5687.34
01/27/16, 5584.64, 5584.64, 5584.64, 5584.64
01/26/16, 5560.69, 5560.69, 5560.69, 5560.69
01/25/16, 5419.46, 5419.46, 5419.46, 5419.46
01/22/16, 5571.41, 5571.41, 5571.41, 5571.41
01/21/16, 5329.26, 5329.26, 5329.26, 5329.26
01/20/16, 5136.65, 5136.65, 5136.65, 5136.65
01/19/16, 5244.43, 5244.43, 5244.43, 5244.43
01/18/16, 5223.82, 5223.82, 5223.82, 5223.82
01/15/16, 5290.62, 5290.62, 5290.62, 5290.62
01/14/16, 5458.28, 5458.28, 5458.28, 5458.28
01/13/16, 5421.06, 5421.06, 5421.06, 5421.06
01/12/16, 5506.72, 5506.72, 5506.72, 5506.72
01/11/16, 5516.81, 5516.81, 5516.81, 5516.81
01/08/16, 5595.24, 5595.24, 5595.24, 5595.24
01/06/16, 5747.72, 5747.72, 5747.72, 5747.72
01/05/16, 5881.00, 5881.00, 5881.00, 5881.00
01/04/16, 5901.19, 5901.19, 5901.19, 5901.19
01/01/16, 5961.05, 5961.05, 5961.05, 5961.05
12/31/15, 5961.05, 5961.05, 5961.05, 5961.05
12/30/15, 6016.97, 6016.97, 6016.97, 6016.97
12/29/15, 6082.94, 6082.94, 6082.94, 6082.94
12/28/15, 6089.95, 6089.95, 6089.95, 6089.95
12/25/15, 6105.69, 6105.69, 6105.69, 6105.69
12/24/15, 6105.69, 6105.69, 6105.69, 6105.69
12/23/15, 6090.40, 6090.40, 6090.40, 6090.40
12/22/15, 5959.82, 5959.82, 5959.82, 5959.82
12/21/15, 5920.90, 5920.90, 5920.90, 5920.90
12/18/15, 5948.59, 5948.59, 5948.59, 5948.59
12/17/15, 5924.27, 5924.27, 5924.27, 5924.27
12/16/15, 6040.68, 6040.68, 6040.68, 6040.68
12/15/15, 5956.65, 5956.65, 5956.65, 5956.65
12/14/15, 5854.23, 5854.23, 5854.23, 5854.23
12/11/15, 5920.86, 5920.86, 5920.86, 5920.86
12/10/15, 6071.82, 6071.82, 6071.82, 6071.82
12/09/15, 6048.96, 6048.96, 6048.96, 6048.96
12/08/15, 6036.20, 6036.20, 6036.20, 6036.20
12/07/15, 6121.09, 6121.09, 6121.09, 6121.09
12/04/15, 6338.80, 6338.80, 6338.80, 6338.80
12/03/15, 6302.53, 6302.53, 6302.53, 6302.53
12/02/15, 6388.89, 6388.89, 6388.89, 6388.89
12/01/15, 6459.35, 6459.35, 6459.35, 6459.35
11/30/15, 6404.87, 6404.87, 6404.87, 6404.87
11/27/15, 6331.91, 6331.91, 6331.91, 6331.91
11/26/15, 6394.27, 6394.27, 6394.27, 6394.27
11/25/15, 6372.70, 6372.70, 6372.70, 6372.70
11/24/15, 6363.06, 6363.06, 6363.06, 6363.06
11/20/15, 6370.61, 6370.61, 6370.61, 6370.61
11/19/15, 6421.76, 6421.76, 6421.76, 6421.76
11/18/15, 6350.43, 6350.43, 6350.43, 6350.43
11/17/15, 6302.57, 6302.57, 6302.57, 6302.57
11/13/15, 6198.73, 6198.73, 6198.73, 6198.73
11/12/15, 6236.45, 6236.45, 6236.45, 6236.45
11/11/15, 6358.47, 6358.47, 6358.47, 6358.47
11/10/15, 6396.86, 6396.86, 6396.86, 6396.86
11/06/15, 6445.50, 6445.50, 6445.50, 6445.50
11/05/15, 6512.78, 6512.78, 6512.78, 6512.78
11/04/15, 6577.22, 6577.22, 6577.22, 6577.22
11/03/15, 6613.80, 6613.80, 6613.80, 6613.80
11/02/15, 6580.48, 6580.48, 6580.48, 6580.48
10/30/15, 6535.30, 6535.30, 6535.30, 6535.30
10/29/15, 6616.27, 6616.27, 6616.27, 6616.27
