Date, Open, High, Low, Close
03/31/16, 5851.03, 5851.03, 5824.84, 5834.21
03/30/16, 5850.21, 5850.21, 5817.54, 5832.26
03/29/16, 5719.04, 5769.19, 5719.04, 5761.29
03/28/16, 5688.18, 5696.12, 5688.18, 5690.10
03/27/16, 5640.39, 5640.39, 5640.39, 5640.39
03/25/16, 5640.33, 5659.21, 5633.36, 5640.33
03/24/16, 5640.33, 5655.81, 5640.33, 5649.85
03/23/16, 5676.86, 5678.14, 5664.48, 5666.62
03/22/16, 5797.42, 5804.49, 5795.65, 5803.16
03/21/16, 5817.54, 5817.54, 5805.17, 5811.78
03/20/16, 5828.91, 5828.91, 5828.91, 5828.91
03/18/16, 5828.91, 5907.50, 5799.20, 5828.91
03/17/16, 5879.38, 5883.88, 5872.64, 5875.33
03/16/16, 5654.08, 5769.19, 5654.08, 5768.74
03/15/16, 5618.95, 5625.65, 5618.95, 5621.88
03/14/16, 5684.01, 5697.22, 5684.01, 5685.27
03/13/16, 5724.21, 5737.56, 5724.21, 5724.21
03/11/16, 5724.09, 5741.99, 5724.09, 5724.09
03/10/16, 5622.68, 5630.45, 5616.60, 5626.66
03/09/16, 5636.96, 5661.49, 5636.96, 5651.75
03/08/16, 5559.53, 5559.53, 5543.04, 5549.21
03/07/16, 5642.28, 5646.09, 5636.39, 5636.81
03/06/16, 5536.20, 5536.20, 5536.20, 5536.20
03/04/16, 5536.16, 5583.93, 5456.95, 5536.16
03/03/16, 5493.87, 5493.87, 5476.77, 5478.40
03/02/16, 5417.30, 5433.38, 5417.30, 5430.17
03/01/16, 5399.86, 5411.28, 5399.86, 5408.07
02/29/16, 5308.72, 5314.17, 5306.38, 5309.50
02/28/16, 5283.68, 5283.68, 5283.68, 5283.68
02/26/16, 5283.07, 5332.98, 5283.07, 5283.07
02/25/16, 5239.99, 5265.80, 5239.99, 5263.10
02/24/16, 5163.59, 5196.55, 5163.59, 5190.90
02/23/16, 5163.64, 5169.58, 5162.11, 5162.84
02/22/16, 5243.40, 5243.40, 5227.69, 5232.23
