Date, Open, High, Low, Close
03/31/16, 3808.51, 3808.51, 3808.51, 3808.51
03/30/16, 3794.60, 3794.60, 3794.60, 3794.60
03/29/16, 3715.63, 3715.63, 3715.63, 3715.63
03/24/16, 3690.03, 3690.03, 3690.03, 3690.03
03/23/16, 3720.67, 3720.67, 3720.67, 3720.67
03/22/16, 3781.63, 3781.63, 3781.63, 3781.63
03/21/16, 3784.02, 3784.02, 3784.02, 3784.02
03/18/16, 3795.19, 3795.19, 3795.19, 3795.19
03/17/16, 3768.99, 3768.99, 3768.99, 3768.99
03/16/16, 3651.91, 3651.91, 3651.91, 3651.91
03/15/16, 3642.98, 3642.98, 3642.98, 3642.98
03/14/16, 3670.57, 3670.57, 3670.57, 3670.57
03/11/16, 3648.47, 3648.47, 3648.47, 3648.47
03/10/16, 3664.05, 3664.05, 3664.05, 3664.05
03/09/16, 3662.55, 3662.55, 3662.55, 3662.55
03/08/16, 3628.11, 3628.11, 3628.11, 3628.11
03/07/16, 3667.78, 3667.78, 3667.78, 3667.78
03/04/16, 3675.81, 3675.81, 3675.81, 3675.81
03/03/16, 3630.59, 3630.59, 3630.59, 3630.59
03/02/16, 3582.21, 3582.21, 3582.21, 3582.21
03/01/16, 3515.22, 3515.22, 3515.22, 3515.22
02/29/16, 3490.26, 3490.26, 3490.26, 3490.26
02/26/16, 3504.70, 3504.70, 3504.70, 3504.70
02/25/16, 3480.86, 3480.86, 3480.86, 3480.86
02/24/16, 3447.27, 3447.27, 3447.27, 3447.27
02/23/16, 3486.55, 3486.55, 3486.55, 3486.55
02/19/16, 3498.98, 3498.98, 3498.98, 3498.98
02/18/16, 3498.85, 3498.85, 3498.85, 3498.85
02/17/16, 3484.27, 3484.27, 3484.27, 3484.27
02/16/16, 3417.98, 3417.98, 3417.98, 3417.98
02/15/16, 3432.36, 3432.36, 3432.36, 3432.36
02/12/16, 3383.73, 3383.73, 3383.73, 3383.73
02/11/16, 3354.78, 3354.78, 3354.78, 3354.78
02/10/16, 3376.51, 3376.51, 3376.51, 3376.51
02/09/16, 3343.34, 3343.34, 3343.34, 3343.34
02/08/16, 3368.17, 3368.17, 3368.17, 3368.17
02/05/16, 3406.84, 3406.84, 3406.84, 3406.84
02/04/16, 3448.39, 3448.39, 3448.39, 3448.39
02/03/16, 3326.62, 3326.62, 3326.62, 3326.62
02/02/16, 3337.26, 3337.26, 3337.26, 3337.26
02/01/16, 3419.35, 3419.35, 3419.35, 3419.35
01/29/16, 3424.08, 3424.08, 3424.08, 3424.08
01/28/16, 3312.22, 3312.22, 3312.22, 3312.22
01/27/16, 3246.33, 3246.33, 3246.33, 3246.33
01/26/16, 3232.54, 3232.54, 3232.54, 3232.54
01/25/16, 3229.00, 3229.00, 3229.00, 3229.00
01/22/16, 3249.46, 3249.46, 3249.46, 3249.46
01/21/16, 3146.69, 3146.69, 3146.69, 3146.69
01/20/16, 3111.98, 3111.98, 3111.98, 3111.98
01/19/16, 3158.84, 3158.84, 3158.84, 3158.84
01/18/16, 3131.55, 3131.55, 3131.55, 3131.55
01/15/16, 3136.18, 3136.18, 3136.18, 3136.18
01/14/16, 3212.20, 3212.20, 3212.20, 3212.20
01/13/16, 3189.61, 3189.61, 3189.61, 3189.61
01/12/16, 3169.42, 3169.42, 3169.42, 3169.42
01/11/16, 3174.15, 3174.15, 3174.15, 3174.15
01/08/16, 3215.23, 3215.23, 3215.23, 3215.23
01/06/16, 3316.55, 3316.55, 3316.55, 3316.55
01/05/16, 3333.80, 3333.80, 3333.80, 3333.80
01/04/16, 3315.24, 3315.24, 3315.24, 3315.24
01/01/16, 3407.55, 3407.55, 3407.55, 3407.55
12/31/15, 3407.55, 3407.55, 3407.55, 3407.55
12/30/15, 3405.63, 3405.63, 3405.63, 3405.63
12/29/15, 3392.94, 3392.94, 3392.94, 3392.94
12/28/15, 3392.49, 3392.49, 3392.49, 3392.49
