Date, Open, High, Low, Close
03/31/16, 7566.86, 7566.86, 7566.86, 7566.86
03/30/16, 7539.24, 7539.24, 7539.24, 7539.24
03/29/16, 7382.34, 7382.34, 7382.34, 7382.34
03/24/16, 7331.47, 7331.47, 7331.47, 7331.47
03/23/16, 7392.11, 7392.11, 7392.11, 7392.11
03/22/16, 7513.22, 7513.22, 7513.22, 7513.22
03/21/16, 7517.96, 7517.96, 7517.96, 7517.96
03/18/16, 7523.21, 7523.21, 7523.21, 7523.21
03/17/16, 7471.27, 7471.27, 7471.27, 7471.27
03/16/16, 7230.63, 7230.63, 7230.63, 7230.63
03/15/16, 7212.95, 7212.95, 7212.95, 7212.95
03/14/16, 7267.58, 7267.58, 7267.58, 7267.58
03/11/16, 7223.82, 7223.82, 7223.82, 7223.82
03/10/16, 7254.67, 7254.67, 7254.67, 7254.67
03/09/16, 7251.71, 7251.71, 7251.71, 7251.71
03/08/16, 7183.52, 7183.52, 7183.52, 7183.52
03/07/16, 7262.07, 7262.07, 7262.07, 7262.07
03/04/16, 7268.62, 7268.62, 7268.62, 7268.62
03/03/16, 7179.20, 7179.20, 7179.20, 7179.20
03/02/16, 7083.54, 7083.54, 7083.54, 7083.54
03/01/16, 6951.07, 6951.07, 6951.07, 6951.07
02/29/16, 6901.72, 6901.72, 6901.72, 6901.72
02/26/16, 6930.27, 6930.27, 6930.27, 6930.27
02/25/16, 6883.13, 6883.13, 6883.13, 6883.13
02/24/16, 6816.69, 6816.69, 6816.69, 6816.69
02/23/16, 6894.37, 6894.37, 6894.37, 6894.37
02/19/16, 6918.96, 6918.96, 6918.96, 6918.96
02/18/16, 6918.70, 6918.70, 6918.70, 6918.70
02/17/16, 6889.86, 6889.86, 6889.86, 6889.86
02/16/16, 6758.79, 6758.79, 6758.79, 6758.79
02/15/16, 6787.23, 6787.23, 6787.23, 6787.23
02/12/16, 6690.71, 6690.71, 6690.71, 6690.71
02/11/16, 6633.47, 6633.47, 6633.47, 6633.47
02/10/16, 6676.42, 6676.42, 6676.42, 6676.42
02/09/16, 6610.83, 6610.83, 6610.83, 6610.83
02/08/16, 6659.94, 6659.94, 6659.94, 6659.94
02/05/16, 6736.40, 6736.40, 6736.40, 6736.40
02/04/16, 6818.56, 6818.56, 6818.56, 6818.56
02/03/16, 6577.78, 6577.78, 6577.78, 6577.78
02/02/16, 6598.82, 6598.82, 6598.82, 6598.82
02/01/16, 6761.14, 6761.14, 6761.14, 6761.14
01/29/16, 6770.48, 6770.48, 6770.48, 6770.48
01/28/16, 6549.30, 6549.30, 6549.30, 6549.30
01/27/16, 6419.02, 6419.02, 6419.02, 6419.02
01/26/16, 6391.75, 6391.75, 6391.75, 6391.75
01/25/16, 6384.76, 6384.76, 6384.76, 6384.76
01/22/16, 6417.86, 6417.86, 6417.86, 6417.86
01/21/16, 6214.88, 6214.88, 6214.88, 6214.88
01/20/16, 6146.32, 6146.32, 6146.32, 6146.32
01/19/16, 6238.86, 6238.86, 6238.86, 6238.86
01/18/16, 6184.98, 6184.98, 6184.98, 6184.98
01/15/16, 6193.65, 6193.65, 6193.65, 6193.65
01/14/16, 6343.78, 6343.78, 6343.78, 6343.78
01/13/16, 6299.18, 6299.18, 6299.18, 6299.18
01/12/16, 6258.06, 6258.06, 6258.06, 6258.06
01/11/16, 6267.38, 6267.38, 6267.38, 6267.38
01/08/16, 6348.50, 6348.50, 6348.50, 6348.50
01/06/16, 6543.41, 6543.41, 6543.41, 6543.41
01/05/16, 6577.44, 6577.44, 6577.44, 6577.44
01/04/16, 6540.84, 6540.84, 6540.84, 6540.84
01/01/16, 6721.25, 6721.25, 6721.25, 6721.25
12/31/15, 6721.25, 6721.25, 6721.25, 6721.25
12/30/15, 6717.46, 6717.46, 6717.46, 6717.46
12/29/15, 6692.43, 6692.43, 6692.43, 6692.43
12/28/15, 6691.55, 6691.55, 6691.55, 6691.55
12/25/15, 6761.74, 6761.74, 6761.74, 6761.74
12/24/15, 6761.74, 6761.74, 6761.74, 6761.74
12/23/15, 6786.74, 6786.74, 6786.74, 6786.74
12/22/15, 6714.56, 6714.56, 6714.56, 6714.56
12/21/15, 6740.34, 6740.34, 6740.34, 6740.34
12/18/15, 6705.13, 6705.13, 6705.13, 6705.13
12/17/15, 6685.50, 6685.50, 6685.50, 6685.50
12/16/15, 6607.53, 6607.53, 6607.53, 6607.53
12/15/15, 6509.41, 6509.41, 6509.41, 6509.41
12/14/15, 6414.75, 6414.75, 6414.75, 6414.75
12/11/15, 6435.61, 6435.61, 6435.61, 6435.61
12/10/15, 6543.88, 6543.88, 6543.88, 6543.88
12/09/15, 6539.19, 6539.19, 6539.19, 6539.19
12/08/15, 6522.75, 6522.75, 6522.75, 6522.75
12/07/15, 6555.80, 6555.80, 6555.80, 6555.80
12/04/15, 6642.03, 6642.03, 6642.03, 6642.03
12/03/15, 6646.79, 6646.79, 6646.79, 6646.79
12/02/15, 6608.49, 6608.49, 6608.49, 6608.49
12/01/15, 6647.83, 6647.83, 6647.83, 6647.83
11/30/15, 6621.88, 6621.88, 6621.88, 6621.88
11/27/15, 6728.82, 6728.82, 6728.82, 6728.82
11/26/15, 6802.74, 6802.74, 6802.74, 6802.74
11/25/15, 6789.45, 6789.45, 6789.45, 6789.45
11/24/15, 6856.50, 6856.50, 6856.50, 6856.50
11/20/15, 6972.83, 6972.83, 6972.83, 6972.83
11/19/15, 6881.47, 6881.47, 6881.47, 6881.47
11/18/15, 6786.66, 6786.66, 6786.66, 6786.66
11/17/15, 6798.32, 6798.32, 6798.32, 6798.32
11/13/15, 6934.00, 6934.00, 6934.00, 6934.00
11/12/15, 6986.90, 6986.90, 6986.90, 6986.90
11/11/15, 7032.81, 7032.81, 7032.81, 7032.81
11/10/15, 7025.79, 7025.79, 7025.79, 7025.79
11/06/15, 7109.84, 7109.84, 7109.84, 7109.84
11/05/15, 7175.67, 7175.67, 7175.67, 7175.67
11/04/15, 7222.56, 7222.56, 7222.56, 7222.56
11/03/15, 7253.53, 7253.53, 7253.53, 7253.53
11/02/15, 7164.80, 7164.80, 7164.80, 7164.80
10/30/15, 7154.98, 7154.98, 7154.98, 7154.98
10/29/15, 7184.03, 7184.03, 7184.03, 7184.03
10/28/15, 7293.75, 7293.75, 7293.75, 7293.75
10/27/15, 7279.24, 7279.24, 7279.24, 7279.24
10/26/15, 7365.03, 7365.03, 7365.03, 7365.03
10/23/15, 7335.64, 7335.64, 7335.64, 7335.64
10/22/15, 7234.41, 7234.41, 7234.41, 7234.41
10/21/15, 7151.62, 7151.62, 7151.62, 7151.62
10/20/15, 7183.13, 7183.13, 7183.13, 7183.13
10/19/15, 7232.16, 7232.16, 7232.16, 7232.16
10/16/15, 7258.57, 7258.57, 7258.57, 7258.57
10/15/15, 7261.81, 7261.81, 7261.81, 7261.81
10/14/15, 7161.47, 7161.47, 7161.47, 7161.47
10/13/15, 7200.91, 7200.91, 7200.91, 7200.91
10/12/15, 7286.61, 7286.61, 7286.61, 7286.61
10/09/15, 7299.19, 7299.19, 7299.19, 7299.19
10/08/15, 7193.86, 7193.86, 7193.86, 7193.86
10/07/15, 7204.60, 7204.60, 7204.60, 7204.60
10/06/15, 7151.41, 7151.41, 7151.41, 7151.41
10/05/15, 7050.50, 7050.50, 7050.50, 7050.50
10/02/15, 6849.03, 6849.03, 6849.03, 6849.03
10/01/15, 6820.60, 6820.60, 6820.60, 6820.60
09/30/15, 6804.09, 6804.09, 6804.09, 6804.09
09/29/15, 6680.97, 6680.97, 6680.97, 6680.97
09/28/15, 6676.00, 6676.00, 6676.00, 6676.00
09/25/15, 6849.56, 6849.56, 6849.56, 6849.56
09/24/15, 6795.17, 6795.17, 6795.17, 6795.17
09/23/15, 6826.03, 6826.03, 6826.03, 6826.03
09/22/15, 6899.92, 6899.92, 6899.92, 6899.92
09/21/15, 7135.89, 7135.89, 7135.89, 7135.89
09/18/15, 7204.69, 7204.69, 7204.69, 7204.69
09/17/15, 7176.56, 7176.56, 7176.56, 7176.56
09/16/15, 7187.93, 7187.93, 7187.93, 7187.93
09/15/15, 7052.72, 7052.72, 7052.72, 7052.72
09/14/15, 7006.69, 7006.69, 7006.69, 7006.69
09/11/15, 7018.46, 7018.46, 7018.46, 7018.46
09/10/15, 6997.53, 6997.53, 6997.53, 6997.53
09/09/15, 6966.61, 6966.61, 6966.61, 6966.61
09/08/15, 6990.50, 6990.50, 6990.50, 6990.50
09/07/15, 6964.91, 6964.91, 6964.91, 6964.91
09/04/15, 6989.96, 6989.96, 6989.96, 6989.96
09/03/15, 7158.64, 7158.64, 7158.64, 7158.64
09/02/15, 7055.02, 7055.02, 7055.02, 7055.02
09/01/15, 7008.47, 7008.47, 7008.47, 7008.47
08/31/15, 7089.67, 7089.67, 7089.67, 7089.67
08/28/15, 7054.37, 7054.37, 7054.37, 7054.37
08/27/15, 6956.75, 6956.75, 6956.75, 6956.75
08/26/15, 6671.48, 6671.48, 6671.48, 6671.48
08/25/15, 6694.08, 6694.08, 6694.08, 6694.08
08/24/15, 6589.62, 6589.62, 6589.62, 6589.62
08/21/15, 6879.49, 6879.49, 6879.49, 6879.49
08/20/15, 6949.33, 6949.33, 6949.33, 6949.33
08/19/15, 6951.88, 6951.88, 6951.88, 6951.88
08/18/15, 6940.58, 6940.58, 6940.58, 6940.58
08/17/15, 7025.78, 7025.78, 7025.78, 7025.78
08/14/15, 7100.52, 7100.52, 7100.52, 7100.52
08/13/15, 7113.64, 7113.64, 7113.64, 7113.64
08/12/15, 7163.14, 7163.14, 7163.14, 7163.14
08/11/15, 7192.55, 7192.55, 7192.55, 7192.55
08/10/15, 7307.93, 7307.93, 7307.93, 7307.93
08/07/15, 7279.88, 7279.88, 7279.88, 7279.88
