Date, Open, High, Low, Close
03/31/16, 2237.85, 2237.85, 2237.85, 2237.85
03/30/16, 2232.53, 2232.53, 2232.53, 2232.53
03/29/16, 2189.67, 2189.67, 2189.67, 2189.67
03/24/16, 2181.62, 2181.62, 2181.62, 2181.62
03/23/16, 2208.50, 2208.50, 2208.50, 2208.50
03/22/16, 2221.05, 2221.05, 2221.05, 2221.05
03/21/16, 2223.56, 2223.56, 2223.56, 2223.56
03/18/16, 2210.71, 2210.71, 2210.71, 2210.71
03/17/16, 2178.99, 2178.99, 2178.99, 2178.99
03/16/16, 2146.44, 2146.44, 2146.44, 2146.44
03/15/16, 2147.26, 2147.26, 2147.26, 2147.26
03/14/16, 2171.89, 2171.89, 2171.89, 2171.89
03/11/16, 2147.43, 2147.43, 2147.43, 2147.43
03/10/16, 2105.88, 2105.88, 2105.88, 2105.88
03/09/16, 2112.84, 2112.84, 2112.84, 2112.84
03/08/16, 2119.85, 2119.85, 2119.85, 2119.85
03/07/16, 2143.94, 2143.94, 2143.94, 2143.94
03/04/16, 2135.93, 2135.93, 2135.93, 2135.93
03/03/16, 2101.19, 2101.19, 2101.19, 2101.19
03/02/16, 2103.86, 2103.86, 2103.86, 2103.86
03/01/16, 2050.82, 2050.82, 2050.82, 2050.82
02/29/16, 2008.40, 2008.40, 2008.40, 2008.40
02/26/16, 2029.50, 2029.50, 2029.50, 2029.50
02/25/16, 1985.73, 1985.73, 1985.73, 1985.73
02/24/16, 2030.18, 2030.18, 2030.18, 2030.18
02/23/16, 2045.63, 2045.63, 2045.63, 2045.63
02/19/16, 2038.65, 2038.65, 2038.65, 2038.65
02/18/16, 2035.72, 2035.72, 2035.72, 2035.72
02/17/16, 1994.42, 1994.42, 1994.42, 1994.42
02/16/16, 2001.00, 2001.00, 2001.00, 2001.00
02/15/16, 1949.45, 1949.45, 1949.45, 1949.45
02/12/16, 1890.59, 1890.59, 1890.59, 1890.59
02/11/16, 1904.02, 1904.02, 1904.02, 1904.02
02/10/16, 1978.90, 1978.90, 1978.90, 1978.90
02/09/16, 1973.33, 1973.33, 1973.33, 1973.33
02/08/16, 1978.00, 1978.00, 1978.00, 1978.00
02/05/16, 1986.30, 1986.30, 1986.30, 1986.30
02/04/16, 1995.10, 1995.10, 1995.10, 1995.10
02/03/16, 1969.69, 1969.69, 1969.69, 1969.69
02/02/16, 2015.51, 2015.51, 2015.51, 2015.51
02/01/16, 2038.76, 2038.76, 2038.76, 2038.76
01/29/16, 2046.50, 2046.50, 2046.50, 2046.50
01/28/16, 1996.21, 1996.21, 1996.21, 1996.21
01/27/16, 1994.56, 1994.56, 1994.56, 1994.56
01/26/16, 1992.82, 1992.82, 1992.82, 1992.82
01/25/16, 2043.46, 2043.46, 2043.46, 2043.46
01/22/16, 2024.57, 2024.57, 2024.57, 2024.57
01/21/16, 1964.90, 1964.90, 1964.90, 1964.90
01/20/16, 1992.69, 1992.69, 1992.69, 1992.69
01/19/16, 2064.08, 2064.08, 2064.08, 2064.08
01/18/16, 2016.88, 2016.88, 2016.88, 2016.88
01/15/16, 2034.31, 2034.31, 2034.31, 2034.31
01/14/16, 2087.22, 2087.22, 2087.22, 2087.22
01/13/16, 2087.37, 2087.37, 2087.37, 2087.37
01/12/16, 2089.87, 2089.87, 2089.87, 2089.87
01/11/16, 2092.56, 2092.56, 2092.56, 2092.56
01/08/16, 2162.54, 2162.54, 2162.54, 2162.54
01/06/16, 2253.23, 2253.23, 2253.23, 2253.23
01/05/16, 2270.44, 2270.44, 2270.44, 2270.44
01/04/16, 2275.69, 2275.69, 2275.69, 2275.69
01/01/16, 2361.55, 2361.55, 2361.55, 2361.55
12/31/15, 2361.55, 2361.55, 2361.55, 2361.55
12/30/15, 2357.75, 2357.75, 2357.75, 2357.75
12/29/15, 2379.12, 2379.12, 2379.12, 2379.12
12/28/15, 2369.94, 2369.94, 2369.94, 2369.94
12/25/15, 2397.66, 2397.66, 2397.66, 2397.66
12/24/15, 2397.36, 2397.36, 2397.36, 2397.36
12/23/15, 2394.97, 2394.97, 2394.97, 2394.97
12/22/15, 2371.37, 2371.37, 2371.37, 2371.37
12/21/15, 2365.15, 2365.15, 2365.15, 2365.15
12/18/15, 2351.15, 2351.15, 2351.15, 2351.15
12/17/15, 2364.45, 2364.45, 2364.45, 2364.45
12/16/15, 2353.19, 2353.19, 2353.19, 2353.19
12/15/15, 2310.35, 2310.35, 2310.35, 2310.35
12/14/15, 2294.51, 2294.51, 2294.51, 2294.51
12/11/15, 2297.56, 2297.56, 2297.56, 2297.56
12/10/15, 2344.44, 2344.44, 2344.44, 2344.44
12/09/15, 2359.05, 2359.05, 2359.05, 2359.05
12/08/15, 2376.58, 2376.58, 2376.58, 2376.58
12/07/15, 2404.81, 2404.81, 2404.81, 2404.81
12/04/15, 2406.73, 2406.73, 2406.73, 2406.73
12/03/15, 2418.14, 2418.14, 2418.14, 2418.14
12/02/15, 2433.07, 2433.07, 2433.07, 2433.07
12/01/15, 2418.14, 2418.14, 2418.14, 2418.14
11/30/15, 2388.40, 2388.40, 2388.40, 2388.40
11/27/15, 2377.25, 2377.25, 2377.25, 2377.25
11/26/15, 2419.40, 2419.40, 2419.40, 2419.40
11/25/15, 2426.00, 2426.00, 2426.00, 2426.00
11/24/15, 2430.87, 2430.87, 2430.87, 2430.87
11/20/15, 2446.15, 2446.15, 2446.15, 2446.15
11/19/15, 2417.76, 2417.76, 2417.76, 2417.76
11/18/15, 2382.98, 2382.98, 2382.98, 2382.98
11/17/15, 2379.83, 2379.83, 2379.83, 2379.83
11/13/15, 2384.08, 2384.08, 2384.08, 2384.08
11/12/15, 2438.53, 2438.53, 2438.53, 2438.53
11/11/15, 2404.22, 2404.22, 2404.22, 2404.22
11/10/15, 2412.95, 2412.95, 2412.95, 2412.95
11/06/15, 2472.24, 2472.24, 2472.24, 2472.24
11/05/15, 2477.02, 2477.02, 2477.02, 2477.02
11/04/15, 2475.45, 2475.45, 2475.45, 2475.45
11/03/15, 2421.64, 2421.64, 2421.64, 2421.64
11/02/15, 2409.05, 2409.05, 2409.05, 2409.05
10/30/15, 2419.34, 2419.34, 2419.34, 2419.34
10/29/15, 2409.85, 2409.85, 2409.85, 2409.85
10/28/15, 2427.68, 2427.68, 2427.68, 2427.68
10/27/15, 2442.96, 2442.96, 2442.96, 2442.96
10/26/15, 2436.36, 2436.36, 2436.36, 2436.36
10/23/15, 2423.94, 2423.94, 2423.94, 2423.94
10/22/15, 2383.68, 2383.68, 2383.68, 2383.68
10/21/15, 2389.04, 2389.04, 2389.04, 2389.04
10/20/15, 2400.57, 2400.57, 2400.57, 2400.57
10/19/15, 2408.20, 2408.20, 2408.20, 2408.20
10/16/15, 2396.97, 2396.97, 2396.97, 2396.97
10/15/15, 2380.04, 2380.04, 2380.04, 2380.04
10/14/15, 2326.20, 2326.20, 2326.20, 2326.20
10/13/15, 2351.65, 2351.65, 2351.65, 2351.65
10/12/15, 2367.26, 2367.26, 2367.26, 2367.26
10/09/15, 2331.94, 2331.94, 2331.94, 2331.94
10/08/15, 2311.86, 2311.86, 2311.86, 2311.86
10/07/15, 2334.16, 2334.16, 2334.16, 2334.16
10/06/15, 2260.91, 2260.91, 2260.91, 2260.91
10/05/15, 2262.98, 2262.98, 2262.98, 2262.98
10/02/15, 2230.32, 2230.32, 2230.32, 2230.32
10/01/15, 2145.10, 2145.10, 2145.10, 2145.10
09/30/15, 2145.10, 2145.10, 2145.10, 2145.10
09/29/15, 2103.10, 2103.10, 2103.10, 2103.10
09/28/15, 2150.94, 2150.94, 2150.94, 2150.94
09/25/15, 2160.18, 2160.18, 2160.18, 2160.18
09/24/15, 2157.77, 2157.77, 2157.77, 2157.77
09/23/15, 2164.72, 2164.72, 2164.72, 2164.72
09/22/15, 2222.19, 2222.19, 2222.19, 2222.19
09/21/15, 2231.22, 2231.22, 2231.22, 2231.22
09/18/15, 2250.40, 2250.40, 2250.40, 2250.40
09/17/15, 2253.12, 2253.12, 2253.12, 2253.12
09/16/15, 2257.15, 2257.15, 2257.15, 2257.15
09/15/15, 2197.20, 2197.20, 2197.20, 2197.20
