Date, Open, High, Low, Close
03/31/16, 2846.31, 2846.31, 2846.31, 2846.31
03/30/16, 2839.54, 2839.54, 2839.54, 2839.54
03/29/16, 2785.03, 2785.03, 2785.03, 2785.03
03/24/16, 2774.78, 2774.78, 2774.78, 2774.78
03/23/16, 2808.97, 2808.97, 2808.97, 2808.97
03/22/16, 2824.94, 2824.94, 2824.94, 2824.94
03/21/16, 2828.13, 2828.13, 2828.13, 2828.13
03/18/16, 2811.78, 2811.78, 2811.78, 2811.78
03/17/16, 2771.44, 2771.44, 2771.44, 2771.44
03/16/16, 2730.04, 2730.04, 2730.04, 2730.04
03/15/16, 2731.08, 2731.08, 2731.08, 2731.08
03/14/16, 2762.42, 2762.42, 2762.42, 2762.42
03/11/16, 2731.30, 2731.30, 2731.30, 2731.30
03/10/16, 2678.46, 2678.46, 2678.46, 2678.46
03/09/16, 2687.30, 2687.30, 2687.30, 2687.30
03/08/16, 2696.10, 2696.10, 2696.10, 2696.10
03/07/16, 2726.74, 2726.74, 2726.74, 2726.74
03/04/16, 2716.56, 2716.56, 2716.56, 2716.56
03/03/16, 2672.38, 2672.38, 2672.38, 2672.38
03/02/16, 2675.77, 2675.77, 2675.77, 2675.77
03/01/16, 2608.31, 2608.31, 2608.31, 2608.31
02/29/16, 2554.35, 2554.35, 2554.35, 2554.35
02/26/16, 2581.20, 2581.20, 2581.20, 2581.20
02/25/16, 2525.53, 2525.53, 2525.53, 2525.53
02/24/16, 2582.05, 2582.05, 2582.05, 2582.05
02/23/16, 2601.71, 2601.71, 2601.71, 2601.71
02/19/16, 2592.83, 2592.83, 2592.83, 2592.83
02/18/16, 2589.11, 2589.11, 2589.11, 2589.11
02/17/16, 2536.59, 2536.59, 2536.59, 2536.59
02/16/16, 2544.95, 2544.95, 2544.95, 2544.95
02/15/16, 2479.38, 2479.38, 2479.38, 2479.38
02/12/16, 2404.52, 2404.52, 2404.52, 2404.52
02/11/16, 2421.61, 2421.61, 2421.61, 2421.61
02/10/16, 2516.84, 2516.84, 2516.84, 2516.84
02/09/16, 2509.76, 2509.76, 2509.76, 2509.76
02/08/16, 2515.69, 2515.69, 2515.69, 2515.69
02/05/16, 2526.25, 2526.25, 2526.25, 2526.25
02/04/16, 2537.25, 2537.25, 2537.25, 2537.25
02/03/16, 2504.93, 2504.93, 2504.93, 2504.93
02/02/16, 2563.21, 2563.21, 2563.21, 2563.21
02/01/16, 2592.77, 2592.77, 2592.77, 2592.77
01/29/16, 2602.62, 2602.62, 2602.62, 2602.62
01/28/16, 2538.65, 2538.65, 2538.65, 2538.65
01/27/16, 2536.57, 2536.57, 2536.57, 2536.57
