Date, Open, High, Low, Close
03/31/16, 13134.41, 13134.41, 13134.41, 13134.41
03/30/16, 13170.52, 13170.52, 13170.52, 13170.52
03/29/16, 12869.80, 12869.80, 12869.80, 12869.80
03/24/16, 12899.74, 12899.74, 12899.74, 12899.74
03/23/16, 12915.06, 12915.06, 12915.06, 12915.06
03/22/16, 12946.34, 12946.34, 12946.34, 12946.34
03/21/16, 12935.94, 12935.94, 12935.94, 12935.94
03/18/16, 12989.62, 12989.62, 12989.62, 12989.62
03/17/16, 12975.85, 12975.85, 12975.85, 12975.85
03/16/16, 12894.28, 12894.28, 12894.28, 12894.28
03/15/16, 12936.99, 12936.99, 12936.99, 12936.99
03/14/16, 13098.44, 13098.44, 13098.44, 13098.44
03/11/16, 12984.71, 12984.71, 12984.71, 12984.71
03/10/16, 12805.34, 12805.34, 12805.34, 12805.34
03/09/16, 12761.81, 12761.81, 12761.81, 12761.81
03/08/16, 12835.11, 12835.11, 12835.11, 12835.11
03/07/16, 12955.86, 12955.86, 12955.86, 12955.86
03/04/16, 12900.88, 12900.88, 12900.88, 12900.88
03/03/16, 12455.50, 12455.50, 12455.50, 12455.50
03/02/16, 12497.10, 12497.10, 12497.10, 12497.10
03/01/16, 12497.85, 12497.85, 12497.85, 12497.85
02/29/16, 12331.06, 12331.06, 12331.06, 12331.06
02/26/16, 12376.83, 12376.83, 12376.83, 12376.83
02/25/16, 12297.47, 12297.47, 12297.47, 12297.47
02/24/16, 12000.45, 12000.45, 12000.45, 12000.45
02/23/16, 12394.77, 12394.77, 12394.77, 12394.77
02/19/16, 12141.02, 12141.02, 12141.02, 12141.02
02/18/16, 12248.84, 12248.84, 12248.84, 12248.84
02/17/16, 12208.13, 12208.13, 12208.13, 12208.13
02/16/16, 11934.45, 11934.45, 11934.45, 11934.45
02/15/16, 12076.57, 12076.57, 12076.57, 12076.57
02/12/16, 11582.54, 11582.54, 11582.54, 11582.54
02/11/16, 11529.27, 11529.27, 11529.27, 11529.27
02/10/16, 11685.25, 11685.25, 11685.25, 11685.25
02/09/16, 11269.31, 11269.31, 11269.31, 11269.31
02/08/16, 11377.18, 11377.18, 11377.18, 11377.18
02/05/16, 12010.59, 12010.59, 12010.59, 12010.59
02/04/16, 12172.45, 12172.45, 12172.45, 12172.45
02/03/16, 12205.24, 12205.24, 12205.24, 12205.24
02/02/16, 12556.19, 12556.19, 12556.19, 12556.19
02/01/16, 12675.71, 12675.71, 12675.71, 12675.71
01/29/16, 12571.41, 12571.41, 12571.41, 12571.41
01/28/16, 12403.68, 12403.68, 12403.68, 12403.68
01/27/16, 12574.03, 12574.03, 12574.03, 12574.03
01/26/16, 12458.77, 12458.77, 12458.77, 12458.77
01/25/16, 12421.00, 12421.00, 12421.00, 12421.00
01/22/16, 12285.44, 12285.44, 12285.44, 12285.44
01/21/16, 11972.14, 11972.14, 11972.14, 11972.14
01/20/16, 11714.85, 11714.85, 11714.85, 11714.85
01/19/16, 12114.51, 12114.51, 12114.51, 12114.51
01/18/16, 11924.38, 11924.38, 11924.38, 11924.38
01/15/16, 12007.61, 12007.61, 12007.61, 12007.61
01/14/16, 12324.28, 12324.28, 12324.28, 12324.28
01/13/16, 12518.48, 12518.48, 12518.48, 12518.48
01/12/16, 12532.85, 12532.85, 12532.85, 12532.85
01/11/16, 12382.89, 12382.89, 12382.89, 12382.89
01/08/16, 12644.31, 12644.31, 12644.31, 12644.31
01/06/16, 12865.38, 12865.38, 12865.38, 12865.38
01/05/16, 12952.48, 12952.48, 12952.48, 12952.48
01/04/16, 12872.62, 12872.62, 12872.62, 12872.62
01/01/16, 13155.39, 13155.39, 13155.39, 13155.39
12/31/15, 13155.39, 13155.39, 13155.39, 13155.39
12/30/15, 13217.92, 13217.92, 13217.92, 13217.92
12/29/15, 13197.35, 13197.35, 13197.35, 13197.35
12/28/15, 13110.86, 13110.86, 13110.86, 13110.86
12/25/15, 13065.66, 13065.66, 13065.66, 13065.66
12/24/15, 13065.66, 13065.66, 13065.66, 13065.66
12/23/15, 12970.67, 12970.67, 12970.67, 12970.67
12/22/15, 12829.78, 12829.78, 12829.78, 12829.78
12/21/15, 12889.43, 12889.43, 12889.43, 12889.43
12/18/15, 12813.36, 12813.36, 12813.36, 12813.36
12/17/15, 12903.71, 12903.71, 12903.71, 12903.71
12/16/15, 12873.59, 12873.59, 12873.59, 12873.59
12/15/15, 12779.06, 12779.06, 12779.06, 12779.06
12/14/15, 12671.07, 12671.07, 12671.07, 12671.07
12/11/15, 12675.96, 12675.96, 12675.96, 12675.96
12/10/15, 12931.36, 12931.36, 12931.36, 12931.36
12/09/15, 13065.04, 13065.04, 13065.04, 13065.04
