Date, Open, High, Low, Close
03/31/16, 7244.09, 7244.09, 7244.09, 7244.09
03/30/16, 7259.49, 7259.49, 7259.49, 7259.49
03/23/16, 7052.73, 7052.73, 7052.73, 7052.73
03/22/16, 7094.41, 7094.41, 7094.41, 7094.41
03/21/16, 7202.89, 7202.89, 7202.89, 7202.89
03/18/16, 7226.33, 7226.33, 7226.33, 7226.33
03/17/16, 7207.53, 7207.53, 7207.53, 7207.53
03/16/16, 6981.40, 6981.40, 6981.40, 6981.40
03/15/16, 6987.99, 6987.99, 6987.99, 6987.99
03/14/16, 7023.33, 7023.33, 7023.33, 7023.33
03/11/16, 6937.84, 6937.84, 6937.84, 6937.84
03/10/16, 6747.88, 6747.88, 6747.88, 6747.88
03/09/16, 6645.99, 6645.99, 6645.99, 6645.99
03/08/16, 6687.33, 6687.33, 6687.33, 6687.33
03/07/16, 6724.44, 6724.44, 6724.44, 6724.44
03/04/16, 6796.43, 6796.43, 6796.43, 6796.43
03/03/16, 6730.32, 6730.32, 6730.32, 6730.32
03/02/16, 6655.38, 6655.38, 6655.38, 6655.38
03/01/16, 6617.16, 6617.16, 6617.16, 6617.16
02/29/16, 6535.60, 6535.60, 6535.60, 6535.60
02/26/16, 6510.06, 6510.06, 6510.06, 6510.06
02/25/16, 6540.35, 6540.35, 6540.35, 6540.35
02/24/16, 6428.77, 6428.77, 6428.77, 6428.77
02/23/16, 6584.65, 6584.65, 6584.65, 6584.65
02/22/16, 6688.69, 6688.69, 6688.69, 6688.69
02/19/16, 6744.27, 6744.27, 6744.27, 6744.27
02/18/16, 6721.96, 6721.96, 6721.96, 6721.96
02/17/16, 6712.72, 6712.72, 6712.72, 6712.72
02/16/16, 6578.64, 6578.64, 6578.64, 6578.64
02/15/16, 6630.80, 6630.80, 6630.80, 6630.80
02/12/16, 6488.23, 6488.23, 6488.23, 6488.23
02/11/16, 6448.87, 6448.87, 6448.87, 6448.87
02/10/16, 6604.09, 6604.09, 6604.09, 6604.09
02/09/16, 6509.10, 6509.10, 6509.10, 6509.10
02/08/16, 6562.58, 6562.58, 6562.58, 6562.58
02/05/16, 6794.74, 6794.74, 6794.74, 6794.74
02/04/16, 6898.87, 6898.87, 6898.87, 6898.87
02/03/16, 6905.87, 6905.87, 6905.87, 6905.87
02/02/16, 6796.74, 6796.74, 6796.74, 6796.74
02/01/16, 6905.15, 6905.15, 6905.15, 6905.15
01/29/16, 6828.15, 6828.15, 6828.15, 6828.15
01/28/16, 6725.03, 6725.03, 6725.03, 6725.03
01/27/16, 6706.82, 6706.82, 6706.82, 6706.82
01/26/16, 6767.94, 6767.94, 6767.94, 6767.94
01/25/16, 6750.11, 6750.11, 6750.11, 6750.11
01/22/16, 6735.54, 6735.54, 6735.54, 6735.54
01/21/16, 6491.64, 6491.64, 6491.64, 6491.64
01/20/16, 6446.08, 6446.08, 6446.08, 6446.08
01/19/16, 6623.06, 6623.06, 6623.06, 6623.06
01/18/16, 6587.40, 6587.40, 6587.40, 6587.40
01/15/16, 6697.61, 6697.61, 6697.61, 6697.61
01/14/16, 6799.41, 6799.41, 6799.41, 6799.41
01/13/16, 6934.05, 6934.05, 6934.05, 6934.05
01/12/16, 6897.43, 6897.43, 6897.43, 6897.43
01/11/16, 6886.07, 6886.07, 6886.07, 6886.07
01/08/16, 6920.44, 6920.44, 6920.44, 6920.44
01/07/16, 6988.51, 6988.51, 6988.51, 6988.51
01/06/16, 7117.97, 7117.97, 7117.97, 7117.97
01/05/16, 7174.83, 7174.83, 7174.83, 7174.83
01/04/16, 7137.15, 7137.15, 7137.15, 7137.15
12/31/15, 7263.52, 7263.52, 7263.52, 7263.52
12/30/15, 7354.51, 7354.51, 7354.51, 7354.51
12/29/15, 7395.59, 7395.59, 7395.59, 7395.59
12/28/15, 7349.98, 7349.98, 7349.98, 7349.98
12/24/15, 7383.62, 7383.62, 7383.62, 7383.62
12/23/15, 7310.64, 7310.64, 7310.64, 7310.64
12/22/15, 7229.62, 7229.62, 7229.62, 7229.62
12/21/15, 7211.51, 7211.51, 7211.51, 7211.51
12/17/15, 7295.37, 7295.37, 7295.37, 7295.37
12/16/15, 7306.73, 7306.73, 7306.73, 7306.73
12/15/15, 7240.55, 7240.55, 7240.55, 7240.55
12/14/15, 7141.09, 7141.09, 7141.09, 7141.09
12/11/15, 7242.58, 7242.58, 7242.58, 7242.58
12/10/15, 7327.20, 7327.20, 7327.20, 7327.20
12/09/15, 7378.16, 7378.16, 7378.16, 7378.16
12/08/15, 7358.37, 7358.37, 7358.37, 7358.37
12/07/15, 7428.14, 7428.14, 7428.14, 7428.14
12/04/15, 7391.67, 7391.67, 7391.67, 7391.67
12/03/15, 7386.88, 7386.88, 7386.88, 7386.88
12/02/15, 7467.19, 7467.19, 7467.19, 7467.19
12/01/15, 7544.32, 7544.32, 7544.32, 7544.32
11/30/15, 7435.64, 7435.64, 7435.64, 7435.64
11/27/15, 7443.16, 7443.16, 7443.16, 7443.16
11/26/15, 7427.60, 7427.60, 7427.60, 7427.60
11/25/15, 7418.30, 7418.30, 7418.30, 7418.30
11/24/15, 7321.64, 7321.64, 7321.64, 7321.64
11/23/15, 7461.69, 7461.69, 7461.69, 7461.69
11/20/15, 7614.41, 7614.41, 7614.41, 7614.41
11/19/15, 7609.55, 7609.55, 7609.55, 7609.55
11/18/15, 7472.99, 7472.99, 7472.99, 7472.99
11/17/15, 7506.52, 7506.52, 7506.52, 7506.52
11/16/15, 7363.97, 7363.97, 7363.97, 7363.97
