Date, Open, High, Low, Close
03/31/16, 6414.24, 6414.24, 6414.24, 6414.24
03/30/16, 6428.86, 6428.86, 6428.86, 6428.86
03/23/16, 6246.83, 6246.83, 6246.83, 6246.83
03/22/16, 6291.52, 6291.52, 6291.52, 6291.52
03/21/16, 6387.72, 6387.72, 6387.72, 6387.72
03/18/16, 6408.50, 6408.50, 6408.50, 6408.50
03/17/16, 6393.28, 6393.28, 6393.28, 6393.28
03/16/16, 6192.70, 6192.70, 6192.70, 6192.70
03/15/16, 6198.55, 6198.55, 6198.55, 6198.55
03/14/16, 6229.89, 6229.89, 6229.89, 6229.89
03/11/16, 6154.06, 6154.06, 6154.06, 6154.06
03/10/16, 5985.57, 5985.57, 5985.57, 5985.57
03/09/16, 5896.05, 5896.05, 5896.05, 5896.05
03/08/16, 5932.73, 5932.73, 5932.73, 5932.73
03/07/16, 5965.65, 5965.65, 5965.65, 5965.65
03/04/16, 6030.93, 6030.93, 6030.93, 6030.93
03/03/16, 5972.27, 5972.27, 5972.27, 5972.27
03/02/16, 5905.77, 5905.77, 5905.77, 5905.77
03/01/16, 5871.86, 5871.86, 5871.86, 5871.86
02/29/16, 5799.48, 5799.48, 5799.48, 5799.48
02/26/16, 5776.82, 5776.82, 5776.82, 5776.82
02/25/16, 5803.70, 5803.70, 5803.70, 5803.70
02/24/16, 5704.69, 5704.69, 5704.69, 5704.69
02/23/16, 5843.00, 5843.00, 5843.00, 5843.00
02/22/16, 5935.33, 5935.33, 5935.33, 5935.33
02/19/16, 5984.64, 5984.64, 5984.64, 5984.64
02/18/16, 5964.85, 5964.85, 5964.85, 5964.85
02/17/16, 5956.65, 5956.65, 5956.65, 5956.65
02/16/16, 5837.67, 5837.67, 5837.67, 5837.67
02/15/16, 5883.95, 5883.95, 5883.95, 5883.95
02/12/16, 5757.45, 5757.45, 5757.45, 5757.45
02/11/16, 5722.52, 5722.52, 5722.52, 5722.52
02/10/16, 5860.25, 5860.25, 5860.25, 5860.25
02/09/16, 5775.97, 5775.97, 5775.97, 5775.97
02/08/16, 5823.42, 5823.42, 5823.42, 5823.42
02/05/16, 6029.43, 6029.43, 6029.43, 6029.43
02/04/16, 6121.84, 6121.84, 6121.84, 6121.84
02/03/16, 6128.04, 6128.04, 6128.04, 6128.04
02/02/16, 6031.21, 6031.21, 6031.21, 6031.21
02/01/16, 6127.41, 6127.41, 6127.41, 6127.41
01/29/16, 6059.08, 6059.08, 6059.08, 6059.08
01/28/16, 5967.57, 5967.57, 5967.57, 5967.57
01/27/16, 5951.42, 5951.42, 5951.42, 5951.42
01/26/16, 6005.66, 6005.66, 6005.66, 6005.66
01/25/16, 5989.83, 5989.83, 5989.83, 5989.83
01/22/16, 5976.90, 5976.90, 5976.90, 5976.90
01/21/16, 5760.47, 5760.47, 5760.47, 5760.47
01/20/16, 5720.04, 5720.04, 5720.04, 5720.04
01/19/16, 5877.09, 5877.09, 5877.09, 5877.09
01/18/16, 5845.44, 5845.44, 5845.44, 5845.44
01/15/16, 5943.24, 5943.24, 5943.24, 5943.24
01/14/16, 6033.57, 6033.57, 6033.57, 6033.57
01/13/16, 6153.06, 6153.06, 6153.06, 6153.06
01/12/16, 6120.56, 6120.56, 6120.56, 6120.56
01/11/16, 6110.48, 6110.48, 6110.48, 6110.48
01/08/16, 6140.98, 6140.98, 6140.98, 6140.98
01/07/16, 6201.38, 6201.38, 6201.38, 6201.38
01/06/16, 6317.36, 6317.36, 6317.36, 6317.36
01/05/16, 6367.82, 6367.82, 6367.82, 6367.82
01/04/16, 6334.38, 6334.38, 6334.38, 6334.38
