Date, Open, High, Low, Close
03/31/16, 18021.78, 18021.78, 18021.78, 18021.78
03/30/16, 18220.71, 18220.71, 18220.71, 18220.71
03/29/16, 17607.59, 17607.59, 17607.59, 17607.59
03/24/16, 17462.17, 17462.17, 17462.17, 17462.17
03/23/16, 17777.30, 17777.30, 17777.30, 17777.30
03/22/16, 17955.24, 17955.24, 17955.24, 17955.24
03/21/16, 18034.39, 18034.39, 18034.39, 18034.39
03/18/16, 18123.05, 18123.05, 18123.05, 18123.05
03/17/16, 18061.51, 18061.51, 18061.51, 18061.51
03/16/16, 17598.55, 17598.55, 17598.55, 17598.55
03/15/16, 17671.18, 17671.18, 17671.18, 17671.18
03/14/16, 17785.08, 17785.08, 17785.08, 17785.08
03/11/16, 17514.61, 17514.61, 17514.61, 17514.61
03/10/16, 17213.79, 17213.79, 17213.79, 17213.79
03/09/16, 17179.81, 17179.81, 17179.81, 17179.81
03/08/16, 17166.81, 17166.81, 17166.81, 17166.81
03/07/16, 17307.15, 17307.15, 17307.15, 17307.15
03/04/16, 17363.32, 17363.32, 17363.32, 17363.32
03/03/16, 17158.23, 17158.23, 17158.23, 17158.23
03/02/16, 17017.27, 17017.27, 17017.27, 17017.27
03/01/16, 17151.07, 17151.07, 17151.07, 17151.07
02/29/16, 16896.97, 16896.97, 16896.97, 16896.97
02/26/16, 16987.85, 16987.85, 16987.85, 16987.85
02/25/16, 17033.58, 17033.58, 17033.58, 17033.58
02/24/16, 16754.05, 16754.05, 16754.05, 16754.05
02/23/16, 17063.92, 17063.92, 17063.92, 17063.92
02/19/16, 16947.49, 16947.49, 16947.49, 16947.49
02/18/16, 17122.35, 17122.35, 17122.35, 17122.35
02/17/16, 16990.75, 16990.75, 16990.75, 16990.75
02/16/16, 16478.11, 16478.11, 16478.11, 16478.11
02/15/16, 16516.61, 16516.61, 16516.61, 16516.61
02/12/16, 16234.45, 16234.45, 16234.45, 16234.45
02/11/16, 16146.66, 16146.66, 16146.66, 16146.66
02/10/16, 16485.25, 16485.25, 16485.25, 16485.25
02/09/16, 16554.82, 16554.82, 16554.82, 16554.82
02/08/16, 16555.10, 16555.10, 16555.10, 16555.10
02/05/16, 17126.69, 17126.69, 17126.69, 17126.69
02/04/16, 17269.53, 17269.53, 17269.53, 17269.53
02/03/16, 17172.89, 17172.89, 17172.89, 17172.89
02/02/16, 17186.44, 17186.44, 17186.44, 17186.44
02/01/16, 17388.62, 17388.62, 17388.62, 17388.62
01/29/16, 17650.59, 17650.59, 17650.59, 17650.59
01/28/16, 17517.51, 17517.51, 17517.51, 17517.51
01/27/16, 17620.92, 17620.92, 17620.92, 17620.92
01/26/16, 17563.90, 17563.90, 17563.90, 17563.90
01/25/16, 17298.81, 17298.81, 17298.81, 17298.81
01/22/16, 17335.19, 17335.19, 17335.19, 17335.19
01/21/16, 16869.95, 16869.95, 16869.95, 16869.95
01/20/16, 16729.25, 16729.25, 16729.25, 16729.25
01/19/16, 17240.92, 17240.92, 17240.92, 17240.92
01/18/16, 16898.56, 16898.56, 16898.56, 16898.56
01/15/16, 17125.42, 17125.42, 17125.42, 17125.42
01/14/16, 17424.89, 17424.89, 17424.89, 17424.89
01/13/16, 17872.96, 17872.96, 17872.96, 17872.96
01/12/16, 17724.92, 17724.92, 17724.92, 17724.92
01/11/16, 17589.55, 17589.55, 17589.55, 17589.55
01/08/16, 17554.84, 17554.84, 17554.84, 17554.84
01/06/16, 17635.63, 17635.63, 17635.63, 17635.63
01/05/16, 17588.06, 17588.06, 17588.06, 17588.06
01/04/16, 17689.82, 17689.82, 17689.82, 17689.82
01/01/16, 18253.43, 18253.43, 18253.43, 18253.43
12/31/15, 18253.43, 18253.43, 18253.43, 18253.43
12/30/15, 18338.29, 18338.29, 18338.29, 18338.29
12/29/15, 18410.38, 18410.38, 18410.38, 18410.38
12/28/15, 18244.10, 18244.10, 18244.10, 18244.10
12/25/15, 18355.38, 18355.38, 18355.38, 18355.38
12/24/15, 18355.38, 18355.38, 18355.38, 18355.38
12/23/15, 18223.06, 18223.06, 18223.06, 18223.06
12/22/15, 18037.40, 18037.40, 18037.40, 18037.40
12/21/15, 17958.88, 17958.88, 17958.88, 17958.88
12/18/15, 17885.55, 17885.55, 17885.55, 17885.55
12/17/15, 18136.16, 18136.16, 18136.16, 18136.16
12/16/15, 18157.07, 18157.07, 18157.07, 18157.07
12/15/15, 17970.63, 17970.63, 17970.63, 17970.63
12/14/15, 17676.49, 17676.49, 17676.49, 17676.49
12/11/15, 17848.96, 17848.96, 17848.96, 17848.96
12/10/15, 18239.04, 18239.04, 18239.04, 18239.04
12/09/15, 18087.23, 18087.23, 18087.23, 18087.23
12/08/15, 18156.56, 18156.56, 18156.56, 18156.56
12/07/15, 18491.31, 18491.31, 18491.31, 18491.31
12/04/15, 18433.27, 18433.27, 18433.27, 18433.27
12/03/15, 18454.13, 18454.13, 18454.13, 18454.13
12/02/15, 18373.89, 18373.89, 18373.89, 18373.89
12/01/15, 18321.25, 18321.25, 18321.25, 18321.25
11/30/15, 18209.02, 18209.02, 18209.02, 18209.02
11/27/15, 18157.04, 18157.04, 18157.04, 18157.04
11/26/15, 18211.61, 18211.61, 18211.61, 18211.61
11/25/15, 18089.09, 18089.09, 18089.09, 18089.09
11/24/15, 17960.67, 17960.67, 17960.67, 17960.67
11/20/15, 18264.50, 18264.50, 18264.50, 18264.50
11/19/15, 18251.67, 18251.67, 18251.67, 18251.67
11/18/15, 18099.48, 18099.48, 18099.48, 18099.48
11/17/15, 18058.36, 18058.36, 18058.36, 18058.36
11/13/15, 17748.88, 17748.88, 17748.88, 17748.88
11/12/15, 18002.38, 18002.38, 18002.38, 18002.38
11/11/15, 18144.22, 18144.22, 18144.22, 18144.22
11/10/15, 17835.16, 17835.16, 17835.16, 17835.16
11/06/15, 18227.84, 18227.84, 18227.84, 18227.84
11/05/15, 18322.47, 18322.47, 18322.47, 18322.47
11/04/15, 18339.14, 18339.14, 18339.14, 18339.14
11/03/15, 18325.88, 18325.88, 18325.88, 18325.88
11/02/15, 18308.88, 18308.88, 18308.88, 18308.88
10/30/15, 18184.05, 18184.05, 18184.05, 18184.05
10/29/15, 17969.15, 17969.15, 17969.15, 17969.15
10/28/15, 17867.48, 17867.48, 17867.48, 17867.48
10/27/15, 17662.42, 17662.42, 17662.42, 17662.42
10/26/15, 17905.85, 17905.85, 17905.85, 17905.85
10/23/15, 17896.78, 17896.78, 17896.78, 17896.78
10/22/15, 17987.80, 17987.80, 17987.80, 17987.80
10/21/15, 17968.88, 17968.88, 17968.88, 17968.88
10/20/15, 17941.50, 17941.50, 17941.50, 17941.50
10/19/15, 17895.94, 17895.94, 17895.94, 17895.94
10/16/15, 17805.12, 17805.12, 17805.12, 17805.12
10/15/15, 17905.10, 17905.10, 17905.10, 17905.10
10/14/15, 17768.36, 17768.36, 17768.36, 17768.36
10/13/15, 17736.48, 17736.48, 17736.48, 17736.48
10/12/15, 17906.91, 17906.91, 17906.91, 17906.91
10/09/15, 17874.56, 17874.56, 17874.56, 17874.56
10/08/15, 17705.17, 17705.17, 17705.17, 17705.17
10/07/15, 17650.62, 17650.62, 17650.62, 17650.62
10/06/15, 17713.81, 17713.81, 17713.81, 17713.81
10/05/15, 17420.46, 17420.46, 17420.46, 17420.46
10/02/15, 17010.62, 17010.62, 17010.62, 17010.62
10/01/15, 16759.01, 16759.01, 16759.01, 16759.01
09/30/15, 16736.18, 16736.18, 16736.18, 16736.18
09/29/15, 16518.96, 16518.96, 16518.96, 16518.96
09/28/15, 16437.05, 16437.05, 16437.05, 16437.05
09/25/15, 16768.51, 16768.51, 16768.51, 16768.51
09/24/15, 16545.91, 16545.91, 16545.91, 16545.91
09/23/15, 16771.92, 16771.92, 16771.92, 16771.92
09/22/15, 16684.08, 16684.08, 16684.08, 16684.08
09/21/15, 17297.13, 17297.13, 17297.13, 17297.13
09/18/15, 17378.87, 17378.87, 17378.87, 17378.87
09/17/15, 17577.46, 17577.46, 17577.46, 17577.46
09/16/15, 17567.29, 17567.29, 17567.29, 17567.29
