Date, Open, High, Low, Close
03/31/16, 14961.50, 14974.63, 14954.93, 14968.06
03/30/16, 15147.41, 15147.41, 15106.08, 15114.08
03/29/16, 14627.62, 14778.67, 14627.62, 14773.44
03/28/16, 14551.64, 14558.14, 14543.84, 14549.04
03/27/16, 14506.81, 14506.81, 14494.46, 14506.81
03/25/16, 14506.81, 14506.81, 14506.81, 14506.81
03/24/16, 14506.81, 14534.76, 14491.86, 14508.76
03/23/16, 14779.89, 14794.43, 14779.88, 14786.50
03/22/16, 14942.91, 14950.88, 14930.93, 14938.91
03/21/16, 15022.81, 15022.81, 14983.49, 14991.49
03/20/16, 15077.84, 15077.84, 15077.84, 15077.84
03/18/16, 15077.84, 15083.60, 14950.26, 15077.84
03/17/16, 15033.22, 15037.86, 15017.95, 15035.21
03/16/16, 14644.86, 14838.58, 14644.86, 14825.35
03/15/16, 14700.36, 14708.30, 14689.79, 14700.36
03/14/16, 14798.10, 14799.44, 14784.78, 14791.45
03/13/16, 14575.46, 14575.46, 14575.46, 14575.46
03/11/16, 14575.46, 14589.96, 14314.18, 14575.46
03/10/16, 14366.87, 14409.29, 14361.74, 14374.59
03/09/16, 14300.97, 14300.97, 14248.37, 14265.26
03/08/16, 14294.49, 14294.49, 14194.30, 14203.36
03/07/16, 14500.11, 14514.55, 14498.79, 14509.30
03/06/16, 14470.02, 14470.02, 14470.02, 14470.02
03/04/16, 14470.02, 14495.79, 14304.32, 14470.02
03/03/16, 14317.80, 14347.89, 14317.80, 14333.50
03/02/16, 14187.18, 14247.45, 14187.18, 14246.14
03/01/16, 14298.73, 14327.04, 14298.73, 14309.92
02/29/16, 14086.88, 14117.35, 14086.88, 14110.87
02/28/16, 14162.65, 14162.65, 14162.65, 14162.65
02/26/16, 14162.65, 14361.63, 14146.50, 14162.65
02/25/16, 14200.78, 14235.53, 14186.61, 14223.94
02/24/16, 13967.73, 13972.80, 13948.72, 13972.80
02/23/16, 14226.07, 14229.95, 14193.81, 14197.68
02/22/16, 14416.89, 14445.00, 14412.32, 14438.47
02/21/16, 14129.00, 14129.00, 14129.00, 14129.00
02/19/16, 14129.00, 14324.35, 14085.81, 14129.00
02/18/16, 14285.71, 14312.71, 14275.42, 14302.42
02/17/16, 14165.07, 14173.33, 14147.89, 14165.71
02/16/16, 13734.61, 13740.76, 13706.24, 13722.27
02/15/16, 13769.78, 13818.59, 13769.78, 13808.69
02/14/16, 13504.46, 13504.46, 13504.46, 13504.46
02/12/16, 13534.55, 13549.83, 13350.82, 13534.55
02/11/16, 13461.35, 13461.35, 13412.10, 13413.30
02/10/16, 13743.63, 13897.72, 13743.63, 13873.15
02/09/16, 13801.64, 13803.46, 13771.74, 13791.27
02/08/16, 13801.87, 13913.92, 13801.87, 13878.00
02/07/16, 14278.40, 14278.40, 14278.40, 14278.40
02/05/16, 14278.40, 14508.20, 14276.48, 14278.40
02/04/16, 14436.16, 14456.77, 14429.71, 14429.71
02/03/16, 14316.91, 14404.38, 14316.91, 14364.21
02/02/16, 14328.21, 14374.88, 14328.21, 14363.05
02/01/16, 14500.09, 14516.06, 14496.11, 14502.75
01/31/16, 14715.17, 14715.17, 14715.17, 14715.17
01/29/16, 14715.17, 14773.16, 14715.17, 14715.17
01/28/16, 14604.22, 14604.88, 14530.13, 14600.88
01/27/16, 14690.44, 14740.44, 14690.44, 14712.06
01/26/16, 14642.90, 14667.87, 14642.90, 14654.37
01/25/16, 14421.90, 14458.51, 14421.90, 14445.20
01/24/16, 14452.23, 14452.23, 14452.23, 14452.23
01/22/16, 14452.23, 14492.39, 14052.02, 14452.23
01/21/16, 14064.36, 14111.78, 14064.36, 14101.40
01/20/16, 13947.05, 13947.05, 13909.94, 13913.78
01/19/16, 14373.63, 14420.44, 14373.63, 14405.95
01/18/16, 14109.59, 14113.48, 14095.34, 14101.81
01/17/16, 14277.34, 14277.34, 14277.34, 14277.34
01/15/16, 14277.34, 14596.03, 14214.15, 14277.34
01/14/16, 14551.81, 14581.29, 14550.46, 14570.56
01/13/16, 14900.56, 14965.79, 14900.56, 14943.82
01/12/16, 14777.14, 14809.91, 14758.03, 14774.41
01/11/16, 14664.28, 14680.50, 14649.42, 14665.64
01/10/16, 14678.95, 14678.95, 14678.95, 14678.95
01/08/16, 14635.34, 14807.44, 14517.12, 14635.34
01/07/16, 14612.08, 14613.42, 14541.20, 14558.58
01/06/16, 14702.70, 14784.77, 14702.70, 14776.55
01/05/16, 14704.07, 14732.79, 14687.65, 14719.11
01/04/16, 14775.85, 14794.97, 14766.30, 14777.23
01/03/16, 15203.75, 15203.75, 15203.75, 15203.75
01/01/16, 15217.76, 15217.76, 15217.76, 15217.76
12/31/15, 15217.76, 15217.76, 15213.55, 15213.55
12/30/15, 15320.02, 15322.81, 15300.41, 15303.21
12/29/15, 15348.60, 15388.02, 15348.60, 15371.11
12/28/15, 15209.98, 15225.93, 15209.98, 15224.54
