Date, Open, High, Low, Close
03/31/16, 3309931.00, 3309931.00, 3309931.00, 3309931.00
03/30/16, 3316678.40, 3316678.40, 3316678.40, 3316678.40
03/29/16, 3301102.50, 3301102.50, 3301102.50, 3301102.50
03/28/16, 3283886.80, 3283886.80, 3283886.80, 3283886.80
03/27/16, 3280664.00, 3280664.00, 3280664.00, 3280664.00
03/24/16, 3280526.60, 3280526.60, 3280526.60, 3280526.60
03/23/16, 3276754.60, 3276754.60, 3276754.60, 3276754.60
03/22/16, 3291496.20, 3291496.20, 3291496.20, 3291496.20
03/21/16, 3299022.40, 3299022.40, 3299022.40, 3299022.40
03/20/16, 3293658.60, 3293658.60, 3293658.60, 3293658.60
03/17/16, 3271443.30, 3271443.30, 3271443.30, 3271443.30
03/16/16, 3244954.80, 3244954.80, 3244954.80, 3244954.80
03/15/16, 3231722.70, 3231722.70, 3231722.70, 3231722.70
03/14/16, 3228516.80, 3228516.80, 3228516.80, 3228516.80
03/13/16, 3225658.70, 3225658.70, 3225658.70, 3225658.70
03/10/16, 3182530.10, 3182530.10, 3182530.10, 3182530.10
03/09/16, 3183857.50, 3183857.50, 3183857.50, 3183857.50
03/08/16, 3175245.60, 3175245.60, 3175245.60, 3175245.60
03/07/16, 3194997.30, 3194997.30, 3194997.30, 3194997.30
03/06/16, 3183066.90, 3183066.90, 3183066.90, 3183066.90
03/03/16, 3171273.40, 3171273.40, 3171273.40, 3171273.40
03/02/16, 3162826.80, 3162826.80, 3162826.80, 3162826.80
03/01/16, 3156412.40, 3156412.40, 3156412.40, 3156412.40
02/29/16, 3090747.30, 3090747.30, 3090747.30, 3090747.30
02/28/16, 3112021.00, 3112021.00, 3112021.00, 3112021.00
02/25/16, 3120875.90, 3120875.90, 3120875.90, 3120875.90
02/24/16, 3083463.90, 3083463.90, 3083463.90, 3083463.90
02/23/16, 3074293.90, 3074293.90, 3074293.90, 3074293.90
02/22/16, 3107296.60, 3107296.60, 3107296.60, 3107296.60
02/21/16, 3067586.20, 3067586.20, 3067586.20, 3067586.20
02/18/16, 3070523.90, 3070523.90, 3070523.90, 3070523.90
02/17/16, 3077736.20, 3077736.20, 3077736.20, 3077736.20
02/16/16, 3031485.40, 3031485.40, 3031485.40, 3031485.40
02/15/16, 2990466.60, 2990466.60, 2990466.60, 2990466.60
02/14/16, 2991371.10, 2991371.10, 2991371.10, 2991371.10
02/11/16, 2937815.50, 2937815.50, 2937815.50, 2937815.50
02/10/16, 2980280.50, 2980280.50, 2980280.50, 2980280.50
02/09/16, 2994885.30, 2994885.30, 2994885.30, 2994885.30
02/08/16, 2996127.10, 2996127.10, 2996127.10, 2996127.10
02/07/16, 3025425.10, 3025425.10, 3025425.10, 3025425.10
02/04/16, 3063464.70, 3063464.70, 3063464.70, 3063464.70
02/03/16, 3048156.80, 3048156.80, 3048156.80, 3048156.80
02/02/16, 3013414.60, 3013414.60, 3013414.60, 3013414.60
02/01/16, 3067703.80, 3067703.80, 3067703.80, 3067703.80
01/31/16, 3071215.40, 3071215.40, 3071215.40, 3071215.40
01/28/16, 3001638.90, 3001638.90, 3001638.90, 3001638.90
01/27/16, 2979128.10, 2979128.10, 2979128.10, 2979128.10
01/26/16, 3020937.90, 3020937.90, 3020937.90, 3020937.90
01/25/16, 2969647.90, 2969647.90, 2969647.90, 2969647.90
01/24/16, 3006825.30, 3006825.30, 3006825.30, 3006825.30
01/21/16, 2970209.80, 2970209.80, 2970209.80, 2970209.80
01/20/16, 2950238.80, 2950238.80, 2950238.80, 2950238.80
01/19/16, 2994307.00, 2994307.00, 2994307.00, 2994307.00
01/18/16, 2989169.00, 2989169.00, 2989169.00, 2989169.00
01/17/16, 2990605.60, 2990605.60, 2990605.60, 2990605.60
01/14/16, 3058762.50, 3058762.50, 3058762.50, 3058762.50
01/13/16, 3018372.30, 3018372.30, 3018372.30, 3018372.30
01/12/16, 3084365.40, 3084365.40, 3084365.40, 3084365.40
01/11/16, 3063165.60, 3063165.60, 3063165.60, 3063165.60
01/10/16, 3053658.70, 3053658.70, 3053658.70, 3053658.70
01/07/16, 3084317.60, 3084317.60, 3084317.60, 3084317.60
01/06/16, 3155346.80, 3155346.80, 3155346.80, 3155346.80
01/05/16, 3200252.00, 3200252.00, 3200252.00, 3200252.00
01/04/16, 3198686.70, 3198686.70, 3198686.70, 3198686.70
01/03/16, 3249366.00, 3249366.00, 3249366.00, 3249366.00
12/31/15, 3249481.30, 3249481.30, 3249481.30, 3249481.30
12/30/15, 3282296.30, 3282296.30, 3282296.30, 3282296.30
12/29/15, 3303819.70, 3303819.70, 3303819.70, 3303819.70
12/28/15, 3268718.80, 3268718.80, 3268718.80, 3268718.80
12/27/15, 3273174.10, 3273174.10, 3273174.10, 3273174.10
12/24/15, 3273417.00, 3273417.00, 3273417.00, 3273417.00
12/23/15, 3282681.50, 3282681.50, 3282681.50, 3282681.50
12/22/15, 3248792.10, 3248792.10, 3248792.10, 3248792.10
12/21/15, 3218483.60, 3218483.60, 3218483.60, 3218483.60
12/20/15, 3196153.50, 3196153.50, 3196153.50, 3196153.50
